,explanation,label,latency,match,prediction,row,type
0,"{'ltable_description': -0.011430465629551533, 'ltable_name': 0.022422888768322796, 'rtable_description': -0.08705257733108601, 'rtable_price': 0.08747983432585084}",0.0,0.852392653003335,0.0,[0.76590127 0.23409872],445-910,mojito-d
1,"{'ltable_description': -0.004304265949803682, 'ltable_id': 0.030718680946663652, 'ltable_name': -0.007891613171503702, 'rtable_id': -0.046301144402488066, 'rtable_name': -0.02039013858905743}",0.0,0.8300701359985396,1.0,[0.33090183 0.66909814],719-812,mojito-d
2,"{'ltable_description': -0.012244550721511229, 'ltable_name': -0.0015618219618905513, 'rtable_description': -0.15183396581176567, 'rtable_name': 0.036616417251678995}",0.0,0.8555206920136698,0.0,[0.73193616 0.26806387],550-664,mojito-d
3,"{'ltable_description': -0.019603484173544402, 'ltable_id': -0.017765166735220245, 'ltable_name': -0.007562843923321869, 'rtable_description': -0.01903527532969229}",1.0,0.914750810014084,0.0,[0.72016895 0.27983102],942-949,mojito-d
4,"{'ltable_description': 0.0008564468607451009, 'ltable_id': 0.01655369926725896, 'ltable_name': -0.007617023348248153, 'rtable_description': 0.009548368964070643, 'rtable_id': 0.05117503802598473}",0.0,0.9320043490151875,0.0,[0.9961791  0.00382095],643-636,mojito-d
5,"{'ltable_description': -0.013250520157691329, 'ltable_name': -0.02092914525527004, 'rtable_name': -0.013615807124089791}",0.0,0.9368359670042992,0.0,[0.88707876 0.11292122],495-578,mojito-d
6,"{'ltable_description': 0.014691965143517522, 'ltable_name': -0.039799247841585304, 'rtable_description': -0.08186197731952359, 'rtable_id': -0.02484234365863543, 'rtable_name': -0.028554562799859566}",0.0,0.8849975430057384,0.0,[0.9824709  0.01752905],994-336,mojito-d
7,"{'ltable_description': -0.0054658666112680715, 'ltable_name': 0.01301862438000072, 'rtable_id': -0.026307197866046735, 'rtable_name': -0.021087220198773748}",0.0,0.6498362479615025,0.0,[0.9943228 0.0056772],808-127,mojito-d
8,"{'ltable_description': -0.027965773220726957, 'ltable_name': -0.025015376035255953, 'rtable_description': -0.03718553436430366, 'rtable_name': -0.008876684204394377}",0.0,0.839631634997204,0.0,[0.95168364 0.04831629],987-980,mojito-d
9,"{'ltable_description': -0.011140187184988264, 'rtable_description': -0.05173618477793969, 'rtable_name': -0.03546966634565801, 'rtable_price': -0.03135026450304574}",0.0,0.7811617819825187,1.0,[1.2668593e-04 9.9987328e-01],332-237,mojito-d
10,"{'ltable_description': 0.0024807576817944127, 'ltable_name': -0.03022861712190573, 'rtable_description': -0.01789243250026122, 'rtable_id': -0.03415814067071045, 'rtable_name': -0.028047941649380598}",0.0,0.9243768620071933,0.0,[0.97724116 0.02275887],994-732,mojito-d
11,"{'ltable_description': -0.01962734420054125, 'ltable_name': -0.012036376893956688, 'rtable_description': -0.03316477950499202, 'rtable_name': 0.006051704856472568}",0.0,1.2118435960146599,0.0,[9.9995935e-01 4.0673898e-05],764-141,mojito-d
12,"{'ltable_description': 0.0030490211480219674, 'rtable_description': -0.009974746117655977}",0.0,0.9223541549872607,0.0,[0.9969971 0.0030029],615-640,mojito-d
13,"{'ltable_description': -0.01537157067118998, 'ltable_name': -0.0752525779909489, 'rtable_description': -0.05917604514159366, 'rtable_name': -0.009846200827404011}",0.0,0.8169235489913262,0.0,[0.97071385 0.02928618],431-71,mojito-d
14,"{'ltable_description': -0.02448249787736216, 'ltable_name': 0.02694221190761953, 'rtable_description': 0.056122938757093004, 'rtable_id': 0.045128031613842184, 'rtable_name': 0.03796595222671512}",0.0,0.5896267179632559,0.0,[0.94590265 0.05409733],805-399,mojito-d
15,"{'ltable_description': -0.014939361492870652, 'rtable_description': -0.005140204003525027}",0.0,0.8647726039635018,0.0,[0.99611354 0.00388649],987-653,mojito-d
16,"{'ltable_description': -0.04395627577625364, 'ltable_name': -0.029291581576786834, 'rtable_description': -0.05787212989689308}",0.0,0.7928483840078115,1.0,[0.10725494 0.89274514],710-660,mojito-d
