,explanation,label,latency,match,prediction,row,type
0,"{'rtable_name': 0.4945652173913043, 'ltable_name': 0.21739130434782608, 'ltable_description': 0.18478260869565216, 'ltable_price': 0.21557971014492755, 'rtable_price': 0.40942028985507245, 'rtable_description': 0.375}",0.0,31.415035891000116,0.0,[0.6477651 0.3522349],445-910,certa
1,"{'rtable_name': 0.8582474226804123, 'ltable_name': 0.14690721649484537, 'rtable_description': 0.43041237113402064, 'rtable_price': 0.43041237113402064, 'ltable_description': 0.07474226804123711, 'ltable_price': 0.07474226804123711}",0.0,30.90821884200068,0.0,[0.858345 0.141655],719-812,certa
2,"{'rtable_name': 0.7957559681697612, 'ltable_name': 0.20954907161803712, 'rtable_description': 0.40848806366047746, 'rtable_price': 0.40583554376657827, 'ltable_description': 0.10875331564986737, 'ltable_price': 0.10610079575596817}",0.0,30.588218744000187,0.0,[0.95555401 0.04444599],550-664,certa
3,"{'ltable_name': 0.45758354755784064, 'rtable_name': 0.5475578406169666, 'ltable_description': 0.2365038560411311, 'ltable_price': 0.23136246786632392, 'rtable_description': 0.2750642673521851, 'rtable_price': 0.2750642673521851}",1.0,36.97108854199996,0.0,[0.95163838 0.04836162],942-949,certa
4,"{'rtable_name': 0.619140625, 'rtable_price': 0.5546875, 'ltable_name': 0.14453125, 'rtable_description': 0.396484375, 'ltable_description': 0.07421875, 'ltable_price': 0.07421875}",0.0,43.97059518500009,0.0,[0.9305829 0.0694171],643-636,certa
5,"{'rtable_name': 0.8868894601542416, 'ltable_name': 0.11825192802056556, 'rtable_description': 0.44473007712082263, 'rtable_price': 0.44473007712082263, 'ltable_description': 0.061696658097686374, 'ltable_price': 0.061696658097686374}",0.0,41.73302053799944,0.0,[0.94608939 0.05391061],495-578,certa
6,"{'ltable_name': 0.315028901734104, 'rtable_name': 0.6907514450867052, 'rtable_description': 0.3554913294797688, 'ltable_description': 0.15895953757225434, 'ltable_price': 0.15895953757225434, 'rtable_price': 0.3468208092485549}",0.0,25.559480805999556,0.0,[0.95288381 0.04711619],994-336,certa
7,"{'rtable_name': 0.8810975609756098, 'ltable_name': 0.125, 'rtable_description': 0.4420731707317073, 'rtable_price': 0.4420731707317073, 'ltable_description': 0.06402439024390244, 'ltable_price': 0.06402439024390244}",0.0,26.421245168000496,0.0,[0.94259047 0.05740953],808-127,certa
8,"{'rtable_name': 0.6015424164524421, 'ltable_name': 0.40359897172236503, 'rtable_description': 0.3059125964010283, 'rtable_price': 0.3033419023136247, 'ltable_description': 0.20565552699228792, 'ltable_price': 0.20565552699228792}",0.0,32.412485412000024,0.0,[0.95052981 0.04947019],987-980,certa
9,"{'ltable_name': 0.3087818696883853, 'rtable_name': 0.6968838526912181, 'ltable_description': 0.1558073654390935, 'ltable_price': 0.1558073654390935, 'rtable_description': 0.35127478753541075, 'rtable_price': 0.35127478753541075}",0.0,22.395248398999684,0.0,[0.95509144 0.04490856],332-237,certa
10,"{'ltable_name': 0.376, 'rtable_name': 0.6293333333333333, 'ltable_description': 0.192, 'ltable_price': 0.19733333333333333, 'rtable_description': 0.32, 'rtable_price': 0.32}",0.0,35.09522143100003,0.0,[0.94881715 0.05118285],994-732,certa
11,"{'rtable_name': 0.8419689119170984, 'ltable_name': 0.16321243523316062, 'rtable_description': 0.4274611398963731, 'rtable_price': 0.422279792746114, 'ltable_description': 0.08549222797927461, 'ltable_price': 0.08290155440414508}",0.0,34.20372931100064,0.0,[0.95614204 0.04385796],764-141,certa
12,"{'rtable_name': 0.8451776649746193, 'ltable_name': 0.1598984771573604, 'rtable_description': 0.42385786802030456, 'rtable_price': 0.42385786802030456, 'ltable_description': 0.08375634517766498, 'ltable_price': 0.08121827411167512}",0.0,44.294108680000136,0.0,[0.95090784 0.04909216],615-640,certa
13,"{'ltable_name': 0.19736842105263158, 'rtable_name': 0.8078947368421052, 'ltable_description': 0.1, 'ltable_price': 0.10263157894736842, 'rtable_description': 0.4131578947368421, 'rtable_price': 0.4105263157894737}",0.0,28.897786747000282,0.0,[0.95354509 0.04645491],431-71,certa
14,"{'ltable_name': 0.21031746031746032, 'rtable_name': 0.7976190476190477, 'ltable_description': 0.10714285714285714, 'ltable_price': 0.10714285714285714, 'rtable_description': 0.4007936507936508, 'rtable_price': 0.4007936507936508}",0.0,23.403045304999978,0.0,[0.94826636 0.05173364],805-399,certa
15,"{'rtable_name': 0.6136363636363636, 'ltable_name': 0.39141414141414144, 'rtable_description': 0.3106060606060606, 'rtable_price': 0.30808080808080807, 'ltable_description': 0.1994949494949495, 'ltable_price': 0.19696969696969696}",0.0,34.7069211299995,0.0,[0.9529291 0.0470709],987-653,certa
16,"{'rtable_name': 0.6964285714285714, 'ltable_name': 0.3086734693877551, 'rtable_description': 0.3494897959183674, 'rtable_price': 0.3494897959183674, 'ltable_description': 0.1556122448979592, 'ltable_price': 0.1556122448979592}",0.0,30.456377929000155,0.0,[0.94838161 0.05161839],710-660,certa
17,"{'rtable_name': 0.6893939393939394, 'ltable_name': 0.31565656565656564, 'rtable_description': 0.34595959595959597, 'rtable_price': 0.34595959595959597, 'ltable_description': 0.1590909090909091, 'ltable_price': 0.1590909090909091}",0.0,31.856020250000256,0.0,[0.95452232 0.04547768],191-301,certa
18,"{'rtable_name': 0.7408312958435208, 'ltable_name': 0.17359413202933985, 'ltable_price': 0.18581907090464547, 'rtable_description': 0.3765281173594132, 'rtable_price': 0.37897310513447435, 'ltable_description': 0.13202933985330073}",0.0,27.46589853899968,0.0,[0.87443846 0.12556154],169-235,certa
19,"{'rtable_name': 0.6795865633074936, 'ltable_name': 0.32558139534883723, 'ltable_description': 0.165374677002584, 'ltable_price': 0.16795865633074936, 'rtable_description': 0.34108527131782945, 'rtable_price': 0.34366925064599485}",0.0,37.76040744299917,0.0,[0.95294302 0.04705698],677-891,certa
20,"{'rtable_name': 0.6794871794871795, 'ltable_name': 0.32564102564102565, 'rtable_description': 0.34102564102564104, 'rtable_price': 0.34102564102564104, 'ltable_description': 0.16666666666666666, 'ltable_price': 0.1641025641025641}",0.0,30.016602687999693,0.0,[0.94625123 0.05374877],280-300,certa
21,"{'rtable_name': 0.7415384615384616, 'ltable_name': 0.26461538461538464, 'rtable_description': 0.3723076923076923, 'rtable_price': 0.3723076923076923, 'ltable_description': 0.13846153846153847, 'ltable_price': 0.13846153846153847}",0.0,32.08168948399998,0.0,[0.95737557 0.04262443],523-954,certa
22,"{'rtable_name': 0.8025, 'ltable_name': 0.2025, 'rtable_description': 0.4025, 'rtable_price': 0.4025, 'ltable_description': 0.1025, 'ltable_price': 0.1025}",0.0,31.467797151000013,0.0,[0.9495654 0.0504346],427-146,certa
23,"{'rtable_name': 0.7666666666666667, 'ltable_name': 0.23846153846153847, 'rtable_description': 0.3871794871794872, 'rtable_price': 0.38461538461538464, 'ltable_description': 0.12051282051282051, 'ltable_price': 0.12051282051282051}",0.0,32.98886270900039,0.0,[0.94149419 0.05850581],955-194,certa
