,explanation,type,latency,match,label,row,prediction
0,"{'ltable_description': -0.000586158691899767, 'ltable_name': 0.03843878984107838, 'rtable_description': -0.004630726529386502, 'rtable_name': 0.02131810817002142, 'rtable_price': -0.11585744646213852}",mojito-d,1.9161042709999947,0.0,0.0,445-910,[0.90727252 0.09272748]
1,"{'ltable_description': -0.0008678562161448455, 'ltable_name': 0.17658281946960694, 'rtable_id': -0.033265069648476336, 'rtable_name': 0.03844292095482605}",mojito-d,1.9322236090000047,0.0,0.0,719-812,[0.70041335 0.29958665]
2,"{'ltable_description': -0.01796096015190073, 'ltable_name': -0.0004846131186026885, 'rtable_description': -0.03975665917425202, 'rtable_name': 0.029596485582112426, 'rtable_price': -0.025276418194332875}",mojito-d,1.6880197109999813,0.0,0.0,550-664,[0.96497241 0.03502759]
3,"{'ltable_description': -0.000638735961074864, 'ltable_name': -0.00020437947081582836, 'rtable_description': -1.851211038887244e-05, 'rtable_name': 0.0011011825596205557}",mojito-d,2.0289846389999866,0.0,1.0,942-949,[0.9432392 0.0567608]
4,"{'ltable_description': -0.0002903199308353571, 'ltable_id': -0.0015675052694310734, 'rtable_description': -0.0006079812652940551, 'rtable_name': 0.00042608100859053337}",mojito-d,2.1608839970000417,0.0,0.0,643-636,[0.94806515 0.05193485]
5,"{'ltable_description': 0.000724293829842455, 'rtable_description': 0.0019060498448336513, 'rtable_name': -0.001396800422138543, 'rtable_price': -0.014136540926945386}",mojito-d,2.079729215000043,0.0,0.0,495-578,[0.95026321 0.04973679]
6,"{'ltable_description': -0.0007151293359863798, 'ltable_id': -0.0006712195437955993, 'ltable_name': 0.0005017882728741316, 'rtable_description': -2.448828420805382e-05, 'rtable_name': 0.00015288582940873826}",mojito-d,1.6775371300000188,0.0,0.0,994-336,[0.94859619 0.05140381]
7,"{'ltable_description': 0.0014351698108247856, 'ltable_id': -0.007103934362927942, 'ltable_name': 0.0003504522612734363, 'rtable_name': -0.003846481858176476}",mojito-d,1.544274218000055,0.0,0.0,808-127,[0.9382427 0.0617573]
8,"{'ltable_description': -0.001057605738253928, 'ltable_name': -0.001749957925502391, 'rtable_description': -5.303883400363139e-05, 'rtable_name': -0.0008186144661215186, 'rtable_price': -0.0042563994685841855}",mojito-d,1.9305150650000087,0.0,0.0,987-980,[0.95715294 0.04284706]
9,"{'ltable_description': -0.008625314676526876, 'ltable_name': 0.03683999888946156, 'rtable_name': -0.004049992974727595, 'rtable_price': -0.03414360245639872}",mojito-d,1.7275840419999895,0.0,0.0,332-237,[0.95443999 0.04556001]
10,"{'ltable_description': -0.0014084756678287831, 'ltable_name': -0.000597457124560229, 'rtable_description': 9.868424737756837e-05, 'rtable_name': 0.0020081133451584636, 'rtable_price': -0.007364511541271925}",mojito-d,1.7884658590000981,0.0,0.0,994-732,[0.94978104 0.05021896]
11,"{'ltable_description': -0.002390461666753194, 'ltable_name': -0.010026864208465122, 'rtable_description': 0.015593832663641977, 'rtable_name': -0.0016002726834082606}",mojito-d,1.895778091000011,0.0,0.0,764-141,[0.94536239 0.05463761]
12,"{'ltable_description': -0.0014815701440130625, 'ltable_name': -0.0034127206515243394, 'rtable_description': -0.0032407287512897036, 'rtable_name': 0.0009721221211507728}",mojito-d,2.0885856109998713,0.0,0.0,615-640,[0.95001782 0.04998218]
13,"{'ltable_description': -0.0016898653960133782, 'ltable_name': -0.007035543961388981, 'rtable_name': -0.0014692952477474283, 'rtable_price': -0.008603769315383527}",mojito-d,1.7834836800000176,0.0,0.0,431-71,[0.95624626 0.04375374]
14,"{'ltable_description': -0.010497278112572162, 'ltable_id': 0.009908517508643145, 'ltable_name': 0.017549655145558913, 'rtable_description': 0.021701773845620363, 'rtable_name': 0.04621644876834255, 'rtable_price': -0.11638841936705646}",mojito-d,1.4936090260000583,0.0,0.0,805-399,[0.92270421 0.07729579]
15,"{'ltable_description': 0.0015350298316998785, 'ltable_name': -0.001164239424539052, 'rtable_description': 0.0011617605028991249, 'rtable_name': 0.0001782389155914459}",mojito-d,1.9866580919999706,0.0,0.0,987-653,[0.94453422 0.05546578]
16,"{'ltable_description': 0.014064724049222281, 'ltable_name': 0.07937942990708059, 'rtable_description': -0.012958108094639284, 'rtable_name': 0.043026760776141454, 'rtable_price': -0.2277220636512428}",mojito-d,1.9551686840000002,0.0,0.0,710-660,[0.73139188 0.26860812]
17,"{'ltable_description': -0.00014741178927232316, 'ltable_name': 0.0015738288329307404, 'rtable_description': -0.0024283098121479717, 'rtable_id': -0.00011523962030643127, 'rtable_name': -0.0014157536068210418, 'rtable_price': -0.0027155612153551435}",mojito-d,1.8859621619999416,0.0,0.0,191-301,[0.95384744 0.04615256]
18,"{'ltable_description': -0.005619058218844298, 'ltable_id': -0.0332996578963401, 'ltable_name': 0.012618931290473496, 'rtable_description': -0.0004961910144313433, 'rtable_name': 0.008033139110234337, 'rtable_price': -0.03697998157911488}",mojito-d,1.6932190210000044,0.0,0.0,169-235,[0.95420823 0.04579177]
19,"{'ltable_description': -0.0004869258802562728, 'ltable_name': 0.00032733258494768247, 'rtable_description': 0.0013984316851573717, 'rtable_name': 0.0012098641587801613, 'rtable_price': -0.008278504016943343}",mojito-d,2.1154559830001745,0.0,0.0,677-891,[0.95397738 0.04602262]
20,"{'ltable_description': -0.0004989929078043038, 'ltable_name': 0.0004771891051005817, 'rtable_description': -0.002600413442413118, 'rtable_name': 0.00011726125721549848}",mojito-d,2.0167170720001195,0.0,0.0,280-300,[0.9404835 0.0595165]
21,"{'ltable_description': -0.0005553204034212053, 'ltable_name': 0.0005036976646800246, 'rtable_name': -0.0007586881363119167, 'rtable_price': -0.0013546664598468327}",mojito-d,1.8932183040001291,0.0,0.0,523-954,[0.94621817 0.05378183]
22,"{'ltable_description': -0.011727472720511485, 'ltable_id': -0.003174775325027904, 'ltable_name': -0.006845157151058143, 'rtable_description': -0.025086586532485602}",mojito-d,2.2775907870000083,0.0,0.0,427-146,[0.93261834 0.06738166]
23,"{'ltable_description': -0.05088377234922691, 'ltable_name': 0.17119563054101328, 'rtable_description': -0.053850936449748726, 'rtable_name': 0.012972912062386939}",mojito-d,2.3162013139999544,0.0,0.0,955-194,[0.93755216 0.06244784]
24,"{'ltable_description': -0.009422129377361489, 'ltable_price': -0.12787494809237457, 'rtable_description': 0.014054267251247522, 'rtable_id': 0.04721105913371633, 'rtable_name': -0.04629692567041581}",mojito-d,1.9960305550002886,0.0,0.0,462-273,[0.95363514 0.04636486]
25,"{'ltable_description': -7.447865026230005e-05, 'ltable_name': 7.947886679537637e-06, 'rtable_description': 0.002423683117469861, 'rtable_id': -0.002373156457905721, 'rtable_name': -0.00034866275441576116}",mojito-d,2.0705001159999483,0.0,0.0,334-179,[0.93635402 0.06364598]
26,"{'ltable_description': -0.009867536132286499, 'ltable_name': -0.0018252652839532378, 'rtable_name': 0.0006777104470298792}",mojito-d,1.7251559060000545,0.0,1.0,599-545,[0.9183448 0.0816552]
27,"{'ltable_description': -0.001276496315908255, 'ltable_name': -0.0037638657751628327, 'rtable_description': -0.002757441432764291, 'rtable_id': -0.002782418327357816, 'rtable_name': -0.0019360901091136707, 'rtable_price': -0.006731127735735362}",mojito-d,2.6000834380001834,0.0,0.0,572-695,[0.95973551 0.04026449]
28,"{'ltable_description': -0.0038434311828305975, 'ltable_name': -0.004749946258086441, 'rtable_description': 0.0018974174222376574, 'rtable_name': -0.006757072944409749, 'rtable_price': -0.0038367845545340673}",mojito-d,2.4826226069999393,0.0,0.0,804-690,[0.94606173 0.05393827]
29,"{'ltable_description': -0.0010878009673779686, 'ltable_name': -0.004208551733094668, 'rtable_name': 0.03125721054661251}",mojito-d,1.9621808030001375,0.0,0.0,692-785,[0.88354815 0.11645185]
30,"{'ltable_description': 0.0005194679790010179, 'ltable_name': 0.007995279565985966, 'rtable_name': -6.340683612509083e-05, 'rtable_price': -0.016778151649167582}",mojito-d,2.1868701919997875,0.0,0.0,1044-999,[0.94998758 0.05001242]
31,"{'ltable_description': -0.0005850596245450344, 'ltable_id': -0.030508865038291547, 'ltable_name': 0.03805868735719248, 'rtable_description': -0.007787792314454357, 'rtable_name': -0.009635783290318452}",mojito-d,2.300226009999733,0.0,0.0,477-542,[0.90614869 0.09385131]
32,"{'ltable_description': 0.001103669390042756, 'ltable_name': -0.006165744555054949, 'rtable_description': 0.0008701748401706864, 'rtable_name': -0.0024576379906869105, 'rtable_price': -0.008370918590008016}",mojito-d,2.4056565820001197,0.0,0.0,853-686,[0.95079485 0.04920515]
33,"{'ltable_description': -0.0002257798392173872, 'ltable_name': -0.00010209862333910319, 'rtable_name': 0.0001797936105407105, 'rtable_price': -0.0027744581506155045}",mojito-d,1.921868579999682,0.0,0.0,684-1021,[0.94694534 0.05305466]
34,"{'ltable_description': 0.0014059081966759665, 'ltable_name': 0.10006145512682546, 'rtable_id': -0.037993146888573914, 'rtable_name': 0.05401758770012317}",mojito-d,1.8275544479993187,0.0,0.0,231-185,[0.59206349 0.40793651]
35,"{'ltable_description': 0.00680387245070251, 'ltable_id': -0.017476622587116332, 'ltable_name': -0.016459037152900095, 'ltable_price': 0.017734133851213297, 'rtable_description': -0.0012375725792745035, 'rtable_name': -0.0032562232937362453, 'rtable_price': 0.022491830683132232}",mojito-d,1.855302556999959,0.0,0.0,196-908,[0.89442344 0.10557656]
36,"{'ltable_description': -0.00021203612567248452, 'ltable_name': 1.9798283678535024e-05, 'rtable_name': 0.0005294655372102224}",mojito-d,1.994215167999755,0.0,0.0,448-909,[0.94360161 0.05639839]
37,"{'ltable_description': 0.0005606229284828271, 'ltable_id': -0.007483431327562325, 'ltable_name': 0.0020845601104658006, 'rtable_id': -0.010635086179548968, 'rtable_name': -0.009933862867471402, 'rtable_price': -0.011731361597268137}",mojito-d,1.397514766000313,0.0,0.0,793-1049,[0.95206917 0.04793083]
38,"{'ltable_description': -0.00012947644480639444, 'ltable_name': 0.0012846401162786715, 'rtable_description': -0.00037585083130321865, 'rtable_name': 0.00023055464292170855, 'rtable_price': -0.008703849446249428}",mojito-d,2.219704942000135,0.0,0.0,946-874,[0.96080398 0.03919602]
39,"{'ltable_description': 0.0001693872511161114, 'ltable_id': -0.0010956477365600499, 'ltable_name': 0.002044651712167436, 'rtable_description': 0.0006084259240653539, 'rtable_name': 0.000766878385285239, 'rtable_price': -0.0030660306980728395}",mojito-d,2.263692410000658,0.0,0.0,885-630,[0.94997148 0.05002852]
40,"{'ltable_description': -0.02045694641893588, 'ltable_id': 0.01624118897499419, 'ltable_name': -0.022768589491703916, 'rtable_name': 0.00596783034911845, 'rtable_price': -0.07623429342025041}",mojito-d,1.8246585209999466,0.0,0.0,388-917,[0.95147791 0.04852209]
41,"{'ltable_description': -0.003480771767481099, 'ltable_id': 0.015234153514900615, 'ltable_name': -0.013452125210970545, 'rtable_description': 0.011962555550432085, 'rtable_name': 0.006749441181095118}",mojito-d,1.8094467420005458,0.0,0.0,348-409,[0.92925619 0.07074381]
42,"{'ltable_description': -0.0009675374933444154, 'ltable_id': -0.0005944899235006242, 'ltable_name': -0.003324682947317911, 'rtable_description': 2.494659708439307e-05, 'rtable_name': -0.0005197837267177027}",mojito-d,1.9280952369999795,0.0,0.0,486-544,[0.94669346 0.05330654]
43,"{'ltable_description': 0.005258704664697497, 'ltable_name': -0.0025194018944658613, 'ltable_price': 0.009394055588099312, 'rtable_description': -6.64528230008227e-05, 'rtable_name': 0.0012121442226734527, 'rtable_price': -0.012106452974065481}",mojito-d,1.606267755000772,0.0,0.0,19-569,[0.90800538 0.09199462]
44,"{'ltable_description': -0.00018252247227198794, 'ltable_name': -0.0008730721451740369, 'ltable_price': 0.002442414078963185, 'rtable_description': -0.0008825164698901017}",mojito-d,2.0784664550001253,0.0,0.0,997-991,[0.95264263 0.04735737]
45,"{'ltable_description': -0.0008318067029989537, 'ltable_name': 0.003997222616644293, 'rtable_description': -0.0017848306265135453, 'rtable_id': -0.0033958962596822985, 'rtable_name': 0.0011644803415724755}",mojito-d,1.6770803780000278,0.0,0.0,1015-541,[0.9361001 0.0638999]
