,explanation,type,latency,match,label,row,prediction
0,"{'ltable_description': -0.016184296098848205, 'ltable_name': 0.02632238096247121, 'ltable_price': 0.025344726618379335, 'rtable_description': 0.04214935066054264, 'rtable_name': 0.05096161561583483, 'rtable_price': -0.18907517459740247}",shap,67.591335531,0.0,0.0,445-910,[0.90727252 0.09272748]
1,"{'ltable_description': -0.015544545618196265, 'ltable_name': 0.2625673609164855, 'ltable_price': 0.08603175299863008, 'rtable_description': -0.04228399101396413, 'rtable_name': 0.28375126067797374, 'rtable_price': 0.15510242098942373}",shap,63.462850054,0.0,0.0,719-812,[0.70041335 0.29958665]
2,"{'ltable_description': -0.00023062216676771052, 'ltable_name': -0.015081209127480788, 'ltable_price': 0.013183098756397775, 'rtable_description': -0.03347213365634284, 'rtable_name': -0.007534499542787676, 'rtable_price': -0.04509750667462747}",shap,61.52802681700001,0.0,0.0,550-664,[0.96497241 0.03502759]
3,"{'ltable_description': -0.020684234097599993, 'ltable_name': -0.04994641975934311, 'ltable_price': 0.021434445579846723, 'rtable_description': 0.005712143206348049, 'rtable_name': -0.040445189827432254, 'rtable_price': 0.0389857458708187}",shap,68.20090843700007,0.0,1.0,942-949,[0.9432392 0.0567608]
4,"{'ltable_description': 0.025691636995722855, 'ltable_name': -0.03132256000985703, 'ltable_price': -0.059777016984919745, 'rtable_description': 0.002004111739496401, 'rtable_name': -0.04198992704600098, 'rtable_price': 0.024167949054390236}",shap,66.70509538400006,0.0,0.0,643-636,[0.94806515 0.05193485]
5,"{'ltable_description': -0.00925293484081825, 'ltable_name': -0.02185328788682821, 'ltable_price': 0.013028002063433332, 'rtable_description': 0.030631857759008823, 'rtable_name': -0.009498411810646461, 'rtable_price': -0.07178106208269794}",shap,66.563758861,0.0,0.0,495-578,[0.95026321 0.04973679]
6,"{'ltable_description': -0.02372305054093403, 'ltable_name': -0.08393948324893916, 'ltable_price': 0.02487737056612971, 'rtable_description': 0.017095933729161853, 'rtable_name': -0.04156223776191474, 'rtable_price': 0.039221075101445124}",shap,59.52893180499996,0.0,0.0,994-336,[0.94859619 0.05140381]
7,"{'ltable_description': 0.06488902847717211, 'ltable_name': 0.053133507626752036, 'ltable_price': 0.06555618042747183, 'rtable_description': -0.052222272645682154, 'rtable_name': 0.057896851946910244, 'rtable_price': 0.12104534318173923}",shap,58.7490158170001,0.0,0.0,808-127,[0.9382427 0.0617573]
8,"{'ltable_description': -0.004280417927851296, 'ltable_name': -0.040151979879786595, 'ltable_price': 0.014970354482531555, 'rtable_description': 0.022107500274976113, 'rtable_name': -0.02383270292729141, 'rtable_price': -0.051224085482458256}",shap,63.64856137299989,0.0,0.0,987-980,[0.95715294 0.04284706]
9,"{'ltable_description': 0.003534559981276598, 'ltable_name': -0.022727688860148202, 'ltable_price': 0.013447763560960701, 'rtable_description': 0.021279121392716982, 'rtable_name': -0.05408564191435779, 'rtable_price': -0.04323667021468281}",shap,58.11701361600012,0.0,0.0,332-237,[0.95443999 0.04556001]
