,explanation,type,latency,match,label,row,prediction
0,"{'ltable_description': -0.020275454367443106, 'ltable_name': -0.019986646851151226, 'ltable_price': 0.0002243936573068095, 'rtable_description': -0.013521641334800136, 'rtable_name': -0.02038756939994346, 'rtable_price': 0.0007813246624282788}",shap,634.5123668839999,0.0,0.0,445-910,[9.9984872e-01 1.5123058e-04]
1,"{'ltable_description': -0.020886746421175027, 'ltable_name': -0.019227850708848592, 'ltable_price': 0.0027476938221468045, 'rtable_description': 0.0013076969614048868, 'rtable_name': -0.03547492711463325, 'rtable_price': 0.015781301795946445}",shap,637.1321515579998,0.0,0.0,719-812,[0.53993714 0.4600628 ]
2,"{'ltable_description': -0.023509270288874798, 'ltable_name': -0.01580628488459237, 'ltable_price': 0.0008901928156847105, 'rtable_description': -0.012065289953922441, 'rtable_name': -0.020385961566071878, 'rtable_price': -0.002276346685243541}",shap,638.6850771040004,0.0,0.0,550-664,[9.9980444e-01 1.9560196e-04]
3,"{'ltable_description': 0.01124744298741765, 'ltable_name': 0.011276833791314887, 'ltable_price': -0.12581933093222336, 'rtable_description': 0.004355145935425155, 'rtable_name': 0.011931143782024006, 'rtable_price': 0.02730344726166614}",shap,639.1052064570003,0.0,0.0,643-636,[9.9980193e-01 1.9807482e-04]
4,"{'ltable_description': -0.025995109062239286, 'ltable_name': -0.019464623507442123, 'ltable_price': 0.00022390478628707584, 'rtable_description': -0.00948119183821835, 'rtable_name': -0.016877497965319586, 'rtable_price': -0.001579239438283031}",shap,651.3090221419998,0.0,0.0,495-578,[9.9985921e-01 1.4081325e-04]
5,"{'ltable_description': -0.032620759230781324, 'ltable_name': -0.022630165174205717, 'ltable_price': 0.0014505289424511687, 'rtable_description': 0.0021946324243520693, 'rtable_name': -0.03345967235678593, 'rtable_price': 0.011937352888087241}",shap,639.323500853,0.0,0.0,994-336,[9.996885e-01 3.115281e-04]
6,"{'ltable_description': -0.03357352486956618, 'ltable_name': -0.0168745974098177, 'ltable_price': 0.0004204150511699159, 'rtable_description': -0.0013771805380820186, 'rtable_name': -0.03451104765921388, 'rtable_price': 0.012785817818730769}",shap,635.8123551240005,0.0,0.0,808-127,[9.9983215e-01 1.6783284e-04]
7,"{'ltable_description': -0.020132128634650158, 'ltable_name': -0.011643718249348858, 'ltable_price': 0.0007724183511260696, 'rtable_description': -0.01562078496974329, 'rtable_name': -0.020135578575102654, 'rtable_price': -0.0064066629274020515}",shap,634.5792536059998,0.0,0.0,987-980,[9.9985862e-01 1.4141311e-04]
8,"{'ltable_description': -0.024594553573255972, 'ltable_name': -0.012764473046195525, 'ltable_price': 0.00048335326674957615, 'rtable_description': -0.009576001197817579, 'rtable_name': -0.027245367769108284, 'rtable_price': 0.0005280810090432242}",shap,652.9354249040007,0.0,0.0,332-237,[9.9984252e-01 1.5741494e-04]
9,"{'ltable_description': -0.01991795073850762, 'ltable_name': -0.013184052829281425, 'ltable_price': 0.0003123398853398119, 'rtable_description': -0.015484709535225804, 'rtable_name': -0.02014168746199478, 'rtable_price': -0.004744344759596647}",shap,658.7080225870013,0.0,0.0,994-732,[9.9982244e-01 1.7763485e-04]
