,explanation,label,latency,match,prediction,row,type
0,"{'ltable_manufacturer': -0.04340723687316901, 'ltable_price': -0.026214587616816373, 'ltable_title': -0.16522218377216957, 'rtable_manufacturer': -0.002863916321910208, 'rtable_price': -0.04219007306715736, 'rtable_title': -0.19845936956457566}",0.0,1.2936346899950877,0.0,[1.0000000e+00 1.8655427e-12],393-831,shap
1,"{'ltable_manufacturer': 0.1585029592747283, 'ltable_price': 0.002108134626921873, 'ltable_title': 0.0829969966764628, 'rtable_manufacturer': 0.0444636264594222, 'rtable_price': 0.09519666285730516, 'rtable_title': 0.07382075366755969}",0.0,1.2053322970023146,1.0,[7.8950040e-07 9.9999917e-01],559-324,shap
2,"{'ltable_manufacturer': -0.07611836669497332, 'ltable_price': -0.014877062002682538, 'ltable_title': -0.1791762913637445, 'rtable_manufacturer': -0.002281619648732386, 'rtable_price': -0.01989587406511048, 'rtable_title': -0.18600815342417532}",0.0,1.260990844006301,0.0,[9.9999428e-01 5.7067973e-06],558-3023,shap
3,"{'ltable_manufacturer': 0.05061460504936737, 'ltable_price': -0.018111010110321617, 'ltable_title': -0.2523579445876424, 'rtable_manufacturer': 0.004890174763556146, 'rtable_price': -0.00400348589399413, 'rtable_title': -0.2593893318076536}",0.0,1.2359314110071864,0.0,[1.0000000e+00 1.6182013e-12],762-1618,shap
4,"{'ltable_manufacturer': 0.035499475945000664, 'ltable_price': -0.017287862561909187, 'ltable_title': -0.25175280154415836, 'rtable_manufacturer': 0.004730258842027137, 'rtable_price': -0.009629157357658291, 'rtable_title': -0.23991728053909742}",0.0,1.2032067740074126,0.0,[1.0000000e+00 1.7733135e-14],1262-2860,shap
5,"{'ltable_manufacturer': -0.06036167884593374, 'ltable_price': -0.05786154588270162, 'ltable_title': -0.1493957673728499, 'rtable_manufacturer': -0.004325936675800925, 'rtable_price': -0.03762938593588999, 'rtable_title': -0.16878305250262193}",0.0,1.1973497930011945,0.0,[1.0000000e+00 1.3142944e-08],971-2804,shap
6,"{'ltable_manufacturer': 0.023857848032144205, 'ltable_price': -0.02505561891476568, 'ltable_title': -0.20333024210194028, 'rtable_manufacturer': -0.001352231914911857, 'rtable_price': -0.03473721039940736, 'rtable_title': -0.2377399118084388}",0.0,1.1855524370039348,0.0,[1.0000000e+00 5.7535477e-08],654-1183,shap
7,"{'ltable_manufacturer': -0.038451050314409534, 'ltable_price': -0.024826830006177268, 'ltable_title': -0.20680893175624795, 'rtable_manufacturer': -0.00030707222396228473, 'rtable_price': -0.03320567923442097, 'rtable_title': -0.17475780368055183}",0.0,1.2190644459915347,0.0,[1.00000e+00 5.22755e-10],423-2847,shap
8,"{'ltable_manufacturer': -0.01573061084599653, 'ltable_price': 0.0005786091034318819, 'ltable_title': -0.1897084520813215, 'rtable_manufacturer': -0.0027581560178245937, 'rtable_price': -0.05993518829797964, 'rtable_title': -0.2108035690761078}",0.0,1.2121241620043293,0.0,[1.0000000e+00 3.3283226e-12],858-1805,shap
9,"{'ltable_manufacturer': 0.05584899089265004, 'ltable_price': -0.04286207579371254, 'ltable_title': -0.1661549330740023, 'rtable_manufacturer': 0.00586955611293534, 'rtable_price': -0.17806781281472506, 'rtable_title': -0.14544726466622032}",0.0,1.239119486999698,0.0,[0.93728477 0.06271515],722-2331,shap
10,"{'ltable_manufacturer': 0.035729073735555644, 'ltable_price': -0.021678250454170378, 'ltable_title': -0.2428277253544508, 'rtable_manufacturer': -0.0006681968692591952, 'rtable_price': -0.010867948629324053, 'rtable_title': -0.23804431956048377}",0.0,1.1923980569990817,0.0,[9.9999917e-01 8.0679666e-07],1198-3033,shap
11,"{'ltable_manufacturer': 0.0122894689506119, 'ltable_price': -0.013157500715629496, 'ltable_title': -0.21173273633395504, 'rtable_manufacturer': -0.05513525512857764, 'rtable_price': 0.00340931492973362, 'rtable_title': -0.21115635228205037}",0.0,1.1673162480001338,0.0,[9.9960417e-01 3.9582339e-04],522-1512,shap
12,"{'ltable_manufacturer': 0.014900594852809375, 'ltable_price': -0.022131152792352664, 'ltable_title': -0.20278596906096685, 'rtable_manufacturer': -0.0055061598362528275, 'rtable_price': -0.027133061569664246, 'rtable_title': -0.23570161877665552}",0.0,1.156571375002386,0.0,[9.9983573e-01 1.6426093e-04],561-1136,shap
13,"{'ltable_manufacturer': -0.0031001459052723834, 'ltable_price': -0.030446986226841347, 'ltable_title': -0.19858502935193822, 'rtable_manufacturer': 0.00182790775423914, 'rtable_price': -0.038853411138396354, 'rtable_title': -0.209199702347589}",0.0,1.1512234800029546,0.0,[1.000000e+00 3.842209e-13],606-2867,shap
14,"{'ltable_manufacturer': 0.023043212595860618, 'ltable_price': -0.03245082179972275, 'ltable_title': -0.22499641671629264, 'rtable_manufacturer': -0.0002902851424077951, 'rtable_price': -0.005416181702637662, 'rtable_title': -0.23824686197347997}",0.0,1.1589821059897076,0.0,[9.9990416e-01 9.5869291e-05],1170-861,shap
15,"{'ltable_manufacturer': 0.004246274942259001, 'ltable_price': -0.06177111925044804, 'ltable_title': -0.19706821830290164, 'rtable_manufacturer': -0.00046091869034223937, 'rtable_price': -0.012917749377904714, 'rtable_title': -0.2103854693647405}",0.0,1.1197130450018449,0.0,[9.990231e-01 9.769474e-04],614-945,shap
16,"{'ltable_manufacturer': -0.029813412318516468, 'ltable_price': -0.014859302147575672, 'ltable_title': -0.20626654555862736, 'rtable_manufacturer': -0.008246481346762577, 'rtable_price': -0.007933625361920965, 'rtable_title': -0.21123798070457483}",0.0,1.1404192070040153,0.0,[9.9985385e-01 1.4610546e-04],1241-3145,shap
17,"{'ltable_manufacturer': 0.03254321770707555, 'ltable_price': -0.044361686981930756, 'ltable_title': -0.21613569933188326, 'rtable_manufacturer': 0.004385379363277965, 'rtable_price': -0.03662449597361547, 'rtable_title': -0.21816348738762764}",0.0,1.1642871179938084,0.0,[1.0000000e+00 2.3036863e-08],1111-2755,shap
