,explanation,label,latency,match,prediction,row,type
0,"{'ltable_title': 1.1, 'ltable_manufacturer': 1.1, 'ltable_price': 1.1}",0.0,41.27945174195338,0.0,[0.97902624 0.02097376],393-831,certa
1,"{'ltable_manufacturer': 0.3157894736842105, 'ltable_price': 0.3157894736842105, 'rtable_manufacturer': 0.7894736842105263, 'rtable_price': 0.7894736842105263, 'ltable_title': 0.21052631578947367, 'rtable_title': 0.42105263157894735}",0.0,32.95290966902394,0.0,[0.91431022 0.08568978],559-324,certa
2,"{'rtable_price': 0.8529411764705882, 'ltable_price': 0.20588235294117646, 'rtable_title': 0.4411764705882353, 'rtable_manufacturer': 0.4411764705882353, 'ltable_title': 0.17647058823529413, 'ltable_manufacturer': 0.08823529411764706}",0.0,32.85735598905012,0.0,[0.84902146 0.15097854],762-1618,certa
3,"{'ltable_manufacturer': 1.1, 'ltable_price': 1.1, 'ltable_title': 1.0}",0.0,27.468615166959353,0.0,[0.97535697 0.02464303],654-1183,certa
4,"{'rtable_manufacturer': 0.15789473684210525, 'rtable_price': 0.15789473684210525, 'ltable_manufacturer': 0.9473684210526315, 'ltable_price': 0.9473684210526315, 'rtable_title': 0.10526315789473684, 'ltable_title': 0.5263157894736842}",0.0,26.18595762597397,0.0,[0.92236062 0.07763938],423-2847,certa
5,"{'ltable_manufacturer': 0.9375, 'ltable_price': 0.9375, 'ltable_title': 0.5, 'rtable_title': 0.1875, 'rtable_manufacturer': 0.1875, 'rtable_price': 0.1875}",0.0,25.330051800992806,0.0,[0.91630115 0.08369885],858-1805,certa
6,"{'ltable_manufacturer': 0.8421052631578947, 'ltable_price': 0.8421052631578947, 'rtable_manufacturer': 0.2631578947368421, 'rtable_price': 0.2631578947368421, 'ltable_title': 0.47368421052631576, 'rtable_title': 0.15789473684210525}",0.0,33.283559529983904,0.0,[0.89839457 0.10160543],722-2331,certa
7,"{'ltable_manufacturer': 1.0625, 'ltable_price': 1.0625, 'ltable_title': 0.5625}",0.0,29.730342032038607,0.0,[0.9724787 0.0275213],561-1136,certa
8,"{'ltable_title': 1.1, 'ltable_manufacturer': 1.1, 'ltable_price': 1.0}",0.0,34.25969066401012,0.0,[0.9101456 0.0898544],606-2867,certa
9,"{'rtable_title': 0.5384615384615384, 'rtable_price': 0.5384615384615384, 'ltable_title': 0.6153846153846154, 'ltable_manufacturer': 0.6153846153846154, 'ltable_price': 0.6153846153846154, 'rtable_manufacturer': 0.3076923076923077}",0.0,29.54964539798675,0.0,[0.96531648 0.03468352],1170-861,certa
10,"{'ltable_manufacturer': 0.9166666666666666, 'ltable_price': 0.9166666666666666, 'ltable_title': 0.5833333333333334, 'rtable_title': 0.25, 'rtable_manufacturer': 0.25, 'rtable_price': 0.25}",0.0,35.493628556025214,0.0,[0.96696351 0.03303649],614-945,certa
11,"{'ltable_manufacturer': 0.5, 'ltable_price': 0.5, 'rtable_manufacturer': 0.6111111111111112, 'rtable_price': 0.6111111111111112, 'ltable_title': 0.2777777777777778, 'rtable_title': 0.3333333333333333}",0.0,33.799216429993976,0.0,[0.90153041 0.09846959],1241-3145,certa
12,"{'ltable_price': 1.03125, 'ltable_title': 0.65625, 'ltable_manufacturer': 0.46875}",0.0,27.589457758003846,0.0,[0.80409175 0.19590825],1111-2755,certa
13,"{'ltable_manufacturer': 1.0769230769230769, 'ltable_price': 1.0769230769230769, 'ltable_title': 0.8461538461538461}",0.0,30.55320846097311,0.0,[0.94723492 0.05276508],270-2177,certa
14,"{'ltable_manufacturer': 0.8666666666666667, 'ltable_price': 0.8666666666666667, 'ltable_title': 0.4666666666666667, 'rtable_title': 0.26666666666666666, 'rtable_manufacturer': 0.26666666666666666, 'rtable_price': 0.26666666666666666}",0.0,31.273152153997216,0.0,[0.95371298 0.04628702],225-2837,certa
