,ltable_id,ltable_title,ltable_manufacturer,ltable_price,rtable_id,rtable_title,rtable_manufacturer,rtable_price,match
0,393,microsoft visual studio test agent 2005 cd 1 processor license,microsoft software,5099.0,831,individual software professor teaches microsoft office 2007,,29.99,0.020973756909370422
1,559,adobe dreamweaver cs3 [ mac ],adobe,399.0,324,adobe cs3 web premium,,1659.99,0.08568976074457169
2,558,instant immersion spanish 2.0,topics entertainment,29.99,3023,instant immers japanese dlx 2 .,,36.11,0.038872119039297104
3,762,i transfer dvds 2 ipod edition ( win/mac ),me-too-software,29.99,1618,ghost recon gold edition ( dvd-rom ),,20.95,0.15097852051258087
4,1262,adobe flash pro cs3 upgrade [ mac ],adobe,199.0,2860,adobe illustrator cs3 ( mac ),,599.0,0.02931438572704792
5,971,instant immersion ingles audio deluxe,topics entertainment,,2804,instant immersion spanish deluxe 2.0 topics,,39.99,0.027307633310556412
6,654,acrobat professional 8 ( windows ),adobe,273.0,1183,web easy ( r ) professional 6,,49.99,0.024643030017614365
7,423,microsoft licenses word olp c ( 05903871 ),microsoft licenses,205.73,2847,microsoft office visio standard 2007 ( pc ),,249.95,0.0776393786072731
8,858,microsoft onenote 2007 upgrade,microsoft,79.95,1805,164-04052 microsoft office publisher 2007 version upgrade package 1 pc cd win en,,88.8,0.08369885385036469
9,722,steinberg nuendo 3 digital audio software,steinberg,2499.0,2331,steinberg wavelab studio 6 audio editing software educational discount music production software,,149.95,0.10160546004772186
10,1198,quickbooks point-of-sale basic 6.0,intuit,799.95,3033,quickbooks pro 2007 3 user,,409.52,0.09654508531093597
11,522,microsoft visio standard 2007,microsoft,259.95,1512,microsoft w87-02380 office sbe 2007 win32,,400.34,0.12306519597768784
12,561,quicken 2007 basic,intuit,29.95,1136,quicken ( r ) for mac 2007,,69.99,0.02752128429710865
13,606,microsoft office 2004 professional ( mac ),microsoft,499.99,2867,microsoft onenote 2007 ( pc ),,99.95,0.089854396879673
14,1170,steinberg cubase 4 digital audio software,steinberg,999.99,861,migo software digital file shredder 2005,,24.58,0.03468351811170578
