,explanation,type,latency,match,label,row,prediction
0,"{'ltable_manufacturer': -0.03339964597035823, 'ltable_price': 0.0033569083187418684, 'ltable_title': -0.05354683072150994, 'rtable_manufacturer': -0.0030324445099879985, 'rtable_price': -0.007577224690777554, 'rtable_title': -0.014343919686973114}",shap,35.86593298400001,0.0,0.0,393-831,[0.97902624 0.02097376]
1,"{'ltable_manufacturer': -0.00463015342162303, 'ltable_price': -0.004192475833930069, 'ltable_title': -0.025722946707780168, 'rtable_manufacturer': -0.0006456113305563739, 'rtable_price': 0.01459997104015202, 'rtable_title': -0.006887742840995376}",shap,32.22069313200001,0.0,0.0,559-324,[0.91431024 0.08568976]
2,"{'ltable_manufacturer': -0.05166766027950996, 'ltable_price': -0.0018130415749425637, 'ltable_title': -0.027304497711670896, 'rtable_manufacturer': -0.0028674447345547055, 'rtable_price': -0.0005142765344741534, 'rtable_title': -0.004063662664964773}",shap,34.07956300499998,0.0,0.0,558-3023,[0.96112788 0.03887212]
3,"{'ltable_manufacturer': 0.04639468377300851, 'ltable_price': -0.038521587665192786, 'ltable_title': -0.012967785383574671, 'rtable_manufacturer': -0.0034797477234775713, 'rtable_price': -0.04779535089153802, 'rtable_title': 0.021799731262338688}",shap,34.001233910999986,0.0,0.0,762-1618,[0.84902148 0.15097852]
4,"{'ltable_manufacturer': -0.004390685320676609, 'ltable_price': 0.017404890398960565, 'ltable_title': -0.006351708816053951, 'rtable_manufacturer': -0.0013969094031490124, 'rtable_price': -0.08773362407243508, 'rtable_title': -0.016569330320538297}",shap,33.77040664599997,0.0,0.0,1262-2860,[0.97068561 0.02931439]
5,"{'ltable_manufacturer': -0.04526254416800419, 'ltable_price': -0.016210589323192824, 'ltable_title': -0.010874348401091994, 'rtable_manufacturer': -0.0028581732756768462, 'rtable_price': -0.007366434386155252, 'rtable_title': -0.007556328187386177}",shap,32.98984405699997,0.0,0.0,971-2804,[0.97269237 0.02730763]
6,"{'ltable_manufacturer': -0.0047723167439301835, 'ltable_price': -0.049715119399751234, 'ltable_title': -0.03871318638247129, 'rtable_manufacturer': -0.0009359351160625473, 'rtable_price': -0.004590254309276731, 'rtable_title': -0.005986176913138477}",shap,33.31574052499997,0.0,0.0,654-1183,[0.97535697 0.02464303]
7,"{'ltable_manufacturer': -0.029002286101691442, 'ltable_price': -0.001873627364325026, 'ltable_title': 0.007212062368169438, 'rtable_manufacturer': -0.0015746053392067484, 'rtable_price': -0.010736100401418917, 'rtable_title': 0.0004824014542003652}",shap,35.06031483000004,0.0,0.0,423-2847,[0.92236062 0.07763938]
8,"{'ltable_manufacturer': -0.0030751061776342647, 'ltable_price': -0.007626579222269354, 'ltable_title': 0.008264840433218824, 'rtable_manufacturer': -0.00038149336523686137, 'rtable_price': -0.0013420793909269132, 'rtable_title': -0.02385963978773602}",shap,36.323499851000065,0.0,0.0,858-1805,[0.91630115 0.08369885]
9,"{'ltable_manufacturer': 0.04933439901284877, 'ltable_price': -0.03102276441703243, 'ltable_title': 0.007217367288966971, 'rtable_manufacturer': 0.0011334173753857531, 'rtable_price': -0.03470664351247254, 'rtable_title': 0.0006987232354780382}",shap,34.49770989499996,0.0,0.0,722-2331,[0.89839454 0.10160546]
10,"{'ltable_manufacturer': 0.0032188965917254453, 'ltable_price': 0.003468459162861125, 'ltable_title': -0.01929924094490708, 'rtable_manufacturer': 4.883877995112305e-05, 'rtable_price': 0.016113437193756307, 'rtable_title': -0.014731368735122177}",shap,31.198825933999956,0.0,0.0,1198-3033,[0.90345491 0.09654509]
11,"{'ltable_manufacturer': -0.001410816512381046, 'ltable_price': 0.012643617399657761, 'ltable_title': -0.0009605834111571336, 'rtable_manufacturer': 0.001026809958741078, 'rtable_price': 0.024723139230161933, 'rtable_title': -0.007573215849076727}",shap,33.08159502500007,0.0,0.0,522-1512,[0.8769348 0.1230652]
12,"{'ltable_manufacturer': 0.001566868316692619, 'ltable_price': -0.03300531812322638, 'ltable_title': -0.0023574232747778055, 'rtable_manufacturer': -0.0012717221593484158, 'rtable_price': -0.06489573378115901, 'rtable_title': -0.0007052947049959873}",shap,32.89450793200001,0.0,0.0,561-1136,[0.97247872 0.02752128]
