,explanation,label,latency,match,prediction,row,type
0,"{'ltable_manufacturer': -0.0015556988969154981, 'ltable_price': -0.002008656470497257, 'ltable_title': -0.0006995343141022625, 'rtable_price': -0.0010473272161293137, 'rtable_title': -0.0010551502091508515}",0.0,15.290329208000003,0.0,[0.9962714 0.0037286],393-831,mojito-d
1,"{'ltable_id': -0.02492261403008845, 'ltable_manufacturer': 0.05129661396938369, 'ltable_price': -0.038343185938859776, 'ltable_title': -0.008131575752504758, 'rtable_price': 0.031231019399586845, 'rtable_title': -0.005238741567781905}",0.0,14.75419392799995,0.0,[0.996536   0.00346396],559-324,mojito-d
2,"{'ltable_manufacturer': -0.012074720469881922, 'ltable_price': -0.004449487251522104, 'ltable_title': -0.0014959977926869968, 'rtable_id': -0.007896371439380285, 'rtable_price': -0.007173129807470985, 'rtable_title': -0.006173691013744673}",0.0,20.09463086999949,0.0,[0.9964445  0.00355554],558-3023,mojito-d
3,"{'ltable_manufacturer': -0.00500958255399173, 'ltable_price': -0.004155517584388903, 'ltable_title': -0.002695718176502095, 'rtable_price': -0.014561898954675358, 'rtable_title': -0.005354099633375939}",0.0,21.215012541999386,0.0,[0.9962895  0.00371051],762-1618,mojito-d
4,"{'ltable_manufacturer': -0.011151195287461292, 'ltable_price': -0.007028885849956286, 'ltable_title': -0.003986887613718933, 'rtable_price': -0.004206718869935682, 'rtable_title': -0.0016199186032184148}",0.0,19.30411291100063,0.0,[0.9961647  0.00383538],1262-2860,mojito-d
5,"{'ltable_manufacturer': -0.00419495470118254, 'ltable_title': -0.003223613001891386, 'rtable_price': -0.0066286177267680995, 'rtable_title': -0.0033774903621117034}",0.0,14.663708826001312,0.0,[0.9965976  0.00340242],971-2804,mojito-d
6,"{'ltable_id': -0.005614043899765256, 'ltable_manufacturer': -0.003215610235967004, 'ltable_price': -0.004971763512967373, 'ltable_title': -0.006814254923586416, 'rtable_id': -0.0034166526470860003, 'rtable_price': -0.0034168108957611694, 'rtable_title': -0.007892156688611719}",0.0,14.352177061000475,0.0,[0.99631727 0.00368274],654-1183,mojito-d
7,"{'ltable_id': -0.0024092104697875255, 'ltable_manufacturer': -0.005244531972321144, 'ltable_title': -0.002807809380190053, 'rtable_title': -0.002629998491457491}",0.0,20.234436953000113,0.0,[0.9953674 0.0046326],423-2847,mojito-d
8,"{'ltable_id': -0.004119228631923996, 'ltable_manufacturer': -0.010335442088880716, 'ltable_title': -0.0071241439511570605, 'rtable_title': -0.005292128939096277}",0.0,14.54792390900002,0.0,[0.99594754 0.00405244],858-1805,mojito-d
9,"{'ltable_manufacturer': -0.0016015718523684243, 'ltable_price': -0.0015140225404627829, 'ltable_title': -0.0014643101939157417, 'rtable_price': -0.0014186021395344128, 'rtable_title': -0.0012607337053633983}",0.0,16.861691525000424,0.0,[0.9963104  0.00368962],722-2331,mojito-d
10,"{'ltable_id': -0.005094387072492258, 'ltable_manufacturer': -0.007013603707279113, 'ltable_price': -0.0037902752195406566, 'ltable_title': -0.004144137726492282, 'rtable_id': -0.002967599998708508, 'rtable_price': -0.003886863895436963, 'rtable_title': -0.0011902501237627218}",0.0,19.895999365000534,0.0,[0.9964406  0.00355945],1198-3033,mojito-d
11,"{'ltable_id': -0.004327973479382905, 'ltable_manufacturer': -0.0009119769146709867, 'ltable_price': -0.0035118542816585654, 'ltable_title': -0.0017193801511051834, 'rtable_price': -0.003045367086201863, 'rtable_title': -0.003444756987151383}",0.0,21.338597211000888,0.0,[0.99518317 0.0048168 ],522-1512,mojito-d
12,"{'ltable_manufacturer': -0.04543069647268995, 'ltable_price': -0.08345226583227311, 'ltable_title': 0.0005839143543320841, 'rtable_id': -0.029266750132227824, 'rtable_price': 0.08412247132776667, 'rtable_title': -0.029505156517317825}",0.0,20.365752748002706,0.0,[0.995782   0.00421802],561-1136,mojito-d
13,"{'ltable_manufacturer': -0.0069526811150217496, 'ltable_price': -0.0020686561315132563, 'ltable_title': -0.009896383582861944, 'rtable_price': 0.009662601647777639, 'rtable_title': -0.006360328154268488}",0.0,24.541410764999455,0.0,[0.9966007  0.00339929],606-2867,mojito-d
14,"{'ltable_manufacturer': -0.0031423884078812464, 'ltable_price': -0.0052860780475535146, 'ltable_title': -0.003195662705724076, 'rtable_id': -0.0013360994769871476, 'rtable_price': -0.001583102894486332, 'rtable_title': -0.0018119684587194838}",0.0,25.14061412400042,0.0,[0.9960075  0.00399251],1170-861,mojito-d
15,"{'ltable_manufacturer': 0.026365751978410283, 'ltable_title': -0.01567140480883909, 'rtable_id': 0.012880726834857092, 'rtable_price': 0.01790920781819267, 'rtable_title': -0.021215150454962375}",0.0,17.76730874200075,0.0,[0.9955923  0.00440766],614-945,mojito-d
16,"{'ltable_manufacturer': -0.003130211771143858, 'ltable_price': -0.00425862343682347, 'ltable_title': -0.0024724297295421914, 'rtable_id': -0.002125410883942249, 'rtable_price': -0.00036104329849317757, 'rtable_title': -0.001325802225360809}",0.0,20.11766510400048,0.0,[0.9946791 0.0053209],1241-3145,mojito-d
17,"{'ltable_id': -0.020589516621167255, 'ltable_manufacturer': -0.006995012434026705, 'ltable_price': -0.008049239692836154, 'ltable_title': -0.011476151517795963, 'rtable_id': -0.014889185373476263, 'rtable_manufacturer': -0.0073510608435036935, 'rtable_title': -0.012796071867460557}",0.0,15.556362831001024,0.0,[0.99472153 0.00527842],1111-2755,mojito-d
18,"{'ltable_id': -0.05184614981889671, 'ltable_manufacturer': 0.03184884413404629, 'ltable_title': 0.005112146140216439, 'rtable_price': 0.0341743104079384, 'rtable_title': -0.015037322785337766}",0.0,25.234233429000597,0.0,[0.995631   0.00436903],270-2177,mojito-d
19,"{'ltable_id': -0.003970480314565646, 'ltable_price': -0.011147536564596335, 'ltable_title': -0.007922140614169385, 'rtable_title': -0.007653198895190837}",0.0,17.784771153001202,0.0,[0.9959772  0.00402278],225-2837,mojito-d
20,"{'ltable_manufacturer': -0.004148766178937267, 'ltable_price': -0.0038803570265437165, 'ltable_title': -0.00218669462680355, 'rtable_price': -0.0023921397918075862, 'rtable_title': -0.002475594363036876}",0.0,15.533867371999804,0.0,[0.99641633 0.00358366],597-242,mojito-d
21,"{'ltable_manufacturer': -0.01964285194859718, 'ltable_title': -0.019950932407332235, 'rtable_id': 0.04865897270068898, 'rtable_price': 0.007309498013082835, 'rtable_title': 0.016565476036520612}",0.0,16.073929714999394,0.0,[0.99355185 0.00644812],661-946,mojito-d
22,"{'ltable_manufacturer': -0.004885711357287233, 'ltable_price': -0.0064639443070008355, 'ltable_title': -0.005311390440608386, 'rtable_id': -0.0033357291225955634, 'rtable_price': -0.0033546032756796122, 'rtable_title': -0.003309401346949473}",0.0,16.444396245999087,0.0,[0.9966072  0.00339279],705-2054,mojito-d
23,"{'ltable_id': -0.010135795782267726, 'ltable_manufacturer': -0.0085381163817108, 'ltable_title': -0.005212652731898745, 'rtable_price': -0.019758536248697268, 'rtable_title': -0.00743187549969465}",0.0,15.879438033000042,0.0,[0.9962023  0.00379775],606-1485,mojito-d
