,explanation,label,latency,match,prediction,row,type
0,"{'rtable_Beer_Name': 0.08625, 'rtable_Brew_Factory_Name': 0.085, 'rtable_Style': 0.06875, 'rtable_ABV': 0.07875, 'ltable_Beer_Name': 0.00875, 'ltable_Brew_Factory_Name': 0.00875, 'ltable_Style': 0.00875, 'ltable_ABV': 0.005}",0.0,234.63975455996115,0.0,[9.9999368e-01 6.3090547e-06],1219-2470,certa
1,"{'rtable_Beer_Name': 0.16375, 'rtable_Brew_Factory_Name': 0.15875, 'rtable_Style': 0.16375, 'rtable_ABV': 0.08, 'ltable_Beer_Name': 0.02625, 'ltable_Brew_Factory_Name': 0.02625, 'ltable_Style': 0.02625, 'ltable_ABV': 0.01625}",0.0,230.44024132599588,0.0,[9.999310e-01 6.897796e-05],492-1635,certa
2,"{'rtable_Beer_Name': 0.27375, 'rtable_Brew_Factory_Name': 0.23625, 'rtable_Style': 0.2, 'rtable_ABV': 0.11, 'ltable_Beer_Name': 0.0325, 'ltable_Brew_Factory_Name': 0.0425, 'ltable_Style': 0.0425, 'ltable_ABV': 0.02375}",1.0,219.8594929910032,0.0,[0.98734844 0.01265157],3917-2224,certa
3,"{'ltable_Beer_Name': 0.23, 'ltable_Brew_Factory_Name': 0.1325, 'ltable_Style': 0.23, 'ltable_ABV': 0.1325, 'rtable_Beer_Name': 0.075, 'rtable_Brew_Factory_Name': 0.07375, 'rtable_Style': 0.075, 'rtable_ABV': 0.04375}",0.0,222.32068522303598,0.0,[9.9990857e-01 9.1479167e-05],2155-2948,certa
4,"{'rtable_Beer_Name': 0.18875, 'rtable_Brew_Factory_Name': 0.18625, 'rtable_ABV': 0.10125, 'rtable_Style': 0.06125, 'ltable_Beer_Name': 0.01125, 'ltable_Brew_Factory_Name': 0.01125, 'ltable_Style': 0.01125, 'ltable_ABV': 0.00875}",1.0,235.82333811098943,0.0,[0.9979467 0.0020533],271-1410,certa
5,"{'rtable_Beer_Name': 0.33625, 'rtable_Brew_Factory_Name': 0.33625, 'rtable_Style': 0.1825, 'rtable_ABV': 0.1725, 'ltable_Beer_Name': 0.0225, 'ltable_Brew_Factory_Name': 0.01875, 'ltable_Style': 0.0225, 'ltable_ABV': 0.02125}",0.0,14.340775126009248,0.0,[9.99985337e-01 1.46293605e-05],3309-716,certa
6,"{'rtable_Beer_Name': 0.3140625, 'rtable_Brew_Factory_Name': 0.2890625, 'rtable_Style': 0.1390625, 'rtable_ABV': 0.1484375, 'ltable_Beer_Name': 0.0296875, 'ltable_Brew_Factory_Name': 0.0296875, 'ltable_Style': 0.0296875, 'ltable_ABV': 0.0265625}",0.0,252.53704456600826,0.0,[9.9997401e-01 2.6033513e-05],1024-37,certa
7,"{'rtable_Brew_Factory_Name': 0.18, 'rtable_Style': 0.155, 'rtable_ABV': 0.085, 'rtable_Beer_Name': 0.15625, 'ltable_Beer_Name': 0.0225, 'ltable_Brew_Factory_Name': 0.02, 'ltable_Style': 0.0225, 'ltable_ABV': 0.01875}",1.0,224.84906869998667,0.0,[9.9950445e-01 4.9550709e-04],1780-685,certa
8,"{'rtable_Beer_Name': 0.10625, 'rtable_Brew_Factory_Name': 0.10625, 'rtable_Style': 0.08875, 'rtable_ABV': 0.04875, 'ltable_Beer_Name': 0.005, 'ltable_Brew_Factory_Name': 0.005, 'ltable_Style': 0.005, 'ltable_ABV': 0.005}",0.0,225.89847457199357,0.0,[9.9914789e-01 8.5204194e-04],1479-1563,certa
9,"{'rtable_Beer_Name': 0.07375, 'rtable_Brew_Factory_Name': 0.065, 'rtable_Style': 0.07375, 'rtable_ABV': 0.02875, 'ltable_Beer_Name': 0.09625, 'ltable_Brew_Factory_Name': 0.09625, 'ltable_Style': 0.09625, 'ltable_ABV': 0.0575}",0.0,14.95944711798802,0.0,[9.9999046e-01 9.4993766e-06],2026-1679,certa
