,explanation,label,latency,match,prediction,row,type
0,"{'ltable_ABV': 2.183030445200088e-15, 'ltable_Beer_Name': -3.10662187372294e-16, 'ltable_Brew_Factory_Name': 5.168497567837556e-16, 'ltable_Style': -4.5661403474012765e-17, 'ltable_id': 2.672596371079766e-16, 'rtable_ABV': -1.2047022932838228e-14, 'rtable_Beer_Name': 1.2956703952887032e-16, 'rtable_Brew_Factory_Name': 6.567577619515194e-16, 'rtable_Style': 2.3805452173189202e-15, 'rtable_id': -3.002866842425064e-15}",0.0,1.0729931370005943,0.0,[9.9999368e-01 6.3090547e-06],1219-2470,mojito-c
1,"{'ltable_ABV': -1.5648746522834112e-13, 'ltable_Beer_Name': 6.412232681796188e-13, 'ltable_Brew_Factory_Name': -3.028949004849195e-13, 'ltable_Style': -2.7503100753052483e-13, 'ltable_id': 1.9283453963504667e-12, 'rtable_ABV': -6.540413019287815e-13, 'rtable_Beer_Name': 3.778804801215062e-13, 'rtable_Brew_Factory_Name': -8.412070742538571e-14, 'rtable_Style': -5.570026650987931e-13, 'rtable_id': 7.781114498162824e-13}",0.0,1.029452588991262,0.0,[9.999310e-01 6.897796e-05],492-1635,mojito-c
2,"{'ltable_ABV': 4.572681494870268e-13, 'ltable_Beer_Name': -6.388065218710437e-13, 'ltable_Brew_Factory_Name': 1.3912520362856869e-12, 'ltable_Style': 2.3745973832410644e-12, 'ltable_id': 1.7661371721460391e-13, 'rtable_ABV': -1.2161837635391095e-13, 'rtable_Beer_Name': 1.4524304439852191e-12, 'rtable_Brew_Factory_Name': -3.736260222515698e-12, 'rtable_Style': -2.5118802272365212e-12, 'rtable_id': 7.310505179185946e-12}",1.0,1.0566835600184277,0.0,[0.98734844 0.01265157],3917-2224,mojito-c
3,"{'ltable_ABV': 4.014289820635805e-37, 'ltable_Beer_Name': 6.898656963414942e-37, 'ltable_Brew_Factory_Name': -8.347166176590786e-37, 'ltable_Style': -5.841861736610431e-37, 'ltable_id': 6.924290612579592e-36, 'rtable_ABV': -2.8361353778309886e-36, 'rtable_Beer_Name': -2.3016151213165597e-37, 'rtable_Brew_Factory_Name': -8.050506335499302e-37, 'rtable_Style': -1.0250849410244257e-38, 'rtable_id': 3.937320854158846e-37}",0.0,1.0047964570112526,0.0,[9.9990857e-01 9.1479167e-05],2155-2948,mojito-c
4,"{'ltable_ABV': -3.7415067347843006e-11, 'ltable_Beer_Name': 5.68318053531456e-11, 'ltable_Brew_Factory_Name': -1.580926443049639e-11, 'ltable_Style': 1.4297618172731747e-11, 'ltable_id': 8.494899754675761e-11, 'rtable_ABV': -6.811159515082172e-11, 'rtable_Beer_Name': 7.389618938176966e-13, 'rtable_Brew_Factory_Name': -5.6543100726156386e-12, 'rtable_Style': -9.001763320260626e-11, 'rtable_id': 2.343024201751394e-11}",1.0,1.0214539089938626,0.0,[0.9979467 0.0020533],271-1410,mojito-c
5,"{'ltable_ABV': 1.946222215699722e-15, 'ltable_Beer_Name': 2.181189043776503e-14, 'ltable_Brew_Factory_Name': -1.4665258548665818e-14, 'ltable_Style': 2.4010090857475998e-14, 'ltable_id': -1.5005622179420818e-14, 'rtable_ABV': 6.946272875970297e-14, 'rtable_Beer_Name': 2.5717615753813873e-15, 'rtable_Brew_Factory_Name': -1.995286443320641e-14, 'rtable_Style': -1.227930381213493e-13, 'rtable_id': 4.726107810067576e-14}",0.0,1.0028913200367242,0.0,[9.99985337e-01 1.46293605e-05],3309-716,mojito-c
6,"{'ltable_ABV': 1.5950975879250621e-12, 'ltable_Beer_Name': 1.703537141467347e-12, 'ltable_Brew_Factory_Name': 2.0149552730679907e-12, 'ltable_Style': 1.511115238475373e-13, 'ltable_id': -2.0824706813913335e-12, 'rtable_ABV': -3.512200748655762e-12, 'rtable_Beer_Name': 5.504870721616114e-14, 'rtable_Brew_Factory_Name': -1.5082379994916774e-12, 'rtable_Style': -4.689479068789341e-13, 'rtable_id': 3.556612790957458e-12}",0.0,1.1799815040430985,0.0,[9.9997401e-01 2.6033513e-05],1024-37,mojito-c
7,"{'ltable_ABV': -3.039509587279432e-13, 'ltable_Beer_Name': 1.5287909493387762e-13, 'ltable_Brew_Factory_Name': -4.04636377732337e-13, 'ltable_Style': 9.370281853867858e-14, 'ltable_id': -1.571078093931027e-13, 'rtable_ABV': 1.4227833709471045e-13, 'rtable_Beer_Name': 2.7661937921628486e-13, 'rtable_Brew_Factory_Name': 1.1063515781280541e-13, 'rtable_Style': -8.131529479202092e-13, 'rtable_id': 2.3277454448749445e-13}",1.0,0.9585680410382338,0.0,[9.9950445e-01 4.9550709e-04],1780-685,mojito-c
8,"{'ltable_ABV': 8.070876781387927e-12, 'ltable_Beer_Name': 1.7362476808136341e-13, 'ltable_Brew_Factory_Name': 6.597272273538642e-13, 'ltable_Style': 7.379792823926391e-13, 'ltable_id': 5.0403894806245065e-12, 'rtable_ABV': -7.719374965245558e-13, 'rtable_Beer_Name': -1.1634300263413406e-12, 'rtable_Brew_Factory_Name': -1.9844742299686756e-12, 'rtable_Style': -3.3986702505665386e-12, 'rtable_id': 3.4424370425778945e-12}",0.0,1.0920614450005814,0.0,[9.9914789e-01 8.5204194e-04],1479-1563,mojito-c
9,"{'ltable_ABV': 2.541717128897326e-14, 'ltable_Beer_Name': 1.6900051575510935e-13, 'ltable_Brew_Factory_Name': -4.939026248323083e-14, 'ltable_Style': 9.02075708440199e-14, 'ltable_id': -3.840686428376392e-13, 'rtable_ABV': -1.4427790266860004e-13, 'rtable_Beer_Name': -1.096847570795788e-13, 'rtable_Brew_Factory_Name': 1.0301512929581235e-14, 'rtable_Style': 1.176646263449601e-13, 'rtable_id': -5.493130826058659e-13}",0.0,0.9458364360034466,0.0,[9.9999046e-01 9.4993766e-06],2026-1679,mojito-c
