,explanation,label,latency,match,prediction,row,type
0,"{'ltable_ABV': -0.03995376674612962, 'ltable_Beer_Name': -0.03555349428899257, 'ltable_Style': -0.028283324992835295, 'ltable_id': -0.05656406242249571, 'rtable_Beer_Name': -0.03459361214113947, 'rtable_Brew_Factory_Name': -0.037943270892418404, 'rtable_Style': -0.023485309605582528}",0.0,0.6858722039614804,0.0,[9.9999368e-01 6.3090547e-06],1219-2470,mojito-d
1,"{'ltable_Beer_Name': -0.025746071578153364, 'ltable_Brew_Factory_Name': -0.030597332951260364, 'ltable_Style': -0.05876155571851629, 'rtable_Beer_Name': -0.06285985333216264, 'rtable_Brew_Factory_Name': -0.024103379739364425, 'rtable_Style': -0.04575287960798598}",0.0,0.6477884940104559,0.0,[9.999310e-01 6.897796e-05],492-1635,mojito-d
2,"{'ltable_ABV': -0.060769107732434303, 'ltable_Beer_Name': -0.0713989992052582, 'ltable_Brew_Factory_Name': -0.042751298263753644, 'ltable_Style': -0.09404774121254961, 'rtable_ABV': -0.027057480880966545, 'rtable_Beer_Name': -0.06163193855326054, 'rtable_Brew_Factory_Name': -0.0510803928570861, 'rtable_Style': -0.0930598056390271}",1.0,0.6992609690059908,0.0,[0.98734844 0.01265157],3917-2224,mojito-d
3,"{'ltable_ABV': -0.033642721013313746, 'ltable_Beer_Name': -0.03704801725047092, 'ltable_Brew_Factory_Name': -0.0658126283402804, 'ltable_Style': -0.0623962785941306, 'rtable_Beer_Name': -0.06023962622434906, 'rtable_Brew_Factory_Name': -0.047691604454497674, 'rtable_Style': -0.007766140925793451}",0.0,0.7063055830076337,0.0,[9.9990857e-01 9.1479167e-05],2155-2948,mojito-d
4,"{'ltable_ABV': -0.05995714512457688, 'ltable_Beer_Name': -0.05301128368357051, 'ltable_Brew_Factory_Name': 0.10199033502122518, 'ltable_Style': -0.06915125482212685, 'rtable_ABV': 0.08813353240780646, 'rtable_Beer_Name': -0.08203247966053029, 'rtable_Brew_Factory_Name': -0.061982130347723145, 'rtable_id': -0.12445924436252793}",1.0,0.6973049369989894,0.0,[0.9979467 0.0020533],271-1410,mojito-d
5,"{'ltable_ABV': -0.054696558983454914, 'ltable_Beer_Name': -0.02092262131003017, 'ltable_Brew_Factory_Name': -0.022464501955172845, 'ltable_Style': -0.0670571032260514, 'rtable_ABV': -0.027370486740254114, 'rtable_Beer_Name': -0.024599184687030515, 'rtable_Brew_Factory_Name': -0.01087661335997764, 'rtable_Style': -0.038246985703018925}",0.0,0.7147886229795404,0.0,[9.99985337e-01 1.46293605e-05],3309-716,mojito-d
6,"{'ltable_ABV': -0.026397328455027704, 'ltable_Beer_Name': -0.09797362161758455, 'ltable_Style': -0.04262966260926973, 'ltable_id': -0.05025166603105544, 'rtable_Beer_Name': -0.04439330293324504, 'rtable_Brew_Factory_Name': -0.023438167945311627, 'rtable_id': -0.06707809682809326}",0.0,0.732801373989787,0.0,[9.9997401e-01 2.6033513e-05],1024-37,mojito-d
7,"{'ltable_ABV': -0.06329726017324466, 'ltable_Beer_Name': -0.041099142531739574, 'ltable_Style': -0.05862804075885701, 'rtable_ABV': -0.05391056642169992, 'rtable_Beer_Name': -0.03592503057245329, 'rtable_Brew_Factory_Name': -0.05154317060522945, 'rtable_Style': -0.07492169026043509}",1.0,0.6768464419874363,0.0,[9.9950445e-01 4.9550709e-04],1780-685,mojito-d
8,"{'ltable_ABV': -0.055252796023749426, 'ltable_Beer_Name': -0.04759213075526404, 'ltable_Brew_Factory_Name': -0.07397173391776755, 'ltable_Style': -0.05461244666577149, 'rtable_ABV': -0.04130188027602593, 'rtable_Beer_Name': -0.020317341762186667, 'rtable_Brew_Factory_Name': -0.03419207216930392}",0.0,0.6950980999972671,0.0,[9.9914789e-01 8.5204194e-04],1479-1563,mojito-d
9,"{'ltable_Brew_Factory_Name': -0.0358952733953376, 'ltable_Style': -0.0713972580285838, 'ltable_id': -0.02486254364122082, 'rtable_Beer_Name': -0.034005987361993374, 'rtable_Brew_Factory_Name': -0.052425968358378976, 'rtable_Style': -0.08853922041347995}",0.0,0.6458272549789399,0.0,[9.9999046e-01 9.4993766e-06],2026-1679,mojito-d
