,explanation,label,latency,match,prediction,row,type
0,"{'rtable_Beer_Name': 0.625, 'rtable_Brew_Factory_Name': 0.3333333333333333, 'rtable_Style': 0.2916666666666667, 'rtable_ABV': 0.375, 'ltable_Beer_Name': 0.375, 'ltable_Brew_Factory_Name': 0.20833333333333334, 'ltable_Style': 0.20833333333333334, 'ltable_ABV': 0.20833333333333334}",0.0,52.67562989400176,0.0,[0.95083931 0.04916069],1219-2470,certa
1,"{'ltable_Beer_Name': 0.6125, 'ltable_ABV': 0.5125, 'ltable_Brew_Factory_Name': 0.3125, 'ltable_Style': 0.3125}",0.0,64.90538900101092,0.0,[0.97472429 0.02527571],492-1635,certa
2,"{'ltable_ABV': 0.6125, 'ltable_Beer_Name': 0.4375, 'ltable_Brew_Factory_Name': 0.3875, 'ltable_Style': 0.375, 'rtable_Beer_Name': 0.3625, 'rtable_ABV': 0.4125, 'rtable_Brew_Factory_Name': 0.2875, 'rtable_Style': 0.3}",1.0,15.615124967007432,1.0,[0.32662547 0.67337453],3917-2224,certa
3,"{'ltable_Beer_Name': 0.1625, 'ltable_Brew_Factory_Name': 0.1125, 'ltable_ABV': 0.1125, 'ltable_Style': 0.0875, 'rtable_Beer_Name': 0.325, 'rtable_Brew_Factory_Name': 0.175, 'rtable_ABV': 0.2125, 'rtable_Style': 0.1625}",0.0,50.83724573100335,0.0,[0.94583111 0.05416889],2155-2948,certa
4,"{'ltable_Beer_Name': 0.3875, 'ltable_ABV': 0.5125, 'ltable_Brew_Factory_Name': 0.3625, 'ltable_Style': 0.3375, 'rtable_Beer_Name': 0.3625, 'rtable_ABV': 0.5125, 'rtable_Brew_Factory_Name': 0.3625, 'rtable_Style': 0.3625}",1.0,18.441046919993823,1.0,[0.43512607 0.56487393],271-1410,certa
5,"{'rtable_Beer_Name': 0.625, 'rtable_ABV': 0.4875, 'rtable_Brew_Factory_Name': 0.3625, 'rtable_Style': 0.3125}",0.0,10.194246368002496,0.0,[0.93457627 0.06542373],3309-716,certa
6,"{'rtable_Beer_Name': 0.875, 'rtable_Brew_Factory_Name': 0.4625, 'rtable_Style': 0.425, 'rtable_ABV': 0.4625, 'ltable_Beer_Name': 0.1125, 'ltable_Brew_Factory_Name': 0.0625, 'ltable_Style': 0.0625, 'ltable_ABV': 0.0625}",0.0,51.44560116600769,0.0,[0.86623779 0.13376221],1024-37,certa
7,"{'ltable_ABV': 0.6625, 'ltable_Brew_Factory_Name': 0.6125, 'ltable_Style': 0.5125, 'ltable_Beer_Name': 0.5125, 'rtable_Beer_Name': 0.3125, 'rtable_ABV': 0.3125, 'rtable_Brew_Factory_Name': 0.275, 'rtable_Style': 0.2625}",1.0,17.59034155300469,1.0,[0.47422367 0.52577633],1780-685,certa
8,"{'ltable_Beer_Name': 0.4875, 'ltable_Brew_Factory_Name': 0.2625, 'ltable_ABV': 0.4375, 'ltable_Style': 0.25, 'rtable_Beer_Name': 0.0625, 'rtable_Brew_Factory_Name': 0.0625, 'rtable_Style': 0.0375, 'rtable_ABV': 0.0375}",0.0,12.3165611759905,0.0,[0.93117938 0.06882062],1479-1563,certa
9,"{'ltable_Beer_Name': 0.5625, 'ltable_Brew_Factory_Name': 0.3125, 'ltable_Style': 0.3125, 'ltable_ABV': 0.3125}",0.0,57.09796443099913,0.0,[0.97688688 0.02311312],2026-1679,certa
10,"{'rtable_Beer_Name': 0.825, 'rtable_Brew_Factory_Name': 0.425, 'rtable_Style': 0.425, 'rtable_ABV': 0.525}",0.0,54.33722255600151,0.0,[0.96664614 0.03335386],2155-1261,certa
11,"{'ltable_Beer_Name': 0.6625, 'ltable_ABV': 0.5125, 'ltable_Brew_Factory_Name': 0.3375, 'ltable_Style': 0.3375}",0.0,11.832029837009031,0.0,[0.93961966 0.06038034],525-433,certa
12,"{'rtable_Beer_Name': 0.7083333333333334, 'rtable_Brew_Factory_Name': 0.375, 'rtable_Style': 0.375, 'rtable_ABV': 0.375, 'ltable_Beer_Name': 0.375, 'ltable_Brew_Factory_Name': 0.20833333333333334, 'ltable_Style': 0.20833333333333334, 'ltable_ABV': 0.20833333333333334}",0.0,50.611658926005475,0.0,[0.97194492 0.02805508],3-641,certa
13,"{'ltable_Beer_Name': 0.3, 'ltable_Brew_Factory_Name': 0.15, 'ltable_Style': 0.1625, 'ltable_ABV': 0.1625, 'rtable_Beer_Name': 0.425, 'rtable_ABV': 0.325, 'rtable_Brew_Factory_Name': 0.2375, 'rtable_Style': 0.2}",0.0,53.797956298993086,0.0,[0.85489094 0.14510906],4068-2374,certa
14,"{'ltable_Beer_Name': 0.2361111111111111, 'ltable_ABV': 0.18055555555555555, 'ltable_Brew_Factory_Name': 0.125, 'ltable_Style': 0.125, 'rtable_Beer_Name': 0.4027777777777778, 'rtable_Brew_Factory_Name': 0.20833333333333334, 'rtable_Style': 0.20833333333333334, 'rtable_ABV': 0.2361111111111111}",0.0,51.17154228199797,0.0,[0.93924858 0.06075142],4203-2425,certa
15,"{'rtable_Beer_Name': 0.30357142857142855, 'rtable_Brew_Factory_Name': 0.16071428571428573, 'rtable_Style': 0.16071428571428573, 'rtable_ABV': 0.23214285714285715, 'ltable_Beer_Name': 0.16071428571428573, 'ltable_Brew_Factory_Name': 0.08928571428571429, 'ltable_Style': 0.08928571428571429, 'ltable_ABV': 0.08928571428571429}",0.0,51.713680114989984,0.0,[0.92593672 0.07406328],2572-221,certa
16,"{'rtable_Beer_Name': 0.3125, 'rtable_Brew_Factory_Name': 0.1875, 'rtable_ABV': 0.2375, 'rtable_Style': 0.2, 'ltable_Beer_Name': 0.1875, 'ltable_Brew_Factory_Name': 0.1125, 'ltable_Style': 0.1, 'ltable_ABV': 0.0875}",0.0,62.50964522900176,0.0,[0.94599519 0.05400481],309-2621,certa
17,"{'ltable_Beer_Name': 0.4125, 'ltable_Brew_Factory_Name': 0.2375, 'ltable_Style': 0.2125, 'ltable_ABV': 0.1625, 'rtable_Beer_Name': 0.3625, 'rtable_Brew_Factory_Name': 0.2, 'rtable_Style': 0.175, 'rtable_ABV': 0.2625}",0.0,74.83237176100374,0.0,[0.94346379 0.05653621],309-418,certa
18,"{'rtable_Beer_Name': 0.6125, 'rtable_Brew_Factory_Name': 0.3125, 'rtable_Style': 0.3125, 'rtable_ABV': 0.4625}",0.0,56.41921537199232,0.0,[0.85893558 0.14106442],200-559,certa
