,explanation,label,latency,match,prediction,row,type
0,"{'rtable_Brew_Factory_Name': 0.5516304347826086, 'rtable_ABV': 0.41032608695652173, 'rtable_Beer_Name': 0.39945652173913043, 'rtable_Style': 0.33152173913043476, 'ltable_Beer_Name': 0.03804347826086957, 'ltable_Brew_Factory_Name': 0.029891304347826088, 'ltable_Style': 0.021739130434782608, 'ltable_ABV': 0.024456521739130436}",0.0,49.347239064984024,0.0,[0.91869693 0.08130307],1219-2470,certa
1,"{'rtable_Beer_Name': 0.37103174603174605, 'rtable_Brew_Factory_Name': 0.28174603174603174, 'rtable_ABV': 0.30158730158730157, 'rtable_Style': 0.23214285714285715, 'ltable_Brew_Factory_Name': 0.06944444444444445, 'ltable_ABV': 0.10515873015873016, 'ltable_Beer_Name': 0.11706349206349206, 'ltable_Style': 0.06349206349206349}",0.0,65.82114287099103,0.0,[0.97184506 0.02815494],492-1635,certa
2,"{'ltable_Brew_Factory_Name': 0.215, 'ltable_ABV': 0.305, 'ltable_Beer_Name': 0.38125, 'ltable_Style': 0.215, 'rtable_Beer_Name': 0.3925, 'rtable_Brew_Factory_Name': 0.2625, 'rtable_Style': 0.24125, 'rtable_ABV': 0.34125}",1.0,146.92270225303946,1.0,[0.10214567 0.89785433],3917-2224,certa
3,"{'ltable_ABV': 0.24330357142857142, 'ltable_Beer_Name': 0.12723214285714285, 'ltable_Brew_Factory_Name': 0.13616071428571427, 'ltable_Style': 0.12723214285714285, 'rtable_Beer_Name': 0.375, 'rtable_Brew_Factory_Name': 0.3794642857142857, 'rtable_ABV': 0.38169642857142855, 'rtable_Style': 0.328125}",0.0,54.80717805499444,0.0,[0.88006341 0.11993659],2155-2948,certa
4,"{'ltable_Beer_Name': 0.47375, 'ltable_Brew_Factory_Name': 0.40625, 'ltable_ABV': 0.40375, 'ltable_Style': 0.305, 'rtable_Beer_Name': 0.30375, 'rtable_ABV': 0.295, 'rtable_Brew_Factory_Name': 0.28625, 'rtable_Style': 0.20125}",1.0,139.40333696705056,1.0,[0.05585104 0.94414896],271-1410,certa
5,"{'rtable_Beer_Name': 0.33984375, 'rtable_Brew_Factory_Name': 0.267578125, 'rtable_ABV': 0.259765625, 'rtable_Style': 0.20703125, 'ltable_Beer_Name': 0.009765625, 'ltable_Brew_Factory_Name': 0.009765625, 'ltable_ABV': 0.009765625, 'ltable_Style': 0.005859375}",0.0,65.19682495598681,0.0,[0.98690173 0.01309827],3309-716,certa
6,"{'rtable_Beer_Name': 0.5461956521739131, 'rtable_Brew_Factory_Name': 0.5027173913043478, 'rtable_Style': 0.43478260869565216, 'rtable_ABV': 0.483695652173913, 'ltable_Beer_Name': 0.08967391304347826, 'ltable_Brew_Factory_Name': 0.11413043478260869, 'ltable_Style': 0.10054347826086957, 'ltable_ABV': 0.16032608695652173}",0.0,52.42772455996601,0.0,[0.62081394 0.37918606],1024-37,certa
7,"{'ltable_Beer_Name': 0.40375, 'ltable_Brew_Factory_Name': 0.335, 'ltable_ABV': 0.345, 'ltable_Style': 0.24875, 'rtable_Beer_Name': 0.29, 'rtable_Brew_Factory_Name': 0.155, 'rtable_Style': 0.1475, 'rtable_ABV': 0.1775}",1.0,150.29625327396207,1.0,[0.05496001 0.94503999],1780-685,certa
8,"{'rtable_Beer_Name': 0.35294117647058826, 'rtable_Brew_Factory_Name': 0.2769607843137255, 'rtable_ABV': 0.2769607843137255, 'rtable_Style': 0.22058823529411764, 'ltable_Brew_Factory_Name': 0.051470588235294115, 'ltable_ABV': 0.051470588235294115, 'ltable_Beer_Name': 0.07107843137254902, 'ltable_Style': 0.041666666666666664}",0.0,68.84975330199813,0.0,[0.92241275 0.07758725],1479-1563,certa
9,"{'rtable_Beer_Name': 0.28921568627450983, 'rtable_ABV': 0.3946078431372549, 'rtable_Brew_Factory_Name': 0.28921568627450983, 'rtable_Style': 0.22058823529411764, 'ltable_Beer_Name': 0.0196078431372549, 'ltable_Brew_Factory_Name': 0.012254901960784314, 'ltable_Style': 0.012254901960784314, 'ltable_ABV': 0.012254901960784314}",0.0,57.63198811101029,0.0,[0.97732948 0.02267052],2026-1679,certa
10,"{'rtable_Beer_Name': 0.44680851063829785, 'rtable_Brew_Factory_Name': 0.3404255319148936, 'rtable_Style': 0.32978723404255317, 'rtable_ABV': 0.3882978723404255, 'ltable_Beer_Name': 0.015957446808510637, 'ltable_Brew_Factory_Name': 0.007978723404255319, 'ltable_Style': 0.010638297872340425, 'ltable_ABV': 0.005319148936170213}",0.0,54.09694675600622,0.0,[0.93470398 0.06529602],2155-1261,certa
11,"{'ltable_Brew_Factory_Name': 0.1892361111111111, 'ltable_ABV': 0.203125, 'ltable_Beer_Name': 0.1753472222222222, 'ltable_Style': 0.1232638888888889, 'rtable_Beer_Name': 0.2864583333333333, 'rtable_ABV': 0.296875, 'rtable_Brew_Factory_Name': 0.2829861111111111, 'rtable_Style': 0.1909722222222222}",0.0,103.63682443799917,0.0,[0.9566625 0.0433375],525-433,certa
12,"{'ltable_Beer_Name': 0.0275, 'ltable_Brew_Factory_Name': 0.0225, 'ltable_ABV': 0.0225, 'ltable_Style': 0.015, 'rtable_Beer_Name': 0.52, 'rtable_Brew_Factory_Name': 0.375, 'rtable_Style': 0.315, 'rtable_ABV': 0.375}",0.0,52.42316905799089,0.0,[0.97299728 0.02700272],3-641,certa
13,"{'ltable_Beer_Name': 0.18125, 'ltable_Brew_Factory_Name': 0.134375, 'ltable_ABV': 0.146875, 'ltable_Style': 0.1375, 'rtable_Beer_Name': 0.440625, 'rtable_Brew_Factory_Name': 0.44375, 'rtable_ABV': 0.446875, 'rtable_Style': 0.384375}",0.0,47.94986511999741,0.0,[0.6849182 0.3150818],4068-2374,certa
14,"{'ltable_ABV': 0.1025, 'ltable_Beer_Name': 0.095, 'ltable_Brew_Factory_Name': 0.0775, 'ltable_Style': 0.07, 'rtable_ABV': 0.445, 'rtable_Beer_Name': 0.3725, 'rtable_Brew_Factory_Name': 0.325, 'rtable_Style': 0.315}",0.0,49.28939073195215,0.0,[0.92327605 0.07672395],4203-2425,certa
15,"{'ltable_Beer_Name': 0.13701923076923078, 'ltable_Brew_Factory_Name': 0.06971153846153846, 'ltable_Style': 0.06971153846153846, 'ltable_ABV': 0.06971153846153846, 'rtable_Beer_Name': 0.5264423076923077, 'rtable_Brew_Factory_Name': 0.37259615384615385, 'rtable_Style': 0.37259615384615385, 'rtable_ABV': 0.49278846153846156}",0.0,53.021646555978805,0.0,[0.82921234 0.17078766],2572-221,certa
16,"{'rtable_Beer_Name': 0.3269230769230769, 'rtable_Brew_Factory_Name': 0.2932692307692308, 'rtable_ABV': 0.30288461538461536, 'rtable_Style': 0.2091346153846154, 'ltable_Beer_Name': 0.03125, 'ltable_Brew_Factory_Name': 0.021634615384615384, 'ltable_ABV': 0.021634615384615384, 'ltable_Style': 0.016826923076923076}",0.0,59.788861561974045,0.0,[0.97837445 0.02162555],309-2621,certa
