,explanation,label,latency,match,prediction,row,type
0,"{'ltable_ABV': -5.4184298776361665e-34, 'ltable_Beer_Name': 1.3224974347855246e-33, 'ltable_Brew_Factory_Name': -1.785023771554733e-35, 'ltable_Style': 1.0176588973633163e-33, 'ltable_id': -3.63179007534075e-33, 'rtable_ABV': -3.303609206927494e-33, 'rtable_Beer_Name': 9.61285459523797e-34, 'rtable_Brew_Factory_Name': 1.730025877933668e-33, 'rtable_Style': -4.33295353659096e-34, 'rtable_id': 4.5015597387101755e-33}",0.0,2.408613678999245,0.0,[0.91869693 0.08130307],1219-2470,mojito-c
1,"{'ltable_ABV': 3.1085186560017894e-10, 'ltable_Beer_Name': 1.8640887632440527e-10, 'ltable_Brew_Factory_Name': -2.064661648197385e-10, 'ltable_Style': -6.241535426065152e-11, 'ltable_id': 7.155927359205869e-10, 'rtable_ABV': -3.012893746844248e-10, 'rtable_Beer_Name': 1.0376545995796825e-12, 'rtable_Brew_Factory_Name': -3.442184295981483e-10, 'rtable_Style': -3.2736829791253884e-11, 'rtable_id': 3.2082557678170527e-10}",0.0,2.4224900389672257,0.0,[0.97184506 0.02815494],492-1635,mojito-c
2,"{'ltable_ABV': -2.3709172259709645e-33, 'ltable_Beer_Name': 4.299100981808378e-33, 'ltable_Brew_Factory_Name': -4.9428313028423585e-33, 'ltable_Style': 1.4775914724472191e-33, 'ltable_id': -1.8744471490864712e-32, 'rtable_ABV': 1.3020853758913975e-32, 'rtable_Beer_Name': -4.614845245924705e-33, 'rtable_Brew_Factory_Name': 6.413456238010766e-33, 'rtable_Style': 1.1647569683817166e-32, 'rtable_id': 1.2458833675621296e-32}",1.0,2.3639317770139314,1.0,[0.10214567 0.89785433],3917-2224,mojito-c
3,"{'ltable_ABV': 3.184356238186301e-10, 'ltable_Beer_Name': 2.4434626062907207e-10, 'ltable_Brew_Factory_Name': -7.838938982978402e-11, 'ltable_Style': 3.1159512170357725e-10, 'ltable_id': -2.369561675248793e-09, 'rtable_ABV': -6.517884507774307e-10, 'rtable_Beer_Name': -5.077395846245501e-10, 'rtable_Brew_Factory_Name': 1.1123551253348213e-10, 'rtable_Style': -3.3375996233091992e-12, 'rtable_id': 1.356547336070877e-09}",0.0,2.3715605229954235,0.0,[0.88006341 0.11993659],2155-2948,mojito-c
4,"{'ltable_ABV': -1.8355950962281826e-32, 'ltable_Beer_Name': 8.22637304649787e-33, 'ltable_Brew_Factory_Name': 1.4343206226191477e-32, 'ltable_Style': 3.9140182407735195e-33, 'ltable_id': -7.062188703048581e-32, 'rtable_ABV': -1.1275222202026136e-32, 'rtable_Beer_Name': 1.61277857227028e-32, 'rtable_Brew_Factory_Name': -2.2791574273806538e-32, 'rtable_Style': 4.6311124253013397e-32, 'rtable_id': 2.0111198108520144e-32}",1.0,2.3562607229687274,1.0,[0.05585104 0.94414896],271-1410,mojito-c
5,"{'ltable_ABV': 2.2280157034746966e-34, 'ltable_Beer_Name': 9.854633456094008e-35, 'ltable_Brew_Factory_Name': 1.2424454838173778e-34, 'ltable_Style': 1.1099571713606996e-34, 'ltable_id': -5.3649508854617055e-34, 'rtable_ABV': 8.749920224810075e-35, 'rtable_Beer_Name': 7.697335076577593e-35, 'rtable_Brew_Factory_Name': 7.663006122070852e-35, 'rtable_Style': 1.2175549751275005e-34, 'rtable_id': 8.069520796895453e-34}",0.0,2.4973604640108533,0.0,[0.98690173 0.01309827],3309-716,mojito-c
6,"{'ltable_ABV': -2.42307624659949e-10, 'ltable_Beer_Name': 1.443985514249836e-09, 'ltable_Brew_Factory_Name': -7.932622644382087e-10, 'ltable_Style': 5.908010700982189e-10, 'ltable_id': 1.9092714046139237e-09, 'rtable_ABV': -4.568763832200836e-10, 'rtable_Beer_Name': 1.206564726822643e-10, 'rtable_Brew_Factory_Name': -1.2244395049042432e-09, 'rtable_Style': 4.425027613563608e-09, 'rtable_id': -2.4596402673301043e-09}",0.0,2.587048565968871,0.0,[0.62081394 0.37918606],1024-37,mojito-c
7,"{'ltable_ABV': -1.1226253176682258e-33, 'ltable_Beer_Name': -7.565747355571271e-33, 'ltable_Brew_Factory_Name': 8.419875228341545e-33, 'ltable_Style': 7.209292218931937e-34, 'ltable_id': 2.911383981946836e-32, 'rtable_ABV': 1.811334564753435e-33, 'rtable_Beer_Name': 4.6099948356346064e-33, 'rtable_Brew_Factory_Name': 4.341325746633361e-33, 'rtable_Style': 2.1543433182442717e-33, 'rtable_id': 1.4853218022703767e-32}",1.0,2.3888963199569844,1.0,[0.05496001 0.94503999],1780-685,mojito-c
8,"{'ltable_ABV': 1.214914444648766e-09, 'ltable_Beer_Name': -8.127536423361083e-10, 'ltable_Brew_Factory_Name': 8.062401069827411e-10, 'ltable_Style': 3.656295348658193e-10, 'ltable_id': 4.4466694603738124e-09, 'rtable_ABV': -1.0750679692338065e-09, 'rtable_Beer_Name': -3.443320095960003e-10, 'rtable_Brew_Factory_Name': 4.738056982037015e-11, 'rtable_Style': 6.024910416590903e-10, 'rtable_id': -2.3596100843055858e-09}",0.0,2.4292319350061007,0.0,[0.92241275 0.07758725],1479-1563,mojito-c
9,"{'ltable_ABV': -1.1007784467528074e-10, 'ltable_Beer_Name': 1.895423442267168e-11, 'ltable_Brew_Factory_Name': -4.745780866612839e-11, 'ltable_Style': 3.378599544021159e-11, 'ltable_id': 6.968875617632839e-10, 'rtable_ABV': -1.5375704639249654e-10, 'rtable_Beer_Name': 7.30645040377256e-11, 'rtable_Brew_Factory_Name': 1.59902353255376e-10, 'rtable_Style': -1.9968441452253398e-10, 'rtable_id': -1.977604799961809e-10}",0.0,2.537540588993579,0.0,[0.97732948 0.02267052],2026-1679,mojito-c
10,"{'ltable_ABV': 1.2403975865922155e-34, 'ltable_Beer_Name': -7.722871688720912e-34, 'ltable_Brew_Factory_Name': -9.270295946338057e-34, 'ltable_Style': 7.53268803841846e-34, 'ltable_id': 6.487654059361692e-33, 'rtable_ABV': 7.2029462798689815e-34, 'rtable_Beer_Name': 3.1391207862074662e-34, 'rtable_Brew_Factory_Name': 1.3022532193264316e-33, 'rtable_Style': 2.581471603913822e-34, 'rtable_id': 7.84810211612121e-34}",0.0,2.654352795041632,0.0,[0.93470398 0.06529602],2155-1261,mojito-c
11,"{'ltable_ABV': 5.27114548458873e-34, 'ltable_Beer_Name': -2.410822642658162e-35, 'ltable_Brew_Factory_Name': -4.866482233980392e-34, 'ltable_Style': 6.572324970200072e-34, 'ltable_id': 1.0873855397710962e-33, 'rtable_ABV': 2.851097830869255e-33, 'rtable_Beer_Name': 6.75721251580065e-36, 'rtable_Brew_Factory_Name': 5.3275003684186476e-33, 'rtable_Style': 1.2223457848765685e-33, 'rtable_id': 9.396158293738854e-33}",0.0,2.462980609969236,0.0,[0.9566625 0.0433375],525-433,mojito-c
12,"{'ltable_ABV': -1.5381787458818703e-10, 'ltable_Beer_Name': -3.012200327323071e-11, 'ltable_Brew_Factory_Name': 3.854328540003499e-11, 'ltable_Style': 2.6484238251815667e-10, 'ltable_id': -1.860669194012274e-10, 'rtable_ABV': -1.2003210298553312e-09, 'rtable_Beer_Name': 4.96847246925134e-12, 'rtable_Brew_Factory_Name': 1.1532130228188429e-10, 'rtable_Style': 1.8752955927068633e-10, 'rtable_id': -1.2355470651538516e-10}",0.0,2.5161401589866728,0.0,[0.97299728 0.02700272],3-641,mojito-c
