,explanation,label,latency,match,prediction,row,type
0,"{'ltable_ABV': -0.05269036131029414, 'ltable_Beer_Name': -0.16817225115499151, 'ltable_Brew_Factory_Name': -0.11314066366168973, 'ltable_Style': 0.01037411836537383, 'rtable_ABV': -0.015194357278555282, 'rtable_Beer_Name': -0.10245379922397208, 'rtable_Brew_Factory_Name': -0.08016770357264419, 'rtable_Style': 0.01665746935435508}",0.0,86.28554889198858,0.0,[0.91869693 0.08130307],1219-2470,shap
1,"{'ltable_ABV': -0.04690070263219143, 'ltable_Beer_Name': -0.14204964800091258, 'ltable_Brew_Factory_Name': -0.03647948787738253, 'ltable_Style': -0.022763169229790103, 'rtable_ABV': -0.09274641881416185, 'rtable_Beer_Name': -0.177008919071739, 'rtable_Brew_Factory_Name': -0.04277933877890133, 'rtable_Style': 0.0027920115556621106}",0.0,86.49559650500305,0.0,[0.97184506 0.02815494],492-1635,shap
2,"{'ltable_ABV': 0.09612213899557215, 'ltable_Beer_Name': 0.06978707980550566, 'ltable_Brew_Factory_Name': -0.04582235218260994, 'ltable_Style': 0.0027160065349421114, 'rtable_ABV': 0.08968907792630237, 'rtable_Beer_Name': 0.12120553264767736, 'rtable_Brew_Factory_Name': -0.012767131649866453, 'rtable_Style': -0.009166639909783392}",1.0,84.81572429899825,1.0,[0.10214567 0.89785433],3917-2224,shap
3,"{'ltable_ABV': -0.0737805717835881, 'ltable_Beer_Name': -0.11353300121826485, 'ltable_Brew_Factory_Name': -0.03984786278330689, 'ltable_Style': -0.007555248962736488, 'rtable_ABV': -0.034870970694604764, 'rtable_Beer_Name': -0.11231432092780907, 'rtable_Brew_Factory_Name': -0.04383631757511941, 'rtable_Style': -0.04041573661601755}",0.0,85.12147892004577,0.0,[0.88006341 0.11993659],2155-2948,shap
4,"{'ltable_ABV': 0.11027900382442468, 'ltable_Beer_Name': 0.07133979182177556, 'ltable_Brew_Factory_Name': 0.05102085746134476, 'ltable_Style': -0.03166511901366707, 'rtable_ABV': 0.0947319300910752, 'rtable_Beer_Name': -0.03277053820752658, 'rtable_Brew_Factory_Name': 0.05014747143671633, 'rtable_Style': 0.044974944327419}",1.0,84.7966000289889,1.0,[0.05585104 0.94414896],271-1410,shap
5,"{'ltable_ABV': -0.03489163821448937, 'ltable_Beer_Name': -0.18227885083327844, 'ltable_Brew_Factory_Name': -0.08545759950989074, 'ltable_Style': -0.0028385346177289827, 'rtable_ABV': -0.019334043300231807, 'rtable_Beer_Name': -0.18948835519361823, 'rtable_Brew_Factory_Name': -0.051631822615147704, 'rtable_Style': -0.0070715020023883746}",0.0,86.89913654897828,0.0,[0.98690173 0.01309827],3309-716,shap
6,"{'ltable_ABV': -0.06481896665000614, 'ltable_Beer_Name': 0.06808575442612948, 'ltable_Brew_Factory_Name': -0.033606533660616916, 'ltable_Style': 0.018588770485816558, 'rtable_ABV': -0.08982736152383475, 'rtable_Beer_Name': -0.03613227417816972, 'rtable_Brew_Factory_Name': -0.07279674822224602, 'rtable_Style': 0.00360280734004792}",0.0,85.47271674801596,0.0,[0.62081394 0.37918606],1024-37,shap
7,"{'ltable_ABV': 0.019650724693113547, 'ltable_Beer_Name': 0.17546453366370993, 'ltable_Brew_Factory_Name': 0.04479975881957721, 'ltable_Style': 0.009173182101222116, 'rtable_ABV': 0.04892120206568901, 'rtable_Beer_Name': 0.10050489446316169, 'rtable_Brew_Factory_Name': -0.023686830967333206, 'rtable_Style': -0.015878093262831017}",1.0,85.4721698089852,1.0,[0.05496001 0.94503999],1780-685,shap
8,"{'ltable_ABV': -0.04383591796483294, 'ltable_Beer_Name': -0.11397752924292576, 'ltable_Brew_Factory_Name': -0.05826515808626659, 'ltable_Style': -0.006186069159593521, 'rtable_ABV': -0.07407344775760422, 'rtable_Beer_Name': -0.14521017945343073, 'rtable_Brew_Factory_Name': -0.05114977058438669, 'rtable_Style': -0.01580528939332021}",0.0,91.47356429300271,0.0,[0.92241275 0.07758725],1479-1563,shap
9,"{'ltable_ABV': -0.04155198529216633, 'ltable_Beer_Name': -0.15732047230786972, 'ltable_Brew_Factory_Name': -0.05890173371805446, 'ltable_Style': -0.016399034473680296, 'rtable_ABV': -0.06783334382097722, 'rtable_Beer_Name': -0.15432689827417995, 'rtable_Brew_Factory_Name': -0.04336535985273898, 'rtable_Style': -0.023721265915919165}",0.0,88.82796393299941,0.0,[0.97732948 0.02267052],2026-1679,shap
10,"{'ltable_ABV': -0.0490051946137936, 'ltable_Beer_Name': -0.11019503917515922, 'ltable_Brew_Factory_Name': -0.04164692825502153, 'ltable_Style': -0.016846547550094515, 'rtable_ABV': -0.047836862626436494, 'rtable_Beer_Name': -0.20093159071456973, 'rtable_Brew_Factory_Name': -0.022729185008825203, 'rtable_Style': -0.0316032439597862}",0.0,95.3743955839891,0.0,[0.93470398 0.06529602],2155-1261,shap
11,"{'ltable_ABV': -0.054952024755548085, 'ltable_Beer_Name': -0.1509199870281814, 'ltable_Brew_Factory_Name': -0.07458101847200921, 'ltable_Style': 0.02870588673990329, 'rtable_ABV': -0.04924773099020041, 'rtable_Beer_Name': -0.17026717680644626, 'rtable_Brew_Factory_Name': -0.026045315412110526, 'rtable_Style': -0.04544574767770154}",0.0,89.39853304601274,0.0,[0.9566625 0.0433375],525-433,shap
