,explanation,label,latency,match,prediction,row,type
0,"{'ltable_ABV': -0.012404696135888321, 'ltable_Beer_Name': 0.35299298994954464, 'ltable_Brew_Factory_Name': -0.030455239615860497, 'ltable_Style': 0.03518077449781015, 'rtable_ABV': -0.020511494947740766, 'rtable_Beer_Name': 0.3818985868628516, 'rtable_Brew_Factory_Name': 0.01771009601016521, 'rtable_Style': 0.014388514689914755}",1.0,80.30911037299995,0.0,[0.98110193 0.01889805],3917-2224,shap
1,"{'ltable_ABV': 0.0034690162818143966, 'ltable_Beer_Name': 0.1596316103119751, 'ltable_Brew_Factory_Name': 0.1629390829670403, 'ltable_Style': 0.028010342269823824, 'rtable_ABV': 0.01337557994755803, 'rtable_Beer_Name': 0.19330200983278767, 'rtable_Brew_Factory_Name': 0.1296663546311383, 'rtable_Style': 0.049158937778620015}",1.0,80.35915154300005,0.0,[0.6809916  0.31900838],271-1410,shap
3,"{'ltable_ABV': 0.01663977489782717, 'ltable_Beer_Name': 0.2913107912888935, 'ltable_Brew_Factory_Name': -0.08962265835873992, 'ltable_Style': 0.02759666309903891, 'rtable_ABV': -0.04336738044208541, 'rtable_Beer_Name': 0.22778844407737675, 'rtable_Brew_Factory_Name': 0.0572747311418374, 'rtable_Style': 0.219101018672139}",0.0,80.76596768200011,0.0,[0.9965545  0.00344548],1024-37,shap
4,"{'ltable_ABV': 0.01317360199015774, 'ltable_Beer_Name': 0.25653858201055524, 'ltable_Brew_Factory_Name': -0.08336391604151192, 'ltable_Style': 0.02652319201768069, 'rtable_ABV': -0.006052104150793353, 'rtable_Beer_Name': 0.33534530436849386, 'rtable_Brew_Factory_Name': 0.13351589693530813, 'rtable_Style': 0.05860630652496157}",1.0,80.55456548400002,0.0,[0.9943751  0.00562495],1780-685,shap
7,"{'ltable_ABV': -0.031681085381324164, 'ltable_Beer_Name': 0.001514693968163456, 'ltable_Brew_Factory_Name': -0.010436689662276764, 'ltable_Style': 0.09586702399673634, 'rtable_ABV': -0.05871163334531637, 'rtable_Beer_Name': 0.024695919135624345, 'rtable_Brew_Factory_Name': -0.010109019542166834, 'rtable_Style': 0.014567905616469612}",0.0,82.3153262830001,1.0,[0.08583776 0.9141623 ],4068-2374,shap
9,"{'ltable_ABV': -0.048958345637553025, 'ltable_Beer_Name': -0.05515225035870515, 'ltable_Brew_Factory_Name': -0.018495012439327035, 'ltable_Style': -0.008929911539206152, 'rtable_ABV': 0.02506393610894656, 'rtable_Beer_Name': -0.023931835948382496, 'rtable_Brew_Factory_Name': 0.03570015854840372, 'rtable_Style': 0.052679442623922546}",0.0,82.16054564500018,0.0,[0.9934731  0.00652685],2572-221,shap
13,"{'ltable_ABV': -0.005056415455595209, 'ltable_Beer_Name': 0.36260103807971983, 'ltable_Brew_Factory_Name': -0.010407063707390696, 'ltable_Style': 0.035342726940882335, 'rtable_ABV': -0.012708959517886087, 'rtable_Beer_Name': 0.35064375055755326, 'rtable_Brew_Factory_Name': 0.009987393882972206, 'rtable_Style': 0.00840600122725732}",1.0,82.62535285900003,1.0,[0.21524641 0.7847536 ],2558-1284,shap
16,"{'ltable_ABV': 0.0050151762534139666, 'ltable_Beer_Name': 0.21253320717708368, 'ltable_Brew_Factory_Name': 0.09655213127179707, 'ltable_Style': 0.02315748053751271, 'rtable_ABV': 0.0047817887109431745, 'rtable_Beer_Name': 0.23558975131688376, 'rtable_Brew_Factory_Name': 0.1254515305609218, 'rtable_Style': 0.03448339763784958}",1.0,82.14042682499985,0.0,[0.99354    0.00646005],563-1177,shap
20,"{'ltable_ABV': -0.025422026309875667, 'ltable_Beer_Name': 0.13450734391618294, 'ltable_Brew_Factory_Name': -0.03635636368875994, 'ltable_Style': 0.23894560056049768, 'rtable_ABV': -0.06075470895270452, 'rtable_Beer_Name': 0.12971170436769075, 'rtable_Brew_Factory_Name': 0.16821502836584779, 'rtable_Style': 0.04243521232544667}",0.0,82.65843534600026,1.0,[0.05427973 0.9457203 ],4181-2300,shap
21,"{'ltable_ABV': 0.014840971184740342, 'ltable_Beer_Name': 0.07605974320349512, 'ltable_Brew_Factory_Name': 0.09106418695740123, 'ltable_Style': 0.018768740127725364, 'rtable_ABV': 0.0384606300944173, 'rtable_Beer_Name': 0.010332635891804137, 'rtable_Brew_Factory_Name': 0.1274557780339092, 'rtable_Style': 0.0602380260655645}",0.0,82.19308665900007,0.0,[0.99375945 0.0062405 ],982-348,shap
23,"{'ltable_ABV': 0.002290666527408003, 'ltable_Beer_Name': 0.21807635821890975, 'ltable_Brew_Factory_Name': -0.009716587553073586, 'ltable_Style': 0.017549349610939513, 'rtable_ABV': 0.1050330741848507, 'rtable_Beer_Name': 0.09570679496536572, 'rtable_Brew_Factory_Name': 0.19132170442302088, 'rtable_Style': 0.05416795599425828}",1.0,82.38082296399989,0.0,[0.8992441  0.10075581],2007-203,shap
