,explanation,label,latency,match,prediction,row,type
0,"{'ltable_authors': -4.197364268148683e-10, 'ltable_id': -2.1252612365059141e-10, 'ltable_title': 5.1211870929170267e-11, 'ltable_venue': -3.7721018202546274e-10, 'ltable_year': -8.18194642029926e-10, 'rtable_authors': 6.158656996883812e-11, 'rtable_id': 2.7953079986993405e-09, 'rtable_title': 7.276272944689016e-11, 'rtable_venue': -2.306232218248998e-10, 'rtable_year': -4.933559994975332e-10}",0.0,1.1278522959910333,1.0,[2.6941436e-05 9.9997306e-01],1496-1225,mojito-c
1,"{'ltable_authors': 8.906826541423019e-34, 'ltable_id': -1.1294541155151346e-32, 'ltable_title': 2.0125271962491954e-33, 'ltable_venue': -5.8132411473911935e-33, 'ltable_year': 1.0281460561373126e-32, 'rtable_authors': -6.925077863268347e-34, 'rtable_id': 2.195275735170903e-33, 'rtable_title': 3.3144349624818435e-33, 'rtable_venue': -1.4194139547906285e-33, 'rtable_year': 1.4528153886459902e-32}",0.0,1.0442928819684312,1.0,[4.2074776e-06 9.9999583e-01],574-749,mojito-c
2,"{'ltable_authors': 1.1756446815773786e-42, 'ltable_id': -6.389130194970034e-41, 'ltable_title': 1.0831967098076946e-41, 'ltable_venue': -2.515504234055817e-41, 'ltable_year': 7.884753786067141e-41, 'rtable_authors': -7.935691796910899e-42, 'rtable_id': 1.964517575124942e-40, 'rtable_title': 7.972143050417613e-42, 'rtable_venue': 1.1752088475639848e-41, 'rtable_year': 2.487747914358649e-41}",0.0,1.1151573849492706,0.0,[9.9980265e-01 1.9732965e-04],561-1957,mojito-c
3,"{'ltable_authors': 7.980791243335862e-18, 'ltable_id': -4.711342802418873e-17, 'ltable_title': -1.0544225054112132e-17, 'ltable_venue': 3.692571327952418e-17, 'ltable_year': 7.251649255505768e-17, 'rtable_authors': 3.839164437140843e-17, 'rtable_id': -5.4418529438691395e-17, 'rtable_title': -5.8364793037838835e-18, 'rtable_venue': 4.9083519383089174e-18, 'rtable_year': -1.247069136674558e-17}",0.0,0.9386481770197861,1.0,[0.12137783 0.8786221 ],1799-1307,mojito-c
4,"{'ltable_authors': -2.382991998040014e-22, 'ltable_id': 1.2043422185907367e-21, 'ltable_title': -1.4890028193072e-22, 'ltable_venue': 3.236560430348213e-22, 'ltable_year': -4.2298129333367017e-22, 'rtable_authors': 3.9558846395574964e-23, 'rtable_id': 8.742631560089336e-23, 'rtable_title': 8.76900970281446e-23, 'rtable_venue': 6.375480255035694e-23, 'rtable_year': -9.198240695314422e-22}",0.0,1.2016671510064043,0.0,[9.999993e-01 7.029695e-07],1116-1205,mojito-c
5,"{'ltable_authors': 0.0, 'ltable_id': 0.0, 'ltable_title': 0.0, 'ltable_venue': 0.0, 'ltable_year': 0.0, 'rtable_authors': 0.0, 'rtable_id': 0.0, 'rtable_title': 0.0, 'rtable_venue': 0.0, 'rtable_year': 0.0}",0.0,1.260307995020412,0.0,[1.0000000e+00 5.2966207e-14],2009-679,mojito-c
6,"{'ltable_authors': -4.0148083969586396e-16, 'ltable_id': 1.4384212136374588e-14, 'ltable_title': -2.5516476888767776e-15, 'ltable_venue': 6.474649593773955e-15, 'ltable_year': 1.368904281762105e-14, 'rtable_authors': 6.853382252084104e-17, 'rtable_id': -3.541922557227151e-14, 'rtable_title': -8.981990487630167e-16, 'rtable_venue': 4.804743859979222e-15, 'rtable_year': -2.632042163568841e-15}",0.0,1.1207332289777696,1.0,[0.14055085 0.85944915],1496-991,mojito-c
7,"{'ltable_authors': -8.174850128909943e-16, 'ltable_id': -5.880126751099703e-16, 'ltable_title': 5.708507775233457e-16, 'ltable_venue': -1.410818103620385e-14, 'ltable_year': -3.0481347087521578e-15, 'rtable_authors': 6.92095797230998e-15, 'rtable_id': -6.788650712792344e-15, 'rtable_title': -3.3458838390830714e-15, 'rtable_venue': 2.7092946389441273e-15, 'rtable_year': -3.1618377331753e-14}",0.0,1.0106513479840942,0.0,[0.9981558  0.00184427],69-591,mojito-c
8,"{'ltable_authors': 8.928561511186985e-28, 'ltable_id': 2.983489812938965e-27, 'ltable_title': -3.4850009600392116e-28, 'ltable_venue': 2.413573271791039e-27, 'ltable_year': 5.663993094289769e-29, 'rtable_authors': -1.6834355347910118e-27, 'rtable_id': 3.5896577535404024e-27, 'rtable_title': -1.1681296887163163e-29, 'rtable_venue': 9.012063893138027e-28, 'rtable_year': -5.733257186185305e-27}",0.0,1.017417631985154,0.0,[0.99881613 0.00118392],729-2227,mojito-c
9,"{'ltable_authors': -1.0894036691627835e-15, 'ltable_id': -1.0132222726614095e-14, 'ltable_title': 2.5748611970668143e-16, 'ltable_venue': 6.237414496131857e-15, 'ltable_year': -7.058621120023596e-15, 'rtable_authors': 1.1463603457279308e-15, 'rtable_id': -7.749975324189574e-15, 'rtable_title': -5.276754100514824e-16, 'rtable_venue': 1.7137388515479032e-15, 'rtable_year': -5.369933376848762e-15}",0.0,1.2110432079643942,0.0,[0.9980305  0.00196949],35-590,mojito-c
10,"{'ltable_authors': -1.2671988569719451e-09, 'ltable_id': 8.801362915549141e-09, 'ltable_title': -1.4464450324738516e-09, 'ltable_venue': 5.129080843861469e-10, 'ltable_year': -9.19728318271535e-10, 'rtable_authors': 1.33882165111253e-09, 'rtable_id': -6.529183884561133e-09, 'rtable_title': -7.479409703778042e-10, 'rtable_venue': 3.093573115977823e-09, 'rtable_year': 1.3278293420175232e-09}",1.0,1.3400180470198393,1.0,[0.00118801 0.99881196],1683-1341,mojito-c
11,"{'ltable_authors': -7.155412979798148e-14, 'ltable_id': -4.966066335047985e-13, 'ltable_title': -5.260222892798538e-14, 'ltable_venue': 1.2581365043868515e-13, 'ltable_year': 1.2895183989242801e-12, 'rtable_authors': -6.630525222510547e-14, 'rtable_id': 4.532906922582198e-13, 'rtable_title': -3.1471686443162994e-14, 'rtable_venue': -1.3274934858810901e-13, 'rtable_year': 3.9392867360645357e-13}",0.0,1.0222985789878294,0.0,[9.9999952e-01 4.2378468e-07],314-1074,mojito-c
12,"{'ltable_authors': -1.4111886105449332e-16, 'ltable_id': 7.980094379253923e-17, 'ltable_title': -5.580041265399097e-19, 'ltable_venue': 3.306226106987476e-18, 'ltable_year': -2.6093764876524936e-16, 'rtable_authors': -7.500139673475917e-18, 'rtable_id': 4.16775536609686e-17, 'rtable_title': -8.250673616235822e-17, 'rtable_venue': 1.8471103574139654e-17, 'rtable_year': -5.449592941016778e-16}",0.0,1.1546431529568508,0.0,[0.99835783 0.0016422 ],1576-262,mojito-c
13,"{'ltable_authors': 0.0, 'ltable_id': 0.0, 'ltable_title': 0.0, 'ltable_venue': 0.0, 'ltable_year': 0.0, 'rtable_authors': 0.0, 'rtable_id': 0.0, 'rtable_title': 0.0, 'rtable_venue': 0.0, 'rtable_year': 0.0}",1.0,1.458815379999578,1.0,[0.06025979 0.93974024],1157-2244,mojito-c
14,"{'ltable_authors': 0.0, 'ltable_id': 0.0, 'ltable_title': 0.0, 'ltable_venue': 0.0, 'ltable_year': 0.0, 'rtable_authors': 0.0, 'rtable_id': 0.0, 'rtable_title': 0.0, 'rtable_venue': 0.0, 'rtable_year': 0.0}",1.0,1.1206322929938324,1.0,[0.0907488 0.9092512],1538-873,mojito-c
15,"{'ltable_authors': 3.0231283225797768e-18, 'ltable_id': -1.3971495653117663e-16, 'ltable_title': -1.9278958419948623e-18, 'ltable_venue': -2.8511602669984267e-17, 'ltable_year': -1.257917893767254e-16, 'rtable_authors': -3.335062272735474e-17, 'rtable_id': -1.3053806598559212e-16, 'rtable_title': 1.95700833827529e-17, 'rtable_venue': 9.204625578682529e-18, 'rtable_year': 1.5256490466873363e-16}",0.0,1.0528648889739998,0.0,[1.0000000e+00 1.9946773e-09],2387-1629,mojito-c
16,"{'ltable_authors': -2.0729075860546716e-20, 'ltable_id': -4.716490804463989e-19, 'ltable_title': -4.3971322708258304e-20, 'ltable_venue': -2.716692853618864e-19, 'ltable_year': 9.93883464676262e-20, 'rtable_authors': -1.2875555200144654e-19, 'rtable_id': 1.278351316403694e-18, 'rtable_title': 2.949557184654907e-20, 'rtable_venue': 2.9027318309446987e-19, 'rtable_year': -6.059456025928776e-19}",0.0,0.9845357619924471,0.0,[0.8841362 0.1158638],1546-819,mojito-c
17,"{'ltable_authors': -4.802940967821901e-21, 'ltable_id': -2.756204781364053e-20, 'ltable_title': -5.977331820752211e-21, 'ltable_venue': 2.543084340310293e-21, 'ltable_year': 1.120891085159049e-20, 'rtable_authors': 3.557854572071849e-21, 'rtable_id': 1.981865361512954e-20, 'rtable_title': 1.7056230732702544e-21, 'rtable_venue': 4.450758868268656e-21, 'rtable_year': 1.4764061360329833e-21}",0.0,1.012344976013992,0.0,[9.9905330e-01 9.4675185e-04],1247-807,mojito-c
