,explanation,label,latency,match,prediction,row,type
0,"{'ltable_title': 0.49125, 'ltable_authors': 0.3, 'ltable_venue': 0.27, 'ltable_year': 0.2675, 'rtable_title': 0.47375, 'rtable_authors': 0.355, 'rtable_venue': 0.2975, 'rtable_year': 0.2975}",0.0,18.553792455990333,1.0,[0.00168322 0.99831676],1496-1225,certa
1,"{'ltable_title': 0.56125, 'ltable_authors': 0.56625, 'ltable_venue': 0.56875, 'ltable_year': 0.565, 'rtable_title': 0.42375, 'rtable_authors': 0.4075, 'rtable_venue': 0.37375, 'rtable_year': 0.39625}",0.0,20.732924767013174,1.0,[1.2695496e-06 9.9999869e-01],574-749,certa
2,"{'rtable_authors': 0.19125, 'rtable_venue': 0.16875, 'rtable_year': 0.17125, 'ltable_title': 0.18625, 'ltable_venue': 0.09625, 'ltable_year': 0.09375, 'ltable_authors': 0.08625, 'rtable_title': 0.33375}",0.0,359.60714803502196,0.0,[1.0000000e+00 1.5829508e-09],561-1957,certa
3,"{'ltable_title': 0.10625, 'ltable_authors': 0.07, 'ltable_venue': 0.06625, 'ltable_year': 0.06, 'rtable_title': 0.04375, 'rtable_authors': 0.01625, 'rtable_venue': 0.01875, 'rtable_year': 0.0225}",0.0,14.574242316011805,0.0,[0.9897697  0.01023028],1799-1307,certa
4,"{'rtable_title': 0.18625, 'rtable_authors': 0.18125, 'rtable_venue': 0.09625, 'rtable_year': 0.09375, 'ltable_title': 0.02625, 'ltable_authors': 0.01625, 'ltable_venue': 0.01625, 'ltable_year': 0.01375}",0.0,339.69602910999674,0.0,[1.000000e+00 4.416647e-10],1116-1205,certa
5,"{'ltable_title': 0.03955696202531646, 'ltable_authors': 0.014240506329113924, 'ltable_venue': 0.020569620253164556, 'ltable_year': 0.020569620253164556, 'rtable_title': 0.030063291139240507, 'rtable_authors': 0.020569620253164556, 'rtable_venue': 0.014240506329113924, 'rtable_year': 0.015822784810126583}",0.0,302.2106690580258,0.0,[1.0000000e+00 8.2897935e-14],2009-679,certa
6,"{'rtable_title': 0.09125, 'rtable_authors': 0.07375, 'rtable_venue': 0.0625, 'rtable_year': 0.04625, 'ltable_title': 0.04375, 'ltable_authors': 0.02625, 'ltable_venue': 0.02625, 'ltable_year': 0.0225}",0.0,12.140985947975423,0.0,[9.9981505e-01 1.8500512e-04],1496-991,certa
7,"{'rtable_title': 0.13375, 'rtable_authors': 0.065, 'rtable_venue': 0.075, 'rtable_year': 0.06625, 'ltable_title': 0.00625, 'ltable_venue': 0.00375, 'ltable_year': 0.00375}",0.0,300.997550665983,0.0,[9.9993324e-01 6.6782850e-05],69-591,certa
8,"{'rtable_title': 0.01875, 'rtable_authors': 0.01125, 'rtable_venue': 0.01125, 'rtable_year': 0.01, 'ltable_title': 0.02125, 'ltable_authors': 0.01125, 'ltable_venue': 0.01125, 'ltable_year': 0.01125}",0.0,11.735523139999714,0.0,[9.9963427e-01 3.6574583e-04],729-2227,certa
9,"{'rtable_title': 0.025, 'rtable_authors': 0.015, 'rtable_venue': 0.02375, 'rtable_year': 0.0125, 'ltable_title': 0.1125, 'ltable_authors': 0.0875, 'ltable_venue': 0.085, 'ltable_year': 0.06375}",0.0,11.893687210977077,0.0,[9.9997723e-01 2.2743901e-05],35-590,certa
10,"{'ltable_title': 0.48125, 'ltable_authors': 0.24125, 'ltable_venue': 0.24125, 'ltable_year': 0.24125, 'rtable_title': 0.52125, 'rtable_authors': 0.26375, 'rtable_venue': 0.26125, 'rtable_year': 0.2625}",1.0,18.88056612899527,1.0,[0.00136458 0.99863535],1683-1341,certa
11,"{'rtable_title': 0.0375, 'rtable_authors': 0.035, 'rtable_venue': 0.035, 'rtable_year': 0.02375, 'ltable_title': 0.025, 'ltable_authors': 0.01625, 'ltable_venue': 0.015, 'ltable_year': 0.0125}",0.0,11.311543212970719,0.0,[1.0000000e+00 1.3624686e-10],314-1074,certa
12,"{'rtable_title': 0.04625, 'rtable_year': 0.02375, 'ltable_title': 0.02125, 'ltable_authors': 0.01625, 'ltable_year': 0.01, 'rtable_authors': 0.02125, 'rtable_venue': 0.02125, 'ltable_venue': 0.00875}",0.0,302.9480366510106,0.0,[9.999933e-01 6.635531e-06],1576-262,certa
13,"{'rtable_venue': 0.1921641791044776, 'rtable_year': 0.2126865671641791, 'rtable_authors': 0.39738805970149255, 'rtable_title': 0.16977611940298507}",1.0,311.0974631329882,0.0,[0.98042667 0.01957331],1157-2244,certa
14,"{'ltable_title': 0.60125, 'ltable_authors': 0.30875, 'ltable_venue': 0.30875, 'ltable_year': 0.30375, 'rtable_title': 0.4, 'rtable_authors': 0.2025, 'rtable_venue': 0.2, 'rtable_year': 0.20125}",1.0,18.560305268038064,1.0,[0.36521387 0.63478607],1538-873,certa
15,"{'ltable_title': 0.01875, 'ltable_authors': 0.01875, 'ltable_venue': 0.00875, 'ltable_year': 0.01}",0.0,11.404007368022576,0.0,[1.0000000e+00 1.6951344e-10],2387-1629,certa
16,"{'ltable_authors': 0.06625, 'ltable_venue': 0.195, 'ltable_year': 0.11625, 'rtable_venue': 0.08125, 'rtable_authors': 0.04375, 'rtable_year': 0.04875, 'ltable_title': 0.06375, 'rtable_title': 0.01875}",0.0,292.94957900000736,0.0,[0.9973207  0.00267933],1546-819,certa
17,"{'rtable_authors': 0.1, 'rtable_venue': 0.0875, 'rtable_year': 0.055, 'ltable_title': 0.09375, 'ltable_authors': 0.08875, 'ltable_venue': 0.06375, 'ltable_year': 0.05875, 'rtable_title': 0.04375}",0.0,299.5085060359561,0.0,[9.999914e-01 8.566452e-06],1247-807,certa
18,"{'rtable_title': 0.0025, 'rtable_authors': 0.01, 'rtable_venue': 0.01, 'rtable_year': 0.005, 'ltable_title': 0.00375, 'ltable_authors': 0.00375, 'ltable_venue': 0.00375, 'ltable_year': 0.0025}",0.0,298.6726011520368,0.0,[9.9996734e-01 3.2670538e-05],1239-1647,certa
19,"{'rtable_authors': 0.2125, 'rtable_venue': 0.2125, 'rtable_title': 0.1125, 'rtable_year': 0.1125}",0.0,280.5465217870078,0.0,[9.999498e-01 5.022609e-05],2508-2129,certa
20,"{'ltable_title': 0.0325, 'ltable_authors': 0.02875, 'ltable_venue': 0.01625, 'ltable_year': 0.01875, 'rtable_title': 0.14125, 'rtable_authors': 0.14125, 'rtable_venue': 0.085, 'rtable_year': 0.09}",0.0,11.441226057009771,0.0,[0.993536   0.00646397],267-1787,certa
21,"{'ltable_title': 0.45375, 'ltable_authors': 0.245, 'ltable_venue': 0.245, 'ltable_year': 0.23375, 'rtable_title': 0.53875, 'rtable_authors': 0.34875, 'rtable_venue': 0.38625, 'rtable_year': 0.33125}",1.0,18.12729436700465,1.0,[1.9595168e-06 9.9999809e-01],1185-1880,certa
22,"{'rtable_title': 0.24125, 'rtable_authors': 0.1475, 'rtable_year': 0.125, 'rtable_venue': 0.115}",0.0,11.476094042009208,0.0,[9.9957436e-01 4.2567577e-04],2123-1667,certa
