,explanation,label,latency,match,prediction,row,type
0,{},0.0,50.85631977103185,0.0,[0.95108557 0.04891443],1496-1225,certa
1,{},0.0,56.01587176299654,0.0,[0.95237429 0.04762571],561-1957,certa
2,{},0.0,53.824557813000865,0.0,[0.94425869 0.05574131],1799-1307,certa
3,{},0.0,71.3260846589692,0.0,[0.9472364 0.0527636],1116-1205,certa
4,{},0.0,76.37387954292353,0.0,[0.93805577 0.06194423],2009-679,certa
5,{},0.0,65.27395333198365,0.0,[0.94549339 0.05450661],1496-991,certa
6,{},0.0,54.94048259197734,0.0,[0.94590764 0.05409236],69-591,certa
7,{},0.0,53.38456751499325,0.0,[0.958724 0.041276],729-2227,certa
8,{},0.0,50.20068724302109,0.0,[0.95828088 0.04171912],35-590,certa
9,{},0.0,32.21964808402117,0.0,[0.94621916 0.05378084],314-1074,certa
10,{},0.0,58.343395977979526,0.0,[0.94613696 0.05386304],1576-262,certa
11,{},0.0,38.53548901004251,0.0,[0.95231042 0.04768958],2387-1629,certa
12,{},0.0,39.00315212307032,0.0,[0.94747828 0.05252172],1546-819,certa
13,{},0.0,43.02745877497364,0.0,[0.95692591 0.04307409],1247-807,certa
14,{},0.0,41.73748099000659,0.0,[0.95380984 0.04619016],1239-1647,certa
15,{},0.0,16.258899972075596,0.0,[0.95166001 0.04833999],2508-2129,certa
16,"{'rtable_title': 0.012755102040816327, 'rtable_authors': 0.012755102040816327, 'rtable_year': 0.012755102040816327, 'rtable_venue': 0.007653061224489796}",0.0,35.407104672980495,0.0,[0.94729929 0.05270071],267-1787,certa
17,{},0.0,62.52777883398812,0.0,[0.94889657 0.05110343],2123-1667,certa
18,{},0.0,42.287876907968894,0.0,[0.94428375 0.05571625],1034-1046,certa
19,{},0.0,39.35109989705961,0.0,[0.95059412 0.04940588],1009-835,certa
20,"{'rtable_title': 0.01, 'rtable_authors': 0.01, 'rtable_year': 0.005}",0.0,69.57760395901278,0.0,[0.947709 0.052291],746-48,certa
21,{},0.0,78.21209117700346,0.0,[0.94850335 0.05149665],2315-400,certa
22,"{'rtable_title': 0.03483606557377049, 'rtable_authors': 0.018442622950819672, 'rtable_venue': 0.018442622950819672, 'rtable_year': 0.018442622950819672}",0.0,61.80450071301311,0.0,[0.94938357 0.05061643],343-704,certa
23,{},0.0,42.852384301950224,0.0,[0.94343238 0.05656762],2404-1579,certa
24,{},0.0,39.10467420704663,0.0,[0.93514077 0.06485923],1086-1216,certa
25,{},0.0,58.12402811401989,0.0,[0.94573258 0.05426742],727-306,certa
26,{},0.0,51.723954863031395,0.0,[0.9401246 0.0598754],198-445,certa
27,{},0.0,38.002018008963205,0.0,[0.94580866 0.05419134],290-942,certa
28,{},0.0,49.7267144320067,0.0,[0.94051661 0.05948339],1310-1313,certa
29,{},0.0,42.89648512704298,0.0,[0.9436282 0.0563718],1119-1114,certa
30,{},0.0,38.392621568986215,0.0,[0.9495532 0.0504468],470-2126,certa
31,{},0.0,32.94129615300335,0.0,[0.94197228 0.05802772],805-1666,certa
32,{},0.0,42.44610450603068,0.0,[0.9466719 0.0533281],256-1031,certa
33,{},0.0,29.555215342901647,0.0,[0.94237135 0.05762865],1321-902,certa
34,{},0.0,32.36268210201524,0.0,[0.94270512 0.05729488],1228-943,certa
35,{},0.0,38.32207686197944,0.0,[0.946091 0.053909],1016-1983,certa
