,explanation,label,latency,match,prediction,row,type
0,"{'ltable_authors': -0.015123436523497555, 'ltable_title': -0.04371965429850788, 'ltable_venue': 0.016425414542682218, 'ltable_year': -0.1162812234623492, 'rtable_authors': 0.0032943005177989704, 'rtable_title': -0.03885886654151144, 'rtable_venue': 0.004905154968899872, 'rtable_year': -0.08560625282658568}",0.0,202.77348135999637,0.0,[0.95108557 0.04891443],1496-1225,shap
1,"{'ltable_authors': -0.019858814401274655, 'ltable_title': -0.08477003710728559, 'ltable_venue': -0.00536395005450116, 'ltable_year': -0.027165624866809318, 'rtable_authors': 0.007342041900070956, 'rtable_title': -0.07249876338691416, 'rtable_venue': -0.01032227515116374, 'rtable_year': -0.06100535540323457}",0.0,219.24733524100157,0.0,[0.95237429 0.04762571],561-1957,shap
2,"{'ltable_authors': -0.0037236684712696477, 'ltable_title': -0.059409670540193554, 'ltable_venue': -0.027586819242377575, 'ltable_year': -0.067279978545074, 'rtable_authors': -0.012252613262299122, 'rtable_title': -0.052654807781922275, 'rtable_venue': -0.014727038654825886, 'rtable_year': -0.03135482872908393}",0.0,195.39010935102124,0.0,[0.94425869 0.05574131],1799-1307,shap
3,"{'ltable_authors': -0.010167922688265274, 'ltable_title': -0.06657923168688411, 'ltable_venue': 0.015369738227596436, 'ltable_year': -0.06489243081019297, 'rtable_authors': -0.015722502844193548, 'rtable_title': -0.054329747767067366, 'rtable_venue': -0.009989107900246624, 'rtable_year': -0.06169755198788365}",0.0,218.2511731069535,0.0,[0.9472364 0.0527636],1116-1205,shap
4,"{'ltable_authors': -0.018938731556556856, 'ltable_title': -0.059803224106715736, 'ltable_venue': -0.01757759846455692, 'ltable_year': -0.04998101628421997, 'rtable_authors': -0.0230367533035416, 'rtable_title': -0.03594555942677832, 'rtable_venue': 0.006367252258565548, 'rtable_year': -0.06538648507810543}",0.0,211.94118456193246,0.0,[0.93805577 0.06194423],2009-679,shap
5,"{'ltable_authors': -0.013436456634483535, 'ltable_title': -0.06912273457699986, 'ltable_venue': 0.018738927364009665, 'ltable_year': -0.05765167443116062, 'rtable_authors': -0.015847177319675318, 'rtable_title': -0.06053644963246309, 'rtable_venue': -0.012308891989327275, 'rtable_year': -0.05963478278789652}",0.0,201.9909981470555,0.0,[0.94549339 0.05450661],1496-991,shap
6,"{'ltable_authors': -0.003320879252399919, 'ltable_title': -0.07833259525985761, 'ltable_venue': -0.003670256814320802, 'ltable_year': -0.04780564264747497, 'rtable_authors': -0.02224513868669145, 'rtable_title': -0.0634881047665645, 'rtable_venue': 0.004702287375121211, 'rtable_year': -0.05611695410806833}",0.0,206.90258692705538,0.0,[0.94590764 0.05409236],69-591,shap
7,"{'ltable_authors': -0.013857022123391849, 'ltable_title': -0.04317865179709077, 'ltable_venue': -0.023072049036837752, 'ltable_year': -0.06833837125114951, 'rtable_authors': 0.0014273957855625158, 'rtable_title': -0.05637324435006824, 'rtable_venue': -0.022396158612674424, 'rtable_year': -0.04582512030440866}",0.0,164.28910916601308,0.0,[0.958724 0.041276],729-2227,shap
8,"{'ltable_authors': -0.00394448919127538, 'ltable_title': -0.07525165482206804, 'ltable_venue': -0.007192609854943868, 'ltable_year': -0.0795490042128221, 'rtable_authors': -0.0020040466643617694, 'rtable_title': -0.0355891902829818, 'rtable_venue': -0.0033020535505549065, 'rtable_year': -0.06416946019539188}",0.0,178.16375872900244,0.0,[0.95828088 0.04171912],35-590,shap
9,"{'ltable_authors': -0.0011132403608173358, 'ltable_title': -0.06114833538249195, 'ltable_venue': 0.003792326428781828, 'ltable_year': -0.06196273883717894, 'rtable_authors': -0.009227731770769493, 'rtable_title': -0.0723095407101236, 'rtable_venue': -0.00026102183289229697, 'rtable_year': -0.06588299546154924}",0.0,171.64824041794054,0.0,[0.94621916 0.05378084],314-1074,shap
