,ltable_id,ltable_title,ltable_authors,ltable_venue,ltable_year,rtable_id,rtable_title,rtable_authors,rtable_venue,rtable_year,match
0,1133,cure : an efficient clustering algorithm for large databases,"s guha , r rastogi , k shim",sigmod conference,1998,19588,efficient algorithm for projected clustering,"enk ka , aw fu",,,0.00011210008
1,1829,open object database management systems,,,1994,59186,performance evaluation of a temporal database management system,"i ahn , r snodgrass","proceedings of the 1986 acm sigmod international conference & hellip ; ,",1986.0,6.343174e-08
2,1953,an efficient algorithm for mining association rules in large databases,"a savasere , e omiecinski , s navathe",vldb,1995,5130,mining association rules between sets of items in large databases . 1993,"r agrawal , t imielinski , a swami",proc . acm sigmod international conference on management of,,0.9519096
3,2310,formal query languages for secure relational databases,"m winslett , k smith , x qian",acm trans . database syst .,1994,28595,a visual query language for odmg-compliant databases,"m chavda , pt wood",,,0.0016377447
4,1845,a language based multidatabase system,"e kќhn , t tschernko , k schwarz",sigmod conference,1994,48451,a classification of multi-database languages,"m tresch , mh scholl , ibmar center , ca san jose","parallel and distributed information systems , 1994. , & hellip ; ,",1994.0,0.00079995516
5,211,using unknowns to prevent discovery of association rules,"y saygin , v verykios , c clifton",sigmod record,2001,2457,on the discovery of interesting patterns in association rules,"s ramaswamy , s mahajan , a silberschatz","vldb ,",1998.0,0.0012184695
6,1360,the distributed information search component ( disco ) and the world wide web,"a tomasic , r amouroux , p bonnet , o kapitskaia , h naacke , l raschid",sigmod conference,1997,11549,the distributed information search component ( disco ) and the world wide web,"a tomasic , r amouroux , p bonnet , o kapitskaia , h","sigmod conference ,",1997.0,0.9716275
7,652,open issues in parallel query optimization,"w hasan , d florescu , p valduriez",sigmod record,1996,31280,multi-query optimization,tk sellis,"acm trans . on database systems ,",,4.8335735e-08
8,1532,partition based spatial-merge join,"j patel , d dewitt",sigmod conference,1996,60672,size separation spatial join,"n koudas , kc sevcik","proceedings of the 1997 acm sigmod international conference & hellip ; ,",1997.0,0.77554923
9,1991,interview with jim gray,,,2003,30712,interview with authors,e larson,"san diego ,",,0.044056136
10,1712,the ecrc multi database system,"w jonker , h schќtz",sigmod conference,1995,41920,the o 2 object-oriented database system,f bancilhon,proceedings of the 1992 acm sigmod-international conference,,0.8450409
11,709,outlier detection for high dimensional data,"c aggarwal , p yu",sigmod conference,2001,45026,an effective and efficient algorithm for high-dimensional outlier detection,"cc aggarwal , ps yu","the vldb journal the international journal on very large & hellip ; ,",2005.0,1.981489e-09
12,2579,schemasql - a language for interoperability in relational multi-database systems,"l lakshmanan , f sadri , i subramanian",vldb,1996,42314,panel : interoperability in multidatabases : semantic and systems issues,y breitbartâ ? ¦,"proc of vldb ,",,0.56293434
13,696,database research at arizona state university,"s urban , s dietrich , f golshani",sigmod record,1996,46108,database research at hp labs,ma neimat,"sigmod record ,",1991.0,0.11473351
14,659,"olap , relational , and multidimensional database systems",g colliat,sigmod record,1996,12273,cmd : a multidimensional declustering method for parallel database systems,"l jianzhong , j srivastava , d rotem","proceedings of international conference on vldb , august ,",,1.573188e-11
15,612,mining fuzzy association rules in databases,"c kuok , a fu , m wong",sigmod record,1998,42439,mining association rules from quantitative data,"tp hong , cs kuo , sc chi","intelligent data analysis ,",1999.0,0.23639639
16,2185,grid data management systems & services,,,2003,10241,research directions in data base management systems,d tsichritzis,"acm sigmod record ,",1977.0,3.5347338e-07
17,980,data integration and warehousing in telecom italia,"s trisolini , m lenzerini , d nardi",sigmod conference,1999,58492,enterprise modeling and data warehousing in telecom italia,"d calvanese , l dragone , d nardi , r rosati , sm",,,0.009656189
18,603,dyda : data warehouse maintenance in fully concurrent environments,"j chen , x zhang , s chen , a koeller , e rundensteiner",sigmod conference,2001,1832,efficient data view maintenance warehouses,"d agrawal , a el abbadi , a singh , t yurek","proc . acm sigmod ,",,0.03058825
19,2310,formal query languages for secure relational databases,"m winslett , k smith , x qian",acm trans . database syst .,1994,35508,on completeness of historical relational query languages,"j clifford , a croker , a tuzhilin","acm transactions on database systems ( tods ) ,",1994.0,0.57910365
20,1381,using sql to build new aggregates and extenders for object - relational systems,"h wang , c zaniolo",vldb,2000,47050,using sql to build new aggregates and extenders for object-relational systems,hwc zaniolo,,,0.8186184
21,1084,merge replication in microsoft 's sql server 7.0,b hammond,sigmod conference,1999,26734,data cleaning in microsoft sql server 2005,"s chaudhuri , k ganjam , v ganti , r kapoor , v","proceedings of the 2005 acm sigmod international conference & hellip ; ,",2005.0,0.007054337
22,1883,multiple-view self-maintenance in data warehousing environments,n huyn,vldb,1997,15003,"j , hammer , j. widom . view maintenance in a warehousing environment","y zhuge , h garcia-molina",proc . of the acm sigmod intl. conf . on management of,,0.0005460542
23,2036,a system for keyword proximity search on xml databases,"a balmin , v hristidis , n koudas , y papakonstantinou , d srivastava , t wang",vldb,2003,47255,keyword search in databases,sv rajnikant,,,5.6662486e-07
24,2588,guest editor 's introduction,,,2002,7916,guest editorial,c allocchio,"computer networks ,",2000.0,0.00038577925
25,1435,multi-dimensional substring selectivity estimation,"h jagadish , o kapitskaia , r ng , d srivastava",vldb,1999,59475,"an efficient subspace sampling framework for high-dimensional data reduction , selectivity estimation",se reduction,"ieee transactions on knowledge and data engineering ,",2004.0,1.3540431e-05
26,800,aqr-toolkit : an adaptive query routing middleware for distributed data intensive systems,"l liu , c pu , d buttler , w han , h paques , w tang",sigmod conference,2000,29677,mocha : a self-extensible database middleware system for distributed data sources,"m rodrä ± guez-martä ± nez , n roussopoulos","proceedings of the acm sigmod international conference on & hellip ; ,",2000.0,0.00020030241
27,806,metadata for multimedia documents,"k bіhm , t rakow",sigmod record,1994,6887,multimedia documents with elastic time,"my kim , j song","& hellip ; of the third acm international conference on multimedia ,",1995.0,0.012773816
28,925,lambda-db : an odmg-based object-oriented dbms,"l fegaras , c srinivasan , a rajendran , d maier",sigmod conference,2000,52718,sentinel : an object-oriented dbms with event-based rules .,"acms anthology , p edition",,,0.9949852
29,1856,power efficient data gathering and aggregation in wireless sensor networks,"h tan , i korpeoglu",sigmod record,2003,43531,in-network aggregation trade-offs for data collection in wireless sensor networks,"i solis , k obraczka",,,0.0009836401
30,74,database research at the university of illinois at urbana-champaign,"m winslett , k chang , a doan , j han , c zhai , y zhou",sigmod record,2002,40649,"university of illinois , urbana",ms bsee,"ph. d. , university of california , santa",,0.028216487
31,2538,an introduction to spatial database systems,r gќting,vldb j.,1994,15659,introduction to a system for distributed databases ( sdd-1 ),"jb rothnie jr , pa bernstein , s fox , n goodman , m","acm transactions on database systems ( tods ) ,",1980.0,8.2582e-05
32,19,mining generalized association rules,"r srikant , r agrawal",vldb,1995,6261,beyond market : generalizing association rules to correlations,"s brin , r motwani , c silverstein","processing of the acm sigmod conference ,",,4.3729815e-06
33,1391,local dimensionality reduction : a new approach to indexing high dimensional spaces,"k chakrabarti , s mehrotra",vldb,2000,10963,locally adaptive dimensionality reduction for indexing large time series databases,"e keogh , k chakrabarti , s mehrotra , m pazzani","sigmod conference ,",2001.0,0.00013437068
34,2113,processing sliding window multi-joins in continuous queries over data streams,"l golab , m жzsu",vldb,2003,4298,continuous queries over data streams,"s balu , j widom",,,0.0032093115
35,997,join synopses for approximate query answering,"s acharya , p gibbons , v poosala , s ramaswamy",sigmod conference,1999,53122,icicles : self-tuning samples for approximate query answering,"v ganti , ml lee , r ramakrishnan","vldb ,",2000.0,0.00017189822
36,667,advances in real-time database systems research,a bestavros,sigmod record,1996,8795,special issue on real-time database systems,a bestavros,"sigmod record ,",,0.6822338
37,2076,mixed mode xml query processing,"a halverson , j burger , l galanis , a kini , r krishnamurthy , a rao , f tian , s viglas , y wang , j naughton , d dewitt",vldb,2003,38242,compensation-based on-line query processing,"v srinivasan , mj carey","proceedings of the 1992 acm sigmod international conference & hellip ; ,",1992.0,0.0010559859
38,425,editor 's notes,m franklin,sigmod record,1998,50887,editor 's notes,rh silkman,"new directions for program evaluation ,",,1.4402062e-07
39,1487,metu interoperable database system,"a dogac , u halici , e kilic , g жzhan , f ozcan , s nural , c dengi , s mancuhan , i arpinar , p koksal , c evrendilek",sigmod conference,1996,16499,modern database systems,w kimâ ? ¦,,1995.0,1.6179432e-05
40,846,indexing the positions of continuously moving objects,"s saltenis , c jensen , s leutenegger , m lopez",sigmod conference,2000,53598,"lopez. , m. : indexing the position of continuously moving objects","s saltenis , c jensen , s leutenegger",proceedings of acm sigmod conference,,0.95298636
41,1785,sequence query processing,"p seshadri , m livny , r ramakrishnan",sigmod conference,1994,42348,xml query processing,"d florescu , d kossmann","data engineering , 2004 . proceedings . 20th international",,0.00034584056
42,1357,"set containment joins : the good , the bad and the ugly","k ramasamy , j patel , j naughton , r kaushik",vldb,2000,50278,"data management in ecommerce : the good , the bad , and the ugly",a gal,,,1.8835718e-06
43,1640,algorithms for mining association rules for binary segmentations of huge categorical databases,"y morimoto , t fukuda , h matsuzawa , t tokuyama , k yoda",vldb,1998,55264,mining association rules between sets ofitems in large databases,"r agrawal , t imielinski , a swami","conference on management of data . washington ,",,0.9285487
44,2213,generic database cost models for hierarchical memory systems,"s manegold , p boncz , m kersten",vldb,2002,26608,generalized search trees for database systems,"jm hellerstein , jf naughton , a pfeffer","vldb ,",1995.0,1.1119466e-05
