,ltable_id,ltable_title,ltable_authors,ltable_venue,ltable_year,rtable_id,rtable_title,rtable_authors,rtable_venue,rtable_year,match
0,1133,cure : an efficient clustering algorithm for large databases,"s guha , r rastogi , k shim",sigmod conference,1998,19588,efficient algorithm for projected clustering,"enk ka , aw fu",,,7.221879e-07
1,1829,open object database management systems,,,1994,59186,performance evaluation of a temporal database management system,"i ahn , r snodgrass","proceedings of the 1986 acm sigmod international conference & hellip ; ,",1986.0,4.6601906e-12
2,1953,an efficient algorithm for mining association rules in large databases,"a savasere , e omiecinski , s navathe",vldb,1995,5130,mining association rules between sets of items in large databases . 1993,"r agrawal , t imielinski , a swami",proc . acm sigmod international conference on management of,,6.6702543e-10
3,2310,formal query languages for secure relational databases,"m winslett , k smith , x qian",acm trans . database syst .,1994,28595,a visual query language for odmg-compliant databases,"m chavda , pt wood",,,3.9000937e-14
4,1845,a language based multidatabase system,"e kќhn , t tschernko , k schwarz",sigmod conference,1994,48451,a classification of multi-database languages,"m tresch , mh scholl , ibmar center , ca san jose","parallel and distributed information systems , 1994. , & hellip ; ,",1994.0,0.00027357868
5,211,using unknowns to prevent discovery of association rules,"y saygin , v verykios , c clifton",sigmod record,2001,2457,on the discovery of interesting patterns in association rules,"s ramaswamy , s mahajan , a silberschatz","vldb ,",1998.0,0.0053844936
6,1360,the distributed information search component ( disco ) and the world wide web,"a tomasic , r amouroux , p bonnet , o kapitskaia , h naacke , l raschid",sigmod conference,1997,11549,the distributed information search component ( disco ) and the world wide web,"a tomasic , r amouroux , p bonnet , o kapitskaia , h","sigmod conference ,",1997.0,0.9999956
7,652,open issues in parallel query optimization,"w hasan , d florescu , p valduriez",sigmod record,1996,31280,multi-query optimization,tk sellis,"acm trans . on database systems ,",,6.3903726e-17
8,1532,partition based spatial-merge join,"j patel , d dewitt",sigmod conference,1996,60672,size separation spatial join,"n koudas , kc sevcik","proceedings of the 1997 acm sigmod international conference & hellip ; ,",1997.0,0.023668416
9,1991,interview with jim gray,,,2003,30712,interview with authors,e larson,"san diego ,",,0.008696096
10,1712,the ecrc multi database system,"w jonker , h schќtz",sigmod conference,1995,41920,the o 2 object-oriented database system,f bancilhon,proceedings of the 1992 acm sigmod-international conference,,0.007400152
11,709,outlier detection for high dimensional data,"c aggarwal , p yu",sigmod conference,2001,45026,an effective and efficient algorithm for high-dimensional outlier detection,"cc aggarwal , ps yu","the vldb journal the international journal on very large & hellip ; ,",2005.0,7.078995e-12
12,2579,schemasql - a language for interoperability in relational multi-database systems,"l lakshmanan , f sadri , i subramanian",vldb,1996,42314,panel : interoperability in multidatabases : semantic and systems issues,y breitbartâ ? ¦,"proc of vldb ,",,0.99999976
13,696,database research at arizona state university,"s urban , s dietrich , f golshani",sigmod record,1996,46108,database research at hp labs,ma neimat,"sigmod record ,",1991.0,2.868664e-07
14,659,"olap , relational , and multidimensional database systems",g colliat,sigmod record,1996,12273,cmd : a multidimensional declustering method for parallel database systems,"l jianzhong , j srivastava , d rotem","proceedings of international conference on vldb , august ,",,1.8599196e-22
