,explanation,label,latency,match,prediction,row,type
0,"{'ltable_authors': -0.05602051041950326, 'ltable_title': -0.03743535662618058, 'ltable_venue': -0.011920052260331139, 'ltable_year': -0.003154720404066752, 'rtable_authors': 0.009578627505340595, 'rtable_title': -0.04524714197914197, 'rtable_venue': -0.013899673706249366, 'rtable_year': 0.007409191991352232}",0.0,3.328438326017931,0.0,[9.999993e-01 7.221879e-07],1133-19588,shap
1,"{'ltable_authors': 0.16893536301439482, 'ltable_title': -0.17771473723227119, 'ltable_venue': 0.005319792363425932, 'ltable_year': -0.004011687209348427, 'rtable_authors': 0.023186979114670436, 'rtable_title': -0.15243987798834133, 'rtable_venue': -0.0007049281269073046, 'rtable_year': -0.013260539834063473}",0.0,2.89124087797245,0.0,[1.0000000e+00 4.6601906e-12],1829-59186,shap
2,"{'ltable_authors': 0.11921413010328905, 'ltable_title': -0.12295867654877465, 'ltable_venue': -0.015911405220052063, 'ltable_year': -0.00475165461688995, 'rtable_authors': 0.017065753289552753, 'rtable_title': -0.1302801524960253, 'rtable_venue': -0.009232129441850756, 'rtable_year': -0.0038355009680292873}",0.0,3.0469351829960942,0.0,[1.0000000e+00 6.6702543e-10],1953-5130,shap
3,"{'ltable_authors': -0.03761666270777958, 'ltable_title': -0.04227216933145861, 'ltable_venue': -0.012885730585412411, 'ltable_year': -0.00023842594692918828, 'rtable_authors': -0.002839784160952208, 'rtable_title': -0.03966697238431344, 'rtable_venue': -0.01742972295885592, 'rtable_year': 0.0022598321769216334}",0.0,3.0842697990010493,0.0,[1.0000000e+00 3.9000937e-14],2310-28595,shap
4,"{'ltable_authors': 0.04669097269764681, 'ltable_title': -0.08783646842600952, 'ltable_venue': -0.010222519185249343, 'ltable_year': -0.004750849221997019, 'rtable_authors': -0.011906238369343, 'rtable_title': -0.07665511730054952, 'rtable_venue': -0.01113330058845484, 'rtable_year': 0.005357379622935171}",0.0,2.794634677004069,0.0,[9.9972636e-01 2.7357868e-04],1845-48451,shap
5,"{'ltable_authors': 0.017226517583763562, 'ltable_title': -0.07830366493440861, 'ltable_venue': 0.008684656398251583, 'ltable_year': 0.007061981407177856, 'rtable_authors': -0.0021768842837395774, 'rtable_title': -0.07408698461875807, 'rtable_venue': -0.02497640030784236, 'rtable_year': -0.004118856986764563}",0.0,2.966812909988221,0.0,[0.9946155  0.00538449],211-2457,shap
6,"{'ltable_authors': 0.1383713916851651, 'ltable_title': 0.3053081416783905, 'ltable_venue': -0.029400184332769252, 'ltable_year': 0.04205381921977147, 'rtable_authors': -0.005821646952715642, 'rtable_title': 0.3632101274634154, 'rtable_venue': 0.03645676130515729, 'rtable_year': -0.0027176973018649964}",1.0,3.3417276029940695,1.0,[4.389083e-06 9.999956e-01],1360-11549,shap
7,"{'ltable_authors': -0.012723780142832833, 'ltable_title': -0.07063067479908375, 'ltable_venue': 0.012431465268576594, 'ltable_year': 0.002769954700194921, 'rtable_authors': -0.0032886799098762742, 'rtable_title': -0.06469605634435997, 'rtable_venue': -0.01771076960817948, 'rtable_year': 0.003158904936780532}",0.0,2.775469954009168,0.0,[1.0000000e+00 6.3903726e-17],652-31280,shap
8,"{'ltable_authors': 0.054038296408293746, 'ltable_title': -0.11328523832482332, 'ltable_venue': 0.010299537365300843, 'ltable_year': 0.001185378870603368, 'rtable_authors': -0.0018640552730905119, 'rtable_title': -0.10250032458206522, 'rtable_venue': 0.0024583890326210778, 'rtable_year': -0.001020823367601592}",0.0,2.87729993800167,0.0,[0.9763316  0.02366842],1532-60672,shap
9,"{'ltable_authors': 0.13133658484471272, 'ltable_title': -0.10263294860414954, 'ltable_venue': -0.02490113851853039, 'ltable_year': -0.023545891161773705, 'rtable_authors': 0.009938899370875533, 'rtable_title': -0.12384720399387059, 'rtable_venue': 0.014705063789330217, 'rtable_year': -0.005598519429997131}",0.0,2.6592111960053444,0.0,[0.9913039 0.0086961],1991-30712,shap
10,"{'ltable_authors': 0.02265999120892931, 'ltable_title': -0.08979009553382386, 'ltable_venue': -0.0055096459374330276, 'ltable_year': -0.000516971714754455, 'rtable_authors': 0.005598203115653434, 'rtable_title': -0.08931914502501537, 'rtable_venue': 0.009559875548547786, 'rtable_year': -0.0033718215245234218}",0.0,2.9335063120233826,0.0,[0.99259984 0.00740015],1712-41920,shap
