,ltable_id,ltable_title,ltable_authors,ltable_venue,ltable_year,rtable_id,rtable_title,rtable_authors,rtable_venue,rtable_year,match
0,1133,cure : an efficient clustering algorithm for large databases,"s guha , r rastogi , k shim",sigmod conference,1998,19588,efficient algorithm for projected clustering,"enk ka , aw fu",,,0.052775077521800995
1,1829,open object database management systems,,,1994,59186,performance evaluation of a temporal database management system,"i ahn , r snodgrass","proceedings of the 1986 acm sigmod international conference & hellip ; ,",1986.0,0.05014870688319206
2,1953,an efficient algorithm for mining association rules in large databases,"a savasere , e omiecinski , s navathe",vldb,1995,5130,mining association rules between sets of items in large databases . 1993,"r agrawal , t imielinski , a swami",proc . acm sigmod international conference on management of,,0.053164757788181305
3,2310,formal query languages for secure relational databases,"m winslett , k smith , x qian",acm trans . database syst .,1994,28595,a visual query language for odmg-compliant databases,"m chavda , pt wood",,,0.05053173750638962
4,1845,a language based multidatabase system,"e kќhn , t tschernko , k schwarz",sigmod conference,1994,48451,a classification of multi-database languages,"m tresch , mh scholl , ibmar center , ca san jose","parallel and distributed information systems , 1994. , & hellip ; ,",1994.0,0.053837623447179794
5,211,using unknowns to prevent discovery of association rules,"y saygin , v verykios , c clifton",sigmod record,2001,2457,on the discovery of interesting patterns in association rules,"s ramaswamy , s mahajan , a silberschatz","vldb ,",1998.0,0.04712199792265892
6,652,open issues in parallel query optimization,"w hasan , d florescu , p valduriez",sigmod record,1996,31280,multi-query optimization,tk sellis,"acm trans . on database systems ,",,0.052090201526880264
7,1532,partition based spatial-merge join,"j patel , d dewitt",sigmod conference,1996,60672,size separation spatial join,"n koudas , kc sevcik","proceedings of the 1997 acm sigmod international conference & hellip ; ,",1997.0,0.05143139883875847
8,1991,interview with jim gray,,,2003,30712,interview with authors,e larson,"san diego ,",,0.04738489165902138
9,1712,the ecrc multi database system,"w jonker , h schќtz",sigmod conference,1995,41920,the o 2 object-oriented database system,f bancilhon,proceedings of the 1992 acm sigmod-international conference,,0.04957813024520874
10,709,outlier detection for high dimensional data,"c aggarwal , p yu",sigmod conference,2001,45026,an effective and efficient algorithm for high-dimensional outlier detection,"cc aggarwal , ps yu","the vldb journal the international journal on very large & hellip ; ,",2005.0,0.06984028220176697
11,2295,guest editorial,,,2003,8559,guest editor 's introduction,portal.acm.org,,,0.050565361976623535
12,2579,schemasql - a language for interoperability in relational multi-database systems,"l lakshmanan , f sadri , i subramanian",vldb,1996,42314,panel : interoperability in multidatabases : semantic and systems issues,y breitbartâ ? ¦,"proc of vldb ,",,0.04861459881067276
13,696,database research at arizona state university,"s urban , s dietrich , f golshani",sigmod record,1996,46108,database research at hp labs,ma neimat,"sigmod record ,",1991.0,0.04693162813782692
14,659,"olap , relational , and multidimensional database systems",g colliat,sigmod record,1996,12273,cmd : a multidimensional declustering method for parallel database systems,"l jianzhong , j srivastava , d rotem","proceedings of international conference on vldb , august ,",,0.04999462142586708
15,612,mining fuzzy association rules in databases,"c kuok , a fu , m wong",sigmod record,1998,42439,mining association rules from quantitative data,"tp hong , cs kuo , sc chi","intelligent data analysis ,",1999.0,0.05117684230208397
16,2185,grid data management systems & services,,,2003,10241,research directions in data base management systems,d tsichritzis,"acm sigmod record ,",1977.0,0.052944596856832504
17,980,data integration and warehousing in telecom italia,"s trisolini , m lenzerini , d nardi",sigmod conference,1999,58492,enterprise modeling and data warehousing in telecom italia,"d calvanese , l dragone , d nardi , r rosati , sm",,,0.40517598390579224
18,603,dyda : data warehouse maintenance in fully concurrent environments,"j chen , x zhang , s chen , a koeller , e rundensteiner",sigmod conference,2001,1832,efficient data view maintenance warehouses,"d agrawal , a el abbadi , a singh , t yurek","proc . acm sigmod ,",,0.04835988208651543
