,explanation,label,latency,match,prediction,row,type
0,"{'ltable_authors': 5.960381501093345e-11, 'ltable_id': 2.621241973595163e-10, 'ltable_title': -3.4648254113203226e-11, 'ltable_venue': -4.0093957969539514e-10, 'ltable_year': 3.2095501272270913e-10, 'rtable_authors': 7.927938076393127e-11, 'rtable_id': 2.6877397966590107e-10, 'rtable_title': -9.144358187334922e-11}",0.0,3.23777456197422,0.0,[0.94722492 0.05277508],1133-19588,mojito-c
1,"{'ltable_id': -8.735731590749016e-10, 'ltable_title': 1.101820904902942e-10, 'ltable_year': -9.568894480211893e-11, 'rtable_authors': 6.044769188320328e-11, 'rtable_id': 5.12911187710322e-10, 'rtable_title': 5.115748895683456e-11, 'rtable_venue': 2.9285425238198676e-11, 'rtable_year': -7.067762752418477e-10}",0.0,3.522216488025151,0.0,[0.94985129 0.05014871],1829-59186,mojito-c
2,"{'ltable_authors': -1.1628527837208923e-10, 'ltable_id': -9.100929082919606e-10, 'ltable_title': 3.5700336515713976e-11, 'ltable_venue': 3.3067283907681933e-10, 'ltable_year': 3.352491892734321e-11, 'rtable_authors': 4.666331167193804e-11, 'rtable_id': 2.8000222988671283e-10, 'rtable_title': -6.300732371457468e-11, 'rtable_venue': 6.011213009682202e-11}",0.0,4.006969227921218,0.0,[0.94683524 0.05316476],1953-5130,mojito-c
3,"{'ltable_authors': -1.1586037381777773e-10, 'ltable_id': -1.4495518622624352e-09, 'ltable_title': 1.9342517870577053e-10, 'ltable_venue': 8.884267267509869e-11, 'ltable_year': -7.59171120170094e-10, 'rtable_authors': -2.515629848947157e-10, 'rtable_id': 7.248133654418213e-10, 'rtable_title': -9.13952503216494e-11}",0.0,3.7744441740214825,0.0,[0.94946826 0.05053174],2310-28595,mojito-c
4,"{'ltable_authors': 3.5395484848889563e-34, 'ltable_id': -3.0752977356959668e-34, 'ltable_title': 5.75156483666e-34, 'ltable_venue': -2.2259143575128038e-34, 'ltable_year': -2.066246219647413e-33, 'rtable_authors': 4.2793733551871025e-35, 'rtable_id': 9.421521385268752e-34, 'rtable_title': -5.427626301157616e-35, 'rtable_venue': 2.0720308561187722e-34, 'rtable_year': 2.940238676238232e-33}",0.0,3.879007044946775,0.0,[0.94616238 0.05383762],1845-48451,mojito-c
5,"{'ltable_authors': 0.0, 'ltable_id': 0.0, 'ltable_title': 0.0, 'ltable_venue': 0.0, 'ltable_year': 0.0, 'rtable_authors': 0.0, 'rtable_id': 0.0, 'rtable_title': 0.0, 'rtable_venue': 0.0, 'rtable_year': 0.0}",0.0,3.265609277994372,0.0,[0.952878 0.047122],211-2457,mojito-c
6,"{'ltable_authors': -1.2435425730125027e-10, 'ltable_id': -1.7005231819028393e-11, 'ltable_title': 2.088557352322276e-10, 'ltable_venue': -6.220341639670365e-12, 'ltable_year': -3.500008382159076e-10, 'rtable_authors': -2.9712315679846063e-10, 'rtable_id': 8.544845701110453e-10, 'rtable_title': 3.112581503359116e-10, 'rtable_venue': 6.114342841378483e-11}",0.0,4.343621795997024,0.0,[0.9479098 0.0520902],652-31280,mojito-c
7,"{'ltable_authors': 4.0011638359810486e-34, 'ltable_id': 1.5945278817629536e-33, 'ltable_title': 1.6188214426294749e-34, 'ltable_venue': 1.2523820179451286e-34, 'ltable_year': 6.653220636243317e-34, 'rtable_authors': -1.1440708193411295e-34, 'rtable_id': 1.2261125103847852e-33, 'rtable_title': -3.1076832307858047e-35, 'rtable_venue': -1.0271701158345614e-34, 'rtable_year': -1.6899638443361758e-34}",0.0,3.3437364890705794,0.0,[0.9485686 0.0514314],1532-60672,mojito-c
8,"{'ltable_id': -1.6516636133397579e-09, 'ltable_title': -7.001119664113224e-11, 'ltable_year': -2.421318269249857e-10, 'rtable_authors': 8.494312760447359e-11, 'rtable_id': -4.6095184677297534e-11, 'rtable_title': 5.120881638081759e-10, 'rtable_venue': 5.871383608496888e-10}",0.0,3.8942059469409287,0.0,[0.95261511 0.04738489],1991-30712,mojito-c
9,"{'ltable_authors': -2.131368840890873e-10, 'ltable_id': -1.4576514292598257e-09, 'ltable_title': 3.87528294970992e-11, 'ltable_venue': 7.180783631638255e-10, 'ltable_year': 6.893779502109816e-11, 'rtable_authors': 8.13761378106972e-10, 'rtable_id': -5.862666830745405e-10, 'rtable_title': 8.345445665426837e-11, 'rtable_venue': -1.0448104673714502e-10}",0.0,2.761767891002819,0.0,[0.95042187 0.04957813],1712-41920,mojito-c
10,"{'ltable_authors': -6.18432472769436e-11, 'ltable_id': -1.6021988048469681e-09, 'ltable_title': -3.671682116160417e-10, 'ltable_venue': 5.588821442908891e-10, 'ltable_year': 1.2509201672909057e-09, 'rtable_authors': 9.609606546366784e-11, 'rtable_id': -7.243082754005413e-10, 'rtable_title': 2.682120773135374e-10, 'rtable_venue': 1.764877040239756e-10, 'rtable_year': -3.61823774637656e-10}",0.0,3.305182576063089,0.0,[0.93015972 0.06984028],709-45026,mojito-c
11,"{'ltable_id': 2.209743126253428e-10, 'ltable_title': 1.5368116487329165e-10, 'ltable_year': -9.22939379463901e-11, 'rtable_authors': -6.021820763985494e-10, 'rtable_id': -7.576553368798748e-10, 'rtable_title': -1.250106044018384e-10}",0.0,2.1950383950024843,0.0,[0.94943464 0.05056536],2295-8559,mojito-c
12,"{'ltable_authors': -5.476249969032445e-11, 'ltable_id': -5.510042297877743e-10, 'ltable_title': -4.722111935509658e-11, 'ltable_venue': -3.7162983802415374e-10, 'ltable_year': 1.0969902478144475e-10, 'rtable_authors': 1.318089858819768e-10, 'rtable_id': 4.2159077475416707e-10, 'rtable_title': -7.090087167889565e-11, 'rtable_venue': 1.8095990049816984e-10}",0.0,3.145559001946822,0.0,[0.9513854 0.0486146],2579-42314,mojito-c
