,explanation,type,latency,match,label,row,prediction
0,"{'ltable_authors': 2.696399867564389e-14, 'ltable_id': 5.191863758012817e-13, 'ltable_title': -7.062608997672875e-14, 'ltable_venue': 8.713094079824865e-13, 'ltable_year': 9.211490277790387e-13, 'rtable_authors': -8.420292018619921e-15, 'rtable_id': 1.5204865399768574e-13, 'rtable_title': -2.942921449705402e-13}",mojito-c,26.288365684999974,0.0,0.0,1133-19588,[9.9997914e-01 2.0917127e-05]
1,"{'ltable_authors': 9.998341263801601e-38, 'ltable_id': -6.613791065410318e-37, 'ltable_title': 5.444834806932293e-38, 'ltable_venue': 3.2733077512080576e-37, 'ltable_year': 1.0979441422619226e-37, 'rtable_authors': -1.2666381680775022e-38, 'rtable_id': 4.910965038887279e-37, 'rtable_title': 6.594880427348144e-38, 'rtable_venue': 1.179367309391575e-37}",mojito-c,25.394321811999816,0.0,0.0,1953-5130,[9.9997818e-01 2.1764585e-05]
2,"{'ltable_authors': 5.55034281955927e-15, 'ltable_id': 3.4803902305369157e-13, 'ltable_title': 5.5423023621468115e-14, 'ltable_venue': -1.5737582685657058e-13, 'ltable_year': -7.409006557650338e-13, 'rtable_authors': 6.732415260996792e-14, 'rtable_id': -4.3112177454994983e-13, 'rtable_title': 7.973998262599413e-14}",mojito-c,27.214242559999548,0.0,0.0,2310-28595,[9.9998081e-01 1.9172054e-05]
3,"{'ltable_authors': -1.1688578380778394e-38, 'ltable_id': 7.861828807922e-37, 'ltable_title': 5.343608093421708e-37, 'ltable_venue': -6.890369796955684e-37, 'ltable_year': -7.45124428698447e-37, 'rtable_authors': 4.949384347529458e-37, 'rtable_id': 3.2542572496965206e-36, 'rtable_title': 7.4517598945327185e-37, 'rtable_venue': 2.765337304145777e-37, 'rtable_year': -1.2187521626287136e-37}",mojito-c,26.487028802000168,0.0,0.0,1845-48451,[9.9997938e-01 2.0620393e-05]
4,"{'ltable_authors': 9.625789699555474e-38, 'ltable_id': 8.103144728680126e-38, 'ltable_title': -8.240883436064122e-39, 'ltable_venue': 2.626398567218859e-37, 'ltable_year': 1.0780608089636415e-38, 'rtable_authors': 1.2696879543677795e-37, 'rtable_id': -6.368454989680132e-37, 'rtable_title': -7.66251455808866e-38, 'rtable_venue': -1.69844059975016e-37, 'rtable_year': 3.1957150250243782e-37}",mojito-c,26.558086181000363,0.0,0.0,211-2457,[9.9997890e-01 2.1136679e-05]
5,"{'ltable_authors': -2.2265826480428667e-14, 'ltable_id': -9.75587899519463e-13, 'ltable_title': 4.089665317279744e-14, 'ltable_venue': -6.487386230271685e-13, 'ltable_year': -2.470158698410573e-13, 'rtable_authors': -1.5239572337132908e-13, 'rtable_id': 3.3129370686651256e-13, 'rtable_title': 5.205500537747521e-13, 'rtable_venue': 5.806036526260428e-14}",mojito-c,25.20938410599956,0.0,0.0,652-31280,[9.9998057e-01 1.9413830e-05]
6,"{'ltable_id': 1.539138085436912e-10, 'ltable_title': 8.593448687208776e-12, 'ltable_year': 1.966005946571487e-10, 'rtable_authors': 6.371776217240614e-11, 'rtable_id': -2.37298962546721e-10, 'rtable_title': -2.406872462201302e-10, 'rtable_venue': 4.45344616146725e-11}",mojito-c,30.220020421998925,0.0,0.0,1991-30712,[0.99486685 0.00513317]
7,"{'ltable_authors': 4.1292010140249805e-14, 'ltable_id': 9.334284797722484e-13, 'ltable_title': 1.9860007464686585e-13, 'ltable_venue': -7.772763505851677e-13, 'ltable_year': -1.7133085627643412e-12, 'rtable_authors': 5.110415411804431e-13, 'rtable_id': -1.1033796355853597e-12, 'rtable_title': 2.6203898097463673e-13, 'rtable_venue': -2.1134171353011645e-13}",mojito-c,23.727390098998512,0.0,0.0,1712-41920,[9.9996424e-01 3.5771023e-05]
8,"{'ltable_authors': -7.110115931697962e-14, 'ltable_id': -1.4960576294513257e-12, 'ltable_title': 4.888138953842467e-14, 'ltable_venue': -8.895649456007825e-13, 'ltable_year': -2.958886175676381e-13, 'rtable_authors': -5.78231259685238e-14, 'rtable_id': 6.065753013580131e-13, 'rtable_title': 1.9075535453572544e-13, 'rtable_venue': 6.039466202533001e-14, 'rtable_year': -6.762054074574605e-13}",mojito-c,23.734495197999422,0.0,0.0,709-45026,[9.9996161e-01 3.8439463e-05]
9,"{'ltable_id': 1.9442276736643906e-10, 'ltable_title': 5.841768353372638e-11, 'ltable_year': -7.311176016877063e-11, 'rtable_authors': 1.4923069293790962e-10, 'rtable_id': -2.706155235696621e-10, 'rtable_title': -1.0904146542243503e-10}",mojito-c,23.428982202000043,0.0,0.0,2295-8559,[0.9934598  0.00654014]
10,"{'ltable_authors': 4.745162555013187e-15, 'ltable_id': 3.615588746859868e-13, 'ltable_title': 3.7539646297991384e-14, 'ltable_venue': -5.673715068237875e-13, 'ltable_year': -6.435193589915136e-13, 'rtable_authors': 8.582686408273029e-14, 'rtable_id': -4.0947484485557873e-13, 'rtable_title': 6.421255004078101e-14, 'rtable_venue': -1.3257717073918422e-13}",mojito-c,23.733826522999152,0.0,0.0,2579-42314,[9.9997663e-01 2.3358418e-05]
