,explanation,type,latency,match,label,row,prediction
0,"{'ltable_authors': -0.0005106565071311162, 'ltable_title': -0.0004688232542352653, 'ltable_venue': -0.0004890071093422179, 'ltable_year': -0.0006779255861939393, 'rtable_authors': -0.00035238184704531136, 'rtable_title': -0.00030277386762434454}",mojito-d,26.033251624000002,0.0,0.0,1133-19588,[9.9997914e-01 2.0917127e-05]
1,"{'ltable_authors': -0.0003536502344953084, 'ltable_title': -0.00014427164591778986, 'rtable_authors': -0.00022978220508414025, 'rtable_title': -0.00029158632004844265}",mojito-d,25.066000390000227,0.0,0.0,1953-5130,[9.9997818e-01 2.1764585e-05]
2,"{'ltable_authors': -0.0017037718582464786, 'ltable_id': -0.001390907488325569, 'ltable_title': -0.0006343219725746947, 'ltable_venue': -0.0010182237170607883, 'ltable_year': -0.002491021709805157, 'rtable_authors': -0.001116059109946861, 'rtable_title': -0.0010493085013102686}",mojito-d,26.6991946320004,0.0,0.0,2310-28595,[9.9998081e-01 1.9172054e-05]
3,"{'ltable_authors': -0.0006921656459553503, 'ltable_title': -0.0003258914799098013, 'ltable_year': -0.001015533024209448, 'rtable_authors': -0.00041762768930181957, 'rtable_title': -0.0005097270568109993, 'rtable_venue': -0.0005297456362637526, 'rtable_year': -0.000650948109378339}",mojito-d,26.181850392999877,0.0,0.0,1845-48451,[9.9997938e-01 2.0620393e-05]
4,"{'ltable_authors': -0.00035546223170456284, 'ltable_id': -0.0001351637859044879, 'ltable_title': -0.0002908140942175382, 'ltable_year': -0.0003224268439301144, 'rtable_authors': -0.000425283848338322, 'rtable_id': -0.0004106313732933841, 'rtable_title': -0.0004937757071611457, 'rtable_year': -0.00045545318994263175}",mojito-d,26.920484380000744,0.0,0.0,211-2457,[9.9997890e-01 2.1136679e-05]
5,"{'ltable_authors': -0.0004948638287902144, 'ltable_id': -0.0006754055880859104, 'ltable_title': -0.0005505736129728167, 'ltable_venue': -0.000704520258075954, 'rtable_authors': -0.0003142878725814285, 'rtable_title': -7.67883736711807e-05, 'rtable_venue': -0.0005882085613821764}",mojito-d,24.70088535600007,0.0,0.0,652-31280,[9.9998057e-01 1.9413830e-05]
6,"{'ltable_id': -0.0043228215301274395, 'ltable_title': 0.0002960547931822362, 'ltable_year': -0.019843697961010466, 'rtable_authors': -0.011894106781441295, 'rtable_id': -0.018395410789561712, 'rtable_title': -0.006201638436380062, 'rtable_venue': -0.00610028217652893}",mojito-d,30.315725122000003,0.0,0.0,1991-30712,[0.99486685 0.00513317]
7,"{'ltable_authors': -0.0002578408043680147, 'ltable_id': -0.0004248988423057239, 'ltable_title': -0.0003345744516983734, 'ltable_venue': -0.000459449482315478, 'ltable_year': -0.00017132773664139874, 'rtable_authors': -0.0004141383672744745, 'rtable_title': -0.0001819129467228601, 'rtable_venue': -0.0004343972218713599}",mojito-d,23.734201322000445,0.0,0.0,1712-41920,[9.9996424e-01 3.5771023e-05]
8,"{'ltable_authors': -0.00040431997772061746, 'ltable_title': -0.0002241552419468388, 'rtable_authors': -0.0002310458039748953, 'rtable_title': -0.00039342884151218, 'rtable_venue': -0.00026220937927791816}",mojito-d,23.43919693999851,0.0,0.0,709-45026,[9.9996161e-01 3.8439463e-05]
9,"{'ltable_id': 0.0027563216575497962, 'ltable_title': -0.011717080735723825, 'ltable_year': -0.00465083932466038, 'rtable_authors': -0.01567113270650072, 'rtable_id': -0.0020952308988917596, 'rtable_title': -0.004583136262088765}",mojito-d,23.269447372000286,0.0,0.0,2295-8559,[0.9934598  0.00654014]
10,"{'ltable_authors': -0.0006480493615037782, 'ltable_id': -0.0004339411166449349, 'ltable_title': -0.0005183877570976799, 'ltable_venue': -0.00044015842095871045, 'rtable_authors': -0.0009405843877471282, 'rtable_title': -0.0003505438381292805, 'rtable_venue': -0.000787129955967843}",mojito-d,23.546376038000744,0.0,0.0,2579-42314,[9.9997663e-01 2.3358418e-05]
11,"{'ltable_authors': -0.00031968234380944164, 'ltable_title': -0.00022195307664710681, 'ltable_venue': -6.699186588832023e-05, 'ltable_year': -0.00021895686464432215, 'rtable_authors': -0.00019900219419045437, 'rtable_id': -0.00018223496398835567, 'rtable_title': -0.00026182129492932497, 'rtable_venue': -0.00012409317152177262, 'rtable_year': -0.00012615235503945187}",mojito-d,23.587055372998293,0.0,0.0,696-46108,[9.9997985e-01 2.0128369e-05]
12,"{'ltable_authors': -0.0002127974984314815, 'ltable_title': -0.0003215526095605353, 'rtable_authors': -0.0002209914032741592, 'rtable_title': -0.00013527974854761677, 'rtable_venue': -0.00031952633601487965}",mojito-d,23.783781203001126,0.0,0.0,659-12273,[9.9998140e-01 1.8541718e-05]
13,"{'ltable_authors': -0.0011077909961117148, 'ltable_id': -0.0008932912152519394, 'ltable_title': -0.001291283915186869, 'ltable_venue': -0.0011183797490171535, 'rtable_authors': -0.001106527361666213, 'rtable_title': -0.0011062600772926805, 'rtable_venue': -0.0009082272404823103, 'rtable_year': -0.0018116349999430326}",mojito-d,23.334406486999796,0.0,0.0,612-42439,[9.9998188e-01 1.8167533e-05]
14,"{'ltable_title': -0.0008013159282447926, 'ltable_year': -0.000584285970490848, 'rtable_title': -0.0006745853371104102, 'rtable_venue': -1.7762978465521233e-05}",mojito-d,24.51310335600283,0.0,0.0,2185-10241,[9.999794e-01 2.056568e-05]
15,"{'ltable_authors': -0.001127624861421102, 'ltable_id': -0.0018980672725352628, 'ltable_title': -0.0012984253344289166, 'ltable_venue': -0.00019802339850641246, 'rtable_authors': -0.0011879509428968525, 'rtable_title': -0.0009836537145698735}",mojito-d,23.619983454998874,0.0,0.0,980-58492,[9.9997413e-01 2.5872019e-05]
16,"{'ltable_authors': -0.0009086656263955118, 'ltable_title': -0.0007553005922631671, 'ltable_venue': -0.0003219506859865312, 'rtable_authors': -0.0005157203446228182, 'rtable_title': -0.00025905209415246026, 'rtable_venue': -0.0006280861989133484}",mojito-d,23.3611339329982,0.0,0.0,603-1832,[9.9997902e-01 2.0972713e-05]
17,"{'ltable_authors': -0.0005997481157904075, 'ltable_title': -0.0005610521272388788, 'rtable_authors': -0.0004639396197009702, 'rtable_id': -0.00047817249414897945, 'rtable_title': -0.00027421292881748356, 'rtable_venue': -0.00014764829632159598}",mojito-d,66.09807764599827,0.0,0.0,2310-35508,[9.9997962e-01 2.0427253e-05]
18,"{'ltable_authors': -0.00041438425477251413, 'ltable_title': -0.0003654790825797081, 'ltable_venue': -0.00020464501814639204, 'rtable_authors': -0.0005861571956398979, 'rtable_id': -0.0009803610667650012, 'rtable_title': -0.0007649714385710585, 'rtable_venue': -0.0005348539480150529, 'rtable_year': -0.0009120151246303698}",mojito-d,27.510206759994617,0.0,0.0,1084-26734,[9.9997914e-01 2.0883899e-05]
19,"{'ltable_authors': -0.00013704790807236812, 'ltable_title': -0.00032478840300936737, 'rtable_authors': -0.0002430342041104519, 'rtable_title': -0.00020505660888998431, 'rtable_venue': -0.00023230190855540352}",mojito-d,23.919376194004144,0.0,0.0,1883-15003,[9.9997354e-01 2.6461228e-05]
20,"{'ltable_authors': -0.0003748861899983389, 'ltable_title': -0.00031292044490312704, 'ltable_year': -0.00019091527739599238}",mojito-d,23.1989651469994,0.0,0.0,2036-47255,[9.9998057e-01 1.9384581e-05]
21,"{'ltable_title': -0.0038081304831691955, 'rtable_authors': 0.005931032250353306, 'rtable_id': -0.007907633026640245, 'rtable_title': -0.009059449294704492, 'rtable_venue': -0.005301707291983095, 'rtable_year': -0.01584025844898965}",mojito-d,23.253491005998512,0.0,0.0,2588-7916,[9.999368e-01 6.312190e-05]
