,explanation,type,latency,match,label,row,prediction
0,"{'ltable_authors': -0.018392363686295446, 'ltable_title': -0.07692596853169657, 'ltable_venue': -0.00611946066636368, 'ltable_year': 0.008986691923323999, 'rtable_authors': -0.0205851528452662, 'rtable_title': -0.06990084933139465, 'rtable_venue': 0.0022111073406949205, 'rtable_year': 0.000765557671507322}",shap,1255.895959293,0.0,0.0,1133-19588,[9.9997914e-01 2.0917127e-05]
1,"{'ltable_authors': -0.014120242937850622, 'ltable_title': -0.06921805520326987, 'ltable_venue': -0.006492500212137486, 'ltable_year': 0.01144222925958531, 'rtable_authors': -0.045863261528397314, 'rtable_title': -0.058819301695245296, 'rtable_venue': 0.0019379823419619913, 'rtable_year': 0.0011723504239444238}",shap,1323.658818684,0.0,0.0,1953-5130,[9.9997818e-01 2.1764585e-05]
2,"{'ltable_authors': -0.017806488723337136, 'ltable_title': -0.06945385824618844, 'ltable_venue': -0.016156679491275028, 'ltable_year': 0.007698111332256903, 'rtable_authors': -0.02313634839424685, 'rtable_title': -0.06142130269083425, 'rtable_venue': 0.0013517794181645282, 'rtable_year': -0.0010363406069607006}",shap,1260.2465104860003,0.0,0.0,2310-28595,[9.9998081e-01 1.9172054e-05]
3,"{'ltable_authors': -0.020890724028049285, 'ltable_title': -0.05665965778519308, 'ltable_venue': -0.008598516387819138, 'ltable_year': 0.012792153799685804, 'rtable_authors': -0.03604561686288076, 'rtable_title': -0.048150886243390506, 'rtable_venue': -0.02109487393044493, 'rtable_year': -0.0013127789744604157}",shap,1271.6595053390001,0.0,0.0,1845-48451,[9.9997938e-01 2.0620393e-05]
4,"{'ltable_authors': -0.018606024549429168, 'ltable_title': -0.05893379891475184, 'ltable_venue': -0.011569238679496274, 'ltable_year': 0.007833103640365921, 'rtable_authors': -0.0398078257196354, 'rtable_title': -0.04937707490401866, 'rtable_venue': -0.006657557765112648, 'rtable_year': -0.0028419774976310708}",shap,1305.7876732180002,0.0,0.0,211-2457,[9.9997890e-01 2.1136679e-05]
5,"{'ltable_authors': -0.01490561777995518, 'ltable_title': -0.07564030450189009, 'ltable_venue': -0.013197655992579826, 'ltable_year': 0.007698968237185855, 'rtable_authors': -0.007225888224909056, 'rtable_title': -0.06901342507590626, 'rtable_venue': -0.007323948916807599, 'rtable_year': -0.0003522248683227036}",shap,1417.5259274210002,0.0,0.0,652-31280,[9.9998057e-01 1.9413830e-05]
6,"{'ltable_authors': -0.035911534019737124, 'ltable_title': -0.055640629706134564, 'ltable_venue': -0.0031371173132898333, 'ltable_year': -0.002059760534249541, 'rtable_authors': -0.01547409996231311, 'rtable_title': -0.05142065739797291, 'rtable_venue': 0.006968944154033346, 'rtable_year': -0.003605773025159159}",shap,1502.2979680050012,0.0,0.0,1991-30712,[0.99486685 0.00513317]
7,"{'ltable_authors': -0.02035675073754374, 'ltable_title': -0.07571981671888953, 'ltable_venue': -0.005879155016216053, 'ltable_year': 0.008108009134540947, 'rtable_authors': -0.017808153815057987, 'rtable_title': -0.06943611271336092, 'rtable_venue': 0.0003084515724924297, 'rtable_year': 0.0008277557017416226}",shap,1157.7929791079987,0.0,0.0,1712-41920,[9.9996424e-01 3.5771023e-05]
8,"{'ltable_authors': -0.006331985067819665, 'ltable_title': -0.0809851753255737, 'ltable_venue': -0.013023523144712973, 'ltable_year': 0.008567383980588386, 'rtable_authors': -0.011563092429622494, 'rtable_title': -0.07260386576769806, 'rtable_venue': -0.005394076810512599, 'rtable_year': 0.0013819410842070001}",shap,1159.521161689001,0.0,0.0,709-45026,[9.9996161e-01 3.8439463e-05]
9,"{'ltable_authors': -0.028874874395358276, 'ltable_title': -0.07371906631890006, 'ltable_venue': -0.003398182588422921, 'ltable_year': 0.005974640892153285, 'rtable_authors': -0.014906662545033506, 'rtable_title': -0.06950706453784199, 'rtable_venue': 0.009217882901007335, 'rtable_year': 0.0031902531473073092}",shap,1156.0869041840015,0.0,0.0,2295-8559,[0.9934598  0.00654014]
