,explanation,label,latency,match,prediction,row,type
0,"{'rtable_Song_Name': 0.044157608695652176, 'rtable_Album_Name': 0.026324728260869564, 'rtable_Genre': 0.022418478260869564, 'rtable_Time': 0.021739130434782608, 'rtable_Released': 0.022927989130434784, 'rtable_Artist_Name': 0.024286684782608696, 'rtable_CopyRight': 0.021908967391304348, 'rtable_Price': 0.021059782608695652}",0.0,84.8381915659993,0.0,[9.9995589e-01 4.4064673e-05],3505-30346,certa
1,{},0.0,104.97281228401698,0.0,[0.967307   0.03269303],5343-47894,certa
2,"{'ltable_Song_Name': 0.559921875, 'ltable_Artist_Name': 0.285078125, 'ltable_Album_Name': 0.288046875, 'ltable_Genre': 0.2853125, 'ltable_Price': 0.28375, 'ltable_CopyRight': 0.28390625, 'ltable_Time': 0.28359375, 'ltable_Released': 0.284453125, 'rtable_Song_Name': 0.42734375, 'rtable_Price': 0.367890625, 'rtable_CopyRight': 0.34875, 'rtable_Time': 0.3796875, 'rtable_Released': 0.345859375, 'rtable_Artist_Name': 0.326484375, 'rtable_Album_Name': 0.3165625, 'rtable_Genre': 0.3684375}",1.0,181.03115756897023,1.0,[0.38597977 0.6140202 ],3354-17643,certa
3,"{'rtable_Song_Name': 0.0038352272727272727, 'rtable_Album_Name': 0.0032670454545454543, 'rtable_Genre': 0.0035511363636363635, 'rtable_Price': 0.0026988636363636364, 'rtable_CopyRight': 0.0026988636363636364, 'rtable_Time': 0.001278409090909091, 'rtable_Released': 0.0019886363636363634, 'rtable_Artist_Name': 0.0007102272727272727}",0.0,98.67712213599589,0.0,[9.9999726e-01 2.7300453e-06],1268-34910,certa
4,"{'ltable_Song_Name': 0.199765625, 'ltable_Artist_Name': 0.111328125, 'ltable_Price': 0.10515625, 'ltable_Time': 0.104296875, 'ltable_Album_Name': 0.112578125, 'ltable_Genre': 0.103046875, 'ltable_CopyRight': 0.104140625, 'ltable_Released': 0.09890625, 'rtable_Artist_Name': 0.000703125, 'rtable_Album_Name': 0.000703125, 'rtable_Price': 0.000546875, 'rtable_Time': 0.000703125, 'rtable_Genre': 0.000390625, 'rtable_CopyRight': 0.000234375}",0.0,196.00903234200086,0.0,[9.999716e-01 2.838323e-05],1176-34919,certa
5,"{'ltable_Song_Name': 0.099609375, 'ltable_Time': 0.05140625, 'ltable_Price': 0.05, 'ltable_CopyRight': 0.05203125, 'ltable_Released': 0.0503125, 'ltable_Artist_Name': 0.048828125, 'ltable_Album_Name': 0.063828125, 'ltable_Genre': 0.056796875}",0.0,192.32900599000277,0.0,[9.9919099e-01 8.0905523e-04],1156-28014,certa
6,"{'rtable_Song_Name': 0.11841299019607843, 'rtable_Artist_Name': 0.0586703431372549, 'rtable_Album_Name': 0.058363970588235295, 'rtable_Genre': 0.06173406862745098, 'rtable_Price': 0.06602328431372549, 'rtable_CopyRight': 0.06786151960784313, 'rtable_Time': 0.05805759803921569, 'rtable_Released': 0.06112132352941176, 'ltable_Song_Name': 0.15180759803921567, 'ltable_Artist_Name': 0.07674632352941177, 'ltable_Album_Name': 0.09313725490196079, 'ltable_Genre': 0.08302696078431372, 'ltable_Price': 0.07919730392156862, 'ltable_CopyRight': 0.07766544117647059, 'ltable_Time': 0.0741421568627451, 'ltable_Released': 0.07643995098039216}",0.0,100.19020548800472,0.0,[9.9997270e-01 2.7325113e-05],2718-17189,certa
7,"{'rtable_Artist_Name': 0.0019321236559139785, 'rtable_Album_Name': 0.0020161290322580645, 'rtable_Price': 0.0012600806451612903, 'rtable_Genre': 0.0015120967741935483, 'rtable_CopyRight': 0.0012600806451612903, 'rtable_Time': 0.0013440860215053765, 'rtable_Released': 0.0008400537634408602, 'ltable_Song_Name': 0.05838373655913978, 'ltable_Artist_Name': 0.03419018817204301, 'ltable_Album_Name': 0.029485887096774195, 'ltable_Genre': 0.022765456989247312, 'ltable_Price': 0.02847782258064516, 'ltable_CopyRight': 0.03461021505376344, 'ltable_Time': 0.030325940860215055, 'ltable_Released': 0.028645833333333332}",0.0,175.00120686698938,0.0,[0.8401674  0.15983254],1164-28001,certa
8,"{'rtable_Song_Name': 0.263203125, 'rtable_Artist_Name': 0.126484375, 'rtable_Album_Name': 0.1265625, 'rtable_Genre': 0.143046875, 'rtable_Price': 0.13390625, 'rtable_CopyRight': 0.1275, 'rtable_Time': 0.13484375, 'rtable_Released': 0.131484375, 'ltable_Song_Name': 0.062265625, 'ltable_Artist_Name': 0.031640625, 'ltable_Album_Name': 0.031796875, 'ltable_Genre': 0.031640625, 'ltable_Price': 0.031015625, 'ltable_CopyRight': 0.030390625, 'ltable_Time': 0.031640625, 'ltable_Released': 0.031796875}",0.0,182.34043424099218,0.0,[0.98241246 0.01758747],271-53030,certa
9,"{'ltable_Song_Name': 0.005245535714285714, 'ltable_Artist_Name': 0.007477678571428572, 'ltable_Price': 0.0056919642857142854, 'ltable_Genre': 0.006473214285714286, 'ltable_CopyRight': 0.010825892857142857, 'ltable_Released': 0.006361607142857143, 'ltable_Album_Name': 0.010602678571428572, 'ltable_Time': 0.006361607142857143, 'rtable_Song_Name': 0.053459821428571426, 'rtable_Artist_Name': 0.029799107142857145, 'rtable_Price': 0.029129464285714286, 'rtable_CopyRight': 0.02890625, 'rtable_Genre': 0.02779017857142857, 'rtable_Released': 0.026785714285714284, 'rtable_Time': 0.025111607142857144, 'rtable_Album_Name': 0.019754464285714285}",0.0,129.90195253299316,0.0,[9.9983144e-01 1.6857269e-04],796-33113,certa
10,"{'rtable_Song_Name': 0.101171875, 'rtable_CopyRight': 0.054609375, 'rtable_Album_Name': 0.04859375, 'rtable_Price': 0.05359375, 'rtable_Time': 0.050625, 'rtable_Genre': 0.053125, 'rtable_Released': 0.05078125, 'rtable_Artist_Name': 0.046796875, 'ltable_Song_Name': 0.007421875, 'ltable_Album_Name': 0.002421875, 'ltable_Artist_Name': 0.002578125, 'ltable_Price': 0.00375, 'ltable_Released': 0.003828125, 'ltable_Genre': 0.005078125, 'ltable_Time': 0.004140625, 'ltable_CopyRight': 0.004296875}",0.0,178.55013648601016,0.0,[9.9998057e-01 1.9465388e-05],3922-43866,certa
11,"{'rtable_Song_Name': 0.2203125, 'rtable_Artist_Name': 0.41703125, 'rtable_Album_Name': 0.420390625, 'rtable_Genre': 0.416875, 'rtable_Price': 0.42140625, 'rtable_CopyRight': 0.433671875, 'rtable_Time': 0.417578125, 'rtable_Released': 0.421328125, 'ltable_Artist_Name': 0.211484375, 'ltable_Genre': 0.213125, 'ltable_Price': 0.219921875, 'ltable_CopyRight': 0.19921875, 'ltable_Time': 0.2078125, 'ltable_Released': 0.21125, 'ltable_Album_Name': 0.2065625, 'ltable_Song_Name': 0.09328125}",0.0,180.94091945904074,0.0,[0.9781356  0.02186445],2748-17158,certa
12,"{'rtable_Song_Name': 0.4035247093023256, 'rtable_Album_Name': 0.21329941860465115, 'rtable_Genre': 0.20675872093023256, 'rtable_Price': 0.20421511627906977, 'rtable_CopyRight': 0.20857558139534885, 'rtable_Time': 0.19821947674418605, 'rtable_Released': 0.2089389534883721, 'rtable_Artist_Name': 0.19622093023255813}",1.0,85.65355626697419,0.0,[0.9984433  0.00155666],5761-21517,certa
13,{},1.0,8.914659837028012,0.0,[9.9942696e-01 5.7305704e-04],5726-4470,certa
14,"{'rtable_Price': 0.007265625, 'rtable_CopyRight': 0.009296875, 'rtable_Time': 0.004765625, 'rtable_Released': 0.005546875, 'ltable_Album_Name': 0.008515625, 'ltable_Genre': 0.006953125, 'ltable_Price': 0.004609375, 'ltable_CopyRight': 0.005234375, 'ltable_Time': 0.004296875, 'ltable_Released': 0.004609375, 'rtable_Album_Name': 0.0078125, 'rtable_Genre': 0.003203125, 'rtable_Song_Name': 0.00171875, 'rtable_Artist_Name': 0.00015625, 'ltable_Artist_Name': 0.002109375}",0.0,180.90212682198035,0.0,[9.9999869e-01 1.3012882e-06],306-22303,certa
15,"{'rtable_Song_Name': 0.009957107843137254, 'rtable_Artist_Name': 0.00505514705882353, 'rtable_Album_Name': 0.00505514705882353, 'rtable_Genre': 0.00505514705882353, 'rtable_Price': 0.00505514705882353, 'rtable_Time': 0.00505514705882353, 'rtable_Released': 0.00505514705882353, 'ltable_Song_Name': 0.05162377450980392, 'ltable_Album_Name': 0.029564950980392156, 'ltable_Genre': 0.025888480392156864, 'ltable_Price': 0.025582107843137254, 'ltable_Time': 0.025888480392156864, 'ltable_CopyRight': 0.025582107843137254, 'ltable_Released': 0.025888480392156864, 'ltable_Artist_Name': 0.026501225490196078}",1.0,99.57925450894982,0.0,[0.9225481  0.07745191],1636-27530,certa
16,"{'rtable_Song_Name': 0.01622596153846154, 'rtable_Price': 0.007091346153846154, 'rtable_CopyRight': 0.006850961538461538, 'rtable_Time': 0.008533653846153845, 'rtable_Genre': 0.0078125, 'rtable_Released': 0.008173076923076924, 'rtable_Artist_Name': 0.006370192307692308, 'rtable_Album_Name': 0.006610576923076923}",0.0,116.34171626804164,0.0,[0.998505   0.00149508],956-44081,certa
17,"{'ltable_Artist_Name': 0.36578125, 'ltable_Genre': 0.3775, 'ltable_CopyRight': 0.365390625, 'ltable_Time': 0.358984375, 'ltable_Song_Name': 0.399765625, 'ltable_Album_Name': 0.361796875, 'ltable_Released': 0.345703125, 'ltable_Price': 0.360859375, 'rtable_Genre': 0.1715625, 'rtable_CopyRight': 0.175625, 'rtable_Time': 0.175234375, 'rtable_Released': 0.16875, 'rtable_Artist_Name': 0.1653125, 'rtable_Price': 0.146953125, 'rtable_Song_Name': 0.22, 'rtable_Album_Name': 0.10921875}",0.0,197.5759271950228,0.0,[0.9477022  0.05229783],5074-36946,certa
18,"{'rtable_Song_Name': 0.0284375, 'rtable_Album_Name': 0.017578125, 'rtable_Artist_Name': 0.015, 'rtable_Genre': 0.0146875, 'rtable_Price': 0.013828125, 'rtable_Time': 0.014921875, 'rtable_Released': 0.013828125, 'rtable_CopyRight': 0.013828125}",0.0,181.39700820395956,0.0,[9.999498e-01 5.021881e-05],2020-28393,certa
19,"{'ltable_Song_Name': 0.04430042613636364, 'ltable_Artist_Name': 0.025124289772727272, 'ltable_Genre': 0.027254971590909092, 'ltable_CopyRight': 0.023082386363636364, 'ltable_Released': 0.0234375, 'ltable_Album_Name': 0.020596590909090908, 'ltable_Price': 0.0224609375, 'ltable_Time': 0.021928267045454544, 'rtable_Artist_Name': 0.03968394886363636, 'rtable_Genre': 0.03125, 'rtable_Album_Name': 0.04323508522727273, 'rtable_Price': 0.039595170454545456, 'rtable_Time': 0.02654474431818182, 'rtable_Released': 0.026811079545454544, 'rtable_CopyRight': 0.027254971590909092, 'rtable_Song_Name': 0.023171164772727272}",0.0,167.13084564602468,0.0,[0.99581796 0.00418201],1199-27992,certa
20,"{'ltable_Song_Name': 0.12064302884615384, 'ltable_Artist_Name': 0.0635516826923077, 'ltable_Album_Name': 0.0692608173076923, 'ltable_Price': 0.0655048076923077, 'ltable_CopyRight': 0.05934495192307692, 'ltable_Genre': 0.0692608173076923, 'ltable_Time': 0.06084735576923077, 'ltable_Released': 0.061147836538461536}",0.0,96.96134587697452,0.0,[9.999943e-01 5.689354e-06],322-22292,certa
21,"{'ltable_Song_Name': 0.004588293650793651, 'ltable_Artist_Name': 0.004092261904761905, 'ltable_Price': 0.0033482142857142855, 'ltable_CopyRight': 0.0035962301587301585, 'ltable_Genre': 0.0023561507936507935, 'ltable_Time': 0.0023561507936507935, 'ltable_Released': 0.0023561507936507935, 'ltable_Album_Name': 0.0016121031746031745, 'rtable_Song_Name': 0.03187003968253968, 'rtable_Artist_Name': 0.014756944444444444, 'rtable_Album_Name': 0.014508928571428572, 'rtable_CopyRight': 0.015004960317460318, 'rtable_Released': 0.013020833333333334, 'rtable_Genre': 0.016865079365079364, 'rtable_Price': 0.01636904761904762, 'rtable_Time': 0.015997023809523808}",0.0,113.14491991698742,0.0,[0.9788673  0.02113268],1292-34023,certa
