,explanation,label,latency,match,prediction,row,type
0,"{'ltable_Album_Name': 0.08402148895067621, 'ltable_Artist_Name': 0.05421725083701892, 'ltable_CopyRight': -0.08411063597088395, 'ltable_Genre': 0.005939194553937386, 'ltable_Price': 0.04746876278254815, 'ltable_Released': -0.017022073531571147, 'ltable_Song_Name': -0.07703682577343808, 'ltable_Time': 0.0023158516829726375, 'rtable_Album_Name': -0.5045196528828625, 'rtable_Artist_Name': -0.03144737195887949, 'rtable_CopyRight': 0.05302639818305331, 'rtable_Genre': 0.007734932507634464, 'rtable_Price': 0.15625896242490475, 'rtable_Released': 0.06333912786859312, 'rtable_Song_Name': 0.05521262288781991, 'rtable_Time': -0.02115985651921909}",0.0,2.0811417999793775,0.0,[9.9995589e-01 4.4064673e-05],3505-30346,landmark
1,"{'ltable_Album_Name': -0.10980015062455953, 'ltable_Artist_Name': -0.07029604219681469, 'ltable_CopyRight': 0.06478263962991307, 'ltable_Genre': -0.040805447642690854, 'ltable_Price': -0.005764436992501225, 'ltable_Released': -0.06129420531925307, 'ltable_Song_Name': -0.22408481594377977, 'ltable_Time': 0.02756323278100778, 'rtable_Album_Name': 0.156028944975259, 'rtable_Artist_Name': 0.038204587797338554, 'rtable_CopyRight': 0.006369315262841759, 'rtable_Genre': 0.012440592470622337, 'rtable_Price': 0.030009453223123806, 'rtable_Released': 0.001151903361804811, 'rtable_Song_Name': 0.3200207076551686, 'rtable_Time': 0.04391678231176682}",0.0,2.2486576250521466,0.0,[0.967307   0.03269303],5343-47894,landmark
2,"{'ltable_Album_Name': 0.12579583565145602, 'ltable_Artist_Name': 0.13730709926092066, 'ltable_CopyRight': 0.18967086192703336, 'ltable_Genre': -0.12980794012928257, 'ltable_Price': 0.11226983994253334, 'ltable_Released': -0.042024630301209766, 'ltable_Song_Name': -0.00852860280864946, 'ltable_Time': -0.009635546360900391, 'rtable_Album_Name': 0.3288037467809411, 'rtable_Artist_Name': 0.22973494992364757, 'rtable_CopyRight': 0.2059574599587493, 'rtable_Genre': 0.547896649956872, 'rtable_Price': 0.353454964043961, 'rtable_Released': 0.33913627435615895, 'rtable_Song_Name': -0.5460639210742628, 'rtable_Time': 0.024300417368578693}",1.0,1.6814977730391547,1.0,[0.38597977 0.6140202 ],3354-17643,landmark
3,"{'ltable_Album_Name': 0.013662420697660771, 'ltable_Artist_Name': -0.0060612705955378435, 'ltable_CopyRight': 0.013182003868215355, 'ltable_Genre': 0.005792127750172124, 'ltable_Price': 0.00803893872996611, 'ltable_Released': -0.007372325039996698, 'ltable_Song_Name': 0.011127593050664988, 'ltable_Time': 0.0017693841351924637, 'rtable_Album_Name': 0.006741701696350353, 'rtable_Artist_Name': -0.01860316639897109, 'rtable_CopyRight': -0.07929705160197786, 'rtable_Genre': 0.00742230685412026, 'rtable_Price': -0.006667910506781219, 'rtable_Released': 0.0034572819752373813, 'rtable_Song_Name': -0.03278068956721156, 'rtable_Time': 0.015812058850217643}",0.0,2.1653685140190646,0.0,[9.9999726e-01 2.7300453e-06],1268-34910,landmark
4,"{'ltable_Album_Name': -0.008703545267354638, 'ltable_Artist_Name': 0.003146185003454845, 'ltable_CopyRight': -0.014544701517043353, 'ltable_Genre': -0.019520046017663318, 'ltable_Price': -0.023128973503111265, 'ltable_Released': 0.004898118278503338, 'ltable_Song_Name': -0.019917150610764153, 'ltable_Time': 0.0066452385405741925, 'rtable_Album_Name': 0.005882457700219675, 'rtable_Artist_Name': -0.0220731219099409, 'rtable_CopyRight': -0.0015997540567441642, 'rtable_Genre': 0.007910349653253587, 'rtable_Price': 0.009218003207536633, 'rtable_Released': -0.009569479587213589, 'rtable_Song_Name': -0.04692601660052735, 'rtable_Time': -0.004168176368773105}",0.0,2.6116344850161113,0.0,[9.999716e-01 2.838323e-05],1176-34919,landmark
5,"{'ltable_Album_Name': 0.04933015970344526, 'ltable_Artist_Name': -0.15797693595114812, 'ltable_CopyRight': -0.15401456124443488, 'ltable_Genre': -0.27649360407552237, 'ltable_Price': 0.1503601229106706, 'ltable_Released': 0.07116015932292817, 'ltable_Song_Name': 0.10247542550343637, 'ltable_Time': 0.018485342394788128, 'rtable_Album_Name': 0.03331321387357383, 'rtable_Artist_Name': 0.20814282721107707, 'rtable_CopyRight': -0.06418620428943998, 'rtable_Genre': -0.08525613350223722, 'rtable_Price': -0.0959123023783234, 'rtable_Released': -0.11480263752324976, 'rtable_Song_Name': 0.6781430150180383, 'rtable_Time': -0.06947602634444142}",0.0,2.316973951004911,0.0,[9.9919099e-01 8.0905523e-04],1156-28014,landmark
6,"{'ltable_Album_Name': -0.1386874939871214, 'ltable_Artist_Name': 0.024151985195403503, 'ltable_CopyRight': -0.010486508324872183, 'ltable_Genre': -0.03399732868004296, 'ltable_Price': 0.006738011289894733, 'ltable_Released': 0.013903043863324123, 'ltable_Song_Name': -0.09676733902592798, 'ltable_Time': 0.009056368813878961, 'rtable_Album_Name': -0.031545887894729494, 'rtable_Artist_Name': -0.024394120910233782, 'rtable_CopyRight': -0.22722980323969738, 'rtable_Genre': 0.04068574599186771, 'rtable_Price': 0.01844590941347904, 'rtable_Released': 0.028574904339153277, 'rtable_Song_Name': 0.08529963141145126, 'rtable_Time': -0.010707826254858147}",0.0,1.9410946110147052,0.0,[9.9997270e-01 2.7325113e-05],2718-17189,landmark
7,"{'ltable_Album_Name': -0.025592806953881046, 'ltable_Artist_Name': -0.005750532619666741, 'ltable_CopyRight': -0.019581575530860013, 'ltable_Genre': -0.006337702762703569, 'ltable_Price': -0.016302865738514055, 'ltable_Released': 0.0012963890796337217, 'ltable_Song_Name': 0.022573285943426148, 'ltable_Time': -0.0016291037792978292, 'rtable_Album_Name': 0.024061175375887603, 'rtable_Artist_Name': 0.10846541088878928, 'rtable_CopyRight': 0.024178095591493497, 'rtable_Genre': -0.013285967182662596, 'rtable_Price': 0.013549607835193966, 'rtable_Released': -0.20531088604604059, 'rtable_Song_Name': -0.07954432975487995, 'rtable_Time': -0.007533424134221229}",0.0,2.39665220095776,0.0,[0.8401674  0.15983254],1164-28001,landmark
8,"{'ltable_Album_Name': -0.21270214932008935, 'ltable_Artist_Name': -0.2316050870471864, 'ltable_CopyRight': 0.5000025530658699, 'ltable_Genre': -0.033367317142695606, 'ltable_Price': 0.024349921759980415, 'ltable_Released': 0.05408435568671717, 'ltable_Song_Name': -0.4038186748105409, 'ltable_Time': -0.004476054743585889, 'rtable_Album_Name': -0.034510628031597886, 'rtable_Artist_Name': -0.00636860077279533, 'rtable_CopyRight': -0.20893458568717507, 'rtable_Genre': -0.31372527362854774, 'rtable_Price': 0.17427719308250966, 'rtable_Released': -0.3170794236073226, 'rtable_Song_Name': -0.3069829219891728, 'rtable_Time': 0.1425189093079962}",0.0,1.687429066048935,0.0,[0.98241246 0.01758747],271-53030,landmark
9,"{'ltable_Album_Name': -0.3490718553872421, 'ltable_Artist_Name': 0.0455956779416185, 'ltable_CopyRight': 0.050003944626362457, 'ltable_Genre': 0.10678727415865624, 'ltable_Price': 0.16690333457871517, 'ltable_Released': 0.03361461768819964, 'ltable_Song_Name': -0.14137764047975462, 'ltable_Time': -0.023006035493189324, 'rtable_Album_Name': 0.112450654843456, 'rtable_Artist_Name': -0.14404538024963176, 'rtable_CopyRight': 0.05296717515569571, 'rtable_Genre': -0.04682312969067463, 'rtable_Price': 0.010902084726892842, 'rtable_Released': -0.07150728130387013, 'rtable_Song_Name': -0.14303282943424878, 'rtable_Time': 0.025734919056586744}",0.0,2.1455870310310274,0.0,[9.9983144e-01 1.6857269e-04],796-33113,landmark
