,explanation,label,latency,match,prediction,row,type
0,"{'ltable_Album_Name': 0.07411199891040485, 'ltable_Artist_Name': 0.09321759522055234, 'ltable_CopyRight': 0.03902473678924674, 'ltable_Genre': -0.027749827459277607, 'ltable_Price': 0.06308692099980008, 'ltable_Released': 0.036063505231403746, 'ltable_Song_Name': -0.14798180439014766, 'ltable_Time': 0.06657050254873545, 'rtable_Album_Name': -0.6633476599330809, 'rtable_Artist_Name': -0.04597027816201796, 'rtable_CopyRight': -0.052116643784603615, 'rtable_Genre': -0.008708942875726551, 'rtable_Price': 0.16654447507962025, 'rtable_Released': 0.09997129067615595, 'rtable_Song_Name': 0.09460039115456603, 'rtable_Time': -0.012427287972648422}",0.0,2.0887741079786792,0.0,[9.9998844e-01 1.1579945e-05],3505-30346,landmark
1,"{'ltable_Album_Name': -0.2062972905735284, 'ltable_Artist_Name': -0.052482580526689276, 'ltable_CopyRight': 0.03992600359733033, 'ltable_Genre': 0.09278001842884417, 'ltable_Price': 0.10889803855533765, 'ltable_Released': 0.04252846507651264, 'ltable_Song_Name': 0.549965320038619, 'ltable_Time': 0.07680469126097861, 'rtable_Album_Name': 0.424498416301192, 'rtable_Artist_Name': -0.001613178323370816, 'rtable_CopyRight': 0.13549624484428963, 'rtable_Genre': -0.12451183999992384, 'rtable_Price': 0.1763419309815834, 'rtable_Released': 0.14041126571338447, 'rtable_Song_Name': 0.3234975243216295, 'rtable_Time': -0.11742396709704545}",0.0,2.2845671719987877,1.0,[0.44146803 0.558532  ],5343-47894,landmark
2,"{'ltable_Album_Name': 0.06710421991368351, 'ltable_Artist_Name': 0.19183033458281562, 'ltable_CopyRight': 0.19087504894403862, 'ltable_Genre': -0.0674882908470759, 'ltable_Price': 0.09893557164977024, 'ltable_Released': 0.08388767213940025, 'ltable_Song_Name': -0.14084609480589166, 'ltable_Time': 0.013085818721898838, 'rtable_Album_Name': 0.23641046017796224, 'rtable_Artist_Name': 0.1947199625534342, 'rtable_CopyRight': 0.14301077505761275, 'rtable_Genre': 0.49228792082106754, 'rtable_Price': 0.3542847181113578, 'rtable_Released': -0.029427037232620423, 'rtable_Song_Name': -0.12592283326562412, 'rtable_Time': -0.019819522534143118}",1.0,1.6149728509481065,1.0,[0.16396587 0.83603406],3354-17643,landmark
3,"{'ltable_Album_Name': 0.10907150364789699, 'ltable_Artist_Name': 0.015819661039813627, 'ltable_CopyRight': -0.009916001407948611, 'ltable_Genre': -0.12863132023995927, 'ltable_Price': -0.010060921656731675, 'ltable_Released': -0.0010319123372603822, 'ltable_Song_Name': -0.00442658597019548, 'ltable_Time': 0.01119939175367106, 'rtable_Album_Name': 0.05850298172306823, 'rtable_Artist_Name': -0.046163118641423466, 'rtable_CopyRight': -0.1454773696494211, 'rtable_Genre': -0.011286584926886549, 'rtable_Price': 0.03786768032780423, 'rtable_Released': 0.029177511654154574, 'rtable_Song_Name': 0.040273545962058566, 'rtable_Time': -0.015211400800791563}",0.0,2.1515469899750315,0.0,[9.9999964e-01 3.5092538e-07],1268-34910,landmark
4,"{'ltable_Album_Name': 0.07085671627201182, 'ltable_Artist_Name': -0.07974748780323712, 'ltable_CopyRight': -0.07954518224564672, 'ltable_Genre': 0.024731366475074606, 'ltable_Price': -0.05811163995418153, 'ltable_Released': -0.032339391794647926, 'ltable_Song_Name': -0.3609545743219691, 'ltable_Time': 0.019855237882019906, 'rtable_Album_Name': 0.053750753355189404, 'rtable_Artist_Name': -0.03931114203250078, 'rtable_CopyRight': -0.10710534569296526, 'rtable_Genre': 0.03472542550880485, 'rtable_Price': 0.004973102994549741, 'rtable_Released': -0.02146499681025393, 'rtable_Song_Name': 0.20871972922850296, 'rtable_Time': 0.004148745598478311}",0.0,2.5683702299720608,0.0,[0.9989728  0.00102726],1176-34919,landmark
5,"{'ltable_Album_Name': -0.0890661531477259, 'ltable_Artist_Name': -0.019562817016875324, 'ltable_CopyRight': -0.015115839269196941, 'ltable_Genre': -0.17834443255637622, 'ltable_Price': 0.12124509801131898, 'ltable_Released': 0.032144561006190356, 'ltable_Song_Name': -0.2300492205989541, 'ltable_Time': -0.048620423727405354, 'rtable_Album_Name': -0.05312695114719476, 'rtable_Artist_Name': 0.10739121671711228, 'rtable_CopyRight': -0.11291026464951198, 'rtable_Genre': -0.15711860251619258, 'rtable_Price': -0.2257499090273658, 'rtable_Released': -0.06970829106374343, 'rtable_Song_Name': 0.7395681567719186, 'rtable_Time': 0.06875448775748372}",0.0,2.376468004018534,0.0,[0.998357   0.00164304],1156-28014,landmark
6,"{'ltable_Album_Name': -0.16676593402827872, 'ltable_Artist_Name': -0.001143502340138344, 'ltable_CopyRight': -0.02243558153214214, 'ltable_Genre': 0.005427939494146781, 'ltable_Price': -0.009043664653038564, 'ltable_Released': -0.04353602908922352, 'ltable_Song_Name': -0.0701482119497553, 'ltable_Time': 0.07028529474904543, 'rtable_Album_Name': 0.0053859128734202785, 'rtable_Artist_Name': -0.00734044374341042, 'rtable_CopyRight': 0.009844734633963024, 'rtable_Genre': 0.006570649733442322, 'rtable_Price': 0.0063130959202437175, 'rtable_Released': 0.043898236913066595, 'rtable_Song_Name': -0.15011601326914972, 'rtable_Time': -0.021169497866653057}",0.0,1.9560966480057687,0.0,[9.9998224e-01 1.7795159e-05],2718-17189,landmark
7,"{'ltable_Album_Name': 0.018240736753906535, 'ltable_Artist_Name': 0.05117805132423363, 'ltable_CopyRight': 0.05404295257503078, 'ltable_Genre': -0.1890791073059481, 'ltable_Price': -0.0592756000007432, 'ltable_Released': -0.03242765364979602, 'ltable_Song_Name': -0.023551068905899204, 'ltable_Time': 0.02769499852481995, 'rtable_Album_Name': 0.011478525973056633, 'rtable_Artist_Name': 0.0018790848877518478, 'rtable_CopyRight': 0.06466596368965122, 'rtable_Genre': -0.0017157472272512873, 'rtable_Price': -0.02866815461597123, 'rtable_Released': -0.22957723245341402, 'rtable_Song_Name': 0.15121372875753988, 'rtable_Time': -0.02741194975935985}",0.0,2.313544502016157,0.0,[0.88840824 0.11159175],1164-28001,landmark
8,"{'ltable_Album_Name': -0.2833459239023478, 'ltable_Artist_Name': -0.158635704176643, 'ltable_CopyRight': 0.7651296810949155, 'ltable_Genre': 0.016230160198001956, 'ltable_Price': 0.029941019725839534, 'ltable_Released': -0.11723547754500657, 'ltable_Song_Name': -0.7190021253137465, 'ltable_Time': 0.03437159978604633, 'rtable_Album_Name': 0.24382341541053776, 'rtable_Artist_Name': 0.15300056522969047, 'rtable_CopyRight': -0.7381339686757752, 'rtable_Genre': -0.31648360616102644, 'rtable_Price': 0.208420323075032, 'rtable_Released': -0.4310084980904018, 'rtable_Song_Name': -0.0854972071662406, 'rtable_Time': 0.15466746115514352}",0.0,1.7841102759703062,0.0,[0.97482294 0.02517706],271-53030,landmark
9,"{'ltable_Album_Name': -0.7614999811719003, 'ltable_Artist_Name': -0.03190165815038379, 'ltable_CopyRight': 0.06077981846797438, 'ltable_Genre': 0.12698323270029882, 'ltable_Price': 0.19959295866991872, 'ltable_Released': 0.11561207383699096, 'ltable_Song_Name': 0.02311413817379284, 'ltable_Time': -0.1537517166102221, 'rtable_Album_Name': 0.6031880815850741, 'rtable_Artist_Name': -0.3573030428487523, 'rtable_CopyRight': -8.533548820539166e-05, 'rtable_Genre': -0.0022228179246055746, 'rtable_Price': -0.07037960735140317, 'rtable_Released': 0.11825442974342251, 'rtable_Song_Name': -0.2652200315995404, 'rtable_Time': 0.04121287140694347}",0.0,2.1845080829807557,0.0,[9.9999964e-01 3.9736358e-07],796-33113,landmark
