,explanation,label,latency,match,prediction,row,type
0,"{'ltable_CopyRight': -5.830760364378291e-15, 'ltable_Price': 1.0386960230579586e-14, 'ltable_Song_Name': 5.145378657170253e-16, 'ltable_id': 6.036900280576968e-14, 'rtable_Album_Name': -2.0635332766092495e-15, 'rtable_Artist_Name': 1.2861189352439767e-14, 'rtable_CopyRight': 3.5064732929877363e-15, 'rtable_Price': 2.8064115903123362e-14, 'rtable_Song_Name': 8.887025398085485e-16, 'rtable_Time': -4.5071231099405704e-14, 'rtable_id': 4.708877171751292e-14}",0.0,1.4571731220348738,0.0,[9.9998844e-01 1.1579945e-05],3505-30346,mojito-c
1,"{'ltable_CopyRight': 2.7840076188059043e-11, 'ltable_Song_Name': -1.0520382757698275e-12, 'ltable_id': -1.3302904216673982e-10, 'rtable_Artist_Name': -1.7507847049644629e-10, 'rtable_Genre': -1.5114402485044822e-10, 'rtable_Song_Name': -6.431058779800354e-13, 'rtable_Time': 5.894100870073579e-13, 'rtable_id': -4.085794323826681e-10}",0.0,1.4305482599884272,1.0,[0.44146803 0.558532  ],5343-47894,mojito-c
2,"{'ltable_Genre': 2.685908631638288e-10, 'ltable_Released': 1.3613736163409844e-10, 'ltable_Song_Name': -2.856111662198796e-12, 'ltable_id': -4.2988540332628844e-10, 'rtable_Album_Name': -1.321891694387467e-10, 'rtable_Genre': 3.1284398869491855e-10, 'rtable_Price': -9.969740356079e-11, 'rtable_Released': 8.585296919453877e-11, 'rtable_Song_Name': -6.196466157343771e-11, 'rtable_Time': 1.8166707078323013e-10, 'rtable_id': 1.4151392786247683e-10}",1.0,1.0876319439848885,1.0,[0.16396587 0.83603406],3354-17643,mojito-c
3,"{'ltable_Album_Name': -2.5630724750434457e-13, 'ltable_Genre': 1.7615578533174676e-12, 'ltable_Song_Name': 1.6700892261664294e-13, 'ltable_Time': -5.982683521803077e-12, 'ltable_id': 1.1941114373637091e-12, 'rtable_Album_Name': 7.150623206083856e-13, 'rtable_Artist_Name': -7.65892188313542e-13, 'rtable_CopyRight': 7.090858026073756e-14, 'rtable_Price': 1.0234345552061783e-12, 'rtable_Song_Name': 1.255774361493858e-13, 'rtable_Time': 3.7540966396596846e-12, 'rtable_id': 2.8213389268511393e-12}",0.0,1.5177060409914702,0.0,[9.9999964e-01 3.5092538e-07],1268-34910,mojito-c
4,"{'ltable_Artist_Name': -3.469127181686178e-11, 'ltable_Price': -3.757995321981599e-12, 'ltable_Song_Name': -7.763539022925626e-13, 'ltable_id': -1.3522356524154523e-11, 'rtable_Song_Name': 4.379557454327435e-13, 'rtable_id': 8.869768214175662e-12}",0.0,1.6815951960161328,0.0,[0.9989728  0.00102726],1176-34919,mojito-c
5,"{'ltable_Album_Name': -2.4554906885375767e-10, 'ltable_Genre': 9.142910014834004e-11, 'ltable_Price': 5.076230274617843e-10, 'ltable_Released': -1.7522874187924206e-09, 'ltable_Song_Name': -3.733283701695534e-11, 'ltable_id': -3.0847886928234865e-09, 'rtable_Artist_Name': 1.1009907714469989e-09, 'rtable_Song_Name': 1.2099075821761624e-11, 'rtable_Time': 2.5515960450724203e-09, 'rtable_id': 3.608920038635973e-09}",0.0,1.5807536630309187,0.0,[0.998357   0.00164304],1156-28014,mojito-c
6,"{'ltable_Album_Name': 2.2390968017147095e-11, 'ltable_Song_Name': -3.2364453686432403e-14, 'ltable_Time': -9.141918896062118e-11, 'ltable_id': 6.220076352321589e-11, 'rtable_CopyRight': 2.8110925711834933e-11, 'rtable_Song_Name': -1.8673309231761754e-11, 'rtable_Time': 2.3939849371823136e-10, 'rtable_id': -2.244800574359108e-10}",0.0,1.2998878869693726,0.0,[9.9998224e-01 1.7795159e-05],2718-17189,mojito-c
7,"{'ltable_Genre': -1.5374669847928758e-17, 'ltable_Song_Name': 3.404557428985542e-19, 'ltable_Time': -1.1660908477794877e-18, 'ltable_id': 1.1438420684405795e-18, 'rtable_Artist_Name': -4.996968331610556e-17, 'rtable_Price': -3.359341108369313e-17, 'rtable_Released': -8.117767466885029e-19, 'rtable_Song_Name': -4.244907623571166e-18, 'rtable_id': 1.5472863935989016e-16}",0.0,1.5207900040550157,0.0,[0.88840824 0.11159175],1164-28001,mojito-c
8,"{'ltable_CopyRight': 5.7712830316707e-33, 'ltable_Song_Name': 1.0067840369094249e-34, 'ltable_id': -2.2036745512071615e-32, 'rtable_CopyRight': 2.0669050271786467e-33, 'rtable_Genre': 1.4187744732593945e-32, 'rtable_Released': -7.224454734129335e-33, 'rtable_Song_Name': -3.0091699380312963e-34, 'rtable_id': 1.4930222599020288e-32}",0.0,1.160836565948557,0.0,[0.97482294 0.02517706],271-53030,mojito-c
9,"{'ltable_Album_Name': -1.1023416981833363e-09, 'ltable_Price': -1.0124986319079947e-08, 'ltable_Song_Name': 3.3690702024744094e-11, 'ltable_Time': 8.520841407296302e-09, 'ltable_id': 6.940282373217472e-09, 'rtable_Album_Name': 4.825655823725379e-09, 'rtable_Artist_Name': 3.499814741195557e-09, 'rtable_Song_Name': 7.177639084454903e-10, 'rtable_Time': 8.72520135958442e-09, 'rtable_id': 1.1701353443715837e-08}",0.0,1.5410161460167728,0.0,[9.9999964e-01 3.9736358e-07],796-33113,mojito-c
10,"{'ltable_CopyRight': -2.872543294167588e-11, 'ltable_Genre': -1.3651382855759375e-11, 'ltable_Released': 9.727915168048704e-11, 'ltable_Song_Name': 2.2430600660505455e-13, 'ltable_Time': -5.318386495683458e-12, 'ltable_id': 9.011041298525795e-11, 'rtable_Album_Name': 1.5673451990250137e-11, 'rtable_Artist_Name': -1.4238221358864264e-10, 'rtable_CopyRight': -3.5782346808521695e-11, 'rtable_Price': 1.0938224872385138e-10, 'rtable_Song_Name': 5.661745979985676e-12, 'rtable_id': -4.9267755853544724e-12}",0.0,1.402838759997394,0.0,[9.9999797e-01 1.9875329e-06],3922-43866,mojito-c
11,"{'ltable_CopyRight': 3.5478097648137455e-09, 'ltable_Song_Name': -1.316429716412893e-10, 'ltable_Time': 1.372335667672795e-09, 'ltable_id': -8.16413562341285e-09, 'rtable_Album_Name': -1.779813076623153e-10, 'rtable_Artist_Name': 1.3031966351412016e-08, 'rtable_CopyRight': -5.371093873610635e-10, 'rtable_Song_Name': -8.019807313795283e-10, 'rtable_Time': 6.381073305832816e-09, 'rtable_id': 6.393665322426982e-09}",0.0,1.3724866189877503,0.0,[0.9056172  0.09438284],2748-17158,mojito-c
