,ltable_id,ltable_Song_Name,ltable_Artist_Name,ltable_Album_Name,ltable_Genre,ltable_Price,ltable_CopyRight,ltable_Time,ltable_Released,rtable_id,rtable_Song_Name,rtable_Artist_Name,rtable_Album_Name,rtable_Genre,rtable_Price,rtable_CopyRight,rtable_Time,rtable_Released,match,label
0,3505,"Elevator ( feat . Timbaland ) Flo Rida Mail On Sunday ( Deluxe Version ) Hip-Hop/Rap , Music , Dirty South 3:55 17-Mar-08",,,,$ 1.99,2008 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States,,,30346,"Money Right ( feat . Rick Ross & Brisco ) [ Explicit ] Rap & Hip-Hop March 17 , 2008",Flo Rida,Mail On Sunday [ Explicit ],,$ 1.29,2013 Warner Bros. . Records Inc.,3:17,,0.08907060325145721,0
1,5343,"The Woodland Realm ( Extended Version ) Howard Shore The Hobbit : The Desolation of Smaug ( Original Motion Picture Soundtrack ) [ Special Edition ] Soundtrack , Music , Soundtrack , Classical , Original Score $ 1.29 5:14 10-Dec-13",,,,,‰ ãÑ 2013 WaterTower Music,,,47894,"The High Fells ( Extended Version ) The Hobbit : The Desolation of Smaug ( Original Motion Picture Soundtrack ) [ Special Edition ] $ 1.29 2013 WaterTower Music / Warner Bros. . Entertainment / Metro - Goldwyn Mayer Pictures Inc. December 10 , 2013",Howard Shore,,Soundtracks,,,3:38,,0.22211092710494995,0
2,1176,"Dangerous ( feat . Sam Martin ) [ Robin Schulz Remix ] [ Radio Edit ] Listen ( Deluxe Version ) Dance , Music , Rock , House , Electronic , French Pop 2014 What A Music Ltd. under exclusive license to Parlophone/Warner Music France , under exclusive license to Atlantic Recording Corporation for the United States . All rights reserved . 3:20 24-Nov-14",David Guetta,,,$ 1.29,,,,34919,"Missing You ( Feat . Novel ; Continuous Mix Version ) David Guetta One Love ( Deluxe Version ) Dance & Electronic $ 1.29 ( C ) 2014 Swedish House Mafia Holdings Ltd ( BVI ) under exclusive license to Virgin Records Ltd 4:59 August 21 , 2009",,,,,,,,0.060050129890441895,0
3,1156,"Dangerous ( feat . Sam Martin ) [ Robin Schulz Remix ] [ Radio Edit ] David Guetta 2014 What A Music Ltd. under exclusive license to Parlophone/Warner Music France , under exclusive license to Atlantic Recording Corporation for the United States . All rights reserved . 3:20",,Listen ( Deluxe Version ),"Dance , Music , Rock , House , Electronic , French Pop",$ 1.29,,,24-Nov-14,28014,"What I did for Love ( feat . Emeli SandÌ © ) Listen ( Deluxe ) Dance & Electronic $ 1.29 2015 If Moving Your Mine November 24 , 2014",David Guetta,,,,,3:27,,0.034267209470272064,0
4,2718,"Whateva ( feat . Monty ) Fetty Wap Hip-Hop/Rap , Music , Rap Album Only 2015 300 Entertainment/RGF Productions",,Fetty Wap ( Deluxe ),,,,5:11,,17189,"My Way ( feat . Monty ) [ Clean ] Fetty Wap Fetty Wap [ Clean ] Rap & Hip-Hop $ 1.29 September 25 , 2015",,,,,"( C ) 2000 Mute Records Ltd. , a BMG Company , under exclusive license to INgrooves",3:32,,0.07828184217214584,0
5,1164,"Dangerous ( feat . Sam Martin ) [ Robin Schulz Remix ] [ Radio Edit ] David Guetta Listen ( Deluxe Version ) $ 1.29 2014 What A Music Ltd. under exclusive license to Parlophone/Warner Music France , under exclusive license to Atlantic Recording Corporation for the United States . All rights reserved . 24-Nov-14",,,"Dance , Music , Rock , House , Electronic , French Pop",,,3:20,,28001,Listen ( feat . John Legend ) Listen ( Deluxe ) Dance & Electronic 2015 If Moving Your Mine 3:46,David Guetta,,,$ 1.29,,,"November 24 , 2014",0.06457687169313431,0
6,796,"As Long As You Love Me ( feat . Big Sean ) [ Audien Luvstep Mix ] Justin Bieber Dance , Music , Rock 2012 The Island Def Jam Music Group 11-Sep-12",,As Long As You Love Me ( Remixes ) [ feat . Big Sean ],,$ 1.29,,4:40,,33113,"Never Say Never [ feat . Jaden Smith ] Pop $ 1.29 ( C ) 2011 The Island Def Jam Music Group February 14 , 2011",Justin Bieber,Never Say Never - The Remixes,,,,3:48,,0.0340871699154377,0
7,3922,Talk Dirty ( feat . 2 Chainz ) [ TJR Remix ] Jason Derulo Talk Dirty ( feat . 2 Chainz ) [ TJR Remix ] - Single $ 1.29,,,"Pop , Music , R&B / Soul , Rock , Dance , Contemporary R&B",,2014 Warner Bros. . Records Inc.,4:07,2-May-14,43866,"Kama Sutra ( feat . Kid Ink ) Pop 3:36 September 10 , 2013",Jason Derulo,Talk Dirty [ Clean ],,$ 1.29,2014 Warner Bros. . Records Inc.,,,0.11992423236370087,0
8,2748,"Whateva ( feat . Monty ) Fetty Wap Fetty Wap ( Deluxe ) Hip-Hop/Rap , Music , Rap Album Only",,,,,2015 300 Entertainment/RGF Productions,5:11,,17158,"Rewind ( feat . Monty ) [ Clean ] Rap & Hip-Hop $ 1.29 September 25 , 2015",Fetty Wap,Fetty Wap ( Deluxe ) [ Clean ],,,"( C ) 2000 Mute Records Ltd. , a BMG Company , under exclusive license to INgrooves",5:36,,0.08372543752193451,0
9,306,Lifted ( feat . Emeli Sand ' © & Professor Green ) Hotel Cabana ( Deluxe Version ) $ 1.29 2013 Naughty Boy Recordings Ltd under exclusive licence to Virgin Records Ltd 4:15,Naughty Boy,,"Pop , Music , Rock , R&B / Soul , Contemporary R&B , Dance,Electronic,Hip-Hop / Rap , Pop/Rock",,,,6-May-14,22303,"Wonder [ feat . Emeli SandÌ © ] Hotel Cabana [ Explicit ] 3:27 May 6 , 2014",Naughty Boy,,Pop,$ 1.29,( C ) 2014 Naughty Boy Recordings Ltd under exclusive licence to Virgin Records Ltd,,,0.1288178414106369,0
10,956,Teardrops On My Guitar ( Pop Version ) Taylor Swift 24-Oct-06,,Taylor Swift ( Bonus Track Version ),"Country , Music , Pop , Teen Pop , Honky Tonk , Contemporary Country",$ 0.99,"2008 Big Machine Records , LLC All Rights Reserved Under License to UMGD",2:59,,44081,"Teardrops On My Guitar ( Radio Single Remix ) Country $ 1.29 March 18 , 2008",Taylor Swift,Taylor Swift,,,"( C ) 2008 Big Machine Records , LLC All Rights Reserved Under License to UMGD",3:23,,0.2736900746822357,0
11,5074,"Love Is Gone ( Fred Rister & Joachim Garraud Remix ) David Guetta Pop Life ( Extended Version ) [ Bonus Version ] Dance , Music , Rock , Pop , House , Electronic , Electronica , Adult Alternative $ 1.99 ‰ ãÑ 2007 Gum Records 3:42",,,,,,,18-Sep-07,36946,"We Found Love David Guetta Dance & Electronic , House 2012 Blue Drum Records 3:35",,Pop for Your Weekend [ Explicit ],,$ 1.29,,,,0.13307347893714905,0
12,2020,"If I Am a Stranger ( Live In Amsterdam ) Ryan Adams Live After Deaf ( Live ) [ Complete Collection ] Singer/Songwriter , Music , Rock $ 0.99 2012 PAXAM RECORDS 5:10 2-Jul-12",,,,,,,,28393,My Wrecking Ball ( Live At Carnegie Hall / 11/17/2014 ) Rock,Ryan Adams,Live At Carnegie Hall [ Explicit ],,$ 1.29,( C ) 2015 PaxAmericana Recording Company Under Exclusive Licenese To Blue Note Records,5:22,"April 21 , 2015",0.10272438079118729,0
