,explanation,label,latency,match,prediction,row,type
0,"{'ltable_Album_Name': 0.0, 'ltable_Artist_Name': 0.0, 'ltable_CopyRight': 0.0, 'ltable_Genre': 0.0, 'ltable_Price': -0.0018223649594019467, 'ltable_Released': 0.0, 'ltable_Song_Name': -0.058045764510177594, 'ltable_Time': 0.0, 'rtable_Album_Name': -0.012694801070734618, 'rtable_Artist_Name': -0.004235289982065321, 'rtable_CopyRight': 0.0, 'rtable_Genre': 0.0, 'rtable_Price': 0.0, 'rtable_Released': 0.0, 'rtable_Song_Name': -0.05726592892440602, 'rtable_Time': 0.0}",0.0,232.79179013699923,0.0,[0.9109294 0.0890706],3505-30346,shap
1,"{'ltable_Album_Name': 0.012124261777778825, 'ltable_Artist_Name': 0.0, 'ltable_CopyRight': 0.0, 'ltable_Genre': 0.0, 'ltable_Price': 0.0, 'ltable_Released': 0.0, 'ltable_Song_Name': -0.05617587126474372, 'ltable_Time': 0.019097346901742238, 'rtable_Album_Name': 0.00920342329607949, 'rtable_Artist_Name': 0.004818670133231062, 'rtable_CopyRight': 0.0, 'rtable_Genre': 0.0, 'rtable_Price': 0.0, 'rtable_Released': 0.0, 'rtable_Song_Name': 0.06540708491740707, 'rtable_Time': -0.013281479265535245}",0.0,236.08985181699973,0.0,[0.77788907 0.22211093],5343-47894,shap
2,"{'ltable_Album_Name': 0.0, 'ltable_Artist_Name': -0.01425391643603937, 'ltable_CopyRight': 0.0, 'ltable_Genre': 0.0, 'ltable_Price': 0.0, 'ltable_Released': 0.0, 'ltable_Song_Name': -0.08304401213124844, 'ltable_Time': 0.0, 'rtable_Album_Name': 0.0, 'rtable_Artist_Name': 0.0, 'rtable_CopyRight': 0.0, 'rtable_Genre': 0.0, 'rtable_Price': 0.0, 'rtable_Released': 0.0, 'rtable_Song_Name': -0.05289847875827805, 'rtable_Time': 0.0}",0.0,250.00993562300027,0.0,[0.93994987 0.06005013],1176-34919,shap
3,"{'ltable_Album_Name': -0.04753966864045697, 'ltable_Artist_Name': 0.0, 'ltable_CopyRight': 0.0, 'ltable_Genre': 0.0, 'ltable_Price': 0.0, 'ltable_Released': 0.0, 'ltable_Song_Name': -0.07870111983069795, 'ltable_Time': 0.0, 'rtable_Album_Name': 0.0, 'rtable_Artist_Name': -0.013139915585399675, 'rtable_CopyRight': 0.0, 'rtable_Genre': 0.0, 'rtable_Price': 0.0, 'rtable_Released': 0.0, 'rtable_Song_Name': -0.029324111351674745, 'rtable_Time': -0.009073306011021659}",0.0,409.36175303099844,0.0,[0.96573279 0.03426721],1156-28014,shap
4,"{'ltable_Album_Name': -0.02511240631104667, 'ltable_Artist_Name': 0.0, 'ltable_CopyRight': 0.0, 'ltable_Genre': 0.0, 'ltable_Price': 0.0, 'ltable_Released': 0.0, 'ltable_Song_Name': -0.03996509823579514, 'ltable_Time': 0.0, 'rtable_Album_Name': 0.0, 'rtable_Artist_Name': 0.0, 'rtable_CopyRight': 0.0, 'rtable_Genre': 0.0, 'rtable_Price': 0.0, 'rtable_Released': 0.0, 'rtable_Song_Name': -0.0568396492005324, 'rtable_Time': -0.014015936589246644}",0.0,218.76612774599926,0.0,[0.92171816 0.07828184],2718-17189,shap
5,"{'ltable_Album_Name': 0.0, 'ltable_Artist_Name': 0.0, 'ltable_CopyRight': 0.0, 'ltable_Genre': 0.0, 'ltable_Price': 0.0, 'ltable_Released': 0.0, 'ltable_Song_Name': -0.07978446044688411, 'ltable_Time': -0.021899783773901726, 'rtable_Album_Name': 0.0, 'rtable_Artist_Name': -0.01196505361526469, 'rtable_CopyRight': 0.0, 'rtable_Genre': 0.0, 'rtable_Price': 0.0, 'rtable_Released': 0.0, 'rtable_Song_Name': -0.04226258397586634, 'rtable_Time': 0.0}",0.0,237.1651449969977,0.0,[0.93542313 0.06457687],1164-28001,shap
6,"{'ltable_Album_Name': -0.03830977483485236, 'ltable_Artist_Name': 0.0, 'ltable_CopyRight': 0.0, 'ltable_Genre': 0.0, 'ltable_Price': -0.007732863785010327, 'ltable_Released': 0.0, 'ltable_Song_Name': -0.05605602859336077, 'ltable_Time': -0.02240919947607617, 'rtable_Album_Name': -0.010479531557454458, 'rtable_Artist_Name': -0.0052414611421321144, 'rtable_CopyRight': 0.0, 'rtable_Genre': 0.0, 'rtable_Price': -0.006757950993166256, 'rtable_Released': 0.0, 'rtable_Song_Name': -0.02391454489006161, 'rtable_Time': -0.010444186093330615}",0.0,349.6320095539995,0.0,[0.96591283 0.03408717],796-33113,shap
7,"{'ltable_Album_Name': 0.0, 'ltable_Artist_Name': 0.0, 'ltable_CopyRight': 0.0, 'ltable_Genre': 0.0, 'ltable_Price': 0.0, 'ltable_Released': 0.0, 'ltable_Song_Name': -0.16051130495131272, 'ltable_Time': -0.029479151542727525, 'rtable_Album_Name': -0.013770503144971524, 'rtable_Artist_Name': 0.0, 'rtable_CopyRight': 0.0, 'rtable_Genre': 0.0, 'rtable_Price': 0.0, 'rtable_Released': 0.0, 'rtable_Song_Name': 0.09191599870359787, 'rtable_Time': 0.0}",0.0,285.10266007000246,0.0,[0.88007577 0.11992423],3922-43866,shap
8,"{'ltable_Album_Name': 0.0, 'ltable_Artist_Name': 0.0, 'ltable_CopyRight': 0.0, 'ltable_Genre': 0.0, 'ltable_Price': 0.0, 'ltable_Released': 0.0, 'ltable_Song_Name': -0.050547389831271855, 'ltable_Time': 0.0, 'rtable_Album_Name': -0.030772848237506683, 'rtable_Artist_Name': -0.0059050528034469, 'rtable_CopyRight': 0.0, 'rtable_Genre': 0.0, 'rtable_Price': 0.0, 'rtable_Released': 0.0, 'rtable_Song_Name': -0.04882521316402233, 'rtable_Time': 0.0}",0.0,223.15224924200083,0.0,[0.91627456 0.08372544],2748-17158,shap
9,"{'ltable_Album_Name': 0.0, 'ltable_Artist_Name': 0.0, 'ltable_CopyRight': 0.0, 'ltable_Genre': 0.0, 'ltable_Price': 0.0, 'ltable_Released': 0.0, 'ltable_Song_Name': -0.043204932840211256, 'ltable_Time': 0.0, 'rtable_Album_Name': 0.0, 'rtable_Artist_Name': 0.0, 'rtable_CopyRight': 0.0, 'rtable_Genre': 0.0, 'rtable_Price': 0.0, 'rtable_Released': 0.0, 'rtable_Song_Name': -0.05392133907075423, 'rtable_Time': 0.0}",0.0,247.15730393400008,0.0,[0.87118216 0.12881784],306-22303,shap
10,"{'ltable_Album_Name': -0.07401977681504776, 'ltable_Artist_Name': 0.00867814575587118, 'ltable_CopyRight': 0.0, 'ltable_Genre': 0.024400184845366768, 'ltable_Price': 0.0, 'ltable_Released': 0.006541537510297353, 'ltable_Song_Name': 0.06828908071809806, 'ltable_Time': 0.0, 'rtable_Album_Name': 0.010718550433411612, 'rtable_Artist_Name': 0.0, 'rtable_CopyRight': 0.0, 'rtable_Genre': 0.0, 'rtable_Price': 0.0, 'rtable_Released': 0.0, 'rtable_Song_Name': 0.030630846240223622, 'rtable_Time': -0.020210596116669075}",0.0,229.32176885700028,0.0,[0.72630993 0.27369007],956-44081,shap
11,"{'ltable_Album_Name': 0.0, 'ltable_Artist_Name': 0.011130765828169142, 'ltable_CopyRight': 0.0, 'ltable_Genre': 0.0, 'ltable_Price': 0.0, 'ltable_Released': 0.0, 'ltable_Song_Name': -0.08316157902955959, 'ltable_Time': 0.017659805422536666, 'rtable_Album_Name': -0.03034328976163212, 'rtable_Artist_Name': 0.0, 'rtable_CopyRight': 0.0, 'rtable_Genre': 0.0, 'rtable_Price': 0.0, 'rtable_Released': 0.0, 'rtable_Song_Name': 0.0, 'rtable_Time': 0.0}",0.0,225.81197963700106,0.0,[0.86692652 0.13307348],5074-36946,shap
12,"{'ltable_Album_Name': 0.0, 'ltable_Artist_Name': 0.0, 'ltable_CopyRight': 0.0, 'ltable_Genre': 0.0, 'ltable_Price': 0.0, 'ltable_Released': 0.0, 'ltable_Song_Name': -0.08537309217794203, 'ltable_Time': 0.0, 'rtable_Album_Name': -0.03174819063987956, 'rtable_Artist_Name': 0.0, 'rtable_CopyRight': 0.0, 'rtable_Genre': 0.0, 'rtable_Price': 0.0, 'rtable_Released': 0.0, 'rtable_Song_Name': 0.01909276049772983, 'rtable_Time': 0.0}",0.0,259.3421059400025,0.0,[0.89727562 0.10272438],2020-28393,shap
13,"{'ltable_Album_Name': 0.0, 'ltable_Artist_Name': -0.008237078667778855, 'ltable_CopyRight': -0.002193026512068222, 'ltable_Genre': 0.0, 'ltable_Price': -0.0038380918177769938, 'ltable_Released': 0.0, 'ltable_Song_Name': -0.017071249393075277, 'ltable_Time': -0.007633488540115372, 'rtable_Album_Name': 0.0, 'rtable_Artist_Name': -0.003462874497427687, 'rtable_CopyRight': 0.0, 'rtable_Genre': 0.0, 'rtable_Price': 0.0, 'rtable_Released': 0.0, 'rtable_Song_Name': -0.028920520744676756, 'rtable_Time': -0.018699035277761136}",0.0,426.14740871899994,0.0,[0.87755276 0.12244724],1199-27992,shap
14,"{'ltable_Album_Name': -0.006652546773867993, 'ltable_Artist_Name': 0.0, 'ltable_CopyRight': 0.0, 'ltable_Genre': 0.0, 'ltable_Price': 0.0, 'ltable_Released': 0.0, 'ltable_Song_Name': -0.04624399395144956, 'ltable_Time': 0.0, 'rtable_Album_Name': 0.0, 'rtable_Artist_Name': 0.0, 'rtable_CopyRight': 0.0, 'rtable_Genre': 0.0, 'rtable_Price': 0.0, 'rtable_Released': 0.0, 'rtable_Song_Name': -0.08563281203073325, 'rtable_Time': -0.005459059452804393}",0.0,455.2068169009981,0.0,[0.9174264 0.0825736],322-22292,shap
15,"{'ltable_Album_Name': -0.007477673790404161, 'ltable_Artist_Name': -0.007884002902286823, 'ltable_CopyRight': 0.0, 'ltable_Genre': -0.005649019374082326, 'ltable_Price': -0.005499302274937855, 'ltable_Released': 0.0, 'ltable_Song_Name': -0.04793026804630948, 'ltable_Time': 0.0, 'rtable_Album_Name': 0.0, 'rtable_Artist_Name': 0.0, 'rtable_CopyRight': 0.0, 'rtable_Genre': 0.0, 'rtable_Price': -0.0041486685559357014, 'rtable_Released': 0.0, 'rtable_Song_Name': -0.003541992337802183, 'rtable_Time': -0.0044072872900155075}",0.0,470.68502550999983,0.0,[0.88205015 0.11794985],1292-34023,shap
16,"{'ltable_Album_Name': 0.0, 'ltable_Artist_Name': 0.0, 'ltable_CopyRight': -0.0077531414553079145, 'ltable_Genre': 0.0, 'ltable_Price': 0.0, 'ltable_Released': 0.0, 'ltable_Song_Name': -0.09383772773083082, 'ltable_Time': 0.0, 'rtable_Album_Name': 0.0, 'rtable_Artist_Name': -0.01431242002492615, 'rtable_CopyRight': 0.0, 'rtable_Genre': 0.0, 'rtable_Price': 0.0, 'rtable_Released': 0.0, 'rtable_Song_Name': -0.03945090174201103, 'rtable_Time': 0.0}",0.0,338.2993364380018,0.0,[0.93852345 0.06147655],1159-36916,shap
17,"{'ltable_Album_Name': 0.0, 'ltable_Artist_Name': 0.0, 'ltable_CopyRight': 0.0, 'ltable_Genre': 0.0, 'ltable_Price': 0.0, 'ltable_Released': 0.0, 'ltable_Song_Name': -0.04928537779620171, 'ltable_Time': 0.0, 'rtable_Album_Name': -0.040040015570042976, 'rtable_Artist_Name': 0.0, 'rtable_CopyRight': 0.0, 'rtable_Genre': -0.005177638363330697, 'rtable_Price': 0.0, 'rtable_Released': 0.0, 'rtable_Song_Name': -0.03879729909557468, 'rtable_Time': 0.0}",0.0,287.2494913229966,0.0,[0.91657576 0.08342424],2696-17160,shap
18,"{'ltable_Album_Name': -0.04417943209364043, 'ltable_Artist_Name': 0.0, 'ltable_CopyRight': 0.0, 'ltable_Genre': 0.0, 'ltable_Price': 0.0, 'ltable_Released': 0.0, 'ltable_Song_Name': -0.08220818663039943, 'ltable_Time': 0.0, 'rtable_Album_Name': 0.0, 'rtable_Artist_Name': 0.0, 'rtable_CopyRight': 0.0, 'rtable_Genre': 0.0, 'rtable_Price': 0.0, 'rtable_Released': 0.0, 'rtable_Song_Name': -0.05045138681329128, 'rtable_Time': 0.0}",0.0,302.2578565260046,0.0,[0.95502289 0.04497711],1318-34922,shap
19,"{'ltable_Album_Name': 0.0, 'ltable_Artist_Name': 0.0, 'ltable_CopyRight': 0.0, 'ltable_Genre': 0.0, 'ltable_Price': 0.0, 'ltable_Released': 0.0, 'ltable_Song_Name': 0.01914391131910473, 'ltable_Time': 0.0, 'rtable_Album_Name': -0.06810767956708673, 'rtable_Artist_Name': 0.0, 'rtable_CopyRight': 0.0, 'rtable_Genre': -0.008750563428562258, 'rtable_Price': 0.0, 'rtable_Released': 0.0, 'rtable_Song_Name': 0.0, 'rtable_Time': 0.05551445428776887}",1.0,270.0012292370011,0.0,[0.79179902 0.20820098],5143-43647,shap
