,explanation,label,latency,match,prediction,row,type
0,{},0.0,5.5328197570052,0.0,[9.9999976e-01 2.0238080e-07],1496-1225,certa
1,"{'ltable_title': 0.053125, 'ltable_authors': 0.028125, 'ltable_venue': 0.028125, 'ltable_year': 0.028125}",0.0,5.37715975404717,0.0,[9.999685e-01 3.150774e-05],574-749,certa
2,"{'rtable_title': 0.029545454545454545, 'rtable_authors': 0.020454545454545454, 'rtable_venue': 0.015909090909090907, 'rtable_year': 0.015909090909090907}",0.0,5.93799357797252,0.0,[1.0000000e+00 7.6559016e-11],561-1957,certa
3,"{'rtable_authors': 0.008620689655172414, 'rtable_venue': 0.008620689655172414, 'rtable_year': 0.008620689655172414, 'ltable_title': 0.04741379310344827, 'ltable_year': 0.04310344827586207, 'ltable_authors': 0.03879310344827586, 'ltable_venue': 0.04741379310344827}",0.0,4.837320029037073,0.0,[9.9999106e-01 8.9179566e-06],1799-1307,certa
4,{},0.0,5.686290154000744,0.0,[1.0000000e+00 1.1187032e-17],1116-1205,certa
5,"{'ltable_title': 0.02122641509433962, 'ltable_authors': 0.01179245283018868, 'ltable_venue': 0.01179245283018868, 'ltable_year': 0.01179245283018868}",0.0,5.979128394974396,0.0,[9.999912e-01 8.841295e-06],2009-679,certa
6,{},0.0,5.220920562976971,0.0,[9.9998760e-01 1.2356508e-05],1496-991,certa
7,{},0.0,5.374072173028253,0.0,[9.9999976e-01 2.3134885e-07],69-591,certa
8,{},0.0,5.116627924959175,0.0,[9.999994e-01 5.919270e-07],729-2227,certa
9,"{'rtable_title': 0.007653061224489796, 'rtable_venue': 0.007653061224489796, 'rtable_year': 0.00510204081632653, 'ltable_title': 0.02295918367346939, 'ltable_authors': 0.012755102040816327, 'ltable_venue': 0.012755102040816327, 'ltable_year': 0.012755102040816327}",0.0,5.981627119006589,0.0,[1.0000000e+00 6.0424825e-11],35-590,certa
10,"{'ltable_title': 0.52125, 'ltable_authors': 0.26625, 'ltable_venue': 0.26375, 'ltable_year': 0.26375, 'rtable_title': 0.48125, 'rtable_authors': 0.24375, 'rtable_venue': 0.25125, 'rtable_year': 0.2475}",1.0,4.347329408978112,1.0,[3.2375854e-05 9.9996758e-01],1683-1341,certa
11,{},0.0,4.780474272032734,0.0,[1.0000000e+00 2.1089177e-13],314-1074,certa
12,"{'rtable_title': 0.03728070175438596, 'rtable_authors': 0.019736842105263157, 'rtable_venue': 0.019736842105263157, 'rtable_year': 0.019736842105263157}",0.0,6.981913223047741,0.0,[9.9999547e-01 4.5625884e-06],1576-262,certa
13,"{'rtable_authors': 0.4659090909090909, 'rtable_venue': 0.4659090909090909, 'rtable_year': 0.4659090909090909, 'ltable_authors': 0.056818181818181816, 'ltable_venue': 0.056818181818181816, 'ltable_year': 0.056818181818181816}",1.0,5.393822434998583,0.0,[9.999993e-01 7.018736e-07],1157-2244,certa
14,"{'ltable_title': 0.47125, 'ltable_authors': 0.23625, 'ltable_venue': 0.23625, 'ltable_year': 0.23625, 'rtable_title': 0.51875, 'rtable_authors': 0.25875, 'rtable_venue': 0.26125, 'rtable_year': 0.26}",1.0,4.146900238003582,1.0,[6.907621e-07 9.999993e-01],1538-873,certa
