,explanation,type,latency,match,label,row,prediction
0,"{'ltable_id': 2.369517546586092e-33, 'ltable_title': -6.900409935752297e-36, 'ltable_year': -1.0964792979039161e-33, 'rtable_authors': 2.7160567172355946e-35, 'rtable_id': 2.0938742578448025e-33, 'rtable_title': -2.1840191918601096e-34, 'rtable_venue': 2.778439438038553e-34}",mojito-c,2.7524445271119475,0.0,0.0,1496-1225,[0.93429462 0.06570538]
1,"{'ltable_id': 1.5259133613409253e-32, 'ltable_title': 1.008363574862405e-33, 'ltable_year': -1.0812335237465272e-32, 'rtable_authors': 3.246246026771363e-33, 'rtable_id': -1.6694301122076132e-32, 'rtable_title': 3.5591595017475206e-33, 'rtable_venue': -1.00520997956185e-32}",mojito-c,2.6687751209829003,0.0,0.0,574-749,[0.51076931 0.48923069]
2,"{'ltable_authors': 6.028272013197901e-35, 'ltable_id': 2.0252972658146535e-33, 'ltable_title': 2.733999266039568e-34, 'ltable_venue': 5.867412295397324e-34, 'ltable_year': -4.790817796284245e-33, 'rtable_id': -8.516860077145332e-34, 'rtable_title': 4.373996084731923e-34, 'rtable_year': 4.130817783601362e-33}",mojito-c,3.112904111854732,0.0,0.0,561-1957,[0.94314368 0.05685632]
3,"{'ltable_id': 7.878045030325397e-34, 'ltable_title': -8.038466483412236e-35, 'ltable_venue': 3.094520015712171e-34, 'rtable_authors': 6.537176954727979e-34, 'rtable_id': -3.354590042176962e-34, 'rtable_title': -3.026939759401266e-35, 'rtable_venue': 2.4169425802823766e-34, 'rtable_year': 8.149502959130268e-34}",mojito-c,3.0719224580097944,0.0,0.0,1799-1307,[0.94691657 0.05308343]
4,"{'ltable_id': 4.29867563587231e-31, 'ltable_title': -4.6992690643048555e-32, 'ltable_venue': 1.1093356479670479e-31, 'ltable_year': 4.745491382970149e-31, 'rtable_id': 1.71407765050464e-31, 'rtable_title': -3.928897086549961e-32}",mojito-c,3.053632219787687,0.0,0.0,1116-1205,[0.94888356 0.05111644]
5,"{'ltable_id': 7.626682579773454e-32, 'ltable_title': -1.771855548836257e-32, 'ltable_year': -3.8518598887744717e-32, 'rtable_authors': 2.3881531310401725e-32, 'rtable_id': -2.5499312463687003e-31, 'rtable_title': 1.6948183510607676e-32, 'rtable_venue': -1.4966280311917551e-33, 'rtable_year': -7.197446863935108e-32}",mojito-c,3.287042603129521,0.0,0.0,2009-679,[0.95372542 0.04627458]
6,"{'ltable_id': -7.922053118414285e-34, 'ltable_title': 8.658295117313308e-35, 'ltable_year': -5.841235652697419e-35, 'rtable_id': 1.585545911453031e-34, 'rtable_title': 3.08593999388786e-35, 'rtable_venue': 4.4039986107934806e-35, 'rtable_year': 3.451844783752955e-34}",mojito-c,3.1186744780279696,0.0,0.0,1496-991,[0.95041069 0.04958931]
7,"{'ltable_id': -3.432064004875294e-34, 'ltable_title': 4.2111432275265534e-35, 'rtable_authors': -3.201551336564281e-34, 'rtable_id': -1.0260686669572568e-33, 'rtable_title': 1.0083548676973715e-34, 'rtable_venue': 8.169003276679876e-35, 'rtable_year': 1.1217214769070468e-33}",mojito-c,2.816860384074971,0.0,0.0,69-591,[0.94841574 0.05158426]
8,"{'ltable_id': 2.6460124507554917e-35, 'ltable_title': -5.5513673518568435e-37, 'ltable_venue': 1.1189231096513653e-33, 'ltable_year': -6.786062500673123e-34, 'rtable_authors': 2.764549269220683e-35, 'rtable_id': 5.234932795787343e-34, 'rtable_title': -1.5287112148390396e-34, 'rtable_venue': -3.8622051075868466e-35}",mojito-c,3.075583179946989,0.0,0.0,729-2227,[0.95080552 0.04919448]
9,"{'ltable_id': -1.5792625543975334e-32, 'ltable_title': -2.311115933264683e-33, 'ltable_venue': 1.2595581836292522e-31, 'ltable_year': -7.145200093676645e-32, 'rtable_id': -3.967415685437706e-32, 'rtable_title': -1.290373062739448e-32, 'rtable_year': -7.857794173099922e-32}",mojito-c,3.236645272001624,0.0,0.0,35-590,[0.9509287 0.0490713]
10,"{'ltable_authors': 0.0, 'ltable_id': 0.0, 'ltable_title': 0.0, 'rtable_authors': 0.0, 'rtable_id': 0.0, 'rtable_title': 0.0, 'rtable_venue': 0.0, 'rtable_year': 0.0}",mojito-c,3.518420087872073,1.0,1.0,1683-1341,[0.17628741 0.82371259]
11,"{'ltable_id': 0.0, 'ltable_title': 0.0, 'rtable_authors': 0.0, 'rtable_id': 0.0, 'rtable_title': 0.0}",mojito-c,2.656509747961536,0.0,0.0,314-1074,[0.94862668 0.05137332]
12,"{'ltable_authors': 9.20771153528733e-34, 'ltable_id': 2.332485466707776e-33, 'ltable_title': 2.7239684241226113e-35, 'ltable_venue': -8.899834827386802e-34, 'rtable_id': 4.8249256292901114e-33, 'rtable_title': 4.068126800577234e-34, 'rtable_venue': 6.71828347873443e-34}",mojito-c,2.7715890707913786,0.0,0.0,1576-262,[0.94924999 0.05075001]
13,"{'ltable_id': -3.771741203087963e-30, 'ltable_title': -2.850376317693109e-32, 'ltable_venue': 4.930380657631324e-31, 'ltable_year': -8.936314941956774e-31, 'rtable_id': -2.829576274293727e-30, 'rtable_title': 2.465190328815662e-32, 'rtable_venue': 7.746888061066755e-31, 'rtable_year': -8.429323545796036e-31}",mojito-c,3.37787814787589,1.0,1.0,1157-2244,[0.0694325 0.9305675]
14,"{'ltable_id': -1.956936233880154e-33, 'ltable_title': 1.8387459582914074e-33, 'rtable_id': 2.3785649114835678e-33, 'rtable_title': -5.670525605506883e-34, 'rtable_venue': 6.398594285935984e-35}",mojito-c,3.1479133130051196,1.0,1.0,1538-873,[0.05860466 0.94139534]
15,"{'ltable_id': 2.392412521963436e-33, 'ltable_title': 4.279183509759557e-35, 'ltable_venue': 4.692193343980136e-34, 'ltable_year': 2.6580722367379077e-33, 'rtable_id': -2.2645305452776114e-33, 'rtable_title': 3.1211083821259897e-34}",mojito-c,3.0144764280412346,0.0,0.0,2387-1629,[0.94808626 0.05191374]
16,"{'ltable_authors': -7.126741591053744e-35, 'ltable_id': 3.5420942622725346e-33, 'ltable_title': 1.5141329188275521e-34, 'ltable_venue': 1.3931227000784806e-33, 'rtable_authors': 3.4821636114069565e-34, 'rtable_id': 1.0442635456722938e-33, 'rtable_title': -3.1982682016832553e-34, 'rtable_venue': -6.91032399755981e-34}",mojito-c,3.009909383021295,0.0,0.0,1546-819,[0.9501002 0.0498998]
17,"{'ltable_authors': 0.0, 'ltable_id': 0.0, 'ltable_title': 0.0, 'ltable_year': 0.0, 'rtable_id': 0.0, 'rtable_title': 0.0}",mojito-c,2.7830571588128805,0.0,0.0,1247-807,[0.94984144 0.05015856]
18,"{'ltable_authors': 0.0, 'ltable_id': 0.0, 'ltable_title': 0.0, 'ltable_venue': 0.0, 'rtable_authors': 0.0, 'rtable_id': 0.0, 'rtable_title': 0.0, 'rtable_year': 0.0}",mojito-c,2.744172123959288,0.0,0.0,1239-1647,[0.95479725 0.04520275]
19,"{'ltable_id': 8.711173869932279e-35, 'ltable_title': 2.056164866957798e-34, 'rtable_id': 1.7676348266727316e-33, 'rtable_title': 8.347895702815277e-35}",mojito-c,2.9331812590826303,0.0,0.0,2508-2129,[0.95255306 0.04744694]
20,"{'ltable_authors': 0.0, 'ltable_id': 0.0, 'ltable_title': 0.0, 'ltable_venue': 0.0, 'rtable_authors': 0.0, 'rtable_id': 0.0, 'rtable_title': 0.0, 'rtable_year': 0.0}",mojito-c,3.002841447945684,0.0,0.0,267-1787,[0.95255727 0.04744273]
21,"{'ltable_id': -7.143703771929002e-33, 'ltable_title': 2.1838621333213674e-33, 'ltable_venue': -9.484268159428489e-34, 'ltable_year': -3.176124854885974e-33, 'rtable_id': -6.01089748357666e-34, 'rtable_title': 5.917698710974564e-34, 'rtable_year': -3.483125490925251e-32}",mojito-c,3.194465281907469,1.0,1.0,1185-1880,[0.04862309 0.95137691]
22,"{'ltable_authors': -2.2446068040276637e-34, 'ltable_id': -3.497939526467122e-34, 'ltable_title': -3.5959142001512895e-36, 'rtable_authors': -4.7252902676175056e-35, 'rtable_id': -5.892485565528212e-34, 'rtable_title': 1.9514613182172843e-34, 'rtable_venue': 6.234450526516917e-35, 'rtable_year': 4.663687318934823e-34}",mojito-c,3.080747131956741,0.0,0.0,2123-1667,[0.94964641 0.05035359]
23,"{'ltable_id': 3.5221456623808974e-32, 'ltable_title': 2.85460045210538e-33, 'rtable_id': 3.4292872969437724e-32, 'rtable_title': 3.1841059663966344e-34}",mojito-c,3.08297938387841,1.0,1.0,300-1742,[0.04838729 0.95161271]
24,"{'ltable_authors': 0.0, 'ltable_id': 0.0, 'ltable_title': 0.0, 'rtable_id': 0.0, 'rtable_title': 0.0, 'rtable_venue': 0.0, 'rtable_year': 0.0}",mojito-c,2.679379208944738,1.0,1.0,1972-778,[0.0423826 0.9576174]
25,"{'ltable_authors': -1.8228598358755764e-34, 'ltable_id': 1.2356349607888167e-34, 'ltable_title': 1.4210363968558853e-34, 'rtable_id': 4.3962274162194835e-34, 'rtable_title': 4.852841336178541e-34, 'rtable_venue': 8.918081852818189e-34}",mojito-c,3.0005205790512264,0.0,0.0,1034-1046,[0.95057959 0.04942041]
