,explanation,type,latency,match,label,row,prediction
0,"{'ltable_authors': -0.007363033709415587, 'ltable_title': -0.07170197970802328, 'ltable_venue': 0.012166944065025512, 'ltable_year': -0.03487667976907685, 'rtable_authors': -0.045666795649227016, 'rtable_title': -0.07927608021820824, 'rtable_venue': -0.0084201609965842, 'rtable_year': -0.005754320830662962}",shap,93.89020812185481,0.0,0.0,1496-1225,[0.93429462 0.06570538]
1,"{'ltable_authors': -0.0025272891547241105, 'ltable_title': -0.0690573681033741, 'ltable_venue': 0.013420413880076532, 'ltable_year': -0.002944682078206945, 'rtable_authors': -0.1072156442709934, 'rtable_title': -0.06570904616704323, 'rtable_venue': -0.007994827908662183, 'rtable_year': -0.012029531832005114}",shap,93.57221922907047,0.0,0.0,574-749,[0.51076931 0.48923069]
2,"{'ltable_authors': -0.04221720210902792, 'ltable_title': -0.07534214158758831, 'ltable_venue': -0.009213902273164987, 'ltable_year': -0.004840715102889637, 'rtable_authors': 0.011496491014943544, 'rtable_title': -0.08401112109436032, 'rtable_venue': -0.016565000517675704, 'rtable_year': -0.01688894489351392}",shap,111.72944628586993,0.0,0.0,561-1957,[0.94314368 0.05685632]
3,"{'ltable_authors': -0.007160238647466316, 'ltable_title': -0.08509068093750298, 'ltable_venue': -0.0038099187863637335, 'ltable_year': 0.013678501857287861, 'rtable_authors': -0.049565814122351004, 'rtable_title': -0.09246715968295019, 'rtable_venue': 0.010337727507602729, 'rtable_year': -0.026868361899822363}",shap,110.44334451411851,0.0,0.0,1799-1307,[0.94691657 0.05308343]
4,"{'ltable_authors': 0.0021017233973006505, 'ltable_title': -0.10768821396306516, 'ltable_venue': -0.021007229045671483, 'ltable_year': -0.024750442895718053, 'rtable_authors': 0.00017467718799107912, 'rtable_title': -0.09003813204591254, 'rtable_venue': -0.004438765160628813, 'rtable_year': 0.009779520958803078}",shap,109.98837243905291,0.0,0.0,1116-1205,[0.94888356 0.05111644]
5,"{'ltable_authors': -0.022550544195895403, 'ltable_title': -0.07394985601160858, 'ltable_venue': 0.018340953418078093, 'ltable_year': -0.028456958962282355, 'rtable_authors': -0.03473994308115298, 'rtable_title': -0.07248680008796807, 'rtable_venue': -0.018213952423367374, 'rtable_year': -0.012832301566870347}",shap,112.24101285007782,0.0,0.0,2009-679,[0.95372542 0.04627458]
6,"{'ltable_authors': 0.008611456405025114, 'ltable_title': -0.06539725647563033, 'ltable_venue': -0.0046676368949931935, 'ltable_year': -0.04016339707213633, 'rtable_authors': 0.0013595022129091194, 'rtable_title': -0.056521595460900576, 'rtable_venue': -0.026102039044159392, 'rtable_year': -0.05459333564906019}",shap,111.40158668882214,0.0,0.0,1496-991,[0.95041069 0.04958931]
7,"{'ltable_authors': -0.007367846417075372, 'ltable_title': -0.09113071644392243, 'ltable_venue': 0.009197120048198504, 'ltable_year': 0.0026672567987271467, 'rtable_authors': -0.04217565386787944, 'rtable_title': -0.07669072556552331, 'rtable_venue': -0.012030521118962662, 'rtable_year': -0.022680052084337404}",shap,110.73786705196835,0.0,0.0,69-591,[0.94841574 0.05158426]
8,"{'ltable_authors': 0.0006221305103711328, 'ltable_title': -0.08742719629523091, 'ltable_venue': 0.0012042635520671807, 'ltable_year': -0.025429659120528858, 'rtable_authors': -0.037107886605712015, 'rtable_title': -0.07421769898077524, 'rtable_venue': -0.010434700071520059, 'rtable_year': -0.010256771793340641}",shap,110.84152152203023,0.0,0.0,729-2227,[0.95080552 0.04919448]
9,"{'ltable_authors': 0.012805376657282236, 'ltable_title': -0.08195188511219674, 'ltable_venue': -0.03050680354636935, 'ltable_year': -0.03942782126441911, 'rtable_authors': -0.003238361070776158, 'rtable_title': -0.08038960411389864, 'rtable_venue': -0.002743864055112788, 'rtable_year': -0.01651954555246138}",shap,112.55682310089469,0.0,0.0,35-590,[0.9509287 0.0490713]
