,explanation,type,latency,match,label,row,prediction
0,"{'ltable_title': -0.0004009998531562046, 'ltable_year': -0.0005613692857082735, 'rtable_authors': -0.0007131629886717858, 'rtable_title': -0.0003809550218592714, 'rtable_venue': -0.0003253877998171237}",mojito-d,0.7852557830046862,0.0,0.0,1496-1225,[9.99986649e-01 1.33743515e-05]
1,"{'ltable_title': 0.05945553699758502, 'ltable_year': 0.24007794783968747, 'rtable_authors': 0.09225640051159512, 'rtable_title': 0.04652322859082795}",mojito-d,0.7630872030276805,1.0,0.0,574-749,[3.9566532e-04 9.9960440e-01]
2,"{'ltable_authors': -0.0004027464834594055, 'ltable_title': -0.0003982129589667565, 'ltable_year': -0.000761132827499661, 'rtable_title': -0.0004051367462451568, 'rtable_year': -0.0009801795909410748}",mojito-d,0.8001764609944075,0.0,0.0,561-1957,[9.9998713e-01 1.2884596e-05]
3,"{'ltable_title': -0.0004933751129175137, 'ltable_venue': -0.000371397435260278, 'rtable_authors': -0.00044486201917391785, 'rtable_title': -0.0005215562371024435, 'rtable_venue': -0.0008519795091242674, 'rtable_year': -0.0005640849372733947}",mojito-d,0.856473276973702,0.0,0.0,1799-1307,[9.9998641e-01 1.3610458e-05]
4,"{'ltable_title': -0.00026616545306687206, 'ltable_year': -0.0003584809089386301, 'rtable_title': -0.00031047706555133305}",mojito-d,0.9056332169566303,0.0,0.0,1116-1205,[9.999869e-01 1.315429e-05]
5,"{'ltable_id': -3.381042092893663e-05, 'ltable_title': -7.004049776562192e-05, 'rtable_authors': -0.00013130583268366612, 'rtable_title': -0.00012370495815389605, 'rtable_venue': -6.758205973573893e-05, 'rtable_year': -0.0001244063803868692}",mojito-d,0.9070611480856314,0.0,0.0,2009-679,[9.999864e-01 1.358241e-05]
6,"{'ltable_title': -0.0003233747740502482, 'ltable_year': -0.0005095576717823937, 'rtable_title': -0.0005134207906369629, 'rtable_venue': -0.0003832319594914916, 'rtable_year': -0.00021817714057554365}",mojito-d,0.8137467550113797,0.0,0.0,1496-991,[9.9998689e-01 1.3058708e-05]
7,"{'ltable_title': -0.00043324262661322807, 'rtable_authors': -0.0003894113870836579, 'rtable_id': -0.0003908335731658886, 'rtable_title': -0.00037930992085298516, 'rtable_venue': -0.0004215998822178363, 'rtable_year': -0.000551825898175353}",mojito-d,0.7813830899540335,0.0,0.0,69-591,[9.99987364e-01 1.26920295e-05]
8,"{'ltable_title': -0.00012238060009929003, 'ltable_year': -0.0001570757109157029, 'rtable_authors': -0.00023489142634541542, 'rtable_title': -0.0001414648656018191, 'rtable_venue': -0.00016754243881460674}",mojito-d,0.7704264250351116,0.0,0.0,729-2227,[9.9998689e-01 1.3104694e-05]
9,"{'ltable_title': -0.00026715224463583583, 'ltable_year': -0.00039530649688824355, 'rtable_title': -0.00037566008234538793}",mojito-d,0.9112871680408716,0.0,0.0,35-590,[9.9998713e-01 1.2923188e-05]
10,"{'ltable_authors': 0.08744212550317401, 'ltable_title': 0.13814547243274444, 'rtable_authors': 0.08817845938352643, 'rtable_title': 0.09430925735606525, 'rtable_year': 0.1608167308839665}",mojito-d,0.9484286740189418,1.0,1.0,1683-1341,[1.3449015e-04 9.9986553e-01]
11,"{'ltable_title': -0.0006422963951688833, 'rtable_authors': -0.000301889196696124, 'rtable_title': -0.0006589519361165849}",mojito-d,0.7806538629811257,0.0,0.0,314-1074,[9.9998665e-01 1.3350547e-05]
12,"{'ltable_authors': -0.0006107778666233719, 'ltable_title': -0.00021800408972110727, 'ltable_venue': -0.0002161529747954819, 'rtable_title': -0.0004328544359053065, 'rtable_venue': -0.0003294030826148154}",mojito-d,0.8493858599103987,0.0,0.0,1576-262,[9.9998701e-01 1.2940464e-05]
13,"{'ltable_title': 0.10574856512140463, 'ltable_venue': 0.13835545508603247, 'ltable_year': 0.12694559333284627, 'rtable_title': 0.09353964590962997, 'rtable_venue': 0.14257726376163923, 'rtable_year': 0.06067170598266472}",mojito-d,1.0904671599855646,1.0,1.0,1157-2244,[1.4095297e-04 9.9985898e-01]
14,"{'ltable_id': 0.061546791193534914, 'ltable_title': 0.10443065530420068, 'rtable_title': 0.14026356104433083, 'rtable_venue': 0.08711913583147617}",mojito-d,0.8341604279121384,1.0,1.0,1538-873,[1.3774865e-04 9.9986219e-01]
