,explanation,type,latency,match,label,row,prediction
0,"{'ltable_authors': -0.001426533261190445, 'ltable_title': -0.06276306122221255, 'ltable_venue': -0.002078244462786337, 'ltable_year': -0.002554070939054874, 'rtable_authors': -0.0471707249349964, 'rtable_title': -0.052814931153325834, 'rtable_venue': 0.008769991861729332, 'rtable_year': -0.0017636202877581442}",shap,1050.551319868,0.0,0.0,1953-5130,[0.9237451  0.07625484]
1,"{'ltable_authors': -0.0014380188486826234, 'ltable_title': -0.038983039350654544, 'ltable_venue': 0.006341699950787809, 'ltable_year': 0.003628661765674498, 'rtable_authors': -0.05824990814696569, 'rtable_title': -0.02589822436944711, 'rtable_venue': 0.014557658940950555, 'rtable_year': -0.022832282992514705}",shap,1099.6300881920001,0.0,0.0,211-2457,[0.9053827  0.09461724]
2,"{'ltable_authors': 0.03985013729168341, 'ltable_title': 0.06903536117608156, 'ltable_venue': -0.002148999701567386, 'ltable_year': 0.027378040433809078, 'rtable_authors': 0.01340761904451429, 'rtable_title': 0.08330592848863608, 'rtable_venue': 0.050382090038478045, 'rtable_year': 0.0003013408424911157}",shap,1062.5639842409992,0.0,0.0,2295-8559,[0.5989917 0.4010083]
3,"{'ltable_authors': 0.003196162224922812, 'ltable_title': -0.04917575187949355, 'ltable_venue': 0.0012940826270276679, 'ltable_year': 0.013340496547588662, 'rtable_authors': -0.05598970952408138, 'rtable_title': -0.016489756676422676, 'rtable_venue': -0.039634552401569226, 'rtable_year': -0.002781121101411571}",shap,1094.6341025410002,0.0,0.0,659-12273,[0.923351   0.07664898]
4,"{'ltable_authors': 0.022017011839153618, 'ltable_title': -0.006955608121022014, 'ltable_venue': 0.006505894227113078, 'ltable_year': 0.010535976873681479, 'rtable_authors': -0.014277840780580565, 'rtable_title': -0.06220397888352857, 'rtable_venue': 0.0037436667353868934, 'rtable_year': -0.05958493562449689}",shap,1022.6510647760006,0.0,0.0,2185-10241,[0.8182048  0.18179515]
5,"{'ltable_authors': 0.0006792480436887613, 'ltable_title': -0.08198761682458205, 'ltable_venue': -0.006129032586621591, 'ltable_year': -0.009849217863909979, 'rtable_authors': -0.002671623861370938, 'rtable_title': -0.00644303215232403, 'rtable_venue': -0.006328974510578761, 'rtable_year': 0.0054963551393331644}",shap,1022.3564508319996,0.0,0.0,603-1832,[0.8962757  0.10372429]
6,"{'ltable_authors': -0.002389459871995077, 'ltable_title': -0.04343390121950144, 'ltable_venue': -0.003426770300921575, 'ltable_year': 0.012533926507995952, 'rtable_authors': -0.0046465231261072285, 'rtable_title': -0.05573400979889703, 'rtable_venue': -0.044630277490082415, 'rtable_year': -0.0009671204557916979}",shap,1042.2106056109988,0.0,0.0,1883-15003,[0.9091029  0.09089711]
7,"{'ltable_authors': 0.03722683324610962, 'ltable_title': 0.066477183072228, 'ltable_venue': 0.0001498465736046728, 'ltable_year': 0.02551776568031349, 'rtable_authors': 0.006094214685207697, 'rtable_title': 0.08363984041520584, 'rtable_venue': -0.02427354095271636, 'rtable_year': -0.0031402948293374755}",shap,1087.8410889039988,0.0,0.0,2588-7916,[0.6718411  0.32815892]
8,"{'ltable_authors': -0.02955516516356937, 'ltable_title': 0.06698323784336277, 'ltable_venue': -0.004445609245701799, 'ltable_year': -0.007313252126434168, 'rtable_authors': 0.06976382553614129, 'rtable_title': 0.05425005654768766, 'rtable_venue': -0.07804300236583125, 'rtable_year': -0.04306958579403625}",shap,1045.4431004450016,0.0,0.0,806-6887,[0.62785083 0.3721492 ]
9,"{'ltable_authors': -0.012845440071021341, 'ltable_title': -0.06652636239379506, 'ltable_venue': -0.0027921267094860036, 'ltable_year': 0.01207588285336559, 'rtable_authors': -0.0111163842607796, 'rtable_title': -0.041608949142885696, 'rtable_venue': 0.01766687253859471, 'rtable_year': -0.02492163627116689}",shap,1063.490686213001,0.0,0.0,2538-15659,[0.91594577 0.08405416]
