,explanation,label,latency,match,prediction,row,type
0,"{'ltable_title': 0.08881578947368421, 'ltable_category': 0.39144736842105265, 'ltable_brand': 0.3782894736842105, 'ltable_modelno': 0.41776315789473684, 'ltable_price': 0.375, 'rtable_category': 0.09539473684210527, 'rtable_brand': 0.10855263157894737, 'rtable_modelno': 0.09539473684210527, 'rtable_price': 0.09539473684210527, 'rtable_title': 0.029605263157894735}",0.0,4.504885386035312,0.0,[0.9927712  0.00722876],1853-2139,certa
1,"{'rtable_brand': 0.00625, 'rtable_price': 0.00625, 'rtable_modelno': 0.004166666666666667, 'rtable_category': 0.004166666666666667, 'ltable_title': 0.00625, 'ltable_brand': 0.004166666666666667, 'ltable_category': 0.004166666666666667, 'ltable_modelno': 0.004166666666666667, 'ltable_price': 0.004166666666666667}",0.0,4.850433590007015,0.0,[9.9999785e-01 2.2001070e-06],621-3167,certa
2,"{'ltable_title': 0.019021739130434784, 'ltable_category': 0.019021739130434784, 'ltable_modelno': 0.01358695652173913, 'ltable_price': 0.01358695652173913, 'ltable_brand': 0.010869565217391304, 'rtable_category': 0.07880434782608696, 'rtable_price': 0.04619565217391304, 'rtable_brand': 0.03804347826086957, 'rtable_modelno': 0.03804347826086957}",0.0,5.581861079030205,0.0,[1.0000000e+00 1.3672814e-11],2115-8789,certa
3,{},0.0,4.422346906969324,0.0,[9.9986470e-01 1.3528786e-04],278-9064,certa
4,"{'rtable_title': 0.0225, 'rtable_price': 0.0175, 'rtable_category': 0.0175, 'rtable_brand': 0.0125, 'rtable_modelno': 0.0125}",0.0,4.924874248972628,0.0,[9.999999e-01 8.106037e-08],1673-13279,certa
5,{},0.0,3.407136377005372,0.0,[1.0000000e+00 5.3130174e-12],2305-2948,certa
6,{},0.0,5.499180456972681,0.0,[9.999932e-01 6.764114e-06],1543-10366,certa
7,"{'ltable_title': 0.520625, 'ltable_category': 0.52, 'ltable_brand': 0.525, 'ltable_modelno': 0.523125, 'ltable_price': 0.514375, 'rtable_title': 0.470625, 'rtable_category': 0.45875, 'rtable_brand': 0.4575, 'rtable_modelno': 0.459375, 'rtable_price': 0.445}",1.0,7.422349200991448,1.0,[0.00913725 0.9908627 ],88-3269,certa
8,"{'rtable_brand': 0.04326923076923077, 'rtable_price': 0.07211538461538461, 'rtable_modelno': 0.03365384615384615, 'rtable_category': 0.019230769230769232, 'ltable_category': 0.14423076923076922, 'ltable_brand': 0.1201923076923077, 'ltable_modelno': 0.10576923076923077, 'ltable_price': 0.08653846153846154}",0.0,3.513041528989561,0.0,[0.9926409  0.00735908],1718-11835,certa
9,{},1.0,3.249133941018954,0.0,[1.0000000e+00 6.8640737e-13],1624-5013,certa
10,"{'rtable_title': 0.009868421052631578, 'rtable_brand': 0.009868421052631578, 'rtable_category': 0.006578947368421052, 'ltable_brand': 0.049342105263157895, 'ltable_price': 0.11842105263157894, 'ltable_modelno': 0.0625, 'ltable_category': 0.05592105263157895}",0.0,4.282096436014399,0.0,[9.9999976e-01 2.2061992e-07],614-5969,certa
11,"{'rtable_title': 0.0673076923076923, 'rtable_brand': 0.038461538461538464, 'rtable_modelno': 0.038461538461538464, 'rtable_price': 0.04807692307692308, 'rtable_category': 0.02403846153846154}",0.0,4.043987940996885,0.0,[1.000000e+00 6.705132e-09],768-10397,certa
12,"{'rtable_title': 0.0546875, 'rtable_modelno': 0.0390625, 'rtable_price': 0.0390625, 'rtable_brand': 0.03125}",0.0,4.0980993079720065,0.0,[9.9999678e-01 3.2084383e-06],2476-18730,certa
13,{},1.0,3.0463442649925128,0.0,[1.000000e+00 1.753398e-08],470-10874,certa
14,"{'rtable_category': 0.126953125, 'rtable_brand': 0.126953125, 'rtable_modelno': 0.126953125, 'rtable_price': 0.126953125, 'ltable_category': 0.376953125, 'ltable_brand': 0.375, 'ltable_modelno': 0.376953125, 'ltable_price': 0.376953125, 'ltable_title': 0.033203125}",0.0,5.597173001966439,0.0,[0.7941109  0.20588908],2223-10753,certa
15,"{'rtable_category': 0.15416666666666667, 'rtable_brand': 0.10416666666666667, 'rtable_price': 0.11875, 'rtable_modelno': 0.07291666666666667, 'rtable_title': 0.01875, 'ltable_category': 0.035416666666666666, 'ltable_brand': 0.022916666666666665, 'ltable_price': 0.029166666666666667, 'ltable_modelno': 0.01875}",0.0,5.001517230994068,0.0,[9.992575e-01 7.425280e-04],1512-19684,certa
16,{},0.0,3.6115685629774816,0.0,[1.0000000e+00 1.5708816e-08],1136-17384,certa
17,{},0.0,3.1873980019590817,0.0,[9.9995530e-01 4.4691686e-05],2089-687,certa
18,"{'rtable_category': 0.28125, 'rtable_modelno': 0.21875, 'rtable_price': 0.21875, 'rtable_brand': 0.15625}",0.0,3.891388302028645,0.0,[1.0000000e+00 1.3465941e-08],2020-18153,certa
19,"{'ltable_category': 0.011363636363636364, 'ltable_price': 0.005681818181818182}",0.0,4.78824819799047,0.0,[0.99157786 0.00842216],95-12,certa
20,{},0.0,4.902025629009586,0.0,[1.0000000e+00 3.2466196e-11],2248-4299,certa
