,explanation,label,latency,match,prediction,row,type
0,"{'ltable_category': -9.043999962734884e-12, 'ltable_id': 3.542762875804583e-12, 'ltable_modelno': -9.769894714571348e-11, 'ltable_title': 1.9935931503427024e-12, 'rtable_id': 4.19590080918511e-12, 'rtable_title': -2.1122196561446912e-12}",0.0,0.8142994639929384,0.0,[0.9922346  0.00776541],1853-2139,mojito-c
1,"{'ltable_category': 1.7520901951214287e-17, 'ltable_id': -2.6862380620046877e-16, 'ltable_modelno': 1.6607328700815467e-16, 'ltable_price': 1.1218827815821772e-16, 'ltable_title': 1.8606789968392147e-17, 'rtable_brand': -1.359507307257109e-16, 'rtable_category': 2.1722370642111305e-17, 'rtable_id': -1.5301446028445935e-16, 'rtable_modelno': 2.2286051778619824e-16, 'rtable_price': -1.6068734538024662e-16, 'rtable_title': -9.243470578007931e-18}",0.0,0.8867359529831447,0.0,[9.999949e-01 5.068478e-06],621-3167,mojito-c
2,"{'ltable_id': -2.2491228441596064e-16, 'ltable_title': 2.1469797430158905e-18, 'rtable_category': 8.731625822449491e-17, 'rtable_id': 2.01645754388579e-16, 'rtable_title': -7.195331849590304e-17}",0.0,0.8991804250399582,0.0,[9.9999416e-01 5.7907428e-06],2115-8789,mojito-c
3,"{'ltable_brand': -7.948148674038112e-11, 'ltable_category': -7.729989947622493e-12, 'ltable_id': -1.3718411887371702e-11, 'ltable_modelno': -2.3633041670759703e-11, 'ltable_price': 1.3734299538820854e-10, 'ltable_title': -1.3997082341803215e-11, 'rtable_category': 9.543741513392043e-12, 'rtable_id': -1.304133690121142e-11, 'rtable_title': 1.6447786302246704e-11}",0.0,0.8948049649479799,0.0,[9.995672e-01 4.328200e-04],278-9064,mojito-c
4,"{'ltable_id': 8.45647969321208e-14, 'ltable_price': 4.3654801474517166e-14, 'ltable_title': 9.508691489499852e-15, 'rtable_brand': -1.1531484265174887e-14, 'rtable_id': -1.1251039063046185e-13, 'rtable_modelno': -6.087676011460252e-14, 'rtable_title': 3.3262575725003958e-15}",0.0,0.8250710849533789,0.0,[1.0000000e+00 2.1207864e-08],1673-13279,mojito-c
5,"{'ltable_category': 1.426066393684819e-14, 'ltable_id': -2.995925368496586e-14, 'ltable_modelno': -9.343302291415275e-15, 'ltable_price': -4.0579650284433665e-14, 'ltable_title': -3.1319924656423097e-15, 'rtable_category': 3.724508812295692e-14, 'rtable_id': -2.485847274259558e-14, 'rtable_title': -2.248275760382496e-17}",0.0,0.8347943949629553,0.0,[1.0000000e+00 2.9433933e-15],2305-2948,mojito-c
6,"{'ltable_id': -1.8905500316927446e-10, 'ltable_title': 1.9730299641363168e-11, 'rtable_id': 1.9117396327823367e-10, 'rtable_modelno': -1.315018918459152e-09, 'rtable_price': -6.555085853869403e-10, 'rtable_title': 9.420811124643034e-11}",0.0,0.898554444022011,0.0,[9.999994e-01 5.670184e-07],1543-10366,mojito-c
7,"{'ltable_brand': -8.661877422600787e-33, 'ltable_id': -4.0586051559704486e-32, 'ltable_modelno': -1.1060249418929273e-32, 'ltable_price': 4.013931454111383e-34, 'ltable_title': 3.569150539975199e-34, 'rtable_brand': -4.810923128349293e-33, 'rtable_id': -2.278883992276111e-32, 'rtable_price': 1.3225564304770208e-32, 'rtable_title': 8.81450064172749e-34}",1.0,0.9693328349967487,1.0,[3.9719566e-06 9.9999607e-01],88-3269,mojito-c
8,"{'ltable_category': -2.4767482843626054e-17, 'ltable_id': 1.7905655078553035e-17, 'ltable_price': -5.316424836600471e-17, 'ltable_title': 1.114376732517165e-17, 'rtable_brand': -6.099662982769856e-17, 'rtable_category': 3.2110847442680703e-18, 'rtable_id': 5.489134082244631e-17, 'rtable_modelno': -8.893235061779198e-18, 'rtable_title': -9.685862021308506e-18}",0.0,0.7979292860254645,0.0,[9.9933356e-01 6.6637702e-04],1718-11835,mojito-c
9,"{'ltable_category': 1.0066510588864871e-17, 'ltable_id': 1.897332821340254e-17, 'ltable_modelno': 4.455427905047514e-18, 'ltable_title': 1.5614433617248355e-18, 'rtable_category': 9.407044053096196e-18, 'rtable_id': -8.264627697156895e-18, 'rtable_modelno': 2.3402776685141722e-17, 'rtable_title': -4.857698245251788e-18}",1.0,0.7582581979804672,0.0,[1.0000000e+00 3.0665514e-12],1624-5013,mojito-c
