,explanation,label,latency,match,prediction,row,type
0,"{'rtable_title': 0.55, 'rtable_modelno': 0.4, 'rtable_category': 0.25, 'rtable_brand': 0.25, 'rtable_price': 0.25, 'ltable_title': 0.1, 'ltable_category': 0.05, 'ltable_brand': 0.05, 'ltable_modelno': 0.05, 'ltable_price': 0.05}",0.0,29.042825840995647,0.0,[0.9601646 0.0398354],1853-2139,certa
1,"{'rtable_title': 0.2, 'rtable_category': 0.13125, 'rtable_modelno': 0.1, 'rtable_price': 0.1, 'rtable_brand': 0.075, 'ltable_title': 0.3125, 'ltable_modelno': 0.5, 'ltable_category': 0.3125, 'ltable_brand': 0.2375, 'ltable_price': 0.225}",0.0,22.85125691999565,0.0,[0.94774825 0.05225175],621-3167,certa
2,"{'rtable_title': 0.475, 'rtable_category': 0.225, 'rtable_brand': 0.225, 'rtable_modelno': 0.225, 'rtable_price': 0.225, 'ltable_title': 0.38125, 'ltable_category': 0.18125, 'ltable_brand': 0.18125, 'ltable_modelno': 0.18125, 'ltable_price': 0.18125}",0.0,31.194418051018147,0.0,[0.95461195 0.04538805],2115-8789,certa
3,"{'ltable_title': 0.36875, 'ltable_modelno': 0.2125, 'ltable_price': 0.225, 'ltable_category': 0.18125, 'ltable_brand': 0.18125, 'rtable_modelno': 0.2875, 'rtable_title': 0.1375, 'rtable_category': 0.1375, 'rtable_brand': 0.1375, 'rtable_price': 0.1375}",0.0,28.557481147989165,0.0,[0.94060244 0.05939756],278-9064,certa
4,"{'ltable_title': 0.425, 'ltable_modelno': 0.475, 'ltable_category': 0.325, 'ltable_brand': 0.325, 'ltable_price': 0.325, 'rtable_title': 0.2625, 'rtable_category': 0.125, 'rtable_brand': 0.125, 'rtable_modelno': 0.1375, 'rtable_price': 0.1375}",0.0,27.19806508900365,0.0,[0.95459631 0.04540369],1673-13279,certa
5,"{'rtable_modelno': 0.38125, 'rtable_title': 0.25625, 'rtable_price': 0.23125, 'rtable_category': 0.21875, 'rtable_brand': 0.21875, 'ltable_title': 0.46875, 'ltable_category': 0.23125, 'ltable_brand': 0.21875, 'ltable_modelno': 0.23125, 'ltable_price': 0.23125}",0.0,29.11467493500095,0.0,[0.95141387 0.04858613],2305-2948,certa
6,"{'rtable_title': 0.5375, 'rtable_category': 0.25, 'rtable_brand': 0.25, 'rtable_modelno': 0.2875, 'rtable_price': 0.2875, 'ltable_title': 0.2875, 'ltable_modelno': 0.2875, 'ltable_price': 0.2875, 'ltable_category': 0.25, 'ltable_brand': 0.25}",0.0,34.75488739597495,0.0,[0.9334731 0.0665269],1543-10366,certa
7,"{'ltable_title': 0.2875, 'ltable_modelno': 0.1625, 'ltable_category': 0.14375, 'ltable_brand': 0.1375, 'ltable_price': 0.1375, 'rtable_title': 0.6625, 'rtable_modelno': 0.5125, 'rtable_category': 0.45, 'rtable_brand': 0.43125, 'rtable_price': 0.425}",1.0,27.77843194801244,1.0,[0.18506312 0.81493688],88-3269,certa
8,"{'ltable_modelno': 0.56875, 'ltable_title': 0.3625, 'ltable_category': 0.31875, 'ltable_brand': 0.275, 'ltable_price': 0.31875, 'rtable_title': 0.24375, 'rtable_category': 0.11875, 'rtable_modelno': 0.13125, 'rtable_price': 0.125, 'rtable_brand': 0.09375}",0.0,30.229214446997503,0.0,[0.97077755 0.02922245],1718-11835,certa
9,"{'ltable_modelno': 0.475, 'ltable_title': 0.25, 'ltable_category': 0.25, 'ltable_brand': 0.2375, 'ltable_price': 0.2375, 'rtable_modelno': 0.475, 'rtable_title': 0.225, 'rtable_category': 0.225, 'rtable_brand': 0.225, 'rtable_price': 0.225}",1.0,51.95813386599184,1.0,[0.05141664 0.94858336],1624-5013,certa
