,explanation,label,latency,match,prediction,row,type
0,"{'ltable_addr': -6.047740350121422e-14, 'ltable_city': -5.794567758903321e-14, 'ltable_class': 1.896265579176646e-13, 'ltable_id': -4.192667768660362e-14, 'ltable_name': -1.1688754781952537e-13, 'ltable_phone': -5.229800756713237e-14, 'ltable_res_type': 8.87395579196377e-14, 'rtable_addr': -2.3518382042557157e-14, 'rtable_city': -1.3987814200777551e-14, 'rtable_class': -2.928447201402193e-14, 'rtable_id': 3.9243251015931305e-14, 'rtable_name': 1.8374239327777757e-14, 'rtable_phone': 2.954344782052525e-13, 'rtable_res_type': 4.067944140447723e-14}",0.0,1.0503735829843208,0.0,[9.999378e-01 6.220429e-05],6-230,mojito-c
1,"{'ltable_addr': 7.402250465433461e-10, 'ltable_city': -4.3727008126573153e-10, 'ltable_class': 3.026815006829926e-09, 'ltable_id': 2.504335193913482e-09, 'ltable_name': -8.513674590779078e-10, 'ltable_phone': -3.422242333984306e-10, 'ltable_res_type': -4.022335227533544e-09, 'rtable_addr': -7.678549085832437e-10, 'rtable_city': -5.630963341544245e-10, 'rtable_class': 3.171526142492131e-09, 'rtable_id': 2.3455997616195473e-09, 'rtable_name': 2.880695015103502e-10, 'rtable_phone': 1.74363504762879e-09, 'rtable_res_type': 2.1992021784780713e-10}",1.0,1.0581335489987396,0.0,[0.76932174 0.23067825],38-256,mojito-c
2,"{'ltable_addr': 7.164384031498127e-10, 'ltable_city': 4.339720873819503e-09, 'ltable_class': 2.8192052289303515e-09, 'ltable_id': -5.477874743196312e-09, 'ltable_name': -6.452707337950466e-10, 'ltable_phone': -3.139931720945446e-10, 'ltable_res_type': 3.5658770313053765e-09, 'rtable_addr': 4.872543797769509e-10, 'rtable_city': -2.6050562579987374e-09, 'rtable_class': -1.995610770997075e-09, 'rtable_id': -2.6947058414069674e-09, 'rtable_name': -3.598098429340305e-10, 'rtable_phone': -5.418855366899774e-09, 'rtable_res_type': -2.427983473840235e-09}",0.0,1.0489865329582244,0.0,[9.9999928e-01 6.9638764e-07],384-300,mojito-c
3,"{'ltable_addr': -2.974876749365114e-33, 'ltable_city': 1.5895396875016628e-32, 'ltable_class': 2.4353699399621428e-32, 'ltable_id': 6.250150055232848e-34, 'ltable_name': 3.065576663425773e-33, 'ltable_phone': 7.3896900735237185e-34, 'ltable_res_type': -8.051798016976103e-33, 'rtable_addr': 1.111522601236642e-33, 'rtable_city': 1.6901440075217834e-32, 'rtable_class': 2.9456986869880465e-32, 'rtable_id': -1.2721651068181013e-32, 'rtable_name': -9.366911704067878e-33, 'rtable_phone': 4.8354247826750233e-32, 'rtable_res_type': 4.1191463478970207e-32}",1.0,1.0098986019729637,1.0,[0.37733126 0.62266874],83-301,mojito-c
4,"{'ltable_addr': 6.311670370192432e-10, 'ltable_city': -2.6010008957103405e-09, 'ltable_class': -2.188840234437684e-08, 'ltable_id': -1.3276189945342314e-08, 'ltable_name': 2.1097138886889807e-09, 'ltable_phone': 5.964135187277317e-09, 'ltable_res_type': 8.854175584068904e-09, 'rtable_addr': 6.762899076993897e-09, 'rtable_city': -5.8076154927563865e-09, 'rtable_class': 1.1537642003477736e-08, 'rtable_id': -6.409762450479313e-09, 'rtable_name': 1.8470552303542164e-08, 'rtable_phone': 8.459433500315525e-10, 'rtable_res_type': -8.732234502981768e-09}",0.0,0.9869341779849492,1.0,[0.15864874 0.8413513 ],197-251,mojito-c
5,"{'ltable_addr': 7.43044548751108e-10, 'ltable_city': -1.2860390014794736e-10, 'ltable_class': -5.247266865245836e-10, 'ltable_id': 6.140087530549449e-10, 'ltable_name': -2.935841170021717e-10, 'ltable_phone': -1.4107325954881966e-10, 'ltable_res_type': -2.2850256693972154e-10, 'rtable_addr': 4.6862645460125157e-11, 'rtable_city': -3.3805980139558047e-10, 'rtable_class': 4.7080555277142914e-11, 'rtable_id': 5.696688599286686e-10, 'rtable_name': 4.4971799151251946e-10, 'rtable_phone': -2.2031323014297928e-09, 'rtable_res_type': -1.8793933937085386e-09}",0.0,1.0713293030275963,0.0,[0.99141836 0.00858165],42-275,mojito-c
6,"{'ltable_addr': -1.7396498172957209e-09, 'ltable_city': 2.4597835502484373e-09, 'ltable_class': -4.520446420764983e-09, 'ltable_id': 4.73774187286816e-09, 'ltable_name': 7.644982703511658e-10, 'ltable_phone': -5.073409793076821e-09, 'ltable_res_type': -3.063117488570661e-09, 'rtable_addr': -2.1612433221535244e-09, 'rtable_city': 1.2462642155297846e-09, 'rtable_class': -1.1100108975932941e-10, 'rtable_id': 1.5015045287989326e-08, 'rtable_name': -5.918781639647317e-10, 'rtable_phone': -5.320039983398092e-10, 'rtable_res_type': -7.451608984647371e-09}",0.0,1.0802422519773245,0.0,[0.97759163 0.02240838],131-233,mojito-c
7,"{'ltable_addr': 2.1830773133325157e-14, 'ltable_city': 1.4946811217880437e-14, 'ltable_class': -2.0195191642913768e-14, 'ltable_id': -3.7803991753859786e-14, 'ltable_name': -2.938404841524776e-15, 'ltable_phone': -5.2360486866558386e-15, 'ltable_res_type': -4.752388966531553e-14, 'rtable_addr': -9.139471947389276e-15, 'rtable_city': -6.084280654997997e-15, 'rtable_class': 1.3906595326424275e-15, 'rtable_id': 9.176983545209174e-15, 'rtable_name': -7.495815664343585e-15, 'rtable_phone': -5.600170353396259e-14, 'rtable_res_type': 6.717565130745057e-14}",0.0,0.9788772799656726,0.0,[0.9880199 0.0119801],50-242,mojito-c
8,"{'ltable_addr': -2.0163270607561712e-09, 'ltable_city': 8.394885517440949e-11, 'ltable_class': -6.413756326959974e-09, 'ltable_id': 1.114938991410868e-08, 'ltable_name': -6.652157968561673e-10, 'ltable_phone': 3.673292789134344e-09, 'ltable_res_type': -2.252339657994894e-09, 'rtable_addr': 4.5464196388904956e-10, 'rtable_city': 4.6758328375601495e-09, 'rtable_class': 1.753020496822295e-09, 'rtable_id': -1.906480357477376e-08, 'rtable_name': 7.868144030719941e-10, 'rtable_phone': 8.927304790965742e-11, 'rtable_res_type': -2.8470248589509146e-09}",0.0,1.0444698290084489,0.0,[9.9999404e-01 5.9652912e-06],443-126,mojito-c
9,"{'ltable_addr': -7.028160606767293e-13, 'ltable_city': -4.644849333495834e-13, 'ltable_class': -4.3322907768683024e-13, 'ltable_id': 8.507939543951119e-13, 'ltable_name': 7.408373968090097e-13, 'ltable_phone': 2.1757332426161372e-13, 'ltable_res_type': 6.6411302765226785e-12, 'rtable_addr': -1.0577515704997749e-12, 'rtable_city': 1.988219878682004e-13, 'rtable_class': -4.168269019946463e-12, 'rtable_id': -1.1083582419972383e-12, 'rtable_name': 5.757618669787048e-13, 'rtable_phone': 3.54113861474852e-12, 'rtable_res_type': -9.105440971285409e-13}",0.0,1.0301707590115257,0.0,[9.9997973e-01 2.0255420e-05],442-289,mojito-c
