,explanation,label,latency,match,prediction,row,type
0,"{'ltable_city': 0.00023381972324018206, 'ltable_name': 0.0003409797893972264, 'ltable_phone': 9.718643748060529e-05, 'ltable_res_type': -0.00010214408610361927, 'rtable_addr': -0.00014005515789227246, 'rtable_city': 0.00011010144733948981, 'rtable_class': -4.952459311238056e-05, 'rtable_name': -1.2185694477932868e-05, 'rtable_res_type': -0.00031115220756332485}",0.0,0.6551097100018524,0.0,[9.999378e-01 6.220429e-05],6-230,mojito-d
1,"{'ltable_addr': 0.0051436497514258306, 'ltable_city': -0.009256155498859199, 'ltable_class': 0.013978634214218176, 'ltable_phone': 0.007338870989035547, 'ltable_res_type': 0.012060892857327855, 'rtable_addr': 0.007278396565542039, 'rtable_city': 0.00882049600335504, 'rtable_class': 0.0020381845179981385, 'rtable_name': 0.007703773247590638}",1.0,0.6715230760164559,0.0,[0.76932174 0.23067825],38-256,mojito-d
2,"{'ltable_addr': -0.0029371577524411087, 'ltable_name': 0.01471288468919682, 'ltable_phone': 0.006133786970747186, 'ltable_res_type': 0.01796069841341498, 'rtable_addr': -0.011192446350108357, 'rtable_class': 0.023043516212540555, 'rtable_name': 0.0037506278022207337}",0.0,0.6664252179907635,0.0,[9.9999928e-01 6.9638764e-07],384-300,mojito-d
3,"{'ltable_addr': 0.09068422178585152, 'ltable_city': 0.0791673271372969, 'ltable_class': 0.15627217998688225, 'ltable_id': 0.1654560358038521, 'ltable_name': 0.08038709052201581, 'rtable_addr': 0.16104043509966137, 'rtable_city': 0.10189662009272044, 'rtable_class': 0.05181416343487029, 'rtable_id': 0.06127601216994935, 'rtable_name': 0.11000691050515155, 'rtable_res_type': 0.07451861787649916}",1.0,0.6948478049598634,1.0,[0.37733126 0.62266874],83-301,mojito-d
4,"{'ltable_addr': -0.026649905596253815, 'ltable_city': 0.06929647491872856, 'ltable_class': 0.1060642009000532, 'ltable_id': 0.013904853786282036, 'ltable_res_type': 0.1286502742984852, 'rtable_addr': 0.0771900496796485, 'rtable_city': 0.04985815094734164, 'rtable_id': 0.0658901785685157, 'rtable_res_type': 0.1217739021743276}",0.0,0.6696195270051248,1.0,[0.15864874 0.8413513 ],197-251,mojito-d
5,"{'ltable_addr': 0.0349768408255908, 'ltable_city': -0.12516880121758286, 'ltable_id': 0.018581633385275114, 'ltable_phone': 0.045558215558852005, 'rtable_addr': 0.01953817089286657, 'rtable_class': 0.06085016180756845, 'rtable_id': 0.004810434677627614, 'rtable_name': -0.013540039559420704, 'rtable_res_type': 0.0897142188277929}",0.0,0.6931615219800733,0.0,[0.99141836 0.00858165],42-275,mojito-d
6,"{'ltable_addr': 0.03514984053411929, 'ltable_city': 0.0001824895094209118, 'ltable_class': 0.016395783270188553, 'ltable_id': 0.04400792516232508, 'ltable_res_type': -0.009179881350652364, 'rtable_addr': 0.007048415362645815, 'rtable_city': 0.024263934418699763}",0.0,0.7081782660097815,0.0,[0.97759163 0.02240838],131-233,mojito-d
7,"{'ltable_addr': -0.0007109406530281751, 'ltable_city': -0.0007376561943989947, 'ltable_class': -0.00022411385853935047, 'ltable_id': -0.0010569786302682726, 'ltable_res_type': -0.0008794128216507483, 'rtable_addr': -0.0003905095425755245, 'rtable_city': -0.0007609808398623208, 'rtable_class': -0.0007954947499688315}",0.0,0.6702030809829012,0.0,[0.9880199 0.0119801],50-242,mojito-d
8,"{'ltable_addr': 0.04746855593750929, 'ltable_city': 0.009481174427302067, 'ltable_id': 0.08844871682830187, 'rtable_addr': 0.11186436362946901, 'rtable_city': -0.03485810521831202, 'rtable_class': -0.08847423317231856, 'rtable_id': 0.06951683193356895, 'rtable_name': 0.012344500414232365}",0.0,0.7136587300337851,0.0,[9.9999404e-01 5.9652912e-06],443-126,mojito-d
9,"{'ltable_addr': 0.01569537511264985, 'ltable_id': 0.003941206747150403, 'ltable_name': -0.0026159850990553576, 'ltable_phone': -0.005701907002579585, 'ltable_res_type': 0.008043490031867781, 'rtable_addr': 0.012543687834793081, 'rtable_city': -0.016897820984997782, 'rtable_name': 0.008984295526114875, 'rtable_phone': -0.026846752721471856, 'rtable_res_type': 0.004661381427405263}",0.0,0.6845025309594348,0.0,[9.9997973e-01 2.0255420e-05],442-289,mojito-d
