,explanation,label,latency,match,prediction,row,type
0,"{'ltable_class': 0.05489864864864865, 'ltable_name': 0.02787162162162162, 'ltable_addr': 0.02787162162162162, 'ltable_city': 0.02787162162162162, 'ltable_phone': 0.02787162162162162, 'ltable_res_type': 0.02787162162162162}",0.0,80.10823729098774,0.0,[0.90349408 0.09650592],6-230,certa
1,{},0.0,41.546636861981824,0.0,[0.95375401 0.04624599],501-214,certa
2,"{'ltable_class': 0.51875, 'ltable_name': 0.2853125, 'ltable_city': 0.28, 'ltable_addr': 0.28, 'ltable_phone': 0.27625, 'ltable_res_type': 0.271875, 'rtable_class': 0.4678125, 'rtable_name': 0.2653125, 'rtable_addr': 0.259375, 'rtable_city': 0.26, 'rtable_phone': 0.2515625, 'rtable_res_type': 0.2528125}",1.0,209.5059686669847,1.0,[0.36446446 0.63553554],38-256,certa
3,"{'rtable_class': 0.9351851851851852, 'rtable_name': 0.46412037037037035, 'rtable_addr': 0.46296296296296297, 'rtable_city': 0.4675925925925926, 'rtable_phone': 0.4826388888888889, 'rtable_res_type': 0.46875}",0.0,53.91032082797028,0.0,[0.9445025 0.0554975],384-300,certa
4,"{'rtable_class': 0.9538043478260869, 'rtable_name': 0.4796195652173913, 'rtable_addr': 0.47554347826086957, 'rtable_city': 0.4796195652173913, 'rtable_phone': 0.4796195652173913, 'rtable_res_type': 0.4796195652173913}",0.0,53.31223763898015,0.0,[0.95554505 0.04445495],147-23,certa
5,"{'ltable_name': 0.5903125, 'ltable_addr': 0.5903125, 'ltable_city': 0.584375, 'ltable_class': 0.5903125, 'ltable_phone': 0.580625, 'ltable_res_type': 0.5684375, 'rtable_name': 0.4103125, 'rtable_addr': 0.4096875, 'rtable_city': 0.4034375, 'rtable_phone': 0.400625, 'rtable_class': 0.4103125, 'rtable_res_type': 0.4034375}",1.0,204.7461150410818,1.0,[0.49607301 0.50392699],83-301,certa
6,{},0.0,22.07284181693103,0.0,[0.93028991 0.06971009],90-148,certa
7,"{'ltable_name': 0.024553571428571428, 'ltable_class': 0.03050595238095238, 'ltable_addr': 0.018601190476190476, 'ltable_city': 0.015625, 'ltable_phone': 0.018601190476190476, 'ltable_res_type': 0.015625, 'rtable_class': 0.47693452380952384, 'rtable_name': 0.23883928571428573, 'rtable_addr': 0.23883928571428573, 'rtable_city': 0.23883928571428573, 'rtable_phone': 0.23883928571428573, 'rtable_res_type': 0.23883928571428573}",0.0,72.15597829094622,0.0,[0.94685426 0.05314574],197-251,certa
8,"{'rtable_class': 0.5564236111111112, 'rtable_name': 0.3064236111111111, 'rtable_addr': 0.3003472222222222, 'rtable_city': 0.3064236111111111, 'rtable_phone': 0.3064236111111111, 'rtable_res_type': 0.2960069444444444}",0.0,93.05880572099704,0.0,[0.64563668 0.35436332],119-82,certa
9,"{'rtable_class': 0.5811491935483871, 'rtable_name': 0.2908266129032258, 'rtable_addr': 0.2908266129032258, 'rtable_city': 0.2908266129032258, 'rtable_phone': 0.2908266129032258, 'rtable_res_type': 0.2908266129032258, 'ltable_class': 0.3714717741935484, 'ltable_name': 0.18598790322580644, 'ltable_addr': 0.18598790322580644, 'ltable_city': 0.18598790322580644, 'ltable_phone': 0.18598790322580644, 'ltable_res_type': 0.18598790322580644}",0.0,131.02942368900403,0.0,[0.96785193 0.03214807],143-0,certa
