,explanation,label,latency,match,prediction,row,type
0,"{'ltable_addr': 8.962299242716642e-33, 'ltable_city': 4.340099668182232e-33, 'ltable_class': -5.116346572875192e-34, 'ltable_name': 5.073472234391937e-33, 'ltable_phone': -1.589204523740921e-33, 'ltable_res_type': 1.1617059590342549e-32, 'rtable_addr': -1.6232342777013827e-32, 'rtable_city': -1.4296611967971452e-32, 'rtable_class': -1.0614006687861477e-32, 'rtable_name': -2.6168999498188634e-33, 'rtable_phone': 5.796680988848381e-33, 'rtable_res_type': 9.670235818775756e-33}",0.0,29.354131322004832,0.0,[0.90349408 0.09650592],6-230,landmark
1,"{'ltable_addr': -3.765483405691542e-33, 'ltable_city': -7.200709470659364e-35, 'ltable_class': 5.139912382750968e-34, 'ltable_name': -1.5528191291895844e-33, 'ltable_phone': -1.3732671738463555e-33, 'ltable_res_type': 9.003979546007583e-34, 'rtable_addr': 3.833731543145646e-33, 'rtable_city': -5.4307908361756864e-33, 'rtable_class': 2.504145398318061e-34, 'rtable_name': 5.266039097178979e-33, 'rtable_phone': 2.8283016433451803e-33, 'rtable_res_type': -4.989940110269e-33}",0.0,26.58076272904873,0.0,[0.95375401 0.04624599],501-214,landmark
2,"{'ltable_addr': 1.2308667258610373e-32, 'ltable_city': 1.7733998375120905e-31, 'ltable_class': 2.4214770682863667e-32, 'ltable_name': -3.3030237552978115e-32, 'ltable_phone': 1.05877301519312e-31, 'ltable_res_type': 4.687177069383224e-32, 'rtable_addr': -4.292219922651362e-32, 'rtable_city': -1.4025084957032783e-32, 'rtable_class': 5.454286190088049e-32, 'rtable_name': 1.623460896705753e-31, 'rtable_phone': -9.823837843885346e-32, 'rtable_res_type': -4.740848836987221e-32}",1.0,28.398013874073513,1.0,[0.36446446 0.63553554],38-256,landmark
3,"{'ltable_addr': -2.345439247221773e-32, 'ltable_city': 6.138480485969574e-33, 'ltable_class': -4.897847367384313e-34, 'ltable_name': 1.4518134558658268e-32, 'ltable_phone': 2.2637645041569076e-35, 'ltable_res_type': -4.5155331737071116e-33, 'rtable_addr': 1.6486254543643776e-32, 'rtable_city': 4.712660604687147e-33, 'rtable_class': 6.794997461415656e-33, 'rtable_name': 1.0355630813040197e-32, 'rtable_phone': -8.761965134084668e-33, 'rtable_res_type': 7.886584117961722e-33}",0.0,28.016866322956048,0.0,[0.9445025 0.0554975],384-300,landmark
4,"{'ltable_addr': 6.972275237801985e-33, 'ltable_city': 7.608481941233113e-33, 'ltable_class': -4.3629765343382235e-33, 'ltable_name': 9.130584776051572e-33, 'ltable_phone': -1.5664900183082e-32, 'ltable_res_type': -5.848048543620618e-33, 'rtable_addr': 5.9267862243127033e-33, 'rtable_city': -2.7629511392898285e-33, 'rtable_class': 1.6552072678667374e-34, 'rtable_name': 1.944758806686557e-33, 'rtable_phone': -2.643683534275316e-33, 'rtable_res_type': 1.1402852585780735e-32}",0.0,28.903731834026985,0.0,[0.95554505 0.04445495],147-23,landmark
5,"{'ltable_addr': 0.0, 'ltable_city': 0.0, 'ltable_class': 0.0, 'ltable_name': 0.0, 'ltable_phone': 0.0, 'ltable_res_type': 0.0, 'rtable_addr': 0.0, 'rtable_city': 0.0, 'rtable_class': 0.0, 'rtable_name': 0.0, 'rtable_phone': 0.0, 'rtable_res_type': 0.0}",1.0,27.509060926968232,1.0,[0.49607301 0.50392699],83-301,landmark
6,"{'ltable_addr': 3.8126920232785236e-32, 'ltable_city': 6.796737217440985e-33, 'ltable_class': 8.838223321962537e-34, 'ltable_name': 2.7409439475197896e-33, 'ltable_phone': -1.9587513608785722e-32, 'ltable_res_type': 4.531325118445785e-33, 'rtable_addr': -3.1098055553080104e-33, 'rtable_city': -1.5648628751116476e-32, 'rtable_class': 3.6044394349625e-33, 'rtable_name': 1.4451213972921274e-32, 'rtable_phone': 1.355846324825784e-33, 'rtable_res_type': 2.2442630900327906e-34}",0.0,28.896051355055533,0.0,[0.93028991 0.06971009],90-148,landmark
7,"{'ltable_addr': -5.7708467984360266e-33, 'ltable_city': -5.790190819382701e-33, 'ltable_class': 1.8444092607388705e-33, 'ltable_name': -2.483626889325326e-33, 'ltable_phone': 6.048440018264898e-33, 'ltable_res_type': 1.2948915284555476e-33, 'rtable_addr': -2.2892167539916026e-33, 'rtable_city': 1.6982225926752948e-32, 'rtable_class': 1.7047715207278592e-33, 'rtable_name': -3.4616049733495884e-33, 'rtable_phone': 7.388582712554482e-34, 'rtable_res_type': -2.5477945309098678e-33}",0.0,23.909711596090347,0.0,[0.94685426 0.05314574],197-251,landmark
8,"{'ltable_addr': 7.480674433380802e-32, 'ltable_city': -1.0375422471939678e-31, 'ltable_class': -1.2454262672771668e-32, 'ltable_name': 2.36691920293431e-32, 'ltable_phone': 3.7086262518989914e-32, 'ltable_res_type': -4.3508118946411496e-33, 'rtable_addr': 6.145122096391446e-32, 'rtable_city': -4.5444523569414355e-32, 'rtable_class': 3.926492839462096e-32, 'rtable_name': -6.699596554834815e-33, 'rtable_phone': -1.9276275920352867e-32, 'rtable_res_type': -1.0586543182059177e-32}",0.0,30.659021132974885,0.0,[0.64563668 0.35436332],119-82,landmark
9,"{'ltable_addr': 1.9227611269445856e-32, 'ltable_city': 2.3562456507005975e-33, 'ltable_class': -1.1513624274566829e-33, 'ltable_name': -9.367998732610035e-33, 'ltable_phone': -2.6259605744765187e-33, 'ltable_res_type': 1.4611437606191198e-32, 'rtable_addr': -1.653314453851201e-33, 'rtable_city': 1.0560751474784117e-32, 'rtable_class': -8.493889471812098e-33, 'rtable_name': -9.428278454305846e-33, 'rtable_phone': 5.561760268776334e-34, 'rtable_res_type': 7.599080831775242e-34}",0.0,30.74621450691484,0.0,[0.96785193 0.03214807],143-0,landmark
