,explanation,label,latency,match,prediction,row,type
0,"{'ltable_addr': 0.0, 'ltable_city': 0.0, 'ltable_class': -0.05800439945711309, 'ltable_name': -0.0029779931858621572, 'ltable_phone': 0.0, 'ltable_res_type': 0.0, 'rtable_addr': 0.0, 'rtable_city': 0.0, 'rtable_class': -0.022808844253092604, 'rtable_name': 0.0, 'rtable_phone': 0.0, 'rtable_res_type': 0.0}",0.0,141.11651820503175,0.0,[0.90349408 0.09650592],6-230,shap
1,"{'ltable_addr': 0.0, 'ltable_city': 0.0, 'ltable_class': 0.0276620711685229, 'ltable_name': 0.0, 'ltable_phone': 0.0, 'ltable_res_type': 0.0, 'rtable_addr': 0.0, 'rtable_city': 0.0, 'rtable_class': 0.0896399558595311, 'rtable_name': 0.0, 'rtable_phone': 0.0, 'rtable_res_type': 0.0}",0.0,138.49130009801593,0.0,[0.95375401 0.04624599],501-214,shap
2,"{'ltable_addr': 0.0, 'ltable_city': 0.0, 'ltable_class': 0.3701237494619652, 'ltable_name': 0.0, 'ltable_phone': 0.0, 'ltable_res_type': 0.0, 'rtable_addr': 0.0, 'rtable_city': 0.0, 'rtable_class': 0.41135557611192625, 'rtable_name': 0.0, 'rtable_phone': 0.0, 'rtable_res_type': 0.0}",1.0,140.41994717193302,1.0,[0.36446446 0.63553554],38-256,shap
3,"{'ltable_addr': 0.0, 'ltable_city': 0.0, 'ltable_class': -0.0337170017523511, 'ltable_name': 0.0, 'ltable_phone': 0.0, 'ltable_res_type': 0.0, 'rtable_addr': 0.0, 'rtable_city': 0.0, 'rtable_class': 0.014769873974268023, 'rtable_name': 0.0, 'rtable_phone': 0.0, 'rtable_res_type': 0.0}",0.0,134.5291045079939,0.0,[0.9445025 0.0554975],384-300,shap
4,"{'ltable_addr': 0.0, 'ltable_city': 0.0, 'ltable_class': -0.0461688936663831, 'ltable_name': 0.0, 'ltable_phone': 0.0, 'ltable_res_type': 0.0, 'rtable_addr': 0.0, 'rtable_city': 0.0, 'rtable_class': -0.07936514675858966, 'rtable_name': 0.0, 'rtable_phone': 0.0, 'rtable_res_type': 0.0}",0.0,141.3140156849986,0.0,[0.95554505 0.04445495],147-23,shap
5,"{'ltable_addr': 0.0, 'ltable_city': 0.0, 'ltable_class': 0.34365131021024176, 'ltable_name': 0.0, 'ltable_phone': 0.0, 'ltable_res_type': 0.0, 'rtable_addr': 0.0, 'rtable_city': 0.0, 'rtable_class': 0.3763839712504905, 'rtable_name': 0.0, 'rtable_phone': 0.0, 'rtable_res_type': 0.0}",1.0,141.52929793903604,1.0,[0.49607301 0.50392699],83-301,shap
6,"{'ltable_addr': 0.0, 'ltable_city': 0.0, 'ltable_class': 0.026506144443368292, 'ltable_name': 0.006238776161318196, 'ltable_phone': 0.0, 'ltable_res_type': 0.0, 'rtable_addr': 0.0, 'rtable_city': 0.0, 'rtable_class': 0.0, 'rtable_name': 0.007610818076123252, 'rtable_phone': 0.0, 'rtable_res_type': 0.0}",0.0,122.76487652107608,0.0,[0.93028991 0.06971009],90-148,shap
7,"{'ltable_addr': 0.0, 'ltable_city': 0.007807228108695757, 'ltable_class': -0.0315374960324798, 'ltable_name': 0.0014511038726633015, 'ltable_phone': 0.005897441887180258, 'ltable_res_type': 0.0, 'rtable_addr': 0.0, 'rtable_city': 0.009001089148053466, 'rtable_class': -0.05246513419957895, 'rtable_name': 0.008171904614925556, 'rtable_phone': 0.00498714256166599, 'rtable_res_type': 0.003892183668090389}",0.0,152.20245950098615,0.0,[0.94685426 0.05314574],197-251,shap
8,"{'ltable_addr': 0.0, 'ltable_city': 0.0, 'ltable_class': 0.23593445426915735, 'ltable_name': 0.0, 'ltable_phone': 0.0, 'ltable_res_type': 0.0, 'rtable_addr': 0.0, 'rtable_city': 0.0, 'rtable_class': 0.24013174435923848, 'rtable_name': 0.0, 'rtable_phone': 0.0, 'rtable_res_type': 0.0}",0.0,183.97103572497144,0.0,[0.64563668 0.35436332],119-82,shap
9,"{'ltable_addr': 0.0, 'ltable_city': 0.0, 'ltable_class': -0.07879091230750991, 'ltable_name': 0.0, 'ltable_phone': 0.0, 'ltable_res_type': 0.0, 'rtable_addr': 0.0, 'rtable_city': 0.0, 'rtable_class': -0.045100360777518014, 'rtable_name': 0.0, 'rtable_phone': 0.0, 'rtable_res_type': 0.0}",0.0,150.7381829880178,0.0,[0.96785193 0.03214807],143-0,shap
10,"{'ltable_addr': -0.008870437308816648, 'ltable_city': -0.006897973980781506, 'ltable_class': -0.06954152994502377, 'ltable_name': 0.0, 'ltable_phone': 0.0, 'ltable_res_type': 0.0, 'rtable_addr': 0.0, 'rtable_city': 0.0, 'rtable_class': -0.04554348794212418, 'rtable_name': -0.007783156651170742, 'rtable_phone': 0.0, 'rtable_res_type': 0.0}",0.0,162.0260652740253,0.0,[0.96586777 0.03413223],437-130,shap
11,"{'ltable_addr': 0.0, 'ltable_city': 0.0, 'ltable_class': -0.02140583996962673, 'ltable_name': 0.0, 'ltable_phone': 0.0, 'ltable_res_type': 0.0, 'rtable_addr': 0.0, 'rtable_city': 0.0, 'rtable_class': -0.033576743571796346, 'rtable_name': 0.0, 'rtable_phone': 0.0, 'rtable_res_type': 0.0}",0.0,158.95246642595157,0.0,[0.93110555 0.06889445],292-89,shap
12,"{'ltable_addr': 0.0, 'ltable_city': -0.011913097370921593, 'ltable_class': -0.04566012889845185, 'ltable_name': 0.0, 'ltable_phone': 0.0, 'ltable_res_type': 0.0, 'rtable_addr': -0.007931804498548092, 'rtable_city': 0.0, 'rtable_class': -0.06380732946291175, 'rtable_name': 0.0, 'rtable_phone': 0.0, 'rtable_res_type': 0.0}",0.0,183.17235628992785,0.0,[0.97629416 0.02370584],431-288,shap
13,"{'ltable_addr': -0.004314796162775449, 'ltable_city': 0.0, 'ltable_class': -0.0371117404035478, 'ltable_name': -0.009390018019410251, 'ltable_phone': 0.0, 'ltable_res_type': 0.0, 'rtable_addr': 0.0, 'rtable_city': 0.0, 'rtable_class': -0.038665744969359546, 'rtable_name': 0.0, 'rtable_phone': 0.0, 'rtable_res_type': 0.0}",0.0,166.53680097893812,0.0,[0.96560933 0.03439067],131-233,shap
14,"{'ltable_addr': 0.0, 'ltable_city': 0.0, 'ltable_class': -0.032829589838178574, 'ltable_name': 0.0, 'ltable_phone': 0.0, 'ltable_res_type': 0.0, 'rtable_addr': 0.0, 'rtable_city': 0.0, 'rtable_class': -0.048076421725099155, 'rtable_name': -0.011572058416419728, 'rtable_phone': 0.0, 'rtable_res_type': 0.0}",0.0,171.47436356497929,0.0,[0.95238515 0.04761485],405-172,shap
15,"{'ltable_addr': -0.0030792978627196405, 'ltable_city': 0.0, 'ltable_class': -0.08257288196201645, 'ltable_name': -0.007786391111642199, 'ltable_phone': 0.0, 'ltable_res_type': 0.0, 'rtable_addr': 0.0, 'rtable_city': 0.0, 'rtable_class': -0.006988615677306895, 'rtable_name': -0.004750658763789828, 'rtable_phone': 0.0, 'rtable_res_type': 0.0}",0.0,162.82878845196683,0.0,[0.96754368 0.03245632],92-308,shap
16,"{'ltable_addr': 0.0, 'ltable_city': 0.0, 'ltable_class': 0.38118046834695474, 'ltable_name': 0.0, 'ltable_phone': 0.0, 'ltable_res_type': 0.0, 'rtable_addr': 0.0, 'rtable_city': 0.0, 'rtable_class': 0.4203244681507038, 'rtable_name': 0.0, 'rtable_phone': 0.0, 'rtable_res_type': 0.0}",1.0,137.76634987804573,1.0,[0.29867607 0.70132393],84-302,shap
17,"{'ltable_addr': 0.0, 'ltable_city': 0.006255256262735459, 'ltable_class': 0.05791932316453423, 'ltable_name': 0.008238452891353984, 'ltable_phone': 0.014008065998442815, 'ltable_res_type': 0.0, 'rtable_addr': 0.0, 'rtable_city': 0.004384418357983366, 'rtable_class': 0.01317875456684904, 'rtable_name': 0.015860186706087243, 'rtable_phone': 0.0031619453510520965, 'rtable_res_type': 0.001563575694347813}",0.0,133.1668759540189,0.0,[0.92361062 0.07638938],50-242,shap
18,"{'ltable_addr': -0.0012296395816219574, 'ltable_city': -0.006126209001414085, 'ltable_class': -0.03720907247636482, 'ltable_name': 0.0, 'ltable_phone': 0.0, 'ltable_res_type': 0.0, 'rtable_addr': -0.0037983259814980165, 'rtable_city': -0.008877092472989359, 'rtable_class': -0.04704484062639844, 'rtable_name': 0.0, 'rtable_phone': 0.0, 'rtable_res_type': 0.0}",0.0,127.23774479597341,0.0,[0.85773046 0.14226954],443-126,shap
