,explanation,label,latency,match,prediction,row,type
0,"{'ltable_class': 0.05489864864864865, 'ltable_name': 0.02787162162162162, 'ltable_addr': 0.02787162162162162, 'ltable_city': 0.02787162162162162, 'ltable_phone': 0.02787162162162162, 'ltable_res_type': 0.02787162162162162}",0.0,87.89605674694758,0.0,[0.94547825 0.05452175],6-230,certa
1,"{'ltable_class': 0.5665625, 'ltable_name': 0.29, 'ltable_addr': 0.288125, 'ltable_city': 0.28625, 'ltable_phone': 0.2871875, 'ltable_res_type': 0.2853125, 'rtable_class': 0.39875, 'rtable_name': 0.2146875, 'rtable_addr': 0.2134375, 'rtable_city': 0.205, 'rtable_phone': 0.2071875, 'rtable_res_type': 0.2040625}",1.0,203.2980527280597,1.0,[0.10344958 0.89655042],22-240,certa
2,{},0.0,70.67699003196321,0.0,[0.95767652 0.04232348],501-214,certa
3,"{'ltable_class': 0.5446875, 'ltable_name': 0.2809375, 'ltable_addr': 0.2759375, 'ltable_city': 0.2734375, 'ltable_phone': 0.2734375, 'ltable_res_type': 0.2725, 'rtable_class': 0.4165625, 'rtable_name': 0.2115625, 'rtable_addr': 0.2090625, 'rtable_city': 0.2090625, 'rtable_phone': 0.2084375, 'rtable_res_type': 0.2084375}",1.0,211.43782407196704,1.0,[0.04889101 0.95110899],38-256,certa
4,"{'rtable_class': 0.43798828125, 'rtable_name': 0.21923828125, 'rtable_addr': 0.21923828125, 'rtable_city': 0.21923828125, 'rtable_phone': 0.21923828125, 'rtable_res_type': 0.21923828125}",0.0,129.36314140295144,0.0,[0.95131497 0.04868503],70-130,certa
5,"{'ltable_class': 0.046875, 'ltable_name': 0.028356481481481483, 'ltable_addr': 0.023726851851851853, 'ltable_city': 0.023726851851851853, 'ltable_phone': 0.023726851851851853, 'ltable_res_type': 0.023726851851851853, 'rtable_class': 0.4820601851851852, 'rtable_name': 0.24131944444444445, 'rtable_addr': 0.24131944444444445, 'rtable_city': 0.24131944444444445, 'rtable_phone': 0.24131944444444445, 'rtable_res_type': 0.24131944444444445}",0.0,96.04320915800054,0.0,[0.94067006 0.05932994],384-300,certa
6,"{'rtable_class': 0.400625, 'rtable_name': 0.200625, 'rtable_addr': 0.200625, 'rtable_city': 0.200625, 'rtable_phone': 0.200625, 'rtable_res_type': 0.200625}",0.0,88.34682492399588,0.0,[0.94608797 0.05391203],76-26,certa
7,"{'rtable_class': 0.440625, 'rtable_name': 0.220625, 'rtable_addr': 0.220625, 'rtable_city': 0.220625, 'rtable_phone': 0.220625, 'rtable_res_type': 0.220625}",0.0,103.07216620305553,0.0,[0.94749091 0.05250909],147-23,certa
8,"{'ltable_class': 0.5296875, 'ltable_name': 0.2653125, 'ltable_addr': 0.2653125, 'ltable_city': 0.2653125, 'ltable_phone': 0.2653125, 'ltable_res_type': 0.265, 'rtable_class': 0.451875, 'rtable_name': 0.2340625, 'rtable_addr': 0.2278125, 'rtable_city': 0.2271875, 'rtable_phone': 0.226875, 'rtable_res_type': 0.22625}",1.0,214.8834405200323,1.0,[0.05244851 0.94755149],83-301,certa
9,"{'rtable_class': 0.60078125, 'rtable_name': 0.30078125, 'rtable_addr': 0.30078125, 'rtable_city': 0.30078125, 'rtable_phone': 0.30078125, 'rtable_res_type': 0.30078125}",0.0,105.98096859594807,0.0,[0.92831267 0.07168733],90-148,certa
