,explanation,label,latency,match,prediction,row,type
0,"{'ltable_addr': -2.6793629368984874e-33, 'ltable_city': 7.463100881423633e-33, 'ltable_class': -4.810811204500995e-33, 'ltable_name': 8.669363012605733e-34, 'ltable_phone': 5.76600909066263e-34, 'ltable_res_type': -4.5542836077877494e-34, 'rtable_addr': 1.6322403849840815e-33, 'rtable_city': 6.267416432634382e-33, 'rtable_class': 2.1746256642576833e-33, 'rtable_name': 9.511210576576963e-33, 'rtable_phone': -2.4432981116388955e-33, 'rtable_res_type': -6.536701656422584e-33}",0.0,28.59975462500006,0.0,[0.94547825 0.05452175],6-230,landmark
1,"{'ltable_addr': 5.524842587022089e-32, 'ltable_city': -5.473358891414342e-32, 'ltable_class': 3.156083972066797e-32, 'ltable_name': 1.004701701319538e-31, 'ltable_phone': -5.931653037128689e-32, 'ltable_res_type': -5.387736885894272e-32, 'rtable_addr': 9.678220552266082e-32, 'rtable_city': -5.372817466430772e-33, 'rtable_class': 3.18338371945626e-32, 'rtable_name': -6.056381060055268e-32, 'rtable_phone': -2.2304078220402866e-32, 'rtable_res_type': -3.987333859370089e-32}",1.0,28.445711713982746,1.0,[0.10344958 0.89655042],22-240,landmark
2,"{'ltable_addr': 0.0, 'ltable_city': 0.0, 'ltable_class': 0.0, 'ltable_name': 0.0, 'ltable_phone': 0.0, 'ltable_res_type': 0.0, 'rtable_addr': 0.0, 'rtable_city': 0.0, 'rtable_class': 0.0, 'rtable_name': 0.0, 'rtable_phone': 0.0, 'rtable_res_type': 0.0}",0.0,24.6408711259719,0.0,[0.95767652 0.04232348],501-214,landmark
3,"{'ltable_addr': 4.88502728168699e-32, 'ltable_city': -1.350719274060298e-31, 'ltable_class': -1.1181669085782785e-32, 'ltable_name': 2.967623628923961e-32, 'ltable_phone': 1.9207489123279914e-32, 'ltable_res_type': -1.2352320603235745e-32, 'rtable_addr': 8.470165729812375e-32, 'rtable_city': 9.953768348994487e-32, 'rtable_class': 2.8986127867599067e-33, 'rtable_name': -5.179988990460177e-32, 'rtable_phone': 1.847636975270999e-32, 'rtable_res_type': 7.191642293197894e-32}",1.0,29.017301599960774,1.0,[0.04889101 0.95110899],38-256,landmark
4,"{'ltable_addr': -6.878327119934421e-10, 'ltable_city': 1.040509893677098e-09, 'ltable_class': -4.4876048255067695e-10, 'ltable_name': -8.340761966175428e-10, 'ltable_phone': 2.515150873739663e-09, 'ltable_res_type': 1.056752331392823e-09, 'rtable_addr': -4.552955113033867e-09, 'rtable_city': -1.915407497947495e-09, 'rtable_class': 1.8667358835149716e-09, 'rtable_name': 4.557892119748986e-09, 'rtable_phone': -2.365849669312406e-10, 'rtable_res_type': 5.745506827200843e-10}",0.0,28.936601863941178,0.0,[0.95131497 0.04868503],70-130,landmark
5,"{'ltable_addr': -3.0201919002608597e-33, 'ltable_city': 3.0786843574745075e-33, 'ltable_class': -3.202568591617653e-33, 'ltable_name': -7.393407315311054e-33, 'ltable_phone': -2.7781496503181113e-33, 'ltable_res_type': -1.0900865275493049e-33, 'rtable_addr': 5.518956676158342e-33, 'rtable_city': 3.25091531620386e-33, 'rtable_class': 1.0383932325239487e-33, 'rtable_name': 6.409903257305633e-33, 'rtable_phone': -1.4085879516692903e-33, 'rtable_res_type': -1.992708855073998e-33}",0.0,25.983193430001847,0.0,[0.94067006 0.05932994],384-300,landmark
6,"{'ltable_addr': 3.54318013274772e-33, 'ltable_city': -1.1759846262113178e-32, 'ltable_class': 2.2014311315775464e-33, 'ltable_name': -9.320506598187966e-33, 'ltable_phone': -1.0247760171721906e-32, 'ltable_res_type': -4.0097180990271934e-34, 'rtable_addr': 5.576366855619368e-33, 'rtable_city': -3.742073293018555e-34, 'rtable_class': -1.8103657229144104e-33, 'rtable_name': 2.60630013040669e-32, 'rtable_phone': 2.605553340297572e-33, 'rtable_res_type': 1.0484803810479769e-32}",0.0,24.547064982005395,0.0,[0.94608797 0.05391203],76-26,landmark
7,"{'ltable_addr': -1.0330455584291705e-09, 'ltable_city': 4.644104799789483e-09, 'ltable_class': -1.3042326266124206e-09, 'ltable_name': -2.209809471498669e-09, 'ltable_phone': -1.191685984877106e-09, 'ltable_res_type': 4.89798406535382e-10, 'rtable_addr': 3.561100045840425e-09, 'rtable_city': -1.0372137268694384e-10, 'rtable_class': -1.92918901532346e-09, 'rtable_name': 3.898757842970322e-09, 'rtable_phone': 1.2315933734065928e-10, 'rtable_res_type': -1.0118751450419974e-09}",0.0,34.00799886509776,0.0,[0.94749091 0.05250909],147-23,landmark
8,"{'ltable_addr': 0.0, 'ltable_city': 0.0, 'ltable_class': 0.0, 'ltable_name': 0.0, 'ltable_phone': 0.0, 'ltable_res_type': 0.0, 'rtable_addr': 0.0, 'rtable_city': 0.0, 'rtable_class': 0.0, 'rtable_name': 0.0, 'rtable_phone': 0.0, 'rtable_res_type': 0.0}",1.0,27.92423670506105,1.0,[0.05244851 0.94755149],83-301,landmark
9,"{'ltable_addr': 9.177269833133642e-33, 'ltable_city': 9.819473545476065e-33, 'ltable_class': 1.4189462422211155e-33, 'ltable_name': 5.3680465442695414e-33, 'ltable_phone': -4.218969317082645e-33, 'ltable_res_type': 4.234793563457124e-33, 'rtable_addr': -9.06080610852515e-33, 'rtable_city': 9.332903317719667e-34, 'rtable_class': 1.2513778116958636e-33, 'rtable_name': -1.659097138119737e-32, 'rtable_phone': 4.049763228981544e-33, 'rtable_res_type': 3.258436450388124e-33}",0.0,27.268731335061602,0.0,[0.92831267 0.07168733],90-148,landmark
10,"{'ltable_addr': 2.6219521875818913e-32, 'ltable_city': 4.4668472979134605e-33, 'ltable_class': 1.373865873122016e-32, 'ltable_name': -4.4210215995862665e-33, 'ltable_phone': -8.160919550411064e-33, 'ltable_res_type': 2.1919284085339827e-33, 'rtable_addr': -8.776125010234728e-33, 'rtable_city': -3.461948320425972e-32, 'rtable_class': 1.0037798347700325e-33, 'rtable_name': -1.738209400956817e-33, 'rtable_phone': 3.185152675979614e-33, 'rtable_res_type': -5.519454065972017e-33}",0.0,24.437330376007594,0.0,[0.89689026 0.10310974],197-251,landmark
11,"{'ltable_addr': -2.1556541557057188e-09, 'ltable_city': 3.871189930949625e-09, 'ltable_class': -3.3842616472638774e-09, 'ltable_name': -2.0691179200386192e-09, 'ltable_phone': 3.388600064845612e-09, 'ltable_res_type': 7.146067448433185e-10, 'rtable_addr': 3.1866061080749417e-09, 'rtable_city': -4.414057455502136e-09, 'rtable_class': -1.6655742536850493e-09, 'rtable_name': 4.0160042002586847e-10, 'rtable_phone': -3.0911023873289026e-09, 'rtable_res_type': -1.2161073694186396e-09}",0.0,24.02970659302082,0.0,[0.78785142 0.21214858],119-82,landmark
12,"{'ltable_addr': -1.1025349148991998e-09, 'ltable_city': 6.885726752662565e-10, 'ltable_class': 2.0238248483164784e-10, 'ltable_name': 2.9942679286933478e-09, 'ltable_phone': 2.643171582482695e-10, 'ltable_res_type': -3.958952244459842e-11, 'rtable_addr': -3.4336325051879612e-09, 'rtable_city': -1.91302115788134e-09, 'rtable_class': -9.83742329538668e-10, 'rtable_name': 1.8663909730674233e-09, 'rtable_phone': 7.47369605964892e-10, 'rtable_res_type': 2.6721576276448766e-09}",0.0,30.181170179974288,0.0,[0.94971412 0.05028588],68-288,landmark
13,"{'ltable_addr': -1.917423791860531e-32, 'ltable_city': 6.102929331913038e-33, 'ltable_class': -1.7329211544446268e-33, 'ltable_name': 1.9252300574529596e-32, 'ltable_phone': -1.1547727098348669e-32, 'ltable_res_type': 2.369702818989067e-32, 'rtable_addr': 3.2689923754278654e-33, 'rtable_city': 2.983139604645249e-32, 'rtable_class': 1.0124385239791453e-32, 'rtable_name': 2.2752621142989397e-32, 'rtable_phone': -3.413830320044525e-33, 'rtable_res_type': 4.925788119692522e-34}",0.0,28.99762253498193,0.0,[0.93711598 0.06288402],143-0,landmark
