,explanation,label,latency,match,prediction,row,type
0,"{'ltable_addr': 0.0, 'ltable_city': 0.0, 'ltable_class': -0.24527539293690162, 'ltable_name': 0.0, 'ltable_phone': 0.0, 'ltable_res_type': 0.0, 'rtable_addr': 0.0, 'rtable_city': 0.0, 'rtable_class': -0.19326412465946244, 'rtable_name': 0.0, 'rtable_phone': 0.0, 'rtable_res_type': 0.0}",0.0,134.38371096702758,0.0,[0.94547825 0.05452175],6-230,shap
1,"{'ltable_addr': 0.0, 'ltable_city': 0.0, 'ltable_class': 0.19322766020528642, 'ltable_name': 0.0, 'ltable_phone': 0.0, 'ltable_res_type': 0.0, 'rtable_addr': 0.0, 'rtable_city': 0.0, 'rtable_class': 0.22569924868985172, 'rtable_name': 0.036668445170160824, 'rtable_phone': 0.0, 'rtable_res_type': 0.0}",1.0,135.0143008120358,1.0,[0.10344958 0.89655042],22-240,shap
2,"{'ltable_addr': 0.0, 'ltable_city': 0.0, 'ltable_class': -0.20700608807838128, 'ltable_name': -0.024777951318414634, 'ltable_phone': 0.0, 'ltable_res_type': 0.0, 'rtable_addr': 0.0, 'rtable_city': 0.0, 'rtable_class': -0.17714903233552182, 'rtable_name': -0.03282473160346816, 'rtable_phone': 0.0, 'rtable_res_type': 0.0}",0.0,120.3125986069208,0.0,[0.95767652 0.04232348],501-214,shap
3,"{'ltable_addr': 0.0, 'ltable_city': 0.0, 'ltable_class': 0.22087994805384858, 'ltable_name': 0.012654161003758907, 'ltable_phone': 0.0, 'ltable_res_type': 0.0, 'rtable_addr': 0.0, 'rtable_city': 0.0, 'rtable_class': 0.2204236342340813, 'rtable_name': 0.011070761065053059, 'rtable_phone': 0.0, 'rtable_res_type': 0.0}",1.0,136.52480173693039,1.0,[0.04889101 0.95110899],38-256,shap
4,"{'ltable_addr': 0.0, 'ltable_city': 0.0, 'ltable_class': -0.2121244035466775, 'ltable_name': 0.0, 'ltable_phone': 0.0, 'ltable_res_type': 0.0, 'rtable_addr': 0.0, 'rtable_city': 0.0, 'rtable_class': -0.2120865861965188, 'rtable_name': -0.023465294048465035, 'rtable_phone': 0.0, 'rtable_res_type': 0.0}",0.0,127.92859736504033,0.0,[0.95131497 0.04868503],70-130,shap
5,"{'ltable_addr': 0.0, 'ltable_city': 0.0, 'ltable_class': -0.1975481305486564, 'ltable_name': -0.01271202872119459, 'ltable_phone': 0.0, 'ltable_res_type': 0.0, 'rtable_addr': 0.0, 'rtable_city': 0.0, 'rtable_class': -0.1850640081965805, 'rtable_name': -0.020315021964416806, 'rtable_phone': -0.013451162851079779, 'rtable_res_type': 0.0}",0.0,122.83310517901555,0.0,[0.94067006 0.05932994],384-300,shap
6,"{'ltable_addr': 0.0, 'ltable_city': 0.0, 'ltable_class': -0.19990008154447225, 'ltable_name': 0.0, 'ltable_phone': 0.0, 'ltable_res_type': 0.0, 'rtable_addr': -0.028056666049908197, 'rtable_city': 0.0, 'rtable_class': -0.20640631724605557, 'rtable_name': 0.0, 'rtable_phone': 0.0, 'rtable_res_type': 0.0}",0.0,125.25883013394196,0.0,[0.94608797 0.05391203],76-26,shap
7,"{'ltable_addr': 0.0, 'ltable_city': 0.0, 'ltable_class': -0.20346550631215155, 'ltable_name': 0.0, 'ltable_phone': 0.0, 'ltable_res_type': 0.0, 'rtable_addr': 0.0, 'rtable_city': 0.0, 'rtable_class': -0.21817364013032117, 'rtable_name': -0.028350404788792416, 'rtable_phone': 0.0, 'rtable_res_type': 0.0}",0.0,142.56028861296363,0.0,[0.94749091 0.05250909],147-23,shap
8,"{'ltable_addr': 0.0, 'ltable_city': 0.0, 'ltable_class': 0.24838084831753063, 'ltable_name': 0.0, 'ltable_phone': 0.0, 'ltable_res_type': 0.0, 'rtable_addr': 0.0, 'rtable_city': 0.0, 'rtable_class': 0.2143540693082542, 'rtable_name': 0.0, 'rtable_phone': 0.0, 'rtable_res_type': 0.0}",1.0,161.93131163995713,1.0,[0.05244851 0.94755149],83-301,shap
9,"{'ltable_addr': 0.0, 'ltable_city': 0.0, 'ltable_class': -0.18681246800008403, 'ltable_name': 0.0, 'ltable_phone': 0.0, 'ltable_res_type': 0.0, 'rtable_addr': 0.0, 'rtable_city': 0.0, 'rtable_class': -0.24886340404269117, 'rtable_name': 0.0, 'rtable_phone': 0.0, 'rtable_res_type': 0.0}",0.0,138.14868234295864,0.0,[0.92831267 0.07168733],90-148,shap
