,explanation,type,latency,match,label,row,prediction
0,"{'ltable_addr': 3.907052610470939e-12, 'ltable_city': -2.7686998231392915e-12, 'ltable_class': -1.9147798709893223e-12, 'ltable_id': 7.589067280508317e-12, 'ltable_name': 2.150773435092133e-11, 'ltable_phone': -6.035383062911236e-12, 'ltable_res_type': 1.1578329896560493e-12, 'rtable_addr': 2.809991818663384e-12, 'rtable_city': 5.310796172248717e-12, 'rtable_class': -4.674308172413006e-12, 'rtable_id': 1.522284984418037e-11, 'rtable_name': -4.522035888154935e-12, 'rtable_phone': -1.2161544634737802e-11, 'rtable_res_type': 1.9427561704353854e-12}",mojito-c,21.180440178999902,0.0,0.0,6-230,[9.996785e-01 3.214822e-04]
1,"{'ltable_addr': -9.596205269060713e-33, 'ltable_city': -2.0937220206065445e-32, 'ltable_class': -5.675533876756964e-32, 'ltable_id': -8.97543030313362e-33, 'ltable_name': 1.2147487774494644e-32, 'ltable_phone': -1.906848554936639e-33, 'ltable_res_type': 1.2162446070748483e-32, 'rtable_addr': -3.457463038077912e-33, 'rtable_city': 3.1870940497708005e-32, 'rtable_class': 5.452392730746603e-32, 'rtable_id': -4.955437588580883e-32, 'rtable_name': 7.795362590432031e-33, 'rtable_phone': 1.3139915185232493e-31, 'rtable_res_type': 3.4833254203614393e-32}",mojito-c,21.22403039699975,1.0,1.0,22-240,[0.00236951 0.9976305 ]
2,"{'ltable_addr': 0.0, 'ltable_city': 0.0, 'ltable_class': 0.0, 'ltable_id': 0.0, 'ltable_name': 0.0, 'ltable_phone': 0.0, 'ltable_res_type': 0.0, 'rtable_addr': 0.0, 'rtable_city': 0.0, 'rtable_class': 0.0, 'rtable_id': 0.0, 'rtable_name': 0.0, 'rtable_phone': 0.0, 'rtable_res_type': 0.0}",mojito-c,21.83601894200001,0.0,0.0,501-214,[9.9963236e-01 3.6766718e-04]
3,"{'ltable_addr': -9.133699626844532e-33, 'ltable_city': -2.143983231048339e-33, 'ltable_class': 2.3462775913221005e-33, 'ltable_id': 1.8277500566238057e-34, 'ltable_name': 2.0570524176960055e-32, 'ltable_phone': 1.5172611426644894e-32, 'ltable_res_type': 4.700266259795161e-34, 'rtable_addr': -5.770157135845913e-33, 'rtable_city': 1.5677709944178807e-33, 'rtable_class': -8.895083939357419e-33, 'rtable_id': -1.413961599267268e-32, 'rtable_name': 1.1028107482204976e-32, 'rtable_phone': 1.4199177096040553e-32, 'rtable_res_type': 7.043447809794261e-34}",mojito-c,21.109164028001032,1.0,1.0,38-256,[0.00239185 0.9976082 ]
4,"{'ltable_addr': 6.75551706570127e-14, 'ltable_city': -5.884451296161697e-12, 'ltable_class': 5.534089991823704e-12, 'ltable_id': 3.5346607514260964e-12, 'ltable_name': 1.5093205456161178e-12, 'ltable_phone': -1.3101770475107986e-11, 'ltable_res_type': -1.0299070852430918e-11, 'rtable_addr': 8.541041460153612e-13, 'rtable_city': 1.6635119829856523e-11, 'rtable_class': -1.7465089205067342e-11, 'rtable_id': 7.48221647910599e-12, 'rtable_name': -2.889986444930712e-12, 'rtable_phone': -8.198020818879473e-12, 'rtable_res_type': -1.0269833814186172e-11}",mojito-c,21.3497163739994,0.0,0.0,70-130,[9.9967825e-01 3.2171368e-04]
5,"{'ltable_addr': -1.4726073235132092e-14, 'ltable_city': -4.346833868240693e-12, 'ltable_class': 2.2812786360342963e-12, 'ltable_id': 3.1420256569942634e-13, 'ltable_name': 5.982575385949303e-14, 'ltable_phone': 4.1452948229882847e-13, 'ltable_res_type': 4.797435398363428e-12, 'rtable_addr': -2.1201418739699244e-12, 'rtable_city': 5.781597772411434e-12, 'rtable_class': -4.2814457812898944e-13, 'rtable_id': -3.5643068367567006e-12, 'rtable_name': 3.583560486026359e-13, 'rtable_phone': -9.888064601486669e-13, 'rtable_res_type': -4.345792430069383e-12}",mojito-c,21.33798639500128,0.0,0.0,384-300,[9.9964488e-01 3.5517153e-04]
6,"{'ltable_addr': -4.1501098036480106e-12, 'ltable_city': -2.092514655938131e-12, 'ltable_class': 4.2519047071804705e-12, 'ltable_id': -4.733344998624411e-12, 'ltable_name': -3.794685997548459e-12, 'ltable_phone': 6.611163008923431e-12, 'ltable_res_type': 1.0705209971451637e-11, 'rtable_addr': -8.341253368030662e-12, 'rtable_city': -4.62806849954552e-12, 'rtable_class': 4.327518830737751e-12, 'rtable_id': -2.2726827448073507e-11, 'rtable_name': 7.263279190139363e-12, 'rtable_phone': 9.545646582390155e-12, 'rtable_res_type': -2.752356460589345e-12}",mojito-c,21.878325907000544,0.0,0.0,76-26,[9.9968648e-01 3.1355815e-04]
7,"{'ltable_addr': -3.860664205848266e-12, 'ltable_city': 2.0068934167580904e-12, 'ltable_class': -2.307179715467961e-13, 'ltable_id': -5.246621789921648e-12, 'ltable_name': -4.913153649310185e-12, 'ltable_phone': -2.0703466651169927e-12, 'ltable_res_type': -1.6436288316662073e-11, 'rtable_addr': 6.177626346575184e-12, 'rtable_city': 3.203589295975929e-13, 'rtable_class': -3.879124635891752e-12, 'rtable_id': -3.097690352565512e-12, 'rtable_name': 2.3533175294947776e-12, 'rtable_phone': 8.876726295919927e-12, 'rtable_res_type': -7.114260432612107e-13}",mojito-c,21.282609861998935,0.0,0.0,147-23,[9.9967611e-01 3.2392715e-04]
8,"{'ltable_addr': -8.494341298608564e-34, 'ltable_city': 3.036675959857252e-33, 'ltable_class': 1.345204492713407e-32, 'ltable_id': 4.950734338637127e-33, 'ltable_name': 5.016315148767297e-33, 'ltable_phone': -2.6128678720784162e-33, 'ltable_res_type': -1.9806063651016222e-33, 'rtable_addr': -2.886499627094502e-33, 'rtable_city': -2.6049151503903745e-34, 'rtable_class': 1.9799577040649868e-32, 'rtable_id': -8.967703063739159e-34, 'rtable_name': 1.5822338457575095e-33, 'rtable_phone': 2.9513055318307036e-33, 'rtable_res_type': -1.9088764584043673e-32}",mojito-c,21.261249393999606,1.0,1.0,83-301,[0.00245417 0.9975458 ]
9,"{'ltable_addr': -2.2887255340017877e-12, 'ltable_city': 4.901437422147784e-12, 'ltable_class': -6.553571918686723e-14, 'ltable_id': -2.7894359463535705e-12, 'ltable_name': -2.0093659777270433e-12, 'ltable_phone': 3.195284214290593e-12, 'ltable_res_type': -1.0330817412223677e-13, 'rtable_addr': -1.2756509992191267e-12, 'rtable_city': -1.133122015060388e-11, 'rtable_class': 2.5155380358838778e-12, 'rtable_id': -8.340792176362578e-12, 'rtable_name': 4.772481744519226e-12, 'rtable_phone': 5.811453792305612e-12, 'rtable_res_type': -3.4604420799703334e-12}",mojito-c,24.844993093000085,0.0,0.0,90-148,[9.9964988e-01 3.5006707e-04]
