,explanation,type,latency,match,label,row,prediction
0,"{'ltable_city': -0.0004167756458438431, 'ltable_class': -0.0007029889371566766, 'ltable_phone': -0.0006310843232153728, 'rtable_addr': -0.000535218922669651, 'rtable_city': -0.0005451012955605417, 'rtable_class': -0.0003046320864534998, 'rtable_name': -0.00045275970730011025, 'rtable_phone': -0.0005364350209475751, 'rtable_res_type': -0.00019499711148027326}",mojito-d,20.932834057999912,0.0,0.0,6-230,[9.996785e-01 3.214822e-04]
1,"{'ltable_addr': 0.12883546488214936, 'ltable_name': 0.13405799576691121, 'ltable_phone': 0.12920252280779104, 'rtable_addr': 0.05735276546177654, 'rtable_name': 0.08164942881648646, 'rtable_phone': 0.09231849951614096}",mojito-d,20.984906486,1.0,1.0,22-240,[0.00236951 0.9976305 ]
2,"{'ltable_addr': -0.0001508485568392301, 'ltable_class': -0.00040314588126814927, 'ltable_name': -0.0004891677342116123, 'ltable_phone': -0.0005383617673578216, 'ltable_res_type': -0.00031423836545955026, 'rtable_addr': -0.00021297849780443817, 'rtable_city': -0.0005070198753820565, 'rtable_class': -0.0002891040540314208, 'rtable_name': -0.00038757071959050985, 'rtable_phone': -0.0006525394169939606}",mojito-d,21.626131396000346,0.0,0.0,501-214,[9.9963236e-01 3.6766718e-04]
3,"{'ltable_addr': 0.028071407914633383, 'ltable_city': -0.0348727100743441, 'ltable_class': 0.17678083590751933, 'ltable_name': 0.13630177060939247, 'ltable_phone': 0.1689038328239074, 'ltable_res_type': 0.06750223706663853, 'rtable_addr': 0.03546514401472426, 'rtable_city': 0.1027400306387936, 'rtable_name': -0.051752494830434814, 'rtable_phone': 0.5678228083245227}",mojito-d,20.898818450999897,1.0,1.0,38-256,[0.00239185 0.9976082 ]
4,"{'ltable_addr': -0.00026428591986713955, 'ltable_city': -0.000237544683545892, 'ltable_name': -0.00019089569575142748, 'ltable_phone': 5.742772431797398e-05, 'rtable_addr': -0.00019532458896691037, 'rtable_city': -0.00015712783668296056, 'rtable_name': -0.0002306969711107347, 'rtable_phone': -0.0004171480172233592}",mojito-d,21.102607677999913,0.0,0.0,70-130,[9.9967825e-01 3.2171368e-04]
5,"{'ltable_addr': -0.0002134773908079942, 'ltable_class': -0.0004942468481337437, 'ltable_name': -0.00031757560446771943, 'ltable_phone': -0.0007504997906529296, 'rtable_addr': -0.00044799769468419786, 'rtable_class': -0.0005127353279353773, 'rtable_name': -0.00045949445351899646, 'rtable_phone': -0.00016076158470230728, 'rtable_res_type': -0.00042469786598175834}",mojito-d,21.36170065999977,0.0,0.0,384-300,[9.9964488e-01 3.5517153e-04]
6,"{'ltable_addr': -0.0010001249629979037, 'ltable_city': -0.0010849496123003092, 'ltable_name': -0.0004689467284443043, 'ltable_res_type': -0.0004395524841774694, 'rtable_addr': -0.0008661689582183741, 'rtable_city': -0.0008177840601669525, 'rtable_class': -0.0006936668049353602, 'rtable_name': -0.00033095363243802457, 'rtable_phone': -0.0007725059688849693, 'rtable_res_type': -0.0006137303430822932}",mojito-d,21.98407369400047,0.0,0.0,76-26,[9.9968648e-01 3.1355815e-04]
7,"{'ltable_addr': -0.0004535324828557065, 'ltable_city': -0.0007878404948491406, 'ltable_name': -0.0006506806570687847, 'ltable_phone': -0.0004912638310071633, 'rtable_addr': -0.0005317610713790613, 'rtable_name': -0.0002467961394828258, 'rtable_phone': -0.0005140607630981247, 'rtable_res_type': -0.0006835080052481411}",mojito-d,21.0400663370001,0.0,0.0,147-23,[9.9967611e-01 3.2392715e-04]
8,"{'ltable_addr': 0.061030633629177294, 'ltable_class': 0.10691138370720667, 'ltable_name': 0.17133278099710617, 'rtable_addr': 0.11452508077596527, 'rtable_city': 0.14084260057609538, 'rtable_class': 0.17672976517949346, 'rtable_id': 0.1764099954742172, 'rtable_name': 0.07496951468454803, 'rtable_phone': 0.09662189145467123}",mojito-d,21.058145581002464,1.0,1.0,83-301,[0.00245417 0.9975458 ]
9,"{'ltable_addr': -0.00035247134011776114, 'ltable_name': -0.00033259867487592677, 'ltable_phone': -0.0004252798267540443, 'ltable_res_type': -0.0005786727498474621, 'rtable_addr': -0.00034759347333655733, 'rtable_class': -0.0003968335305577459, 'rtable_id': -0.0006229784177850172, 'rtable_name': -0.0003942205158572572, 'rtable_phone': -0.00023079678132709476}",mojito-d,22.995930920002138,0.0,0.0,90-148,[9.9964988e-01 3.5006707e-04]
