,explanation,label,latency,match,prediction,row,type
0,"{'ltable_Album_Name': 0.08953197986824468, 'ltable_CopyRight': 0.08565302306071308, 'ltable_Price': 0.0907215116680802, 'ltable_Released': -0.21261107250834668, 'ltable_Time': 0.13579406332108002, 'rtable_Album_Name': 0.06370867607240883, 'rtable_CopyRight': 0.09017201457773223}",0.0,0.8840314179979032,0.0,[0.93159056 0.06840936],3505-30346,mojito-d
1,"{'ltable_Album_Name': -0.0028166909486673566, 'ltable_Artist_Name': 0.07113261941295308, 'ltable_CopyRight': 0.022196840495587615, 'ltable_Genre': 0.023220904747840714, 'rtable_Album_Name': 0.024759384084581806, 'rtable_CopyRight': -0.025734506742034754, 'rtable_Price': 0.038473329445604595, 'rtable_id': 0.03019658642537599}",0.0,0.991406636996544,1.0,[0.17815016 0.8218498 ],5343-47894,mojito-d
2,"{'ltable_Album_Name': 0.2719028214009893, 'ltable_CopyRight': 0.03671367770718575, 'ltable_Genre': -0.12159123227775964, 'ltable_Price': -0.169399489114924, 'rtable_Album_Name': 0.16097821654602695, 'rtable_CopyRight': 0.046057131699874646, 'rtable_Genre': 0.09507152157445517, 'rtable_Price': 0.13116124716273844, 'rtable_id': 0.08600032355244869}",1.0,0.7256741000019247,1.0,[0.08880504 0.9111949 ],3354-17643,mojito-d
3,"{'ltable_Album_Name': -0.009250973542439011, 'ltable_Artist_Name': 0.026873747169057275, 'ltable_CopyRight': -0.012851924889786266, 'ltable_Genre': -0.019551195027531307, 'ltable_Song_Name': -0.012714263394388298, 'rtable_Album_Name': -0.020863377398582957, 'rtable_CopyRight': -0.0018150849199137552}",0.0,0.8768130160024157,0.0,[0.9901259  0.00987415],1268-34910,mojito-d
4,"{'ltable_CopyRight': -0.027329789814160014, 'ltable_Genre': -0.026454946541883503, 'ltable_Song_Name': -0.024072229024167113, 'ltable_id': -0.021823266136763695, 'rtable_Album_Name': -0.018130127298080168, 'rtable_CopyRight': -0.030014743899514664, 'rtable_Song_Name': -0.0316103140134451}",0.0,1.0783822730008978,0.0,[0.98661983 0.01338017],1176-34919,mojito-d
5,"{'ltable_Album_Name': -0.06238905707516609, 'ltable_CopyRight': -0.049006935842749004, 'ltable_Genre': -0.04744430420060896, 'rtable_Album_Name': -0.04410147847253905, 'rtable_Artist_Name': 0.09207543542248586, 'rtable_Song_Name': 0.0025388706065004366}",0.0,1.060747329989681,0.0,[0.97842765 0.02157237],1156-28014,mojito-d
6,"{'ltable_Album_Name': -0.028526227065928004, 'ltable_Genre': 0.03450101741043468, 'ltable_Song_Name': -0.016931250627169783, 'rtable_Album_Name': 0.007189529186887743, 'rtable_Artist_Name': -0.015090331174551403, 'rtable_CopyRight': -0.024015191984567193, 'rtable_Genre': 0.014501353362538385, 'rtable_Song_Name': 0.022128911707094204, 'rtable_Time': 0.008295751489578392}",0.0,0.9935870009940118,0.0,[9.9959964e-01 4.0036981e-04],2718-17189,mojito-d
7,"{'ltable_Album_Name': -0.055703271336094144, 'ltable_CopyRight': -0.06965474129855281, 'ltable_Genre': -0.009080259927304718, 'ltable_Song_Name': 0.07549298929141306, 'rtable_Album_Name': -0.16818996190059804, 'rtable_Artist_Name': 0.08833890347704687, 'rtable_Price': 0.0669667109000881, 'rtable_Song_Name': 0.026199378924494858, 'rtable_Time': -0.05013900567601551}",0.0,1.0227786210016347,0.0,[0.9710155  0.02898449],1164-28001,mojito-d
8,"{'ltable_Artist_Name': 0.04308021149044234, 'ltable_CopyRight': 0.03862262191205044, 'ltable_Song_Name': -0.05532566095785513, 'rtable_Album_Name': -0.08144681279922822, 'rtable_CopyRight': 0.01870150250059737, 'rtable_Price': -0.04354900194202432, 'rtable_Released': 0.04028614887594545, 'rtable_Song_Name': -0.0336264196980754}",0.0,0.9803667420055717,0.0,[0.9527305  0.04726955],271-53030,mojito-d
9,"{'ltable_Album_Name': 0.04401765163364264, 'ltable_Artist_Name': 0.025610032848200428, 'ltable_Price': 0.010057461692419336, 'ltable_Song_Name': 0.0776644026040983, 'ltable_Time': 0.08941576115362104, 'rtable_Album_Name': 0.0777514657776902, 'rtable_CopyRight': 0.06853240360684872, 'rtable_Price': 0.06909852625324304, 'rtable_Song_Name': 0.04302856632382838}",0.0,1.1587265550042503,0.0,[0.9215841  0.07841591],796-33113,mojito-d
