,explanation,label,latency,match,prediction,row,type
0,"{'ltable_Album_Name': 2.3918925880372094e-10, 'ltable_Artist_Name': -1.3447764243395476e-09, 'ltable_CopyRight': -1.7688549101645204e-10, 'ltable_Genre': 1.190587246111757e-10, 'ltable_Price': -5.405972215468261e-10, 'ltable_Released': -8.948815562650463e-09, 'ltable_Song_Name': -1.8583565306174704e-10, 'ltable_Time': 1.6021686726507414e-09, 'ltable_id': 2.1095122554136667e-09, 'rtable_Album_Name': -1.42020932265173e-10, 'rtable_Artist_Name': 1.3170858562593877e-09, 'rtable_CopyRight': 6.059563228593578e-10, 'rtable_Genre': 9.218092712062689e-10, 'rtable_Price': -9.466937601596963e-10, 'rtable_Released': 8.620617503694225e-10, 'rtable_Song_Name': 2.3337490169395344e-11, 'rtable_Time': 1.1076895716229365e-09, 'rtable_id': 1.888365715485052e-09}",0.0,1.4628474899946013,0.0,[0.93159056 0.06840936],3505-30346,mojito-c
1,"{'ltable_Album_Name': 2.1114979456345053e-11, 'ltable_Artist_Name': 4.656886170174005e-10, 'ltable_CopyRight': -1.4295442449029316e-09, 'ltable_Genre': 1.4661553432027695e-09, 'ltable_Price': -4.604068455694125e-10, 'ltable_Released': -1.4610405675897785e-09, 'ltable_Song_Name': -6.208280696835841e-10, 'ltable_Time': 3.2169510245561593e-09, 'ltable_id': 9.010182407456647e-09, 'rtable_Album_Name': -1.0649667064628888e-10, 'rtable_Artist_Name': -2.155562330307561e-09, 'rtable_CopyRight': -1.1321324691509686e-10, 'rtable_Genre': -4.755593331065923e-09, 'rtable_Price': -4.106333893532741e-11, 'rtable_Released': 3.8451626642149917e-10, 'rtable_Song_Name': -1.503421481358397e-10, 'rtable_Time': 2.0048341444424444e-09, 'rtable_id': 4.650999635274978e-09}",0.0,1.5814227520022541,1.0,[0.17815016 0.8218498 ],5343-47894,mojito-c
2,"{'ltable_Album_Name': -6.996730159018108e-33, 'ltable_Artist_Name': 5.6582535697575195e-33, 'ltable_CopyRight': 1.2987865921250773e-32, 'ltable_Genre': -1.2179302622658003e-32, 'ltable_Price': -4.181834404575841e-34, 'ltable_Released': 2.696534834224718e-32, 'ltable_Song_Name': -1.2431480390080646e-32, 'ltable_Time': -2.879878889163049e-32, 'ltable_id': -4.2097662953928337e-32, 'rtable_Album_Name': -1.774139635840301e-33, 'rtable_Artist_Name': 9.542261094501274e-34, 'rtable_CopyRight': 5.096885020298055e-33, 'rtable_Genre': 8.625144278256707e-33, 'rtable_Price': -2.2021688305439499e-32, 'rtable_Released': -1.4130735673870797e-33, 'rtable_Song_Name': 4.318774232057307e-34, 'rtable_Time': 5.464630493450065e-32, 'rtable_id': 4.9045667963546705e-32}",1.0,1.0757010560046183,1.0,[0.08880504 0.9111949 ],3354-17643,mojito-c
3,"{'ltable_Album_Name': 3.603166045712439e-10, 'ltable_Artist_Name': -6.473245497346262e-10, 'ltable_CopyRight': -7.988094083468716e-11, 'ltable_Genre': 2.780531814440832e-10, 'ltable_Price': -1.7792971504211755e-10, 'ltable_Released': 1.4317282251044487e-09, 'ltable_Song_Name': -3.715729159273506e-11, 'ltable_Time': -2.07094286092139e-09, 'ltable_id': -4.132936431883862e-10, 'rtable_Album_Name': 2.0023766158857725e-12, 'rtable_Artist_Name': -1.9959735761410324e-10, 'rtable_CopyRight': -6.972579698206817e-11, 'rtable_Genre': -4.30669828143474e-10, 'rtable_Price': 7.884571909983773e-10, 'rtable_Released': -9.653782195840549e-11, 'rtable_Song_Name': 1.0387767132121467e-10, 'rtable_Time': -1.1834881634269972e-09, 'rtable_id': -3.045797274929128e-10}",0.0,1.4517212189966813,0.0,[0.9901259  0.00987415],1268-34910,mojito-c
4,"{'ltable_Album_Name': 1.1519116660981277e-10, 'ltable_Artist_Name': -1.0735184421593077e-09, 'ltable_CopyRight': 8.991451138890354e-12, 'ltable_Genre': -2.7650846327513982e-11, 'ltable_Price': 2.466175801930198e-10, 'ltable_Released': -2.754421932986032e-09, 'ltable_Song_Name': -8.100942086247297e-11, 'ltable_Time': 6.495314755476266e-10, 'ltable_id': -1.85219959715608e-09, 'rtable_Album_Name': 2.728109702670536e-11, 'rtable_Artist_Name': -2.772036621352001e-10, 'rtable_CopyRight': -3.1091211618413823e-11, 'rtable_Genre': 6.991597489941225e-10, 'rtable_Price': 1.400266836778862e-09, 'rtable_Released': 5.029246920381306e-10, 'rtable_Song_Name': -1.8919224038092277e-10, 'rtable_Time': 2.9931282468667633e-11, 'rtable_id': 2.9525621809928034e-09}",0.0,1.919906704002642,0.0,[0.98661983 0.01338017],1176-34919,mojito-c
5,"{'ltable_Album_Name': 9.650991865485773e-10, 'ltable_Artist_Name': 3.8366123912299917e-10, 'ltable_CopyRight': -1.7661164010966984e-10, 'ltable_Genre': -3.985822550838173e-10, 'ltable_Price': 9.823168241250503e-10, 'ltable_Released': -2.7258837340484134e-09, 'ltable_Song_Name': 2.0953955940860116e-10, 'ltable_Time': -2.9925730487734536e-09, 'ltable_id': -2.6918907326403316e-09, 'rtable_Album_Name': 2.8330769539224377e-12, 'rtable_Artist_Name': -9.451306585577019e-10, 'rtable_CopyRight': -2.361400233422592e-10, 'rtable_Genre': 1.9364917366365266e-09, 'rtable_Price': 3.734845120776145e-10, 'rtable_Released': -4.1251655512904824e-10, 'rtable_Song_Name': 4.2237492439460593e-10, 'rtable_Time': 3.0139824701402183e-09, 'rtable_id': -2.0859860287972294e-09}",0.0,1.9799301909952192,0.0,[0.97842765 0.02157237],1156-28014,mojito-c
6,"{'ltable_Album_Name': -8.904426144723046e-11, 'ltable_Artist_Name': -4.371683933971366e-10, 'ltable_CopyRight': 2.3735707780148537e-10, 'ltable_Genre': -4.579799391657423e-10, 'ltable_Price': 5.900381160510043e-10, 'ltable_Song_Name': -3.0108742645371766e-10, 'ltable_Time': 1.2784774367200362e-09, 'ltable_id': 1.323310402686424e-10, 'rtable_Album_Name': -3.3967625291045345e-10, 'rtable_Artist_Name': -9.31787938358418e-10, 'rtable_CopyRight': 8.30670785278334e-11, 'rtable_Genre': 3.4608315955117854e-10, 'rtable_Price': 1.0581172200694018e-09, 'rtable_Released': -2.850262042922549e-10, 'rtable_Song_Name': 1.0866323182500283e-10, 'rtable_Time': 1.536831264989631e-09, 'rtable_id': -8.070162209250966e-10}",0.0,1.6767467650061008,0.0,[9.9959964e-01 4.0036981e-04],2718-17189,mojito-c
7,"{'ltable_Album_Name': 9.056270315772307e-10, 'ltable_Artist_Name': 6.682717876471538e-09, 'ltable_CopyRight': -3.631243498809556e-10, 'ltable_Genre': 4.999533989135805e-11, 'ltable_Price': -1.862927216517928e-09, 'ltable_Released': 6.6518780330812686e-09, 'ltable_Song_Name': 1.7379887467232583e-10, 'ltable_Time': -6.060253696227844e-09, 'ltable_id': 2.9783691402950766e-09, 'rtable_Album_Name': -4.3600208279055656e-10, 'rtable_Artist_Name': -5.853194330441041e-09, 'rtable_CopyRight': -1.632941347616746e-10, 'rtable_Genre': -2.1439032471169073e-09, 'rtable_Price': 2.0878692608419497e-09, 'rtable_Released': 7.287351289998068e-10, 'rtable_Song_Name': 5.080088763446378e-10, 'rtable_Time': -5.0404183409730914e-09, 'rtable_id': 2.968004106337117e-09}",0.0,1.743217392009683,0.0,[0.9710155  0.02898449],1164-28001,mojito-c
8,"{'ltable_Album_Name': 9.935053394302962e-10, 'ltable_Artist_Name': 7.851135955529632e-11, 'ltable_CopyRight': -6.020321219571627e-11, 'ltable_Genre': -1.5063871655457103e-10, 'ltable_Price': 3.651306676180332e-11, 'ltable_Released': 5.639406618756571e-10, 'ltable_Song_Name': 2.881095866641927e-10, 'ltable_Time': -1.9659947416742523e-10, 'ltable_id': 7.887292830741295e-10, 'rtable_Album_Name': -1.0088168607484896e-10, 'rtable_Artist_Name': -3.1550744480790723e-10, 'rtable_CopyRight': -1.4020190643262334e-10, 'rtable_Genre': 9.459007437788298e-11, 'rtable_Price': 2.179935523669911e-10, 'rtable_Released': -5.003833489159658e-11, 'rtable_Song_Name': -3.867389693979202e-11, 'rtable_Time': 3.218408861457038e-10, 'rtable_id': -2.4729245409123866e-10}",0.0,1.3809171289904043,0.0,[0.9527305  0.04726955],271-53030,mojito-c
9,"{'ltable_Album_Name': 1.3998759367203224e-31, 'ltable_Artist_Name': 9.860761315262648e-32, 'ltable_CopyRight': -6.77927340424307e-31, 'ltable_Genre': 8.504906634414034e-31, 'ltable_Price': 3.3280069439011436e-31, 'ltable_Released': -1.7256332301709633e-31, 'ltable_Song_Name': -1.7256332301709633e-31, 'ltable_Time': -1.4791141972893971e-30, 'ltable_id': -1.232595164407831e-30, 'rtable_Album_Name': 3.2047474274603605e-31, 'rtable_Artist_Name': 6.162975822039155e-31, 'rtable_CopyRight': -3.0814879110195774e-31, 'rtable_Genre': 1.6146996653742585e-30, 'rtable_Price': -4.5606021083089745e-31, 'rtable_Released': -1.4791141972893971e-31, 'rtable_Song_Name': -1.8488927466117464e-31, 'rtable_Time': -1.2449211160519093e-30, 'rtable_id': -2.465190328815662e-32}",0.0,1.8968191160238348,0.0,[0.9215841  0.07841591],796-33113,mojito-c
