,explanation,label,latency,match,prediction,row,type
0,"{'ltable_brand': -0.007629932731102254, 'ltable_category': -0.01561295367759093, 'ltable_modelno': 0.0, 'ltable_price': 0.0, 'ltable_title': 0.0073340177107123344, 'rtable_brand': 0.0, 'rtable_category': -0.03267567860640799, 'rtable_modelno': 0.0, 'rtable_price': 0.01237028643297422, 'rtable_title': 0.0}",0.0,1.9875711970380507,0.0,[0.95537007 0.04462985],1853-2139,shap
1,"{'ltable_brand': 0.009841578368195604, 'ltable_category': -0.022412135622260444, 'ltable_modelno': 0.0, 'ltable_price': -0.008542484709089353, 'ltable_title': -0.032176846404022706, 'rtable_brand': 0.0, 'rtable_category': 0.013553330019169342, 'rtable_modelno': 0.0, 'rtable_price': 0.0, 'rtable_title': 0.0}",0.0,1.895676691958215,0.0,[0.98712444 0.01287559],2115-8789,shap
2,"{'ltable_brand': 0.011991096571974292, 'ltable_category': -0.007797443286639104, 'ltable_modelno': -0.0006322035670348978, 'ltable_price': -0.01192031023193364, 'ltable_title': -0.0010046695413036873, 'rtable_brand': -0.0010839241593597294, 'rtable_category': -0.01589520272711001, 'rtable_modelno': -0.003955180092318144, 'rtable_price': -0.007094049444535587, 'rtable_title': -0.002308454655673059}",0.0,1.9069735310040414,0.0,[0.99856347 0.0014366 ],278-9064,shap
3,"{'ltable_brand': 0.011656566647163932, 'ltable_category': -0.005875300659445248, 'ltable_modelno': 0.0024093501557919486, 'ltable_price': 0.006252361245108032, 'ltable_title': -0.020779695336455555, 'rtable_brand': -0.004972982989237758, 'rtable_category': 0.014424874823180122, 'rtable_modelno': -0.006876030477240705, 'rtable_price': 0.0074629394407303455, 'rtable_title': -0.043517099612521384}",0.0,1.8232501140446402,0.0,[1.0000000e+00 3.5358643e-09],2305-2948,shap
4,"{'ltable_brand': -0.011552004110867028, 'ltable_category': -0.0044820745609302215, 'ltable_modelno': -0.0019065688441630806, 'ltable_price': 0.0, 'ltable_title': -0.013365350250722031, 'rtable_brand': 0.0, 'rtable_category': 0.0, 'rtable_modelno': 0.0, 'rtable_price': 0.0, 'rtable_title': -0.0070806669571875785}",0.0,1.879583322966937,0.0,[9.9991214e-01 8.7880384e-05],1543-10366,shap
5,"{'ltable_brand': 0.0, 'ltable_category': 0.014451332269538195, 'ltable_modelno': 0.0, 'ltable_price': 0.0, 'ltable_title': 0.15077562456163135, 'rtable_brand': 0.011109699763574055, 'rtable_category': 0.04571415890004288, 'rtable_modelno': 0.0, 'rtable_price': 0.044859191617387884, 'rtable_title': 0.1720496240040626}",1.0,1.9178556659608148,0.0,[0.80892396 0.191076  ],88-3269,shap
6,"{'ltable_brand': -0.011740062322099707, 'ltable_category': 0.004519141705568923, 'ltable_modelno': 0.00591962275428061, 'ltable_price': -0.0038787238262632954, 'ltable_title': -0.008290352904142937, 'rtable_brand': 0.0024226180833845368, 'rtable_category': -0.009530717361484002, 'rtable_modelno': -0.0045308981219421025, 'rtable_price': -0.010413773204156963, 'rtable_title': -0.004297970939323138}",0.0,1.8578660510247573,0.0,[1.0000000e+00 3.0214588e-11],1718-11835,shap
7,"{'ltable_brand': 0.004177713278094377, 'ltable_category': -0.002137921184886364, 'ltable_modelno': -0.010865363430400048, 'ltable_price': -0.00974478758561492, 'ltable_title': 0.002887959370238769, 'rtable_brand': 0.008830054513021802, 'rtable_category': -0.006048510380791006, 'rtable_modelno': 0.0, 'rtable_price': -0.03126196646501765, 'rtable_title': 0.01058423835903749}",1.0,1.7957290359772742,0.0,[9.9986827e-01 1.3166277e-04],1624-5013,shap
8,"{'ltable_brand': -0.014699928758366163, 'ltable_category': 0.055220510568124194, 'ltable_modelno': -0.026071532587410115, 'ltable_price': 0.014406252776567617, 'ltable_title': 0.0, 'rtable_brand': -0.010865863456298752, 'rtable_category': -0.09052510343212217, 'rtable_modelno': 0.0, 'rtable_price': 0.019971772660106614, 'rtable_title': 0.04976154164974531}",0.0,1.8466858769534156,0.0,[1.0000000e+00 5.6979676e-13],614-5969,shap
9,"{'ltable_brand': 0.009656788268818103, 'ltable_category': -0.006347103605777692, 'ltable_modelno': 0.0, 'ltable_price': -0.002584971204973696, 'ltable_title': -0.017329882541410515, 'rtable_brand': 0.0, 'rtable_category': -0.02321660153916196, 'rtable_modelno': 0.0, 'rtable_price': 0.0, 'rtable_title': 0.0}",0.0,1.8302589459926821,0.0,[9.9999976e-01 2.2224575e-07],768-10397,shap
