,ltable_id,ltable_title,ltable_category,ltable_brand,ltable_modelno,ltable_price,rtable_id,rtable_title,rtable_category,rtable_brand,rtable_modelno,rtable_price,match
0,1853,sony 16gb class 4 sd memory card,usb drives,sony,sf16n4/tqp,0.0,2139,pny 4gb class 4 navy sd card,car audio video,pny,p-sdhc4g4-ef / navy,11.18,0.3480122
1,621,zotac geforce gt430 1gb ddr3 pci-express 2.0 graphics card,electronics - general,zotac,zt-40604-10l,88.88,3167,evga geforce gts450 superclocked 1 gb gddr5 pci-express 2.0 graphics card 01g-p3-1452-tr,graphics cards,evga,01g-p3-1452-tr,119.88,1.0522998e-05
2,2115,da-lite high power model b manual screen with csr - 84 x 84 av format,electronics - general,da-lite,85303,372.99,8789,da-lite advantage manual with csr - projection screen - 133 in - 16 9 - high power,home audio theater,da-lite,,904.95,0.012100683
3,278,da-lite hc cinema vision tensioned advantage electrol - av format 8 x 8 diagonal,electronics - general,da-lite,89939,2595.0,9064,hc da-mat tensioned advantage electrol - av format 50 x 50,projection screens,da-lite,,,0.0052757957
4,1673,verbatim 4gb tuff - n - tiny usb 2.0 flash drive green,usb drives,verbatim,,11.98,13279,verbatim clip-it 4 gb usb 2.0 flash drive 97556 green,usb flash drives,verbatim,97556,10.98,7.2646242e-12
5,2305,clickfree c2 500gb usb 3.0 portable external hard drive,hard drives,clickfree,hd527b3,84.98,2948,iomega skin 500 gb usb 2.0 portable external hard drive 35106 black,computers accessories,iomega,35106,94.49,1.5682576e-10
6,1543,apc battery backup 750va back-ups es 120v 10 outlet power supply power-saving ups be750g,electronics - general,apc,be750g,95.88,10366,apc be450g back-ups es 8-outlet 450va 120v uninterrupted power supply,batteries chargers accessories,apc,be450g,55.99,1.338188e-06
7,88,balt wheasel easel adjustable melamine dry erase board white,stationery & office machinery,balt,33250,239.88,3269,balt inc. wheasel easel adjustable melamine dry erase board 28 3 4 x 59 1 2 white,laminating supplies,mayline,,134.45,0.82152224
8,1718,kodak esp 3250 all-in-one printer value bundle,printers,,,58.0,11835,kodak esp 7 all-in-one printer,all-in-one printers,kodak,1252972,149.29,1.711986e-05
9,1624,hp q3675a image transfer kit,printers,hp,q3675a,194.84,5013,hewlett packard q3675a image transfer kit for hp color laserjet 4650,cleaning repair,hp,q3675a,,0.0058122175
10,614,atrend-bbox a361-12cp b box series speaker,car stereos,atrend,a361-12cp,56.88,5969,atrend-bbox a362-12cp b box series dual speakers for ford f150 super crew cab 2009 and up 12-inch,coaxial speakers,atrend-bbox,a362-12cp,88.85,5.1071023e-08
11,768,accell ultraav displayport multi-monitor adapter,electronics - general,accell,k087b-005b,198.35,10397,accell ultraav b101b-003b display port with vga active adapter,,accell,b101b-003b,24.99,0.00017708336
12,2476,ifrogz ipod touch 4 luxe lean case white,mp3 accessories,ifrogz,it4ll-wht,24.99,18730,ifrogz luxe lean case for ipod touch 4g gun metal,cases,ifrogz,it4ll-gmt,11.99,3.5542212e-07
13,470,iogear gbu421w6 bluetooth usb micro adapter,networking,iogear,gbu421w6,14.84,10874,iogear bluetooth usb 2.1 micro adapter with tri-language package black,computers accessories,iogear,gbu421w6,15.17,5.387653e-09
14,2223,da-lite matte white gray carpeted picture king w keystone eliminator - hdtv format 92 diagonal,electronics - general,da-lite,87062,343.99,10753,da-lite carpeted picture king with keystone eliminator - projection screen with tripod - 1 1 - matte white - black,projection screens,da-lite,with keystone eliminator,203.95,0.35351357
15,1512,uniden d1680 dect 6.0 with caller id and call waiting,electronics - general,uniden,d1680,33.84,19684,new-uniden d1660 dect 6.0 cordless phone system with call waiting caller id single-handset system - unnd1660,cordless telephones,uniden,,24.09,0.99996495
16,1136,elite screens cinegray prime vision series fixed frame screen - 135 diagonal,electronics - general,elite screens,pvr135h1,1069.0,17384,cinegray ezframe series fixed frame screen - 150 diagonal,projection screens,elite,,879.0,1.3813961e-06
17,2089,netgear prosafe gs716t 16-port ethernet switch,networking,netgear,gs716t-200nas,238.0,687,netgear fs605na 5-port fast ethernet switch,switches,netgear,fs605na,21.99,5.189403e-07
18,2020,da-lite da-plex deluxe rear projection screen - 96 x 96 av format,electronics - general,da-lite,27557,6426.99,18153,da-lite 27651 da-glas deluxe rear projection screen - 96 x 96 av format,projection screens,da-lite,,,0.29735076
19,95,hp ce505xd black laserjet print cartridges 2pk,printers,hp,hp ce505xd,258.84,12,hp 85a laserjet black toner print cartridge - retail packaging ce285a,laser printer toner,hp,ce285a,,0.9916814
20,2248,arrowmounts cantilever retractable wall mount for flat panel tvs up to 27,tv accessories,arrowmounts,am-p16b,39.99,4299,arrowmounts universal tilting wall mount for flat panel tvs from 23 to 37 inches am-t2337b,tv mounts,arrowmounts,,,3.2641085e-06
21,896,samsung s2 640gb usb 3.0 portable external hard drive red,hard drives,samsung,hx-mta64da / g42,78.88,1632,samsung s2 portable hard drive 640 gb usb 3.0 external hard drive hx-mta64da g32 snow white,external hard drives,samsung,hx-mta64da / g32,84.99,3.137866e-08
22,1534,griffin ipod touch 4g formfit case pink clear,mp3 accessories,arkon,gb01959,17.13,1090,griffin technology formfit for ipod touch 4g pink clear,cases,griffin technology,gb01959,7.53,0.3319929
23,2118,antec tricool 92mm double ball bearing case fan,electronics - general,antec,tricool 92mm dbb,8.25,5344,antec tricool case fan tricool 120mm,,antec,tricool 120mm,11.19,0.00012904008
24,54,canon imageformula dr-2010c compact color scanner,electronics - general,canon,dr-2010c,479.98,649,canon 2455b002 imageformula dr-2510c compact color scanner,scanners,canon,2455b002,617.99,0.9383198
25,417,da-lite da-plex standard rear projection screen - 60 x 80 video format,electronics - general,da-lite,27544,2931.99,8786,da-lite da-glas thru-the-wall rear projection screen - 90 x 120 video format,projection screens,da-lite,23056,8729.48,8.1463165e-09
26,1468,boss audio bv9958b - single-din in-dash dvd mp3 cd am fm receiver with full detachable 7 widescreen touchscreen tft monitor usb and sd memory card ports and front panel aux input,car stereos,boss,bv9958b,180.0,4568,boss bv8966b in-dash 7 dvd mp3 cd receiver with usb sd card bluetooth and front panel aux input,accessories supplies,boss,bv8966b,180.95,0.86930925
27,1455,tops second nature subject wire notebook college rule 6 x 9-1 2 we 80 sheets,stationery & office machinery,tops business forms,74109,5.54,14080,tops 74111 - second nature subject wirebound notebook college rule ltr we 80 sheets,printers,tops,,24.3,4.4851793e-05
28,296,belkin 10.2 netbook neoprene sleeve - black,electronics - general,belkin,f8n132-blk,8.88,13803,icon-icon4-blk neoprene notebook sleeve black,bags cases,motion systems,icon4-blk,9.99,5.1790565e-11
29,280,da-lite da-tex rear tensioned advantage electrol - hdtv format 184 diagonal,electronics - general,da-lite,35199,4612.99,17506,da-lite 98813 hc da-mat tensioned cosmopolitan electrol - av format 10 6 x 14 diagonal,,da-lite,,,3.2339476e-06
30,2364,tops classified colors notebook narrow rule 5-1 2 x 8-1 2 orchid 100 sheets,stationery & office machinery,tops business forms,99712,11.58,17917,new-tops 73505 - notebook w red cover narrow rule 5-1 2 x 8-1 2 white 100 sheets pad - top73505,storage presentation materials,tops,,19.0,0.9998148
31,1816,lexmark e450h11a toner 11000 page-yield black,printers,lexmark,e450h11a,248.27,1832,oki 52117101 - 52117101 toner 33000 page-yield black,cables interconnects,oki,,,3.101401e-05
32,2258,san francisco 49ers camera case,electronics - general,tribeca,fva2773,19.99,8795,san francisco 49ers ipod touch 4g hard case,computers accessories,tribeca,,29.99,1.5403504e-06
33,340,birdhouse tony hawk 2gb full skull skatedrive usb flash drive,usb drives,ep memory,bh-skthfs/2g,9.84,363,birdhouse tony hawk 16gb ptero skatedrive usb flash drive,usb flash drives,action,,,0.005887258
34,2126,pny 4gb sdhc memory card class 4,usb drives,pny,p-sdhc4g4-ef,8.98,17202,pny 4 gb sdhc class 2 flash memory card p-sdhc4g2-ef purple purple,blank media,pny,p-sdhc4g2-ef / purple,12.71,6.367673e-08
35,421,pendaflex 2 reinforced hanging file folder standard green 25 box,stationery & office machinery,,4152x2,24.94,17564,pendaflex rcy415215sgr - reinforced hanging file folders kraft letter standard green 25 box,printers,pendaflex,,,0.0008276421
36,222,uniden 1360bk desktop corded phone with caller id black,electronics - general,uniden,1360bk,23.98,6546,uniden slimline corded phone with cid cw - un-1260bk,corded telephones,uniden,,16.87,0.999451
37,1296,da-lite da-glas unframed rear projection screen - 57 3 4 x 77 video format,electronics - general,da-lite,27604,1609.99,17892,da-plex base rear projection screen - 57 3 4 x 77 video format,projection screens,da-lite,,2608.99,4.4504468e-05
38,1631,epson t068120-d2 dual black ink cartridge,printers,epson,epson t068120-d2,39.84,7137,epson t048220 cyan ink cartridge,inkjet printer ink,epson,t048220,9.99,0.00018426764
39,1365,los angeles lakers ipod touch 4g hard case,electronics - general,tribeca,fva4614,29.99,8795,san francisco 49ers ipod touch 4g hard case,computers accessories,tribeca,,29.99,0.008779516
40,934,evga geforce 210 512mb ddr3 pci express graphics card,electronics - general,evga,512p31310lr,32.88,13150,evga geforce 8400 gs passive 512mb ddr3 pci-express 2.0 graphics card - 3 year limited warranty 512-p3-1301-kr,graphics cards,evga,512-p3-1301-kr,34.99,3.1334606e-05
41,934,evga geforce 210 512mb ddr3 pci express graphics card,electronics - general,evga,512p31310lr,32.88,19677,nvidia geforce 310 dms59 pcie16 512mb 2port vga dvi graphics card,,lenovo,57y4167,102.24,0.994894
42,538,srs labs analog rca volume leveler,tv accessories,srs labs,dct6s,59.99,17174,new-analog rca volume leveler - dct6s,accessories,srs,,65.0,7.6043347e-07
43,2472,da-lite da-glas self trimming rear projection screen - 96 x 120 av format,electronics - general,da-lite,27915,7443.99,16333,da-glas base rear projection screen - 70 x 70 av format,projection screens,da-lite,,2622.99,0.9074518
44,672,iosafe rugged 250gb usb 3.0 portable external hard drive,hard drives,iosafe,pa50250u5yr,249.99,14737,lacie rikiki 320 gb usb 2.0 portable external hard drive 301908,external hard drives,lacie,301908,64.24,9.1345686e-07
45,2290,orbital tilt and turn tv wall mount with glass shelving for 25-40 tvs,tv accessories,orbital,resl422b-e,0.0,8322,avf resl422b-f orbital tilt and turn tv mount with av shelving for 25 to 40-inch flat panel tv screens black,tv mounts,avf,resl422b-f,125.99,0.49101993
46,2149,kodak easyshare m552 dark pink 14mp digital camera w 5x optical zoom 2.7 lcd display w 50 bonus prints,digital cameras,kodak,m552pink,94.54,2867,kodak easyshare m531 14mp 3x optical 5x digital zoom hd camera red black,digital cameras,kodak,,104.95,2.2713914e-07
47,41,kingston ktd-dm8400a 1g 1gb ddr2 sdram memory module,memory,kingston,ktd-dm8400a / 1g,22.92,8856,kingston 8 gb ddr2 sdram memory module 8 gb 2 x 4 gb 667mhz ddr2 sdram ktd-ws667 8g,memory,kingston,ktd-ws667 / 8g,230.74,2.2299225e-09
48,1559,paper mate mechanical pencil starter set,stationery & office machinery,paper mate,1739312,4.87,18207,paper mate 1739311 - megalead mechanical pencil starter set 0.5 mm 2 erasure refills red barrel,printer accessories,paper mate,,23.96,2.4273709e-06
49,1845,pioneer 6.5 3-way speakers 300w,car stereos,pioneer,ts-a1674r,90.88,2204,pioneer ts-a1683r 6.5-inch 280-watt 4-way speakers,coaxial speakers,pioneer,ts-a1683r,46.99,0.005282702
