,explanation,label,latency,match,prediction,row,type
0,"{'ltable_brand': -6.540734236855354e-09, 'ltable_category': -9.184243976073381e-10, 'ltable_id': 9.296899833361767e-09, 'ltable_modelno': -2.409540129476519e-10, 'ltable_price': -8.112539316486464e-09, 'ltable_title': 2.9472963296400866e-10, 'rtable_brand': 2.3799019399189015e-09, 'rtable_category': 3.6139247010093693e-09, 'rtable_id': -6.095133386474779e-09, 'rtable_modelno': 1.0973943238649105e-09, 'rtable_price': 8.204692474912731e-09, 'rtable_title': -8.6979739915948e-10}",0.0,0.8382357590016909,0.0,[0.6519878 0.3480122],1853-2139,mojito-c
1,"{'ltable_brand': 1.6605750848191367e-21, 'ltable_category': -5.401257449648991e-22, 'ltable_id': 8.141049878198375e-22, 'ltable_modelno': -1.813642086452329e-22, 'ltable_price': 1.8041118922337785e-21, 'ltable_title': 2.7336510014287143e-22, 'rtable_brand': -3.540598950322694e-21, 'rtable_category': -7.577542906530374e-22, 'rtable_id': -9.526697001596913e-22, 'rtable_modelno': 1.9154843687717903e-21, 'rtable_price': -2.3912434997064917e-21, 'rtable_title': -8.442405126218696e-23}",0.0,0.8925533890142106,0.0,[9.9998951e-01 1.0522998e-05],621-3167,mojito-c
2,"{'ltable_brand': 1.3502329689169413e-08, 'ltable_category': 7.467699181103669e-09, 'ltable_id': 1.0956465709578166e-08, 'ltable_modelno': -2.8732809223424893e-09, 'ltable_price': -1.412380015243974e-09, 'ltable_title': -8.62792741318358e-10, 'rtable_brand': 4.034953245788159e-09, 'rtable_category': -5.0630192191515695e-09, 'rtable_id': -7.950148384593868e-09, 'rtable_price': -7.201796325017229e-09, 'rtable_title': -1.0513656568608088e-09}",0.0,0.9773376929806545,0.0,[0.98789936 0.01210068],2115-8789,mojito-c
3,"{'ltable_brand': -1.3030368267274113e-13, 'ltable_category': -3.6102870683178427e-13, 'ltable_id': -9.822400399560548e-13, 'ltable_modelno': 1.100224181212541e-12, 'ltable_price': 6.47345949093213e-13, 'ltable_title': 6.352467368427156e-14, 'rtable_brand': 5.882335998419321e-13, 'rtable_category': -9.112603018445652e-13, 'rtable_id': -3.613980177999578e-13, 'rtable_title': 7.454906548635458e-14}",0.0,0.8885918290470727,0.0,[0.9947242 0.0052758],278-9064,mojito-c
4,"{'ltable_brand': -1.526730727929677e-13, 'ltable_category': -5.1998675161368e-15, 'ltable_id': 2.0221197094628663e-13, 'ltable_price': -3.337223943833754e-16, 'ltable_title': 3.8895877453700954e-15, 'rtable_brand': -1.3862655147841098e-13, 'rtable_category': 5.440382925184356e-14, 'rtable_id': 8.8887249669453e-14, 'rtable_modelno': -9.68948110453866e-14, 'rtable_price': 1.776778698424277e-13, 'rtable_title': -1.3911407006248694e-15}",0.0,0.9170928159728646,0.0,[1.0000000e+00 7.2646242e-12],1673-13279,mojito-c
5,"{'ltable_brand': -7.869426179176577e-14, 'ltable_category': -2.1353470169552795e-14, 'ltable_id': 2.2944490268962098e-14, 'ltable_modelno': 5.322564039245962e-14, 'ltable_price': 3.300697267641204e-14, 'ltable_title': -2.733427773136908e-15, 'rtable_brand': 1.7493879100014574e-14, 'rtable_category': -1.1816132049260174e-14, 'rtable_id': -2.666834732142039e-14, 'rtable_modelno': -1.922784034914266e-14, 'rtable_price': -2.4894462713955034e-14, 'rtable_title': -5.137430734237632e-16}",0.0,0.9145047229831107,0.0,[1.0000000e+00 1.5682576e-10],2305-2948,mojito-c
6,"{'ltable_brand': 1.804740549626559e-09, 'ltable_category': -3.5212505475532475e-09, 'ltable_id': -2.2460709690967674e-09, 'ltable_modelno': -4.922129572903359e-09, 'ltable_price': -4.3235234105196104e-10, 'ltable_title': -1.7389261560867186e-10, 'rtable_brand': -1.8303065594730978e-09, 'rtable_category': 2.3962716456447466e-09, 'rtable_id': 1.1231683672812685e-08, 'rtable_modelno': -2.4843193385023088e-09, 'rtable_price': -3.2453315223530763e-09, 'rtable_title': -2.914627866492721e-10}",0.0,0.9752701849793084,0.0,[9.999987e-01 1.338188e-06],1543-10366,mojito-c
7,"{'ltable_brand': -3.3107655259911087e-09, 'ltable_category': -1.405590938634235e-09, 'ltable_id': 1.4620661934022055e-08, 'ltable_modelno': 2.5509821326225736e-09, 'ltable_price': -5.226879514776352e-09, 'ltable_title': 9.092661933851423e-10, 'rtable_brand': -7.375183734268307e-10, 'rtable_category': -1.0152365658680297e-09, 'rtable_id': -9.075357446307315e-10, 'rtable_price': -6.054498431891135e-09, 'rtable_title': 1.9546297443899803e-10}",1.0,0.9957359399995767,1.0,[0.17847775 0.82152224],88-3269,mojito-c
8,"{'ltable_category': -2.491913157962618e-16, 'ltable_id': 1.2732187070651752e-15, 'ltable_price': 3.0553342461456855e-17, 'ltable_title': -1.624000338073212e-16, 'rtable_brand': 1.5348920873230254e-15, 'rtable_category': -5.191557558117194e-16, 'rtable_id': 2.3237307557466196e-15, 'rtable_modelno': 2.3657534780412907e-15, 'rtable_price': -1.365863665829577e-15, 'rtable_title': -4.70471572770651e-16}",0.0,0.7474875620100647,0.0,[9.9998283e-01 1.7119861e-05],1718-11835,mojito-c
9,"{'ltable_brand': 2.772967253938755e-11, 'ltable_category': -5.250926715972641e-12, 'ltable_id': 1.911315121754418e-11, 'ltable_modelno': -2.483885041190712e-12, 'ltable_price': 1.0589769193751761e-12, 'ltable_title': 4.098514520166231e-12, 'rtable_brand': -1.0671243018245657e-11, 'rtable_category': -4.402878190888412e-12, 'rtable_id': -1.0427770519478378e-11, 'rtable_modelno': -2.719135009941955e-11, 'rtable_title': 1.3870910804731628e-12}",1.0,0.7833488100441173,0.0,[0.99418783 0.00581222],1624-5013,mojito-c
