,explanation,label,latency,match,prediction,row,type
0,"{'ltable_brand': -0.02092456573119365, 'ltable_category': -0.023888754061491484, 'ltable_id': 0.024038427126932545, 'ltable_title': 0.0026082345767186265, 'rtable_brand': -0.014878059256553989, 'rtable_id': 0.025289267685672218, 'rtable_modelno': -0.012049918950020173, 'rtable_title': 0.005990160355569751}",0.0,0.5726595610030927,0.0,[0.6519878 0.3480122],1853-2139,mojito-d
1,"{'ltable_brand': -0.017784637063062738, 'ltable_category': -0.01444135667881894, 'ltable_id': -0.014810433462223754, 'ltable_title': -0.0036917349538563627, 'rtable_brand': -0.017940170075713174, 'rtable_category': -0.004541295728925427, 'rtable_modelno': -0.0030354601928997277, 'rtable_price': 0.0012916853935793307, 'rtable_title': 0.000975471237767873}",0.0,0.6136950190411881,0.0,[9.9998951e-01 1.0522998e-05],621-3167,mojito-d
2,"{'ltable_category': 0.05398929983703357, 'ltable_id': -0.09489075622284762, 'ltable_title': 0.016679448970825555, 'rtable_category': 0.033964705801296735, 'rtable_id': 0.022396708772740668, 'rtable_price': -0.007801998656761438, 'rtable_title': 0.019684310752002013}",0.0,0.6479209680110216,0.0,[0.98789936 0.01210068],2115-8789,mojito-d
3,"{'ltable_category': -0.010625633315378892, 'ltable_price': -0.022578925894105734, 'ltable_title': 0.006432871883030708, 'rtable_category': -0.01680357750964443, 'rtable_title': -0.0028176969075635956}",0.0,0.628193256969098,0.0,[0.9947242 0.0052758],278-9064,mojito-d
4,"{'ltable_brand': -0.021104565112679757, 'ltable_id': -0.031190963045027813, 'ltable_price': -0.02251660928253112, 'ltable_title': -0.010489522395980902, 'rtable_title': 0.004220611884893181}",0.0,0.6201787840109318,0.0,[1.0000000e+00 7.2646242e-12],1673-13279,mojito-d
5,"{'ltable_brand': -0.007762655931268953, 'ltable_category': 0.014078536368971904, 'ltable_price': 0.005639110123923358, 'ltable_title': -0.0041716342206027405, 'rtable_brand': 0.008393429625866807, 'rtable_id': 0.0015397733551241548, 'rtable_title': -0.0010805279197455496}",0.0,0.6193282079766504,0.0,[1.0000000e+00 1.5682576e-10],2305-2948,mojito-d
6,"{'ltable_category': 0.09738318411473848, 'ltable_title': -0.017966852352177095, 'rtable_category': -0.06379234231789166, 'rtable_modelno': 0.041043668508958686, 'rtable_title': 0.07419373035021254}",0.0,0.613077289017383,0.0,[9.999987e-01 1.338188e-06],1543-10366,mojito-d
7,"{'ltable_category': 0.051545473373868375, 'ltable_price': 0.011132828586992544, 'ltable_title': 0.0810026379320164, 'rtable_category': 0.09826505104698381, 'rtable_title': 0.05135941562078888}",1.0,0.6377642569714226,1.0,[0.17847775 0.82152224],88-3269,mojito-d
8,"{'ltable_id': -0.05599677991346403, 'ltable_price': -0.04608534215645714, 'ltable_title': 0.003356735662715482, 'rtable_brand': 0.038151975485590156, 'rtable_category': 0.09280735107356869, 'rtable_title': -0.05495420651995371}",0.0,0.5796471589710563,0.0,[9.9998283e-01 1.7119861e-05],1718-11835,mojito-d
9,"{'ltable_brand': 0.023755495961644887, 'ltable_category': -0.06809282826519497, 'ltable_id': -0.05533260820208178, 'ltable_price': 0.03730461956045749, 'ltable_title': -0.01847332525123531, 'rtable_brand': 0.05714386909464572, 'rtable_modelno': 0.012610039484846588, 'rtable_title': 0.01790191773702547}",1.0,0.6615586249972694,0.0,[0.99418783 0.00581222],1624-5013,mojito-d
10,"{'ltable_category': 0.054860690458831705, 'ltable_id': 0.03487531639281862, 'ltable_price': 0.0869533713538127, 'ltable_title': 0.012795192195198202, 'rtable_category': -0.06167361917290592, 'rtable_price': 0.06963901967415848, 'rtable_title': -0.013116045984331467}",0.0,0.5948090989841148,0.0,[1.0000000e+00 5.1071023e-08],614-5969,mojito-d
11,"{'ltable_category': 0.05319075911357777, 'ltable_id': 4.637729361602298e-06, 'ltable_price': -0.07173757495314033, 'ltable_title': 0.06864267934766678, 'rtable_brand': 0.07479039371371453, 'rtable_id': 0.058311977183808636, 'rtable_price': -0.16303844654375213, 'rtable_title': -0.008952903924397203}",0.0,0.5598591049783863,0.0,[9.9982291e-01 1.7708336e-04],768-10397,mojito-d
